ANSS,ANSYS,NASDAQ
43.56,44.64,44.99,43.51
44.71,43.64,44.88,43.51
43.74,43.35,43.83,43.33
43.19,43.46,43.53,43.03
43.38,43.76,43.77,43.16
43.95,43.93,44.00,43.28
43.75,42.74,43.91,42.54
42.72,43.04,43.62,42.67
42.89,43.49,43.52,42.89
43.56,43.34,43.84,43.10
43.26,44.09,44.14,43.01
44.04,42.79,44.09,42.54
42.88,41.84,43.18,41.76
41.96,40.80,42.03,40.72
41.24,40.77,41.31,40.49
40.76,40.56,40.83,40.28
40.36,42.19,42.21,40.24
42.00,41.97,42.37,41.59
42.15,41.86,42.47,41.86
41.97,42.19,42.19,41.54
42.13,42.35,42.57,41.86
42.06,42.57,42.67,42.01
42.19,40.97,42.22,40.90
40.85,41.19,41.22,40.26
41.16,40.68,41.16,40.40
40.94,41.05,41.25,40.52
40.86,41.27,41.41,40.70
41.10,41.35,41.45,40.83
40.90,41.59,41.62,40.90
42.00,42.03,42.06,41.71
42.00,42.83,42.88,41.98
42.93,43.36,43.50,42.71
43.27,43.17,43.58,43.10
43.24,43.18,43.38,42.90
43.13,42.99,43.25,42.70
43.20,44.04,44.36,43.19
43.10,43.62,43.64,42.03
43.51,43.86,43.97,42.74
43.97,44.30,44.30,43.66
44.22,44.62,44.67,44.14
44.46,44.46,45.00,44.46
44.66,44.23,44.73,43.95
44.52,44.87,45.08,44.22
44.95,44.93,45.24,44.52
44.65,44.66,45.19,44.38
44.52,45.13,45.23,44.52
44.82,45.14,45.31,44.58
45.47,45.17,45.50,44.90
45.00,45.21,45.29,44.65
45.17,45.03,45.42,44.70
45.23,45.80,45.87,45.21
45.64,46.29,46.49,45.64
46.23,44.89,46.23,44.67
44.62,44.85,45.13,44.45
44.92,44.76,44.99,44.48
44.55,44.41,44.97,44.23
44.83,43.66,44.83,43.65
43.70,43.40,43.94,43.17
43.62,43.80,43.88,43.49
43.73,43.54,43.90,43.40
43.31,43.18,43.75,43.10
N/A,N/A,N/A,N/A
43.24,44.21,44.23,43.00
43.91,44.28,44.45,43.52
44.12,43.73,44.20,43.48
43.45,43.88,44.16,43.43
43.88,44.03,44.07,43.55
44.14,44.15,44.24,43.74
43.99,43.96,44.04,43.40
44.04,43.52,44.04,43.25
43.34,43.82,44.10,43.14
43.57,43.56,43.99,43.38
43.34,43.77,43.99,43.14
43.99,44.68,44.68,43.76
44.82,44.65,44.87,44.38
44.25,45.39,45.42,43.76
45.52,45.67,45.76,45.12
45.51,45.54,45.74,45.28
45.30,44.95,45.46,44.72
45.06,44.93,45.50,44.57
45.09,46.04,46.34,44.97
46.00,44.96,46.48,44.93
45.02,45.42,45.43,44.80
44.82,44.34,45.01,43.93
43.98,43.82,44.75,43.66
44.90,44.41,46.60,42.27
44.00,42.86,44.16,42.29
43.93,44.98,45.00,43.72
44.50,45.03,45.57,44.48
45.26,46.26,46.35,44.83
45.98,45.95,46.88,45.69
45.60,44.79,46.15,44.59
45.05,45.39,45.49,44.23
45.86,44.40,45.95,44.16
44.13,44.16,44.53,43.55
43.39,42.57,43.89,42.44
42.20,43.52,43.61,41.74
43.52,42.84,43.79,42.84
41.82,43.05,43.21,41.22
43.10,43.37,44.17,42.72
44.18,44.66,44.67,43.93
44.47,43.73,44.58,43.55
43.61,43.41,44.25,43.10
43.75,44.16,44.16,43.28
