ATHN,athenahealth,NASDAQ
45.06,46.63,46.76,45.06
46.39,46.90,47.19,46.09
47.00,47.41,47.57,46.76
47.15,47.36,47.82,46.77
47.38,47.19,47.69,46.99
47.48,45.89,47.48,45.83
45.62,43.92,45.69,43.77
43.82,45.73,45.90,43.82
45.76,45.63,45.79,44.92
45.92,45.19,45.98,44.90
45.01,46.35,46.47,44.80
46.00,44.49,46.35,44.32
44.40,42.16,44.60,41.95
42.13,41.77,42.62,41.36
42.47,41.17,43.06,41.13
41.09,41.49,42.03,40.75
41.10,41.15,41.59,40.59
41.24,40.27,41.72,39.78
40.16,39.34,40.71,39.07
39.96,40.90,41.95,39.66
41.04,40.28,41.24,39.93
40.28,40.09,40.52,39.58
39.91,39.94,40.90,39.56
39.87,40.61,41.02,39.85
39.58,38.98,40.15,38.85
39.36,39.63,39.82,38.97
38.86,39.45,39.80,38.86
39.33,40.47,40.60,39.20
40.22,41.36,41.37,39.97
41.41,42.51,42.57,41.16
42.59,42.19,42.68,42.05
42.04,42.88,42.90,42.00
42.69,43.53,43.57,42.69
43.46,43.17,43.46,42.42
43.26,43.15,43.50,42.66
43.02,43.03,43.38,42.52
42.50,43.52,43.84,42.05
38.62,36.84,38.74,36.76
36.26,35.87,37.44,35.13
36.07,37.19,38.25,35.86
37.11,38.67,39.44,37.11
38.89,38.67,39.04,38.32
38.90,39.20,39.27,38.52
39.20,38.96,39.50,38.91
38.80,38.21,39.04,37.86
38.33,37.90,38.63,37.33
37.65,38.20,38.31,37.41
38.51,38.13,38.84,37.73
38.21,37.29,38.32,35.83
40.14,39.71,41.00,38.74
40.79,40.54,41.53,40.17
39.03,39.16,39.69,38.58
39.42,37.86,39.55,37.82
37.63,38.77,39.03,37.00
38.87,38.00,38.87,37.88
37.98,37.58,38.26,37.33
37.66,36.50,37.96,36.43
36.69,35.65,37.21,35.02
35.67,36.51,36.52,35.45
36.48,36.68,37.29,36.22
36.43,36.56,37.01,36.23
N/A,N/A,N/A,N/A
36.83,37.79,38.18,36.30
37.75,38.25,38.77,37.59
37.93,36.47,37.93,36.32
37.37,36.43,37.37,35.49
36.45,36.44,36.91,36.02
36.55,36.21,36.61,35.95
36.21,36.05,36.49,35.90
36.37,36.06,36.40,35.75
36.10,36.98,37.17,36.06
37.01,37.02,37.72,36.67
36.80,37.85,37.94,36.49
38.08,38.18,38.25,37.78
37.94,38.17,38.34,37.65
37.95,37.56,38.13,37.19
37.54,37.10,37.92,36.90
37.02,36.56,37.40,36.50
36.47,35.23,36.72,34.93
35.17,34.52,35.43,34.10
34.52,35.35,35.45,34.20
29.05,29.02,30.00,27.85
29.39,28.75,29.39,27.93
28.32,28.61,29.45,27.92
28.26,28.11,28.69,28.06
27.97,26.96,29.00,25.86
27.01,27.45,27.65,26.28
28.60,28.58,28.92,27.51
28.48,28.61,28.88,28.20
28.58,29.32,29.46,28.38
29.12,28.74,29.51,28.60
28.50,28.18,28.74,27.91
28.36,28.52,29.00,28.00
28.86,28.05,28.91,27.46
27.85,27.60,28.23,27.42
27.04,25.37,27.46,25.21
25.16,25.16,25.65,24.90
25.22,25.71,26.00,25.15
25.24,25.30,26.78,24.79
25.62,25.89,26.53,25.60
26.45,26.09,26.45,25.67
26.02,24.76,26.17,24.43
24.62,23.40,25.00,23.29
23.40,25.39,25.39,23.40
26.17,25.99,27.15,25.61
25.50,23.72,25.50,23.40
23.70,23.35,23.92,23.07
23.39,23.68,23.86,23.12
23.91,22.74,24.24,22.50
23.14,23.02,23.58,22.80
22.90,23.67,23.68,22.90
23.78,23.59,24.29,23.51
23.68,24.59,24.68,23.51
24.46,24.00,24.63,23.95
24.08,24.00,24.37,23.72
24.01,23.93,24.03,23.60
24.29,23.57,24.32,23.26
23.72,23.57,24.00,23.50
23.58,23.03,23.59,22.98
22.95,22.46,23.18,22.30
22.49,23.71,23.71,22.30
23.63,25.26,25.58,23.50
24.77,25.71,26.26,24.70
25.64,26.13,27.15,25.42
26.10,24.83,26.32,24.60
25.08,23.91,25.08,23.58
24.18,23.82,24.85,23.62
23.91,24.64,24.73,23.89
25.04,24.62,25.04,24.20
24.66,24.77,24.98,23.63
24.63,24.55,24.97,24.52
24.95,24.96,25.14,24.66
24.90,24.80,25.10,24.54
24.75,24.06,24.95,23.92
23.88,22.87,23.88,22.48
23.00,22.71,23.19,22.51
22.31,22.80,22.87,22.04
22.87,22.05,23.16,21.64
22.46,22.06,22.59,21.51
26.00,27.01,28.00,25.70
27.01,27.00,27.77,26.38
26.75,27.65,28.34,26.50
27.45,27.00,27.82,26.57
27.05,26.16,27.31,25.96
25.78,27.77,28.18,25.37
28.11,26.91,28.30,26.61
26.88,26.87,27.71,26.52
26.93,27.00,27.59,26.82
26.79,26.24,26.79,25.95
25.75,25.79,26.28,25.18
25.95,26.90,27.20,25.95
26.68,27.41,27.83,26.40
26.88,27.76,27.78,26.54
27.26,28.86,29.68,27.06
28.76,29.46,29.55,28.16
29.40,31.13,31.47,28.87
30.61,31.37,32.25,30.11
31.43,31.18,31.56,30.61
30.09,30.65,30.98,29.20
30.75,29.51,30.75,28.93
29.60,28.71,29.70,28.34
28.31,27.86,28.79,27.08
27.87,28.34,28.40,27.53
28.37,27.81,28.81,27.75
28.17,27.86,28.52,27.41
27.72,27.19,28.26,27.17
27.09,26.94,27.28,26.67
27.40,27.45,27.82,27.02
27.54,27.67,28.39,27.38
27.94,27.71,28.15,27.17
27.52,27.61,27.93,27.27
27.70,28.25,28.68,27.40
28.66,28.31,28.97,28.13
28.00,28.12,28.32,27.80
28.36,29.18,29.65,28.21
29.19,28.92,29.56,28.62
28.72,28.75,29.10,28.56
28.62,29.32,29.61,28.62
29.64,28.68,29.66,28.44
28.75,30.02,30.19,28.35
30.24,30.79,31.15,30.15
30.59,30.28,30.92,30.17
30.22,30.20,30.44,29.72
30.53,31.19,31.19,30.29
31.29,30.99,31.40,30.81
31.16,31.31,31.40,30.24
31.12,31.87,31.89,30.81
31.94,33.02,33.39,31.59
33.11,32.76,33.16,31.86
32.80,32.88,33.00,31.87
33.08,33.55,33.71,32.93
32.95,32.03,33.06,31.08
32.33,32.00,32.48,31.40
31.94,32.13,32.56,31.51
32.04,32.52,32.72,32.04
32.45,32.62,33.12,32.37
32.04,33.19,33.50,32.04
33.25,33.53,33.74,33.07
33.92,32.40,34.16,32.24
31.66,31.79,32.14,30.36
31.35,30.19,31.71,29.98
30.12,31.09,31.33,30.12
31.14,30.49,31.24,30.14
35.10,37.42,39.00,35.10
36.25,39.09,40.53,35.63
39.00,38.55,39.58,37.74
38.19,40.01,40.14,37.84
40.18,40.14,40.65,39.85
40.18,39.97,40.20,39.56
40.05,39.50,40.24,38.97
39.93,40.63,40.89,39.66
40.62,41.11,41.14,39.90
41.33,40.60,42.14,39.58
40.72,41.05,41.54,40.00
40.81,40.80,41.29,40.14
40.98,39.65,40.98,39.38
39.71,40.23,40.26,39.17
39.76,40.01,40.53,39.72
39.62,39.49,40.10,39.44
39.83,39.85,40.12,39.50
39.60,38.52,40.33,38.41
38.53,40.06,40.18,38.37
41.00,41.05,42.33,40.89
41.11,40.87,41.31,40.55
40.60,40.34,41.04,39.51
39.97,39.77,40.07,39.38
40.02,40.85,41.20,39.94
40.06,40.71,41.10,40.06
40.30,40.97,41.19,40.30
40.55,41.01,41.50,40.38
41.46,43.09,44.24,41.17
42.39,42.70,42.80,41.61
42.38,42.28,42.67,41.53
42.01,41.81,42.10,41.33
42.50,42.78,43.18,41.86
42.82,42.98,43.10,42.53
43.49,43.35,43.82,42.99
43.44,45.08,46.25,43.44
45.01,43.80,45.30,43.54
43.74,43.93,44.21,43.00
43.67,42.25,43.92,42.11
42.01,39.76,42.89,38.08
38.83,40.99,41.15,38.83
40.97,42.02,42.02,40.43
42.24,41.05,42.32,40.91
41.03,41.59,41.70,40.50
41.89,41.40,41.89,40.84
41.40,41.76,41.88,41.01
41.81,41.38,41.81,40.43
40.48,41.28,42.00,40.48
41.19,41.11,41.43,40.82
41.14,40.98,41.60,40.87
41.11,41.71,42.12,41.01
42.00,40.95,42.00,40.62
40.71,41.69,41.88,40.40
41.76,41.38,42.17,41.31
41.32,41.68,41.76,40.78
41.55,41.87,42.03,40.75
40.97,41.67,42.09,40.97
41.76,41.33,42.11,41.22
41.42,42.16,42.30,41.00
42.34,44.46,44.59,42.34
44.34,47.13,47.39,44.20
47.34,48.06,49.30,46.50
47.62,45.46,47.93,45.28
45.71,43.89,45.75,43.82
43.84,43.28,43.84,42.91
42.90,43.44,44.25,42.59
43.35,43.75,44.00,43.00
43.48,43.68,43.83,42.58
43.58,43.15,43.99,43.09
43.15,42.94,43.49,42.20
42.94,44.60,45.98,42.60
44.31,44.29,45.24,43.68
44.18,43.82,44.33,43.39
43.85,44.75,44.80,43.32
44.73,46.13,47.32,44.54
48.74,48.00,50.56,47.33
47.99,47.22,48.06,46.26
46.79,47.32,48.04,46.51
47.06,47.23,47.75,47.00
47.47,47.44,47.90,47.13
47.55,47.83,48.26,47.55
47.80,47.55,48.26,47.37
47.30,47.67,48.14,47.11
48.83,47.43,49.95,45.42
47.80,45.95,48.43,45.81
46.00,44.78,46.16,44.55
44.69,45.25,46.08,44.24
45.20,46.00,46.12,45.11
46.16,45.34,46.16,45.07
45.41,45.10,45.57,44.66
44.87,44.58,45.22,44.45
44.88,45.92,46.12,44.88
45.97,45.57,46.26,45.31
45.59,44.69,46.00,44.14
44.54,45.31,45.85,44.02
45.20,44.94,45.35,44.71
44.31,43.74,44.50,43.68
43.60,43.81,44.24,43.34
43.33,43.33,43.62,42.73
42.05,42.71,42.97,41.58
42.75,42.14,43.19,42.14
42.92,42.06,43.25,42.05
42.62,42.86,43.24,42.43
43.42,44.02,44.21,43.42
44.17,43.67,44.38,43.25
43.43,44.01,44.17,43.00
44.22,44.37,44.51,43.83
44.61,44.34,45.38,44.29
44.28,44.03,44.39,43.91
43.94,45.15,45.27,43.86
45.45,46.17,46.51,45.21
45.92,45.13,46.44,44.89
45.39,44.90,45.68,44.67
45.14,45.00,45.50,44.67
44.85,45.25,45.41,43.93
45.51,46.01,46.30,45.26
46.09,45.96,46.48,45.56
46.31,44.95,46.75,44.10
44.92,44.36,45.00,43.81
43.98,44.37,44.99,43.66
44.73,45.84,46.03,44.46
45.35,45.97,46.00,45.14
45.78,45.00,46.25,44.37
44.39,44.50,44.64,43.83
44.80,44.40,45.15,44.05
45.00,44.77,45.66,44.62
45.17,44.68,45.23,44.40
44.49,44.27,44.84,43.66
43.97,44.23,44.50,43.61
44.22,45.20,45.35,44.22
45.17,46.42,46.60,45.01
47.50,46.21,47.72,45.04
46.33,47.52,47.96,46.33
47.17,45.78,47.50,45.16
45.73,44.33,46.84,43.92
43.85,43.81,44.07,43.37
44.23,44.53,44.73,43.72
44.41,44.97,45.03,44.07
45.29,46.00,46.02,45.04
46.03,45.82,46.46,45.22
45.49,46.11,46.19,45.12
46.20,46.28,46.49,45.91
46.03,45.51,46.21,45.40
45.31,45.16,45.51,44.97
45.11,45.46,45.56,44.87
45.85,46.42,46.54,45.21
46.07,46.19,46.46,45.80
45.13,45.31,45.80,45.13
45.39,43.97,45.49,43.93
43.76,44.47,44.63,43.35
44.22,44.07,44.22,43.80
44.25,43.93,44.81,43.73
44.21,44.77,44.80,43.33
44.68,43.77,44.76,43.74
43.75,42.73,43.89,42.59
42.07,42.01,42.45,41.40
41.54,41.04,41.95,40.83
41.31,41.04,41.47,40.80
40.84,41.08,41.71,40.84
41.14,41.40,41.58,40.94
41.07,40.44,41.27,40.09
40.49,39.27,40.51,39.01
39.57,39.99,40.26,39.37
39.45,39.61,40.14,39.27
39.56,39.61,39.77,38.97
39.83,39.92,40.74,39.44
39.74,40.05,40.23,39.43
40.29,41.11,41.28,39.97
40.80,41.40,41.92,40.65
40.90,41.24,41.48,40.68
41.31,41.05,41.31,40.88
41.13,41.29,41.53,40.84
41.44,42.26,42.28,41.03
42.33,41.79,42.33,41.79
41.77,41.10,41.98,40.68
41.24,42.07,42.16,41.08
42.00,44.19,44.98,41.95
44.55,46.30,46.65,44.43
46.49,46.90,47.01,46.01
46.44,46.93,47.16,46.02
46.17,46.20,46.82,46.03
45.91,45.16,46.18,45.11
45.50,46.00,46.71,45.26
46.33,45.87,46.87,45.55
46.12,46.49,46.73,45.93
46.21,45.62,46.98,44.83
46.04,48.36,48.69,45.70
49.00,47.91,49.35,47.26
47.93,48.58,48.72,47.54
54.00,57.09,60.29,53.75
56.38,58.38,58.70,55.80
57.73,57.76,59.49,57.00
57.50,57.57,58.30,56.66
57.35,59.71,60.27,57.26
58.83,58.79,60.11,58.18
59.91,59.38,60.00,57.25
58.83,59.86,60.72,58.22
59.80,60.00,60.72,58.22
59.47,54.17,59.47,54.00
54.28,53.69,55.25,51.91
51.96,48.69,52.80,48.35
49.53,52.05,52.06,46.96
50.23,49.73,52.17,48.00
50.41,52.12,52.88,49.80
52.70,53.00,53.72,51.33
53.27,55.26,55.40,53.27
54.46,54.41,54.99,53.07
54.64,53.96,55.50,53.32
52.45,50.33,52.45,49.89
49.71,49.73,52.00,49.35
50.98,50.73,51.17,49.49
51.10,55.21,55.79,50.75
55.73,57.35,57.58,55.41
57.67,55.91,57.99,54.71
55.29,57.75,57.90,54.00
58.53,58.89,59.14,56.55
58.81,58.87,60.00,58.19
59.25,57.99,59.98,57.64
58.12,58.23,59.17,57.56
56.55,56.25,57.79,55.92
54.78,57.02,57.13,54.01
57.99,59.08,59.92,57.61
59.00,62.96,63.74,58.81
62.46,59.08,62.46,58.46
58.24,60.52,60.62,58.21
60.16,65.64,66.00,60.01
65.56,66.79,67.87,64.57
67.58,66.71,67.58,65.81
67.29,68.69,68.92,67.05
67.58,69.25,72.70,67.10
69.93,68.31,70.53,67.58
67.99,65.88,69.59,65.80
62.90,62.83,64.34,60.11
61.92,63.65,64.35,61.82
64.51,63.90,64.56,59.94
65.90,64.52,66.53,64.13
64.66,62.65,65.11,62.56
63.93,63.09,64.18,60.62
61.05,59.55,62.59,59.50
62.31,56.03,62.32,56.01
55.50,58.26,58.40,54.17
58.53,58.39,59.22,57.13
58.49,59.69,60.54,57.93
59.73,56.87,59.98,55.96
58.09,59.66,59.88,57.57
59.17,62.04,62.90,58.85
