SPB,Spectrum Brands Holdings,NASDAQ
22.30,22.00,22.50,22.00
22.45,22.50,22.50,22.25
22.50,23.00,23.00,22.25
23.10,25.50,25.60,23.10
25.50,26.50,28.00,25.50
27.39,27.50,27.50,26.20
27.50,27.50,27.90,27.50
27.90,27.90,28.00,27.50
28.00,28.60,28.60,28.00
29.00,29.25,29.25,29.00
29.50,29.00,30.00,29.00
29.15,29.00,29.15,29.00
29.00,29.00,29.00,29.00
29.00,29.00,29.00,28.90
29.35,29.35,29.35,29.35
29.35,29.00,29.35,29.00
28.95,29.00,29.00,28.95
28.97,28.97,29.00,28.85
28.95,29.00,29.00,28.95
29.00,29.00,29.00,28.95
28.97,29.55,30.00,28.97
30.00,29.70,30.00,29.70
29.50,29.25,29.50,29.25
29.02,29.00,29.02,29.00
29.00,29.00,29.00,28.97
29.05,28.00,29.05,27.65
27.55,26.95,27.55,26.75
26.70,26.25,26.70,26.00
26.75,26.25,26.75,26.25
26.25,25.75,26.25,25.65
25.55,24.40,25.55,24.00
24.40,24.30,24.40,24.30
24.50,24.70,24.70,24.50
24.60,24.25,24.60,24.25
24.25,24.10,24.25,24.10
24.00,24.00,24.00,24.00
24.00,23.75,24.00,23.75
23.70,23.50,23.70,23.00
23.50,23.00,23.50,22.00
23.20,23.00,23.48,22.85
23.00,23.25,23.25,23.00
23.00,23.15,23.25,23.00
23.25,23.25,23.25,23.10
23.11,23.15,23.30,23.11
23.11,23.00,23.11,23.00
23.05,22.95,23.05,22.95
23.15,23.00,23.25,23.00
23.01,22.95,23.01,22.95
22.95,23.00,23.00,22.95
23.15,23.90,23.90,23.00
24.75,24.60,24.75,24.00
24.80,26.50,28.35,24.80
25.45,25.45,29.97,24.25
25.05,24.61,25.05,23.95
24.62,24.88,25.22,24.62
25.10,25.09,25.23,25.00
25.23,25.42,25.97,25.23
25.27,25.06,25.27,25.06
25.26,25.05,25.42,24.60
25.00,26.18,26.18,24.90
26.00,27.38,27.50,26.00
27.37,27.59,27.88,27.25
27.50,27.95,28.15,27.50
27.99,27.94,28.00,27.45
27.65,29.08,29.21,27.64
28.75,30.44,30.95,28.75
30.23,30.34,30.69,29.27
30.34,30.44,30.56,30.32
30.35,30.00,30.44,29.90
30.00,29.61,30.15,29.07
29.50,29.62,30.09,29.48
29.60,29.69,29.75,29.00
29.60,29.33,29.60,29.00
29.21,29.60,29.70,29.10
29.37,29.70,29.70,29.30
29.55,29.33,29.60,29.05
29.40,29.53,29.65,29.20
29.32,29.69,29.69,29.31
29.48,29.49,29.64,29.24
29.50,29.56,29.89,29.08
29.65,29.95,30.25,29.65
29.65,29.62,29.89,29.31
29.52,30.40,30.48,29.52
30.40,29.99,30.40,29.20
29.57,29.16,29.87,29.00
29.01,28.49,29.84,27.93
28.56,28.02,28.56,27.30
28.58,26.49,28.58,25.35
27.05,26.75,31.60,26.50
26.61,26.80,27.55,26.53
26.92,27.00,27.55,26.84
26.80,26.44,26.99,25.99
26.36,26.50,26.88,26.00
26.59,26.47,26.90,25.98
26.34,25.32,26.45,24.29
25.10,24.58,25.39,24.11
24.53,24.88,26.00,23.70
24.71,24.48,24.79,24.22
24.19,24.60,24.85,24.13
24.82,25.58,25.75,24.81
25.58,27.39,27.72,25.58
27.66,27.74,28.50,27.66
27.50,26.51,28.03,25.81
26.38,26.26,27.44,25.54
25.93,26.70,27.63,25.93
26.36,27.19,27.50,25.70
27.52,27.37,28.26,27.31
27.66,27.00,28.20,26.61
26.90,27.39,27.60,26.90
27.70,27.87,28.00,27.50
27.64,27.70,27.99,27.27
27.99,27.89,27.99,27.42
28.00,28.65,28.87,27.95
28.60,28.15,28.83,27.64
28.03,28.20,28.45,27.51
28.09,28.10,28.83,27.79
26.60,28.14,28.36,26.58
28.03,27.88,28.14,27.77
27.74,27.04,28.39,27.00
27.51,26.56,27.57,26.52
27.70,26.51,27.86,25.56
26.16,26.33,26.77,26.16
25.99,25.79,26.11,25.68
25.84,25.36,26.07,25.29
25.54,25.35,25.66,24.76
25.66,25.31,26.04,25.17
25.00,24.91,25.54,24.89
24.99,25.75,25.90,24.34
25.69,25.53,25.89,25.41
25.64,25.54,25.64,25.35
25.45,26.63,26.87,25.16
26.84,27.28,27.49,26.84
27.12,27.09,27.23,26.92
27.02,27.22,27.32,26.81
27.09,27.00,27.26,26.97
27.03,26.65,27.03,26.49
26.50,27.12,27.16,26.33
27.31,27.00,27.36,26.97
27.22,27.80,27.80,27.08
27.69,28.09,28.19,27.44
28.27,28.77,29.00,28.00
28.91,28.88,28.91,28.50
28.89,28.74,29.09,28.73
28.76,28.89,29.00,28.01
28.80,29.00,29.10,28.41
29.26,29.51,29.88,29.13
29.42,28.72,29.77,28.64
28.75,28.91,29.16,28.48
28.77,28.81,29.08,28.59
28.69,28.83,28.96,28.51
29.00,28.93,29.00,28.68
28.76,28.62,29.00,28.59
28.35,27.98,28.40,27.86
27.83,28.18,28.18,27.08
28.09,27.25,28.63,27.24
27.29,27.96,28.90,26.94
28.36,27.49,28.88,27.21
27.53,27.07,27.53,26.36
26.96,26.99,27.23,26.79
26.88,26.99,27.68,26.77
27.09,26.97,27.19,26.87
26.80,26.72,27.04,26.65
26.34,26.00,26.61,25.71
26.01,25.00,26.01,24.72
25.11,25.24,25.35,24.28
25.16,23.21,25.16,23.17
23.28,25.51,25.53,22.86
25.73,25.99,26.99,25.43
25.88,26.37,26.58,25.71
26.58,26.88,27.11,26.44
26.88,26.24,26.96,26.17
26.31,26.42,26.89,26.12
26.59,26.09,26.93,26.04
26.16,26.07,26.50,25.15
26.21,26.50,27.01,26.21
26.51,26.50,26.68,26.35
26.55,26.61,26.65,26.05
26.52,26.11,26.87,25.36
26.43,26.00,26.43,25.31
26.01,26.21,26.21,25.80
26.18,26.85,27.25,25.96
26.74,26.87,27.08,26.74
26.74,26.05,27.08,26.03
26.24,27.12,27.20,26.21
27.20,26.89,27.67,26.54
26.83,26.95,27.06,26.25
26.80,27.23,27.43,26.66
27.36,27.18,27.81,27.00
27.41,27.83,27.85,26.89
27.72,27.49,28.10,27.22
27.68,28.56,28.56,27.55
28.61,28.83,28.90,28.40
29.00,28.89,29.25,28.56
28.89,29.23,29.30,28.42
29.30,29.35,29.73,29.23
29.23,29.17,29.35,28.60
29.17,29.55,29.72,28.85
29.42,29.78,29.95,29.19
29.98,29.73,30.26,29.55
29.84,30.00,30.10,29.48
29.69,29.28,30.08,29.11
29.43,29.77,30.03,29.43
29.94,28.53,29.94,28.43
28.65,28.24,28.74,28.16
28.47,28.35,28.47,27.83
28.15,28.57,28.58,28.09
28.26,28.28,28.77,28.18
28.46,28.47,29.16,28.35
28.34,28.35,28.72,28.27
28.56,27.17,28.60,26.97
27.37,27.41,27.74,26.90
27.50,27.45,27.50,27.00
27.81,28.23,28.32,27.50
28.34,28.58,28.87,28.10
28.44,28.79,28.85,28.23
28.91,29.66,29.74,28.89
29.69,29.72,29.98,29.42
29.51,28.93,29.51,28.82
28.66,28.71,29.24,28.64
28.86,28.61,29.12,28.47
28.42,27.34,28.42,27.12
27.25,27.38,27.56,27.20
27.66,27.64,27.75,27.17
27.54,27.11,27.86,26.61
27.03,26.41,27.03,26.14
25.86,26.20,26.26,25.86
26.46,27.24,27.26,26.40
26.98,26.77,27.00,26.64
26.57,27.17,27.24,26.11
26.78,27.03,27.21,26.61
27.41,27.84,28.32,27.29
27.84,27.77,28.00,27.06
27.63,27.88,27.90,26.95
27.72,28.51,28.74,27.37
28.55,28.71,28.90,27.84
28.86,29.25,29.36,27.79
29.58,29.92,30.09,29.58
29.89,30.02,30.32,29.54
29.97,30.47,31.34,29.65
30.69,31.35,31.50,30.65
31.39,30.74,31.70,30.66
30.87,32.10,32.47,30.52
32.20,32.39,32.59,30.27
32.35,31.94,32.79,31.84
32.12,31.97,32.16,30.84
31.99,32.22,32.31,31.73
32.18,32.07,32.22,31.80
31.93,32.46,32.50,31.93
32.41,31.74,32.53,31.66
31.81,31.87,32.15,31.74
31.97,31.74,32.35,31.53
31.62,31.17,32.04,31.10
32.41,30.76,32.41,30.00
30.91,30.11,31.37,30.00
30.10,30.25,30.42,29.63
30.13,30.82,31.07,30.06
30.95,30.93,31.00,30.47
