AE,Adams Resources & Energy,NASDAQ
22.18,22.88,23.00,22.18
22.83,23.00,23.20,22.60
23.17,22.56,23.30,22.00
22.37,22.24,22.37,21.30
22.03,22.17,22.17,21.75
22.60,21.75,22.60,21.75
21.46,21.30,21.55,21.30
21.10,21.14,21.25,21.08
21.20,20.65,23.39,20.65
20.70,21.75,21.91,20.32
21.52,21.87,21.95,21.25
21.79,21.41,22.24,21.30
21.46,21.45,21.94,21.30
21.43,20.89,21.43,20.53
20.83,21.05,21.15,20.51
20.98,21.26,21.26,20.05
21.11,20.98,21.12,20.84
20.93,21.00,21.02,19.86
21.09,21.00,21.24,20.75
21.06,21.55,21.75,20.83
21.53,21.85,21.85,21.38
21.81,21.69,22.20,21.35
21.50,20.90,21.58,20.80
20.88,20.50,20.88,20.50
20.70,20.70,20.70,20.39
20.25,20.76,20.90,20.05
20.67,20.90,20.90,20.25
20.60,21.01,21.46,20.60
21.25,21.40,21.69,21.04
21.50,22.11,22.11,21.50
22.48,21.52,23.00,21.47
21.75,22.14,22.14,21.75
22.07,22.08,22.20,22.07
22.00,22.20,22.24,21.51
19.61,19.61,19.61,19.61
21.55,21.78,21.78,21.34
21.30,21.44,21.45,21.00
21.50,21.29,21.95,21.23
21.55,21.97,22.00,21.48
21.84,21.71,22.00,21.71
22.03,22.35,22.35,21.77
22.23,21.82,22.23,21.56
22.04,22.20,22.25,22.03
22.25,22.56,22.70,22.14
22.23,22.31,22.67,22.15
22.32,22.70,22.70,22.32
22.65,22.90,22.90,22.40
22.50,22.30,22.85,22.30
22.10,22.10,22.10,22.10
22.89,22.60,22.89,22.48
21.70,22.75,23.25,20.41
22.95,22.35,22.95,22.35
22.30,21.00,22.45,21.00
20.77,21.10,21.25,20.50
21.00,19.92,21.01,19.48
19.50,19.50,19.91,19.20
19.25,19.33,19.50,19.00
19.60,18.90,19.60,18.55
18.93,18.60,19.00,18.60
18.22,17.88,18.48,17.87
17.75,17.50,17.75,17.40
17.51,18.44,18.50,17.51
18.75,19.25,19.35,18.51
19.47,19.25,19.75,19.12
19.44,19.30,19.60,19.00
19.32,18.95,19.48,18.94
19.05,19.58,19.70,19.05
19.80,19.31,19.91,19.31
19.40,19.22,19.40,19.15
19.50,19.70,19.89,19.50
19.95,19.75,19.95,19.50
19.60,19.49,19.90,19.38
19.25,19.45,19.45,19.25
19.73,19.75,19.85,19.73
