IDSA,Industrial Services of America,NASDAQ
15.97,15.76,16.26,15.47
15.63,15.10,15.70,14.74
14.77,14.27,14.81,14.16
14.30,14.47,14.53,14.30
14.59,14.65,14.89,14.21
14.93,15.34,15.72,14.77
15.50,15.11,15.50,15.00
14.91,15.30,15.38,14.68
15.05,15.58,15.66,14.80
15.70,15.38,15.70,15.03
15.34,15.27,15.34,15.08
15.28,15.28,15.97,15.10
15.50,15.00,15.50,14.90
15.00,14.88,15.08,14.50
15.12,14.67,15.28,14.52
14.70,15.09,15.10,14.53
15.04,15.55,15.63,15.04
15.69,15.46,16.09,15.28
13.80,12.31,13.80,12.11
12.24,11.93,12.25,11.74
11.79,11.39,11.97,11.30
11.42,10.34,11.45,10.23
10.17,10.11,10.32,9.61
10.18,10.01,10.46,9.87
10.16,10.07,10.36,10.04
10.04,10.22,10.25,9.86
10.13,10.58,10.65,10.13
10.40,10.94,11.34,10.32
11.22,11.08,11.28,11.00
11.03,10.91,11.11,10.89
10.79,10.89,11.02,10.60
10.69,10.59,10.73,10.50
10.76,10.85,11.07,10.51
10.96,11.15,11.19,10.96
11.31,11.34,11.34,11.13
11.29,11.32,11.37,11.12
11.47,11.30,11.49,11.23
11.30,11.30,11.49,11.17
11.41,11.34,11.41,11.16
11.46,11.39,11.46,11.28
11.40,12.30,12.37,11.16
12.39,12.50,12.66,12.07
12.55,12.51,12.69,12.45
12.49,12.65,12.75,12.30
12.75,13.40,13.74,12.75
13.53,13.47,13.60,13.00
13.26,13.11,13.48,12.84
13.16,12.80,13.22,12.61
12.73,12.73,12.90,12.56
12.70,12.32,12.72,12.09
12.33,12.20,12.49,12.02
12.26,12.11,12.34,12.02
12.03,12.16,12.27,12.03
12.17,12.30,12.30,11.93
12.34,12.28,12.34,12.07
12.30,12.31,12.45,12.13
13.00,14.18,14.39,12.88
14.48,13.94,14.48,13.80
14.25,13.97,14.28,13.80
13.72,13.54,13.79,13.48
13.56,13.93,13.99,13.56
13.99,13.81,14.22,13.72
13.75,13.67,13.85,13.56
13.68,13.42,13.69,13.37
