IDSA,Industrial Services of America,NASDAQ
3.06,3.11,3.30,3.05
3.17,3.05,3.17,3.05
3.10,3.05,3.25,3.05
3.07,3.08,3.17,3.06
3.12,3.06,3.15,3.06
3.05,3.07,3.25,3.05
3.05,2.96,3.05,2.96
2.97,2.89,2.97,2.89
2.88,2.77,2.89,2.60
2.78,2.68,3.03,2.50
2.71,2.53,2.94,2.53
2.60,2.38,2.61,2.36
2.39,2.52,2.52,2.39
2.52,2.55,2.62,2.50
2.58,2.57,2.67,2.53
2.72,2.56,2.81,2.56
2.51,2.64,2.65,2.49
2.57,2.57,2.63,2.50
2.74,2.62,2.74,2.60
2.78,2.53,2.78,2.50
2.50,2.50,2.54,2.49
2.50,2.50,2.54,2.46
2.50,2.40,2.50,2.35
2.41,2.49,2.50,2.40
2.52,2.64,2.64,2.52
2.65,2.56,2.65,2.44
2.52,2.50,2.52,2.43
2.55,2.50,2.55,2.43
2.45,2.51,2.51,2.45
2.44,2.45,2.63,2.43
2.47,2.43,2.50,2.43
2.48,2.49,2.49,2.48
2.50,2.52,2.52,2.41
2.50,2.43,2.50,2.40
2.43,2.40,2.43,2.20
2.30,2.22,2.30,2.20
2.25,2.13,2.27,2.13
2.13,2.08,2.13,2.06
2.07,1.83,2.12,1.75
1.84,1.78,1.90,1.63
1.75,1.67,1.75,1.64
1.65,1.57,1.66,1.55
1.55,1.59,1.62,1.55
1.70,1.68,1.71,1.61
2.00,1.58,2.00,1.55
1.60,1.52,1.70,1.47
1.52,1.57,1.59,1.45
1.58,1.47,1.58,1.43
1.48,1.72,1.78,1.48
1.75,1.73,1.75,1.73
1.74,1.73,1.78,1.73
1.73,1.69,1.73,1.68
1.71,1.77,1.82,1.71
1.77,1.94,1.96,1.77
1.99,2.02,2.02,1.94
2.02,2.11,2.16,2.02
2.08,2.09,2.11,2.08
2.07,2.04,2.07,2.00
2.02,2.00,2.02,1.97
1.96,2.02,2.10,1.96
2.04,2.04,2.05,2.00
2.04,2.08,2.08,2.04
2.03,1.99,2.04,1.96
2.00,1.98,2.01,1.95
1.97,1.97,2.08,1.97
2.00,1.97,2.00,1.97
1.97,1.99,2.02,1.97
1.98,1.98,2.08,1.98
2.08,1.97,2.08,1.97
1.98,1.89,1.98,1.83
1.85,1.92,1.92,1.85
1.92,1.96,1.99,1.82
1.95,1.95,1.99,1.88
1.87,1.90,1.95,1.80
1.92,1.81,1.92,1.80
1.86,1.85,1.86,1.81
1.86,1.88,1.88,1.85
1.85,1.83,1.85,1.83
1.80,1.81,1.94,1.80
1.80,1.80,1.81,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.81,1.77,1.81,1.71
1.75,1.74,1.80,1.70
1.71,1.76,1.80,1.71
1.81,1.76,1.81,1.76
1.79,1.81,1.81,1.79
1.71,1.81,1.81,1.71
1.81,2.00,2.10,1.81
1.82,1.99,2.00,1.82
1.96,2.00,2.01,1.96
2.00,2.10,2.10,1.86
2.07,2.05,2.07,2.05
2.07,2.06,2.07,2.02
2.06,2.24,2.40,2.06
2.25,2.13,2.25,2.10
2.25,2.31,2.70,2.25
2.27,2.59,2.60,2.27
2.60,3.37,3.64,2.60
3.51,2.98,3.60,2.97
3.00,2.84,3.40,2.77
2.85,2.65,3.09,2.59
2.84,2.71,2.95,2.66
2.64,2.69,2.83,2.53
2.54,2.54,2.67,2.52
2.50,2.46,2.50,2.37
2.39,2.45,2.49,2.31
2.48,2.93,2.95,2.47
2.94,2.80,2.94,2.55
2.78,2.66,2.78,2.65
2.66,2.65,2.68,2.52
2.66,2.65,2.68,2.59
2.69,2.40,2.74,2.31
2.39,2.30,2.45,2.25
2.30,2.38,2.58,2.22
2.34,2.58,2.75,2.27
2.52,2.64,2.68,2.52
2.55,2.54,2.74,2.51
2.62,2.90,2.99,2.50
3.00,3.45,3.84,3.00
3.50,3.35,3.60,3.14
3.20,3.21,3.36,3.07
3.23,3.21,3.31,3.15
3.18,3.35,3.35,3.18
3.35,3.22,3.35,3.17
3.31,3.28,3.31,3.15
3.25,3.24,3.25,3.07
3.17,3.29,3.29,3.17
3.29,3.25,3.29,3.25
3.25,3.34,3.35,3.24
3.30,3.20,3.30,3.06
3.29,3.26,3.33,3.15
3.26,3.15,3.35,3.13
3.20,3.02,3.20,3.01
3.07,3.12,3.20,3.02
3.15,3.02,3.15,3.00
3.00,3.16,3.29,3.00
3.10,3.17,3.32,3.03
3.30,3.37,3.37,3.18
3.35,3.44,3.50,3.18
3.60,3.57,3.60,3.51
3.57,3.69,3.78,3.57
3.56,3.90,3.94,3.56
3.86,3.97,4.07,3.80
3.91,3.61,3.91,3.60
3.60,3.61,3.89,3.45
3.77,3.64,3.77,3.60
3.59,3.36,3.59,3.25
3.32,3.47,3.59,3.32
3.38,3.57,3.59,3.37
3.63,3.55,3.64,3.50
3.59,3.60,3.63,3.51
3.65,3.58,3.71,3.56
3.57,3.52,3.63,3.52
3.51,3.35,3.57,3.34
3.34,3.50,3.63,3.34
3.42,3.27,3.63,3.27
3.26,3.12,3.26,3.02
3.15,3.09,3.25,3.04
3.11,2.96,3.13,2.85
3.06,2.95,3.07,2.88
3.00,2.97,3.00,2.81
2.95,2.90,2.99,2.81
2.90,2.91,3.05,2.88
2.96,2.97,3.05,2.90
3.00,2.89,3.00,2.83
2.91,2.90,3.00,2.89
2.89,3.00,3.03,2.89
2.93,2.95,3.00,2.90
2.94,3.00,3.01,2.92
2.97,3.10,3.10,2.96
3.09,3.07,3.09,3.07
3.06,3.39,3.46,3.06
3.44,3.58,3.60,3.30
3.51,3.46,3.57,3.34
3.51,3.46,3.53,3.36
3.41,3.45,3.53,3.41
3.54,3.63,3.63,3.41
3.65,3.94,3.94,3.65
3.96,3.88,3.96,3.85
3.94,3.83,4.00,3.83
3.97,4.16,4.20,3.91
4.23,4.63,4.90,4.20
4.63,4.53,4.70,4.50
4.50,4.59,4.62,4.50
4.50,4.58,4.74,4.50
4.51,4.65,4.68,4.51
4.59,4.43,4.64,4.40
4.51,4.55,4.63,4.50
4.56,4.59,4.67,4.51
4.65,4.61,4.68,4.47
4.61,4.73,4.73,4.60
4.67,4.41,4.74,4.41
4.60,4.74,4.75,4.60
4.72,4.65,4.75,4.65
4.64,4.46,4.64,4.41
4.52,4.59,4.59,4.45
4.64,4.89,4.89,4.64
4.98,5.13,5.34,4.77
5.20,4.76,5.35,4.46
4.72,4.83,4.94,4.45
4.72,4.74,4.76,4.62
4.74,4.58,4.78,4.58
4.51,4.29,4.54,4.27
4.35,4.47,4.58,4.35
4.44,4.55,4.74,4.44
4.54,4.61,4.77,4.45
4.78,4.67,4.78,4.41
4.56,4.55,4.63,4.45
4.53,4.56,4.57,4.50
4.55,4.55,4.73,4.50
4.56,4.60,4.64,4.56
4.67,4.89,4.90,4.65
4.90,4.81,4.90,4.66
4.62,4.79,4.86,4.62
4.75,4.80,4.89,4.67
4.65,4.79,4.89,4.63
4.89,4.71,4.90,4.70
4.85,4.80,4.89,4.73
4.87,4.68,4.87,4.60
4.67,4.78,4.89,4.65
4.84,4.78,4.87,4.57
4.73,4.88,4.88,4.73
4.88,4.79,4.89,4.78
4.80,4.78,4.80,4.78
4.89,4.88,5.00,4.79
4.94,4.81,4.94,4.81
4.94,4.92,4.98,4.85
4.86,4.75,4.86,4.75
4.79,4.90,4.91,4.75
4.78,4.77,4.85,4.76
4.78,4.57,4.78,4.55
4.58,4.58,4.65,4.57
4.58,4.79,4.85,4.58
4.79,4.79,4.79,4.79
4.62,4.63,4.92,4.61
4.76,4.62,4.93,4.59
4.60,4.61,4.84,4.57
4.63,4.61,4.83,4.57
4.72,4.55,4.80,4.39
4.60,4.75,4.80,4.55
4.55,4.73,4.78,4.55
4.72,4.80,4.80,4.59
4.63,4.86,4.86,4.62
4.85,4.85,4.85,4.85
4.89,4.91,4.95,4.81
4.94,4.90,4.95,4.77
4.90,4.90,4.90,4.90
4.80,4.78,4.89,4.78
4.87,4.92,4.92,4.87
4.92,4.91,4.92,4.78
4.72,5.08,5.09,4.65
5.09,5.89,6.19,5.03
5.65,5.62,6.00,5.56
5.48,5.32,5.48,5.26
5.26,5.27,5.43,5.26
5.28,5.37,5.44,5.26
5.36,5.09,5.36,4.95
5.08,5.15,5.25,4.95
5.00,5.03,5.31,4.95
4.98,5.14,5.24,4.95
5.12,4.96,5.12,4.94
5.12,5.04,5.12,5.04
5.00,5.10,5.12,5.00
5.05,5.01,5.11,5.01
5.08,5.25,5.25,5.07
5.22,5.11,5.22,4.95
5.06,5.01,5.23,4.95
5.01,5.19,5.19,5.01
5.13,5.25,5.32,5.10
5.33,5.30,5.45,5.18
5.44,5.76,5.91,5.40
5.65,5.70,5.76,5.30
5.68,5.60,5.68,5.40
5.42,5.53,5.68,5.42
5.68,5.65,5.68,5.47
5.64,5.73,5.74,5.60
5.83,5.87,5.91,5.53
5.86,5.81,5.99,5.62
5.72,6.25,6.40,5.72
6.36,6.73,6.99,5.97
6.85,6.79,6.98,6.73
6.69,6.10,6.75,6.08
6.30,6.10,6.46,6.00
5.97,6.05,6.15,5.85
5.99,6.07,6.50,5.65
6.14,6.33,6.39,6.08
6.20,6.05,6.47,5.98
6.22,6.10,6.22,5.90
6.11,6.00,6.49,5.97
6.23,5.92,6.23,5.24
5.92,5.96,5.99,5.75
5.87,6.01,6.10,5.87
6.01,6.09,6.14,6.00
6.00,6.04,6.09,5.97
6.00,6.00,6.13,5.96
6.00,5.77,6.01,5.76
5.81,6.08,6.09,5.80
5.94,5.90,6.08,5.90
5.81,6.00,6.05,5.81
6.10,6.31,6.48,6.01
6.33,6.16,6.48,6.12
6.23,6.30,6.45,6.20
6.36,6.25,6.50,6.03
6.43,6.07,6.45,6.04
6.24,6.04,6.24,6.01
6.25,6.16,6.25,6.01
6.27,6.09,6.27,6.02
6.19,6.14,6.19,6.03
6.18,6.18,6.18,6.02
6.25,6.04,6.25,6.02
6.10,6.16,6.22,6.04
6.08,6.08,6.12,6.08
6.07,6.22,6.22,6.05
6.23,6.17,6.23,6.06
6.11,6.19,6.20,6.10
6.18,6.22,6.25,6.11
6.43,6.18,6.43,6.10
6.26,6.01,6.28,6.01
6.11,6.02,6.18,6.01
6.01,6.10,6.10,6.01
6.06,6.01,6.14,5.95
6.01,6.00,6.04,5.82
6.00,6.07,6.08,5.95
5.96,6.07,6.13,5.96
6.02,5.96,6.10,5.96
5.98,5.97,6.10,5.97
5.98,5.99,6.00,5.96
5.96,6.04,6.10,5.96
5.95,5.64,6.08,5.62
5.60,5.57,5.66,5.55
5.57,5.59,5.72,5.57
5.57,5.62,5.79,5.57
5.57,5.54,5.94,5.30
5.53,5.53,5.98,5.45
5.49,5.59,5.92,5.49
5.50,5.40,5.86,5.30
5.43,5.64,5.74,5.43
5.28,5.80,5.81,5.28
5.70,5.68,5.74,5.65
5.75,5.70,5.75,5.69
5.69,5.70,5.74,5.69
5.68,5.87,5.87,5.68
5.77,5.59,5.89,5.59
5.59,5.87,5.89,5.59
5.82,5.69,5.85,5.69
5.75,5.60,5.75,5.59
5.59,5.47,5.59,5.47
5.40,5.50,5.50,5.32
5.37,5.41,5.58,5.35
5.42,5.35,5.49,5.35
5.30,5.00,5.35,5.00
5.00,5.09,5.09,4.72
5.00,4.90,5.01,4.79
5.00,4.96,5.24,4.72
5.01,4.95,5.04,4.93
5.05,5.03,5.05,4.86
5.01,5.00,5.01,4.86
4.85,4.91,4.94,4.80
4.83,4.83,4.95,4.81
4.81,4.83,4.89,4.81
4.81,4.97,5.00,4.60
4.81,4.97,5.04,4.80
4.94,4.92,5.01,4.82
4.92,4.95,4.95,4.92
4.98,4.98,4.99,4.94
4.95,4.93,5.00,4.92
4.93,4.89,4.93,4.86
4.83,4.62,4.83,4.46
4.62,4.61,4.62,4.44
4.75,5.00,5.03,4.75
4.81,4.96,5.00,4.81
5.00,4.91,5.04,4.82
4.83,4.47,4.97,4.35
4.36,4.18,4.40,4.16
4.18,4.18,4.38,4.14
4.20,3.87,4.20,3.86
4.00,3.85,4.02,3.85
4.00,3.84,4.05,3.81
4.34,3.87,4.34,3.82
3.98,3.91,4.00,3.80
4.15,4.09,4.30,4.00
4.30,4.54,4.90,4.27
4.90,4.87,4.90,4.75
4.79,4.70,4.88,4.21
4.67,4.52,4.67,4.51
4.52,4.56,4.85,4.51
4.51,4.80,4.80,4.51
4.74,4.88,4.88,4.72
4.87,5.97,5.97,4.76
5.55,5.71,5.89,5.37
5.26,5.75,5.75,5.26
5.33,5.54,5.60,5.33
5.44,5.67,5.88,5.27
5.67,5.60,5.89,5.35
5.61,5.89,5.99,5.61
5.63,5.92,5.99,5.63
5.82,5.75,5.98,5.69
5.80,5.99,5.99,5.80
5.90,5.77,5.95,5.77
5.73,5.80,5.94,5.68
5.72,5.96,5.98,5.61
6.00,5.79,6.00,5.70
5.73,6.00,6.00,5.70
5.71,6.00,6.00,5.71
6.00,5.94,6.00,5.74
5.78,5.94,5.99,5.74
5.89,6.00,6.00,5.88
5.95,6.00,6.00,5.87
6.00,6.00,6.00,6.00
5.99,5.95,6.00,5.89
5.81,6.00,6.00,5.81
5.87,5.86,6.00,5.79
5.78,5.91,5.98,5.77
5.86,5.92,5.92,5.86
5.79,5.75,5.95,5.60
5.71,5.86,5.97,5.57
5.85,5.98,5.98,5.81
5.94,5.90,5.95,5.81
5.85,5.82,5.85,5.80
5.79,5.56,5.79,5.51
5.57,5.54,5.60,5.50
5.55,5.70,5.79,5.50
5.51,5.75,5.75,5.51
5.80,5.56,5.80,5.52
5.53,5.59,5.70,5.50
5.50,5.37,5.51,5.34
5.37,5.40,5.44,5.37
5.40,5.40,5.40,5.40
5.39,5.39,5.39,5.39
5.30,5.37,5.38,4.62
5.03,4.87,5.29,4.73
4.87,4.95,4.95,4.87
4.82,4.71,4.90,4.71
4.67,4.64,4.70,4.64
4.85,4.59,4.85,4.58
4.55,4.57,4.83,4.55
4.67,4.74,4.86,4.61
4.69,4.62,4.87,4.60
4.78,4.77,4.78,4.61
4.60,4.73,4.75,4.60
4.77,4.77,4.78,4.62
4.79,4.79,4.79,4.65
4.70,4.63,4.70,4.60
4.58,4.67,4.67,4.56
4.65,4.74,4.74,4.65
4.71,4.71,4.71,4.71
4.73,4.58,4.73,4.58
4.71,4.44,4.75,4.44
4.44,4.64,4.64,4.13
4.64,4.64,4.64,4.64
4.64,4.64,4.64,4.64
4.63,4.59,4.64,4.50
4.56,4.56,4.56,4.56
4.56,4.56,4.56,4.56
4.40,4.28,4.40,4.28
4.28,4.28,4.28,4.28
4.37,4.38,4.38,4.35
4.37,4.36,4.37,4.36
4.29,4.22,4.29,4.21
4.21,4.23,4.35,4.21
4.13,3.97,4.13,3.92
3.90,4.01,4.15,3.36
4.04,4.25,4.40,4.00
4.31,4.02,4.39,4.01
3.97,3.84,4.00,3.77
3.80,3.89,3.89,3.61
4.00,3.89,4.00,3.85
3.99,3.97,4.00,3.91
3.92,4.00,4.00,3.83
3.90,3.90,3.90,3.89
3.81,3.81,3.81,3.81
3.99,3.82,4.00,3.80
3.86,4.00,4.00,3.86
3.92,4.00,4.22,3.92
4.00,4.05,4.16,3.89
4.05,4.05,4.05,4.05
3.85,3.83,4.04,3.82
3.98,4.03,4.03,3.98
3.95,3.95,3.95,3.95
3.90,3.82,3.97,3.57
3.75,3.57,3.80,3.57
3.62,3.79,3.91,3.54
3.70,3.70,3.88,3.53
3.72,3.79,3.79,3.63
3.80,3.53,3.87,3.53
3.67,3.67,3.67,3.67
3.67,3.74,3.75,3.55
3.62,3.67,3.74,3.60
3.67,3.67,3.67,3.67
3.60,3.67,3.67,3.60
3.64,3.67,3.67,3.64
3.72,3.72,3.72,3.72
3.67,3.69,3.72,3.60
3.72,3.69,3.72,3.67
3.72,3.72,3.72,3.72
3.75,3.80,3.80,3.73
3.80,3.80,3.80,3.76
3.76,3.80,3.80,3.76
3.79,3.99,3.99,3.75
4.00,3.86,4.00,3.85
3.81,4.00,4.00,3.70
3.85,3.99,4.00,3.85
3.85,4.00,4.00,3.85
3.99,3.93,4.10,3.87
3.97,4.02,4.15,3.97
3.92,3.85,4.05,3.85
3.92,4.08,4.10,3.86
3.90,4.01,4.08,3.90
3.74,4.05,4.08,3.74
3.96,4.07,4.07,3.96
3.77,3.77,3.77,3.77
3.77,3.97,3.97,3.76
3.97,3.93,4.15,3.83
4.04,4.07,4.08,4.04
3.89,4.01,4.05,3.88
3.91,4.05,4.05,3.83
4.04,4.05,4.05,4.00
4.04,3.91,4.04,3.91
3.95,4.05,4.05,3.95
4.05,4.01,4.05,3.98
4.04,4.05,4.05,3.91
3.94,4.04,4.05,3.94
3.92,3.93,3.99,3.91
3.91,3.89,3.92,3.83
3.87,3.87,3.87,3.87
3.82,3.79,3.84,3.71
3.71,3.79,3.79,3.71
3.72,3.84,3.84,3.72
3.84,3.84,3.84,3.84
3.99,3.92,3.99,3.92
3.92,3.92,3.92,3.92
3.72,3.84,3.92,3.72
3.93,3.88,4.00,3.77
3.88,3.88,3.88,3.88
3.80,3.72,3.80,3.72
3.74,3.94,4.00,3.74
3.94,3.94,3.94,3.94
3.73,3.73,3.73,3.73
3.71,3.72,3.81,3.71
3.72,3.72,3.72,3.72
3.73,3.71,3.87,3.71
3.93,3.95,3.99,3.93
3.86,4.00,4.00,3.86
3.88,3.89,3.92,3.88
3.71,3.73,3.73,3.71
3.61,3.58,3.85,3.52
3.75,3.75,3.75,3.73
3.59,3.58,3.69,3.58
3.52,3.68,3.75,3.52
3.53,3.53,3.53,3.53
3.53,3.49,3.59,3.49
3.40,3.45,3.50,3.40
3.75,3.42,3.75,3.35
3.44,3.73,3.73,3.38
3.46,3.44,3.75,3.44
3.50,3.62,3.65,3.50
3.46,3.52,3.52,3.46
3.63,3.49,3.65,3.49
3.54,3.70,3.70,3.54
3.50,3.50,3.50,3.50
3.72,3.60,3.72,3.60
3.72,3.73,3.73,3.59
3.54,3.73,3.73,3.52
3.75,3.71,3.75,3.55
3.61,3.52,3.74,3.52
3.55,3.70,3.74,3.53
3.56,3.56,3.56,3.56
3.71,3.60,3.75,3.60
3.60,3.53,3.74,3.53
3.52,3.60,3.60,3.52
3.48,3.55,3.55,3.47
3.50,3.50,3.50,3.50
3.58,3.47,3.58,3.47
3.47,3.43,3.47,3.42
3.39,3.40,3.47,3.39
3.37,3.54,3.57,3.37
3.57,3.53,3.57,3.53
3.44,3.44,3.44,3.44
3.42,3.35,3.50,3.30
3.31,3.25,3.52,3.25
2.70,2.55,3.04,2.19
2.50,2.45,2.70,2.19
2.51,2.31,2.51,2.31
2.47,2.30,2.47,2.25
2.32,2.53,2.56,2.32
2.44,2.39,2.47,2.39
2.45,2.37,2.62,2.36
2.37,2.30,2.45,2.30
2.16,2.20,2.46,2.16
2.37,1.88,2.50,1.87
2.01,1.96,2.06,1.85
2.20,2.12,2.23,2.10
2.15,2.07,2.15,1.75
1.85,2.20,2.25,1.84
2.20,2.15,2.20,1.90
2.15,2.10,2.16,2.10
2.20,2.27,2.30,2.14
2.00,1.88,2.13,1.88
1.87,2.07,2.10,1.87
2.07,2.17,2.22,1.90
2.16,2.25,2.37,2.06
2.25,2.25,2.25,2.25
2.03,2.05,2.05,2.03
2.17,2.16,2.22,2.01
2.05,2.08,2.17,2.01
2.08,2.08,2.08,2.08
2.17,2.00,2.17,2.00
2.00,1.99,2.00,1.90
2.45,1.93,2.45,1.85
2.20,2.04,2.20,1.90
2.00,2.05,2.23,1.98
2.00,1.90,2.02,1.90
2.02,1.99,2.02,1.91
2.11,1.97,2.11,1.93
2.06,2.17,2.18,1.99
2.04,2.04,2.09,2.00
2.06,2.11,2.11,2.04
2.11,2.11,2.11,2.11
2.10,2.08,2.10,2.00
2.00,1.99,2.06,1.93
1.91,1.85,1.98,1.85
1.85,1.90,2.00,1.80
1.94,1.91,1.98,1.90
1.99,2.00,2.06,1.81
1.90,1.98,2.05,1.84
1.92,2.00,2.00,1.90
1.95,1.99,2.06,1.86
1.91,1.75,1.91,1.69
1.90,1.96,1.96,1.65
1.96,1.81,1.96,1.81
1.72,1.79,1.95,1.72
1.86,1.85,1.86,1.76
1.76,1.89,2.06,1.76
1.81,1.88,1.89,1.75
1.82,1.75,1.87,1.75
1.81,1.71,1.81,1.69
1.70,1.68,1.70,1.68
1.70,1.42,1.70,1.34
1.42,1.39,1.67,1.38
1.33,1.30,1.43,1.24
1.36,1.31,1.36,1.27
1.30,1.32,1.35,1.30
1.36,1.34,1.38,1.30
1.41,1.40,1.48,1.40
1.35,1.37,1.43,1.31
1.31,1.38,1.39,1.31
1.37,1.31,1.39,1.30
1.37,1.34,1.38,1.31
1.50,1.33,1.50,1.33
1.30,1.30,1.32,1.30
1.30,1.24,1.31,1.20
1.30,1.26,1.30,1.26
1.20,1.25,1.29,1.20
1.31,1.30,1.31,1.30
1.30,1.19,1.32,1.16
1.25,1.20,1.25,1.20
1.20,1.15,1.20,1.15
1.20,1.19,1.20,1.19
1.24,1.20,1.24,1.20
1.15,1.15,1.19,1.15
1.20,1.20,1.20,1.19
1.23,1.10,1.23,1.10
1.14,1.14,1.16,1.14
1.11,1.14,1.16,1.11
1.14,1.14,1.14,1.14
1.10,1.10,1.10,1.10
1.10,1.06,1.10,1.02
1.01,0.90,1.01,0.87
1.00,0.95,1.04,0.95
0.98,0.91,0.98,0.90
0.99,0.99,1.00,0.92
0.99,1.15,1.34,0.99
1.25,1.20,1.28,1.05
1.36,1.30,1.39,1.25
1.85,1.68,2.00,1.42
1.98,1.68,1.98,1.60
1.55,1.58,1.63,1.55
1.57,1.64,1.64,1.56
1.64,1.76,2.00,1.64
1.77,1.76,1.87,1.68
1.80,1.70,1.80,1.70
1.87,1.75,1.94,1.68
1.70,1.77,1.94,1.70
1.76,1.78,1.84,1.73
1.85,2.05,2.07,1.80
2.03,1.97,2.09,1.96
2.00,1.97,2.00,1.92
2.05,1.98,2.05,1.93
1.98,2.04,2.04,1.95
2.07,2.20,2.37,1.95
2.30,2.40,2.48,2.23
2.06,2.41,2.55,2.03
2.39,2.74,2.77,2.36
2.78,2.98,3.05,2.78
3.00,2.85,3.00,2.84
2.77,2.82,2.83,2.77
2.77,2.83,2.85,2.45
2.79,2.82,2.85,2.79
2.75,2.81,2.81,2.57
2.80,2.63,2.80,2.61
2.77,2.46,2.99,2.37
2.40,2.46,2.64,2.40
2.39,2.62,2.64,2.24
2.50,2.44,2.61,2.40
2.65,2.56,2.65,2.52
2.56,2.53,2.65,2.34
2.63,2.57,2.64,2.51
2.64,2.63,2.66,2.53
2.63,2.63,2.72,2.58
2.72,2.59,2.72,2.55
2.55,2.60,2.60,2.50
2.68,2.40,2.68,1.86
2.51,2.47,2.62,2.47
2.48,2.59,2.63,2.48
2.54,2.67,2.70,2.42
2.59,2.68,2.76,2.59
2.74,2.72,2.77,2.54
2.71,2.67,2.78,2.64
2.63,2.64,2.77,2.60
2.66,2.64,2.67,2.60
2.63,2.54,2.78,2.45
2.63,2.54,2.63,2.45
2.55,2.60,2.60,2.52
2.49,2.58,2.60,2.41
2.60,2.52,2.69,2.52
2.66,2.36,2.66,2.36
2.54,2.42,2.54,2.35
2.51,2.50,2.51,2.45
2.42,2.49,2.50,2.42
2.61,2.43,2.61,2.39
2.35,2.55,2.55,2.35
2.64,2.59,2.64,2.50
2.50,2.57,2.57,2.50
2.61,2.59,2.70,2.58
2.64,2.56,2.75,2.54
2.44,2.44,2.52,2.44
2.43,2.45,2.71,2.35
2.44,2.36,2.44,2.35
2.65,2.57,2.65,2.35
2.49,2.48,2.72,2.35
2.41,2.34,2.69,2.31
2.37,2.37,2.37,2.37
2.20,2.17,2.26,2.07
2.29,2.03,2.29,2.03
2.00,2.24,2.35,2.00
2.26,2.29,2.36,2.16
2.23,2.16,2.36,2.15
2.11,2.25,2.25,2.11
2.13,2.14,2.14,2.00
2.09,2.23,2.25,2.01
2.16,2.22,2.22,2.16
2.18,2.16,2.18,2.16
2.23,2.01,2.23,2.01
2.07,2.02,2.21,2.02
2.01,2.10,2.22,2.01
2.03,1.97,2.09,1.96
1.96,1.87,1.96,1.76
1.96,1.83,1.96,1.81
1.81,1.80,1.88,1.80
1.80,1.78,1.80,1.63
1.73,1.88,1.89,1.73
1.80,1.72,1.87,1.72
1.72,1.76,1.76,1.72
1.71,1.77,1.77,1.71
1.77,1.69,1.88,1.64
1.65,1.74,1.81,1.64
1.73,1.63,1.73,1.60
1.63,1.51,1.63,1.51
1.54,1.60,1.60,1.54
1.68,1.64,1.75,1.60
1.70,1.64,1.74,1.64
1.62,1.59,1.64,1.53
1.53,1.57,1.58,1.53
1.52,1.55,1.56,1.50
1.52,1.52,1.54,1.50
1.62,1.68,1.69,1.62
1.70,1.80,1.93,1.66
1.80,1.74,1.80,1.73
1.69,1.82,1.85,1.69
1.81,1.83,1.85,1.81
1.81,1.73,1.81,1.72
1.65,1.51,1.65,1.51
1.61,1.55,1.61,1.50
1.47,1.59,1.59,1.45
1.49,1.53,1.55,1.49
1.46,1.72,2.25,1.32
1.75,1.63,1.75,1.58
1.66,1.75,1.77,1.57
1.74,1.95,2.30,1.74
1.91,1.91,1.93,1.85
1.88,1.88,1.96,1.86
1.87,1.78,1.87,1.66
1.78,1.78,1.78,1.78
1.63,1.73,1.85,1.63
1.73,1.84,1.84,1.73
1.80,1.71,1.84,1.71
1.77,1.72,1.82,1.72
1.73,1.72,1.80,1.72
1.72,1.72,1.72,1.72
1.72,1.77,1.78,1.72
1.77,1.77,1.77,1.77
1.72,1.71,1.72,1.62
1.74,1.71,1.74,1.71
1.69,1.89,1.97,1.69
1.92,1.86,1.92,1.86
1.75,1.85,1.95,1.75
1.85,1.81,1.95,1.80
1.82,1.70,1.83,1.65
1.67,1.70,1.75,1.60
1.66,1.66,1.66,1.66
1.66,1.66,1.66,1.66
1.76,1.61,1.76,1.55
1.72,1.71,1.73,1.70
1.71,1.71,1.71,1.71
1.71,1.71,1.71,1.71
1.71,1.71,1.71,1.71
1.59,1.59,1.59,1.59
1.59,1.63,1.63,1.53
1.63,1.71,1.74,1.55
1.70,1.70,1.74,1.66
1.61,1.85,1.94,1.61
1.84,1.74,1.95,1.70
1.80,1.71,1.92,1.61
1.91,1.70,1.91,1.70
1.74,1.73,1.75,1.69
1.75,1.73,1.88,1.68
1.79,1.65,1.84,1.65
1.60,1.55,1.70,1.55
1.61,1.61,1.62,1.55
1.54,1.59,1.63,1.54
1.58,1.52,1.59,1.50
1.50,1.50,1.54,1.50
1.57,1.51,1.57,1.51
1.50,1.50,1.50,1.50
1.50,1.51,1.51,1.50
1.45,1.40,1.46,1.31
1.36,1.32,1.36,1.21
1.39,1.24,1.40,1.23
1.25,1.21,1.38,1.21
1.20,1.16,1.27,1.15
1.19,1.25,1.27,1.15
1.24,1.21,1.24,1.21
1.15,1.22,1.26,1.15
1.22,1.22,1.22,1.22
1.20,1.20,1.21,1.20
1.20,1.20,1.23,1.20
1.10,1.20,1.25,1.10
1.20,1.21,1.21,1.20
1.22,1.24,1.31,1.21
1.31,1.33,1.33,1.30
1.33,1.22,1.33,1.13
1.23,1.34,1.34,1.23
1.26,1.16,1.34,1.16
1.16,1.16,1.16,1.16
1.20,1.32,1.33,1.20
1.20,1.23,1.24,1.20
1.20,1.24,1.27,1.18
1.28,1.41,1.61,1.27
1.36,1.40,1.43,1.33
1.30,1.31,1.32,1.30
1.41,1.64,1.69,1.32
1.69,1.81,1.94,1.65
1.86,1.71,1.94,1.69
1.75,1.44,1.75,1.44
1.44,1.47,1.54,1.39
1.65,1.52,1.65,1.45
1.51,1.58,1.80,1.45
1.56,1.60,1.67,1.52
1.70,2.51,2.88,1.65
2.55,2.93,3.35,2.35
2.67,2.62,2.80,2.35
