ROP,Roper Technologies,NASDAQ
53.02,52.54,53.24,52.38
52.59,51.87,52.59,51.62
51.66,52.27,52.30,51.43
51.39,52.07,52.24,51.11
52.05,52.44,52.51,51.70
52.66,52.66,53.07,52.30
52.24,52.62,52.80,52.24
52.59,52.43,52.71,51.86
52.14,52.50,52.58,51.95
52.40,51.71,52.45,51.48
53.33,53.84,54.18,53.22
53.28,53.30,53.94,52.42
53.03,52.26,53.32,52.24
51.90,51.11,52.23,51.05
51.57,51.26,51.84,51.00
51.27,51.00,51.93,50.95
50.82,50.67,51.03,49.84
50.68,50.35,50.83,49.90
50.61,50.08,51.27,50.03
50.31,50.49,50.80,50.23
50.71,51.39,51.48,50.64
53.98,53.60,54.20,53.06
52.99,53.08,53.92,52.74
52.99,52.52,53.29,51.24
52.45,51.80,52.60,51.72
52.20,52.24,52.91,51.81
51.99,51.75,52.33,51.01
51.53,52.96,53.03,51.12
52.10,52.90,52.96,51.79
53.06,53.84,53.90,53.05
54.35,53.91,54.42,53.61
53.72,54.84,54.93,53.72
54.72,55.52,56.11,54.61
55.59,55.20,56.03,54.99
55.13,54.48,55.22,54.17
54.53,55.06,55.11,54.44
54.14,54.82,54.95,53.70
54.86,55.44,55.63,54.13
55.59,55.70,55.96,55.41
55.85,55.69,56.10,55.57
56.02,55.76,56.29,55.72
55.98,55.70,55.98,55.41
56.03,56.40,56.50,55.78
56.40,56.77,56.97,56.16
56.50,56.68,57.00,56.36
56.55,56.94,57.08,56.52
56.73,57.66,57.67,56.37
57.92,58.05,58.06,57.25
58.09,57.25,58.24,56.99
57.41,57.91,57.98,57.31
57.95,58.34,58.46,57.91
58.23,57.80,58.42,57.64
57.26,57.26,58.22,57.12
57.10,57.49,57.85,56.96
57.50,57.92,57.99,57.30
57.83,57.30,58.06,57.20
57.59,56.85,57.64,56.75
56.94,56.87,57.46,56.66
57.01,56.96,57.09,56.30
57.04,57.75,58.26,56.87
57.48,57.84,58.25,57.48
58.04,58.60,58.60,58.04
58.87,58.97,59.29,58.69
58.66,59.47,59.52,58.40
59.15,59.52,59.85,58.90
59.47,60.05,60.23,59.21
60.10,60.38,60.47,59.83
60.52,60.87,60.98,60.40
60.69,60.97,61.04,60.36
61.13,61.41,61.42,60.69
61.15,61.68,61.71,60.98
61.24,60.80,61.50,60.36
60.68,60.65,60.88,59.96
61.05,61.29,61.42,60.85
61.21,61.49,61.61,60.96
61.18,62.46,62.63,60.80
62.17,63.91,63.95,61.88
63.16,61.03,63.50,60.71
61.04,61.02,62.71,60.86
61.26,60.56,61.46,60.33
60.88,62.41,62.60,60.88
62.48,61.02,62.84,60.92
61.15,62.35,62.38,61.15
61.48,60.53,61.48,60.12
60.06,59.98,60.32,59.53
59.81,57.98,60.56,55.08
57.72,57.48,59.00,56.71
59.90,61.08,61.30,59.22
60.37,60.65,61.30,60.19
60.79,61.94,61.99,60.79
61.68,61.58,62.25,61.43
61.26,60.30,61.33,59.64
60.45,60.75,61.37,59.85
61.30,60.16,61.68,60.10
59.84,59.12,60.49,57.98
57.59,56.85,58.23,56.80
56.92,58.04,58.29,56.05
57.97,57.29,58.08,57.26
55.81,56.74,56.74,54.91
56.87,56.90,57.91,56.72
57.91,58.87,58.87,57.74
58.75,58.02,58.89,57.51
57.38,56.62,57.98,56.62
56.78,58.42,58.47,56.41
58.41,59.19,59.27,58.41
58.09,56.52,58.45,56.32
56.64,55.47,56.80,55.40
55.43,55.95,56.06,54.88
56.33,56.10,57.07,55.88
57.13,58.10,58.13,57.04
57.45,58.28,58.35,57.41
58.53,58.86,59.45,58.53
59.10,60.44,60.52,58.97
59.97,60.18,60.55,59.93
60.25,60.42,60.49,59.61
59.82,60.62,60.86,59.82
61.34,60.30,61.47,60.05
60.43,59.05,60.97,58.97
59.28,59.21,59.64,58.43
58.64,57.94,59.24,57.84
57.97,57.97,58.17,57.20
58.18,57.85,58.49,57.45
57.00,55.84,57.12,55.48
55.58,55.96,56.97,55.42
55.90,55.07,56.02,54.25
55.23,54.78,55.44,54.37
55.39,54.79,55.82,54.21
54.72,56.11,56.11,54.58
56.52,56.76,56.85,55.99
56.88,56.90,57.12,56.52
56.62,56.58,56.90,56.10
57.22,57.88,58.14,57.06
57.58,58.30,58.41,57.51
58.19,58.49,58.61,57.22
58.16,56.93,58.16,56.76
57.03,57.21,57.33,56.47
56.64,58.15,58.27,56.45
58.64,58.32,58.93,58.03
59.17,60.12,60.36,59.00
60.08,62.01,62.31,59.96
62.14,63.49,65.17,62.02
64.22,62.83,65.77,62.69
62.77,62.12,62.92,61.83
62.70,62.08,62.75,61.41
61.28,62.50,62.83,60.92
63.29,63.02,63.51,62.72
62.97,63.50,63.94,62.54
63.49,63.58,64.00,63.32
63.07,63.43,63.85,63.06
62.73,63.13,63.31,62.21
63.52,63.73,63.87,63.22
63.27,62.86,63.33,62.40
61.75,60.50,61.75,60.22
59.49,60.15,60.44,59.34
59.86,59.42,59.98,59.28
59.03,59.80,60.05,58.71
60.28,60.97,61.25,60.03
60.82,60.83,61.30,60.31
60.39,59.55,60.62,59.25
58.98,59.46,59.54,58.54
59.85,59.28,60.42,59.18
