TDY,Teledyne Technologies Incorporated Common Stock,NASDAQ
38.70,39.50,39.75,38.66
39.58,39.30,39.67,39.01
39.28,39.37,39.75,39.15
39.42,39.88,40.08,38.62
39.69,40.30,40.38,39.68
40.38,40.96,41.05,40.06
40.61,41.09,41.19,40.58
41.33,42.10,42.25,41.12
41.99,42.52,42.69,41.92
42.58,41.47,42.87,41.14
41.41,42.09,42.40,40.52
41.87,41.64,41.87,41.13
41.58,40.12,42.12,40.09
40.01,39.45,40.66,39.20
39.56,39.91,40.01,38.74
39.68,39.24,39.87,39.02
39.00,39.81,39.85,38.75
38.75,38.51,38.82,38.09
38.53,37.26,38.65,37.26
37.31,37.48,37.48,36.68
37.47,37.59,38.11,37.32
37.48,37.49,37.67,37.04
37.21,35.98,37.21,35.93
35.96,36.44,36.55,35.64
36.30,36.22,36.55,35.85
36.65,36.70,36.91,36.22
36.65,36.92,36.94,36.03
36.91,37.31,37.32,36.33
36.83,37.48,37.50,36.60
37.91,37.81,37.91,37.33
37.98,37.87,38.14,37.72
37.88,38.47,38.47,37.75
38.40,38.44,38.85,38.32
38.46,38.27,38.73,38.00
38.30,37.67,38.31,37.64
37.75,38.11,38.56,37.75
37.50,38.03,38.03,37.21
38.02,37.67,38.04,37.46
37.88,38.65,38.81,37.53
38.70,39.19,39.24,38.61
39.38,39.55,39.95,39.29
39.75,40.15,40.20,39.61
40.29,40.86,41.13,40.18
40.79,40.65,40.98,40.55
40.52,40.82,41.32,40.50
40.70,41.25,41.50,40.70
41.00,41.42,41.50,41.00
41.70,41.39,41.70,40.83
41.20,41.41,41.56,41.18
41.47,41.72,41.73,41.16
41.89,41.81,42.04,41.72
41.65,41.74,42.11,41.62
41.92,41.92,42.33,41.64
41.67,41.90,42.16,41.38
41.83,42.21,42.44,41.68
42.16,41.75,42.25,41.59
41.95,41.22,42.03,41.20
41.27,41.26,41.72,41.00
41.49,41.41,41.76,41.16
41.51,41.86,41.95,41.31
41.63,41.27,42.05,41.25
41.49,41.07,41.96,40.66
41.17,41.54,41.55,41.00
41.40,41.40,41.67,41.27
41.24,41.30,41.59,41.08
41.06,40.69,41.11,40.60
40.67,40.97,40.98,40.08
40.97,41.50,41.58,40.90
41.50,41.44,41.50,40.97
41.64,41.95,42.00,41.27
41.90,41.90,42.01,41.77
41.92,42.03,42.14,41.65
41.81,42.34,42.41,41.75
42.51,42.75,42.89,42.25
42.94,43.32,43.51,42.86
42.74,43.37,43.39,42.73
43.37,43.88,43.90,42.81
43.95,43.63,44.42,43.54
43.38,42.56,43.63,42.51
42.74,42.90,43.17,42.40
42.52,44.11,44.12,42.52
44.20,43.60,44.47,43.40
43.96,44.10,44.57,43.77
43.35,43.29,43.73,42.87
43.22,43.86,44.21,42.98
43.69,41.92,44.00,39.00
41.59,39.77,41.83,39.53
41.01,42.23,42.25,41.01
41.81,42.61,43.37,41.42
42.61,43.49,43.56,42.42
43.39,43.41,43.81,43.01
42.91,42.31,43.50,41.72
42.49,42.58,42.97,41.29
43.05,41.96,43.31,41.88
41.90,41.67,42.17,41.00
40.84,39.21,40.84,39.18
38.74,39.46,39.59,38.40
39.46,38.67,39.68,38.65
37.69,38.50,38.65,37.17
38.76,38.25,39.42,38.16
39.22,39.94,39.97,38.67
39.92,39.31,39.92,38.85
38.97,38.33,39.71,38.30
38.48,39.67,39.68,38.03
39.55,40.06,40.28,39.55
39.05,38.77,39.61,38.54
38.95,37.63,39.17,37.53
37.66,36.68,37.71,36.19
37.10,36.90,37.39,36.65
