IMNP,Immune Pharmaceuticals Inc. - Common Stock,NASDAQ
0.58,0.62,0.64,0.58
0.59,0.63,0.64,0.59
0.62,0.63,0.64,0.61
0.64,0.64,0.67,0.61
0.64,0.64,0.67,0.64
0.89,0.85,0.91,0.78
0.86,0.81,0.86,0.80
0.85,0.83,0.86,0.82
0.85,0.82,0.85,0.81
2.40,2.35,2.40,2.29
2.26,2.51,2.65,2.26
2.51,2.49,2.51,2.42
2.27,2.35,2.42,2.27
2.28,2.24,2.31,2.17
2.17,2.18,2.21,2.15
2.23,2.25,2.29,2.22
2.50,2.38,2.50,2.27
2.39,2.41,2.41,2.32
2.31,2.37,2.37,2.17
2.34,2.38,2.39,2.34
2.37,2.40,2.40,2.35
2.32,2.34,2.36,2.32
2.28,2.27,2.32,2.26
2.23,2.22,2.23,2.20
2.21,2.15,2.21,2.10
2.12,2.06,2.12,2.02
2.06,2.06,2.06,2.03
2.02,2.11,2.12,2.00
2.14,2.33,2.40,2.06
2.45,2.28,2.45,2.09
2.25,2.26,2.28,2.14
2.31,2.23,2.31,2.15
2.18,2.16,2.18,2.09
2.22,2.15,2.22,2.14
2.14,2.16,2.16,2.12
2.12,2.09,2.13,2.08
1.96,2.00,2.06,1.95
2.00,1.99,2.10,1.99
1.98,1.97,2.01,1.95
2.01,2.01,2.03,1.99
2.03,2.00,2.03,1.99
2.00,2.00,2.02,2.00
2.05,2.02,2.06,2.01
2.04,2.04,2.07,2.03
2.06,2.00,2.06,2.00
2.06,2.03,2.06,2.00
2.02,2.02,2.03,1.99
2.06,2.00,2.06,2.00
1.98,2.00,2.01,1.93
1.97,2.03,2.05,1.97
2.05,2.01,2.05,2.00
2.04,2.03,2.04,2.00
2.12,2.12,2.19,2.04
2.08,2.05,2.10,2.04
2.08,2.04,2.08,2.00
2.04,2.01,2.05,2.01
2.00,2.03,2.04,1.98
2.05,2.07,2.07,1.99
2.04,2.02,2.08,2.02
2.02,2.06,2.06,1.99
2.08,2.12,2.12,2.02
2.10,2.05,2.10,2.00
2.09,2.09,2.12,2.01
2.09,2.04,2.11,2.04
2.02,2.03,2.05,2.02
2.03,2.03,2.04,2.00
2.07,2.06,2.07,2.00
2.09,2.06,2.09,2.03
2.02,2.09,2.12,2.02
2.06,2.09,2.09,2.03
2.02,2.09,2.09,2.01
2.07,2.03,2.10,2.03
2.11,2.06,2.12,2.03
2.05,2.08,2.12,2.05
2.07,2.05,2.09,2.02
2.02,2.02,2.03,2.00
2.07,2.04,2.07,2.01
2.02,2.06,2.07,2.02
2.02,1.98,2.02,1.92
1.95,1.93,1.95,1.85
1.91,1.90,1.98,1.87
1.86,1.93,1.95,1.85
1.90,1.93,2.02,1.88
1.97,2.02,2.09,1.87
1.94,1.81,1.94,1.79
1.81,1.64,1.81,1.53
1.54,1.46,1.60,1.45
1.60,1.57,1.62,1.57
1.57,1.55,1.59,1.55
1.63,1.63,1.69,1.58
1.72,1.64,1.72,1.60
1.59,1.58,1.65,1.53
1.55,1.50,1.56,1.49
1.64,1.68,1.69,1.64
1.63,1.61,1.63,1.54
1.52,1.52,1.60,1.49
1.47,1.51,1.59,1.47
1.53,1.52,1.56,1.46
1.50,1.47,1.50,1.42
1.48,1.41,1.50,1.40
1.49,1.50,1.51,1.44
1.45,1.52,1.52,1.45
1.49,1.53,1.56,1.49
1.54,1.53,1.55,1.52
1.53,1.51,1.53,1.50
1.52,1.44,1.52,1.44
1.46,1.46,1.47,1.41
1.46,1.43,1.46,1.40
1.40,1.44,1.44,1.40
1.48,1.46,1.48,1.41
1.48,1.53,1.53,1.44
1.47,1.54,1.55,1.46
1.55,1.54,1.55,1.48
1.54,1.54,1.54,1.54
1.54,1.48,1.54,1.46
1.46,1.54,1.54,1.46
1.50,1.53,1.54,1.45
1.50,1.51,1.51,1.50
1.48,1.48,1.48,1.40
1.44,1.48,1.48,1.44
1.45,1.57,1.74,1.42
1.00,1.00,1.02,0.98
1.01,1.02,1.02,0.95
1.02,1.02,1.05,0.98
1.02,0.95,1.02,0.90
0.99,0.96,1.01,0.95
1.00,0.98,1.01,0.97
0.99,0.99,1.01,0.99
1.00,0.98,1.01,0.98
1.00,0.96,1.00,0.96
0.97,0.94,0.99,0.92
0.95,0.96,0.99,0.94
0.95,0.96,0.99,0.95
1.00,1.00,1.01,0.99
1.00,0.97,1.00,0.93
1.00,0.98,1.01,0.97
0.97,0.98,1.00,0.97
1.00,0.99,1.00,0.96
0.99,1.00,1.00,0.98
0.99,0.99,1.00,0.99
1.00,0.95,1.01,0.95
1.00,0.98,1.01,0.98
0.99,0.98,1.01,0.98
1.01,1.01,1.02,0.98
1.00,1.01,1.03,1.00
1.04,1.02,1.05,1.01
1.02,1.06,1.09,1.02
1.08,1.05,1.08,1.01
1.05,0.97,1.05,0.95
1.02,0.99,1.03,0.98
0.99,1.02,1.03,0.99
1.04,1.00,1.04,1.00
1.00,0.99,1.01,0.97
1.02,1.08,1.09,0.97
1.10,1.08,1.15,1.02
1.06,1.03,1.07,1.03
1.03,1.04,1.05,1.01
1.04,1.03,1.05,1.01
1.08,1.07,1.12,1.04
1.08,1.10,1.12,1.07
0.69,0.68,0.69,0.60
0.63,0.59,0.65,0.59
0.60,0.60,0.60,0.55
0.61,0.60,0.62,0.55
0.61,0.58,0.61,0.57
0.61,0.55,0.61,0.54
0.52,0.53,0.57,0.52
0.57,0.57,0.60,0.55
0.60,0.58,0.60,0.55
0.60,0.58,0.60,0.55
0.58,0.55,0.58,0.55
0.55,0.57,0.60,0.55
0.60,0.59,0.61,0.56
0.61,0.58,0.64,0.57
0.60,0.60,0.63,0.60
0.61,0.60,0.61,0.57
0.61,0.61,0.62,0.59
0.62,0.61,0.62,0.59
0.61,0.56,0.61,0.56
0.57,0.60,0.60,0.57
0.61,0.60,0.61,0.58
0.59,0.58,0.61,0.57
0.60,0.56,0.60,0.56
0.60,0.60,0.61,0.58
0.57,0.63,0.63,0.57
0.60,0.61,0.64,0.60
0.60,0.63,0.63,0.60
0.60,0.61,0.64,0.60
0.61,0.60,0.61,0.59
0.60,0.68,0.68,0.60
0.68,0.64,0.68,0.63
0.61,0.60,0.63,0.60
0.61,0.61,0.64,0.61
0.60,0.64,0.65,0.60
0.60,0.61,0.63,0.60
0.61,0.61,0.61,0.59
0.61,0.60,0.64,0.60
0.64,0.60,0.64,0.59
0.60,0.61,0.65,0.59
0.63,0.61,0.63,0.60
0.60,0.59,0.62,0.59
0.60,0.61,0.62,0.59
0.60,0.60,0.61,0.60
0.60,0.59,0.60,0.59
0.59,0.60,0.64,0.58
0.60,0.61,0.61,0.58
0.58,0.56,0.58,0.56
0.61,0.58,0.65,0.56
0.57,0.57,0.59,0.57
0.58,0.56,0.59,0.56
0.56,0.58,0.70,0.56
0.56,0.58,0.59,0.56
0.57,0.56,0.58,0.56
0.60,0.60,0.60,0.56
0.60,0.54,0.60,0.53
0.54,0.50,0.55,0.50
0.53,0.51,0.54,0.49
