IBM,International Business Machines Corporation Common Stock,NASDAQ
131.18,132.45,132.97,130.85
131.68,130.85,131.85,130.10
130.68,130.00,131.49,129.81
129.87,129.55,130.25,128.91
129.07,130.85,130.92,129.05
131.06,129.48,131.06,128.67
129.03,130.51,131.33,129.00
130.39,130.23,131.12,129.16
130.55,132.31,132.71,129.91
132.03,131.78,132.89,131.09
131.63,134.14,134.25,131.56
130.46,130.25,131.15,128.95
130.47,129.00,130.69,128.06
128.67,125.50,128.89,125.37
126.33,126.12,126.89,125.71
125.92,125.75,127.75,125.41
125.82,126.33,126.96,125.04
127.03,123.75,127.04,123.05
124.32,122.39,125.00,121.90
123.23,124.67,124.95,122.78
124.79,125.53,125.81,123.95
125.16,125.66,126.07,125.07
125.19,123.00,125.44,122.90
123.04,123.52,123.72,121.83
123.15,121.88,123.22,121.74
122.65,123.21,124.20,122.46
122.94,122.81,123.65,122.21
122.58,123.73,124.20,122.06
123.01,124.00,124.05,121.61
124.91,125.23,125.23,124.11
125.50,126.33,126.53,125.21
126.13,127.81,128.00,126.00
127.35,127.19,128.06,126.87
127.30,126.85,127.43,126.31
126.48,126.46,127.66,126.00
127.02,127.59,128.27,126.81
126.05,127.07,127.24,125.57
127.01,127.16,128.00,126.74
127.50,128.57,128.83,127.47
128.70,127.42,129.09,127.13
127.73,126.88,128.02,126.68
127.07,126.72,127.07,125.47
127.17,127.25,127.55,127.04
127.06,126.41,127.50,126.36
126.27,125.55,126.29,125.20
125.99,125.62,126.36,125.21
125.71,127.60,127.81,125.71
127.91,127.94,128.37,127.51
127.40,127.83,128.34,127.28
128.00,128.67,128.88,127.45
128.90,127.76,128.93,127.36
127.46,128.38,128.75,127.45
127.71,127.71,128.93,126.78
127.11,127.98,128.39,126.57
127.94,129.37,129.43,127.64
128.63,128.53,129.95,128.47
129.36,129.24,130.73,129.13
128.93,129.26,129.78,128.72
129.30,128.59,129.95,128.26
128.90,128.77,129.13,128.25
128.23,128.25,128.75,127.65
128.95,128.25,129.31,127.55
128.38,129.35,129.80,128.14
128.68,128.93,129.30,128.05
128.53,128.48,129.27,128.01
128.04,127.61,128.23,127.20
127.88,128.76,128.87,127.12
128.57,128.36,128.96,128.24
128.26,129.03,129.43,127.84
129.73,131.25,131.42,129.46
130.53,130.89,131.14,130.19
130.68,130.63,132.17,130.25
130.38,132.23,132.28,130.38
129.20,129.69,130.33,128.26
129.87,128.99,130.27,128.50
128.64,129.13,129.36,127.77
129.08,129.99,130.10,128.71
129.76,130.73,131.04,129.54
129.90,128.82,132.00,128.71
129.40,130.10,130.47,129.03
130.55,130.46,131.21,130.15
130.43,129.00,130.64,128.84
129.39,129.60,130.14,128.80
128.89,128.12,128.93,126.57
127.12,127.46,128.23,126.87
126.29,123.92,127.93,116.00
123.36,122.10,124.39,120.00
126.27,126.27,126.67,125.06
125.21,126.89,128.42,125.15
127.16,132.68,132.85,127.01
130.93,131.48,133.10,130.85
131.06,131.19,131.67,129.41
130.68,130.44,131.76,128.70
131.26,129.95,131.99,129.90
129.37,128.86,130.50,127.82
127.22,123.80,127.96,123.68
122.16,125.42,125.61,121.40
125.26,124.45,126.02,124.04
121.47,124.52,124.95,121.47
124.89,123.23,125.94,123.00
125.05,126.39,126.39,124.77
125.96,125.26,126.28,124.29
124.69,124.34,126.88,124.20
124.85,127.41,127.50,124.35
127.75,127.96,128.22,126.46
126.37,125.28,127.10,124.67
125.57,124.13,125.86,124.13
124.26,123.72,124.46,122.82
124.83,123.90,125.84,123.58
125.99,127.68,128.22,125.80
126.73,128.45,128.80,126.44
128.50,128.50,129.97,128.49
128.93,129.79,129.95,128.37
128.34,130.35,130.68,128.34
130.07,130.98,131.03,129.86
131.02,130.15,131.25,130.13
131.42,130.65,131.94,130.22
130.37,129.30,131.47,129.07
129.25,130.11,131.47,129.09
129.57,128.19,129.73,127.70
128.34,127.12,129.10,127.12
127.65,128.98,129.47,127.22
127.35,125.09,128.40,124.12
124.83,123.48,125.22,123.00
123.55,122.57,124.21,121.61
123.29,121.86,123.29,120.61
123.58,123.46,124.63,122.17
123.47,127.00,127.12,123.47
127.37,127.97,128.15,126.74
127.90,127.96,128.20,127.29
127.37,128.67,128.83,127.16
128.97,130.48,130.98,128.69
129.32,130.72,131.60,129.14
129.87,130.72,130.92,129.55
