JKE,iShares Morningstar Large-Cap Growth ETF,NASDAQ
59.30,59.60,59.63,59.23
59.61,59.72,59.74,59.37
59.60,59.51,59.72,59.41
59.38,59.59,59.61,59.24
59.37,59.99,60.00,59.29
60.19,59.78,60.19,59.54
59.39,59.12,59.44,58.92
59.27,59.73,59.75,58.96
59.65,59.82,59.92,59.54
59.84,59.28,59.86,59.10
59.16,59.99,59.99,59.16
59.50,59.21,59.50,58.66
59.25,58.24,59.47,58.11
57.95,56.64,58.16,56.64
57.13,56.97,57.27,56.81
56.78,56.82,57.44,56.60
56.66,57.08,57.24,56.31
56.25,55.96,56.34,55.76
56.50,55.10,56.62,54.96
55.38,55.88,55.90,55.38
56.06,56.48,56.49,55.80
56.17,56.42,56.57,56.17
56.01,54.70,56.06,54.70
54.75,55.19,55.19,54.06
55.12,54.69,55.41,54.69
55.33,55.42,55.83,55.00
55.29,55.23,55.49,54.90
55.07,55.83,55.96,55.02
55.27,55.85,55.85,55.15
56.32,56.67,56.70,56.14
56.96,56.92,56.96,56.71
56.95,57.32,57.40,56.90
57.08,57.30,57.46,56.97
57.43,57.07,57.49,57.00
56.91,56.44,57.08,56.24
56.64,56.87,56.99,56.52
56.13,56.83,56.86,55.89
56.92,56.92,57.04,56.61
57.12,57.55,57.56,57.12
57.78,57.74,58.00,57.65
57.89,57.77,58.08,57.75
57.83,58.06,58.13,57.69
58.45,58.91,58.94,58.43
58.84,59.11,59.14,58.84
58.87,59.21,59.52,58.85
59.24,59.51,59.58,59.15
59.34,59.70,59.70,59.27
59.96,59.74,59.96,59.56
59.54,59.63,59.68,59.15
59.84,59.99,59.99,59.66
59.99,60.17,60.41,59.99
60.28,60.21,60.28,60.02
59.78,59.78,60.38,59.60
59.46,60.15,60.32,59.45
60.29,60.44,60.46,60.03
60.28,60.15,60.35,60.00
60.53,59.97,60.81,59.97
60.20,60.01,60.36,59.74
60.33,60.30,60.40,60.20
60.42,60.49,60.64,60.27
60.28,60.25,60.50,60.15
60.66,60.41,60.83,60.00
60.57,60.91,61.01,60.47
60.71,61.03,61.17,60.71
60.92,60.76,61.08,60.65
60.66,61.13,61.15,60.50
61.22,61.42,61.43,61.09
61.43,61.56,61.65,61.43
61.45,61.71,61.74,61.22
61.91,62.26,62.26,61.91
62.26,62.45,62.52,62.26
62.18,61.34,62.29,61.09
61.10,61.47,61.49,60.91
61.86,61.93,62.08,61.73
62.00,62.01,62.21,61.75
61.51,62.10,62.10,61.20
62.08,62.41,62.42,61.95
62.43,62.18,62.50,62.18
61.95,60.88,62.17,60.83
61.33,61.22,61.34,60.81
61.56,61.97,62.12,61.52
61.94,60.81,61.94,60.81
61.03,61.42,61.61,60.97
60.51,59.76,60.51,59.50
59.15,59.51,59.91,59.06
59.30,57.59,59.54,25.00
57.47,56.62,57.92,55.64
59.00,58.86,60.59,58.53
58.42,58.70,59.50,58.42
59.04,59.60,59.71,58.97
59.32,58.89,59.78,58.84
58.40,57.45,58.40,57.23
57.93,57.82,57.93,56.74
58.24,57.05,58.40,56.82
56.91,56.60,57.15,55.96
55.60,54.52,55.60,54.44
53.59,55.14,55.34,53.26
55.16,54.74,55.55,54.74
53.22,54.79,54.82,53.11
55.30,54.37,55.79,54.33
55.37,55.96,55.96,55.29
56.12,55.46,56.12,55.22
54.91,54.71,55.86,54.71
54.97,56.09,56.09,54.76
56.33,56.48,56.50,55.98
55.48,54.63,55.95,54.53
54.73,53.81,54.98,53.77
53.93,54.07,54.07,53.32
54.43,53.63,54.79,53.46
54.43,55.08,55.11,54.32
54.65,55.49,55.49,54.65
55.95,55.26,56.09,55.26
55.59,56.71,56.74,55.59
56.36,56.78,57.02,56.36
56.99,56.87,57.00,56.47
56.97,57.01,57.19,56.86
57.77,56.60,57.77,56.38
56.70,55.94,57.04,55.90
55.56,55.46,55.94,55.16
55.21,54.57,55.24,54.46
54.70,54.73,55.12,54.34
54.69,54.48,54.84,54.29
53.68,52.57,53.68,52.26
52.49,52.01,52.90,51.87
51.96,51.85,52.16,51.05
