STRA,Strayer Education,NASDAQ
221.50,209.87,221.50,209.05
210.00,209.28,211.62,208.63
208.74,214.02,217.08,208.57
212.94,219.32,221.43,212.94
214.27,215.98,217.36,213.39
216.80,217.00,217.91,212.67
216.01,218.25,218.42,215.01
218.11,218.61,220.62,217.09
215.97,217.22,219.42,215.97
217.76,216.20,219.00,216.19
215.50,216.42,218.37,211.19
216.32,219.12,219.80,213.02
221.00,225.00,227.54,218.93
225.00,226.13,227.97,224.37
226.62,221.00,226.62,219.25
221.00,216.98,221.00,215.85
217.41,221.10,221.44,216.85
219.00,214.62,219.00,212.65
214.32,207.78,214.32,205.89
207.43,209.32,209.72,204.65
208.98,208.59,210.13,206.30
208.30,209.55,210.10,208.03
208.06,207.31,209.54,205.46
206.75,206.78,208.00,204.01
206.39,206.14,208.80,204.01
205.85,206.39,207.07,204.70
207.09,210.09,210.43,205.31
198.04,204.32,209.85,190.72
203.01,206.26,207.48,200.00
207.55,214.23,214.90,207.35
213.87,214.96,216.39,213.30
218.80,217.13,218.80,214.27
214.95,217.70,217.99,210.00
218.49,219.49,219.86,213.80
217.80,219.17,220.84,217.80
218.81,221.58,221.58,218.23
221.14,224.67,227.44,220.74
224.05,226.83,228.50,222.36
228.51,232.04,233.29,226.45
232.00,231.23,232.99,224.00
230.83,235.50,237.93,229.68
236.29,240.02,241.38,234.31
241.83,242.42,248.00,240.07
242.02,239.14,242.02,237.45
237.76,237.99,243.87,236.80
238.55,241.83,243.17,238.18
240.55,243.00,243.03,240.55
244.67,245.49,247.06,240.91
245.58,243.99,246.46,241.45
243.49,246.56,248.45,242.96
245.99,244.07,246.53,242.72
245.40,243.62,246.92,241.83
244.60,242.30,246.64,241.12
244.32,246.15,248.11,241.75
244.67,246.71,247.00,242.60
245.00,241.51,245.00,240.60
242.14,242.25,244.97,241.11
243.11,240.55,244.11,239.26
241.99,243.38,244.33,240.78
244.06,244.22,246.09,243.00
241.73,243.52,245.40,241.73
244.75,241.69,248.70,240.49
242.80,244.73,245.09,240.20
243.55,245.38,246.69,242.49
246.09,240.75,246.44,239.03
241.22,238.09,241.96,237.66
235.95,238.70,240.80,235.00
239.89,238.59,239.89,235.29
239.51,252.20,256.50,238.92
253.47,250.00,254.97,248.76
250.46,253.01,254.11,249.70
251.96,254.50,256.99,251.71
253.50,253.04,256.82,251.67
253.54,253.86,254.85,249.13
252.20,258.48,262.44,251.15
256.47,258.28,259.70,252.44
257.55,253.03,260.92,252.31
252.50,248.78,252.50,245.65
250.32,248.75,251.38,248.20
249.97,246.75,254.38,245.38
253.11,244.59,253.34,231.00
245.00,243.12,252.40,243.12
241.25,246.25,249.26,239.95
242.93,243.46,247.99,240.89
240.47,245.00,248.10,239.18
243.91,243.07,247.69,236.01
244.13,235.03,247.86,234.97
240.81,236.89,241.83,233.51
236.68,240.55,243.86,236.68
241.55,241.74,244.25,240.60
242.26,239.46,244.04,238.86
238.28,233.91,240.32,233.90
236.67,245.00,247.39,230.20
247.44,243.13,254.37,242.47
241.69,244.71,249.00,241.29
241.47,238.06,247.99,236.53
235.82,237.59,243.00,234.53
233.25,236.79,238.73,232.40
225.01,236.50,239.07,223.44
236.50,239.96,243.00,236.40
242.75,242.18,243.92,237.95
241.28,240.00,244.71,240.00
239.44,242.11,242.85,236.42
240.20,247.62,248.68,240.20
245.15,249.59,251.07,245.15
245.13,249.88,254.07,245.13
250.90,243.27,250.99,243.10
242.77,246.45,249.45,242.77
246.49,245.58,248.23,243.60
246.76,248.02,253.82,246.54
247.66,250.35,255.10,246.67
252.44,245.47,252.44,245.17
246.39,250.09,251.69,245.29
250.20,247.48,255.65,246.30
249.21,247.60,250.45,246.19
247.24,246.14,250.81,244.72
247.12,240.85,250.84,240.01
240.43,233.40,244.93,232.56
232.67,231.99,236.96,231.45
231.07,232.60,237.14,227.31
232.65,219.30,235.79,217.72
220.64,219.70,223.05,216.95
218.55,212.63,219.49,211.49
211.71,207.89,216.19,205.42
205.65,208.49,214.00,202.61
208.50,205.53,211.54,205.00
206.42,204.12,212.09,202.36
204.50,207.94,209.38,203.01
209.11,212.00,214.95,207.02
211.34,209.49,211.34,207.40
209.06,210.86,212.41,209.00
212.39,213.55,214.47,210.11
213.88,214.26,217.34,212.44
214.55,216.84,218.74,213.00
216.49,220.46,222.74,213.85
220.94,224.18,243.00,220.94
222.51,233.00,233.86,219.39
233.71,224.06,233.72,223.54
225.89,219.20,225.89,214.01
220.51,236.49,244.50,220.40
236.50,234.51,237.98,232.55
235.11,234.00,237.79,231.14
233.15,235.96,238.86,232.32
239.28,235.22,239.98,234.72
233.61,239.40,241.03,231.10
240.45,239.51,241.76,236.68
237.77,228.95,237.99,228.00
230.02,228.46,232.74,228.00
228.46,220.15,229.18,219.92
214.00,216.59,219.72,209.27
217.01,218.22,221.73,214.65
216.84,216.06,217.89,212.35
213.95,211.16,216.33,209.35
209.70,209.80,211.52,208.21
203.03,200.01,206.53,198.70
165.20,163.26,176.50,161.11
163.96,155.65,165.00,155.50
155.71,169.00,173.00,155.71
168.67,164.53,169.00,162.76
163.83,163.25,166.14,159.50
163.96,163.07,164.94,162.53
170.63,161.61,176.98,161.14
160.22,164.26,164.99,160.00
166.95,165.02,166.95,164.00
165.21,164.09,170.00,163.04
164.23,159.03,165.98,158.28
158.63,144.64,162.78,139.96
143.24,146.92,151.73,143.24
146.52,149.41,150.04,146.34
148.55,151.00,155.25,148.55
149.98,144.28,149.99,142.40
145.03,147.81,149.52,144.68
149.76,150.00,153.10,146.44
150.37,150.50,154.78,148.04
152.00,155.37,155.98,146.17
154.40,151.68,156.96,151.35
150.22,150.15,154.96,146.69
150.21,157.10,158.66,148.59
161.57,157.50,164.18,156.50
157.97,164.50,164.99,157.97
164.32,158.45,164.90,158.01
158.64,160.36,160.89,149.00
159.32,159.56,172.97,155.35
160.81,174.48,175.57,159.42
174.93,172.36,174.93,166.18
173.00,170.64,173.51,167.01
169.19,170.04,172.77,168.99
170.12,174.50,178.15,168.51
175.54,177.12,181.99,173.03
177.32,168.00,177.32,168.00
169.21,170.50,171.91,168.33
170.05,168.00,171.46,167.30
168.80,164.17,170.24,163.73
164.00,164.20,165.13,161.18
164.25,162.76,165.51,162.33
161.82,156.67,164.00,156.01
156.95,157.05,158.95,156.14
139.33,135.99,140.00,132.01
136.27,131.48,137.97,130.83
130.94,129.90,133.02,128.56
129.28,128.00,130.10,126.59
132.94,129.96,133.00,128.90
130.35,127.99,130.92,125.80
128.39,130.30,132.44,127.98
131.09,130.03,131.55,129.90
126.00,127.65,131.56,124.01
127.04,126.00,130.15,125.37
126.60,128.00,131.52,126.05
