TSRI,TSR,NASDAQ
2.26,2.43,2.43,2.26
2.41,2.40,2.49,2.39
2.49,2.50,2.50,2.49
2.51,2.30,2.51,2.30
2.32,2.41,2.41,2.32
2.41,2.41,2.41,2.41
2.41,2.47,2.47,2.41
2.49,2.50,2.50,2.49
2.50,2.50,2.50,2.50
2.48,2.46,2.50,2.46
2.50,2.41,2.50,2.41
2.33,2.28,2.33,2.27
2.42,2.40,2.42,2.40
2.37,2.36,2.37,2.36
2.36,2.36,2.36,2.36
2.46,2.46,2.46,2.46
2.37,2.30,2.40,2.26
2.43,2.43,2.43,2.43
2.43,2.43,2.43,2.43
2.33,2.40,2.40,2.33
2.40,2.45,2.45,2.33
2.34,2.31,2.34,2.31
2.37,2.32,2.37,2.31
2.31,2.26,2.32,2.16
2.25,2.26,2.26,2.25
2.25,2.25,2.25,2.25
2.21,2.20,2.21,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.21,2.20
2.20,2.21,2.21,2.20
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.29,2.28,2.29,2.28
2.26,2.26,2.35,2.25
2.26,2.25,2.26,2.25
2.25,2.29,2.29,2.25
2.29,2.29,2.29,2.29
2.29,2.29,2.29,2.29
2.30,2.30,2.30,2.30
2.26,2.27,2.27,2.26
2.29,2.30,2.30,2.28
2.30,2.31,2.31,2.30
2.26,2.21,2.27,2.21
2.30,2.30,2.30,2.30
2.21,2.30,2.33,2.21
2.33,2.31,2.33,2.31
2.31,2.33,2.33,2.31
2.23,2.35,2.35,2.23
2.30,2.35,2.35,2.30
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.30,2.31,2.31,2.30
2.33,2.33,2.37,2.33
2.26,2.26,2.26,2.26
2.22,2.25,2.25,2.20
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.25,2.29,2.31,2.25
2.29,2.28,2.29,2.28
2.30,2.25,2.30,2.25
2.25,2.31,2.31,2.22
2.32,2.35,2.35,2.32
2.33,2.33,2.33,2.33
2.35,2.34,2.35,2.34
2.35,2.35,2.35,2.35
2.33,2.37,2.38,2.33
2.37,2.38,2.38,2.37
2.40,2.38,2.40,2.37
2.42,2.43,2.43,2.42
2.42,2.40,2.42,2.38
2.45,2.57,2.57,2.41
2.60,2.54,2.80,2.47
2.57,2.56,2.57,2.56
2.56,2.56,2.56,2.56
2.56,2.56,2.56,2.56
2.56,2.56,2.56,2.56
2.58,2.56,2.60,2.56
2.75,2.51,2.75,2.51
2.51,2.51,2.51,2.51
2.52,2.51,2.52,2.51
2.51,2.51,2.51,2.51
2.49,2.74,2.74,2.49
2.52,2.49,2.52,2.49
2.49,2.52,2.56,2.48
2.55,2.49,2.55,2.49
2.45,2.57,2.57,2.45
2.46,2.46,2.58,2.46
2.52,2.57,2.57,2.45
2.57,2.57,2.57,2.57
2.45,2.52,2.52,2.45
2.53,2.52,2.53,2.52
2.52,2.52,2.52,2.52
2.53,2.51,2.53,2.51
2.52,2.52,2.52,2.52
2.48,2.49,2.49,2.44
2.51,2.45,2.51,2.33
2.48,2.45,2.50,2.45
2.45,2.59,2.59,2.45
2.59,2.52,2.60,2.52
2.52,2.52,2.52,2.52
2.47,2.45,2.47,2.45
2.50,2.52,2.52,2.40
2.27,2.55,2.55,2.27
2.54,2.55,2.55,2.48
2.55,2.28,2.61,2.28
2.28,2.28,2.28,2.28
2.28,2.35,2.35,2.28
2.34,2.21,2.34,2.21
2.23,2.23,2.23,2.23
2.23,2.21,2.25,2.17
2.21,2.25,2.25,2.21
2.47,2.47,2.47,2.47
2.47,2.47,2.47,2.47
2.36,2.37,2.37,2.12
2.33,2.37,2.37,2.29
2.19,2.40,2.40,2.15
2.39,2.44,2.44,2.34
2.26,2.44,2.45,2.26
2.43,2.32,2.44,2.32
2.31,2.16,2.31,2.16
2.21,2.36,2.36,2.21
2.33,2.20,2.33,2.12
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.20
2.14,2.15,2.15,2.08
2.15,2.08,2.15,2.08
2.08,2.08,2.08,2.08
2.08,2.08,2.08,2.08
2.15,2.15,2.15,2.15
2.14,2.20,2.20,2.12
2.25,2.25,2.41,2.25
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.30,2.30,2.30,2.30
2.16,2.24,2.24,2.14
2.24,2.24,2.24,2.24
2.14,2.18,2.25,2.11
2.30,2.30,2.30,2.29
2.30,2.30,2.30,2.30
2.30,2.30,2.30,2.30
2.22,2.28,2.28,2.22
2.32,2.32,2.32,2.32
2.19,2.14,2.19,2.11
2.29,2.22,2.29,2.22
2.22,2.22,2.22,2.22
2.16,2.16,2.16,2.15
2.15,2.15,2.24,2.15
2.15,2.15,2.15,2.15
2.17,2.15,2.17,2.15
2.15,2.15,2.15,2.15
2.15,2.15,2.15,2.15
2.20,2.20,2.20,2.20
2.15,2.17,2.17,2.15
2.17,2.17,2.17,2.17
2.20,2.20,2.20,2.15
2.19,2.19,2.19,2.19
2.19,2.19,2.19,2.19
2.16,2.15,2.16,2.10
2.00,2.08,2.10,2.00
2.14,2.14,2.15,2.14
2.14,2.07,2.14,2.06
2.03,2.07,2.09,2.03
