INGR,Ingredion Incorporated Common Stock,NASDAQ
29.37,29.68,29.87,29.32
29.71,30.18,30.19,29.54
30.18,30.66,30.82,30.14
30.71,29.29,30.71,29.23
29.30,27.89,29.30,27.47
28.05,26.61,28.16,26.23
26.49,27.49,27.63,26.49
27.55,28.19,28.25,27.55
28.21,28.49,28.71,28.05
28.46,29.75,29.92,27.99
29.77,31.02,32.86,29.76
30.01,29.64,30.34,29.50
29.75,29.23,29.94,29.13
29.09,28.65,29.29,28.59
28.90,28.69,28.90,28.32
28.72,28.75,28.94,28.51
29.25,29.90,30.56,29.00
29.86,29.39,30.12,29.26
29.51,28.42,29.66,28.39
28.53,29.27,29.29,28.25
30.32,31.39,31.58,29.96
30.05,30.84,30.99,29.90
30.70,30.75,31.01,30.54
30.83,31.02,31.15,30.42
31.11,30.81,31.28,30.80
31.06,31.55,31.85,30.87
31.55,31.68,31.98,31.35
31.51,31.90,31.94,31.06
31.61,31.65,31.84,31.37
31.97,32.61,32.72,31.71
32.82,32.81,33.16,32.66
32.84,33.33,33.33,32.84
33.32,33.54,33.63,33.14
33.52,33.23,33.66,33.18
33.05,32.74,33.45,32.67
32.90,33.18,33.19,32.80
32.53,32.53,32.94,32.47
32.62,32.58,32.69,32.42
32.64,33.76,33.89,32.64
33.84,34.09,34.23,33.72
34.09,33.87,34.22,33.11
33.99,34.19,34.30,33.57
34.30,34.77,34.93,34.16
34.90,34.78,34.94,34.67
34.55,35.32,35.45,34.55
35.23,35.69,35.73,35.01
35.43,35.29,35.63,35.03
35.31,34.49,35.49,34.38
34.34,34.02,34.54,33.77
34.18,34.07,34.25,33.85
34.18,34.29,34.35,34.00
34.33,34.33,34.96,34.27
34.37,34.37,34.49,34.00
34.25,34.33,34.35,34.05
34.29,35.36,35.54,34.29
35.30,34.87,35.39,34.70
35.03,34.82,35.29,34.79
34.83,34.75,35.13,34.64
34.69,35.45,35.45,34.47
35.42,34.98,35.50,34.65
34.79,34.66,35.04,34.61
34.80,34.86,35.04,34.67
34.83,34.80,34.94,34.62
34.74,34.37,34.74,34.21
34.26,34.64,34.77,34.20
34.59,34.08,34.64,34.01
34.06,34.83,34.84,34.06
34.85,35.10,35.23,34.75
35.10,35.16,35.31,34.63
35.30,35.94,35.98,35.16
35.78,35.65,35.93,35.49
35.60,35.32,35.76,34.91
35.12,35.02,35.13,34.08
35.22,35.30,35.46,35.10
35.21,34.89,35.54,34.86
34.61,34.54,34.88,34.33
34.60,35.15,35.18,34.50
35.63,35.88,36.00,35.28
35.73,36.05,37.44,35.58
37.24,36.53,37.62,36.33
36.74,36.63,37.24,36.51
36.56,36.00,36.91,35.93
36.20,36.48,36.95,36.01
36.15,36.22,36.50,35.62
35.99,35.60,36.67,35.55
35.50,34.41,36.15,32.89
34.27,33.57,34.55,33.27
34.36,34.75,34.88,34.19
34.37,35.16,35.78,34.29
35.22,35.95,36.04,35.22
35.96,35.52,36.22,35.47
35.30,34.53,35.41,34.41
34.55,34.25,34.77,33.55
34.43,34.04,34.89,33.96
33.85,33.63,34.21,33.05
33.07,32.03,33.07,32.02
31.69,32.57,32.63,31.20
32.39,32.12,32.55,32.12
31.48,32.21,32.32,30.81
32.33,32.49,32.87,32.13
33.11,33.61,33.61,32.89
33.50,33.35,33.75,32.62
33.11,32.81,33.45,32.77
32.90,33.74,33.74,32.88
33.79,33.87,33.94,33.44
32.97,32.30,33.31,32.15
32.39,31.84,32.39,31.54
31.84,32.00,32.04,31.50
32.17,31.82,32.72,31.72
32.38,32.52,32.81,32.28
32.20,32.90,32.96,32.00
32.97,33.17,33.58,32.96
33.32,34.25,34.31,33.21
33.97,34.03,34.31,33.77
34.03,35.05,35.08,33.95
35.22,34.85,35.28,34.68
35.00,31.90,35.23,30.57
31.86,33.04,33.17,31.73
33.16,32.83,33.37,32.27
32.59,32.42,32.90,32.26
32.58,33.60,33.64,32.03
33.33,33.21,33.49,32.50
32.71,31.47,32.73,31.37
31.35,30.30,31.35,30.25
30.22,29.65,30.23,29.45
29.72,28.94,29.72,28.70
29.40,29.49,30.26,29.34
29.61,30.98,30.99,29.61
31.16,31.19,31.50,31.11
31.12,31.01,31.29,30.80
30.97,31.26,31.39,30.89
31.51,31.51,31.75,31.45
31.44,31.34,31.63,31.12
31.41,31.51,31.56,30.84
31.35,30.98,31.44,30.85
31.13,31.11,31.14,30.43
30.74,31.75,31.82,30.74
31.99,31.76,32.34,31.59
32.02,32.63,32.70,32.02
32.46,33.31,33.34,32.34
33.30,34.14,34.16,33.20
36.26,34.51,36.75,34.04
34.27,33.59,34.44,33.55
33.69,32.96,33.72,32.34
32.67,33.34,33.40,32.26
33.84,33.91,34.33,33.70
33.71,33.63,34.04,33.38
33.84,33.70,33.94,33.44
33.44,33.73,33.89,33.31
33.37,33.65,33.92,33.28
33.90,34.26,34.27,33.71
34.04,33.92,34.22,33.27
33.36,32.27,33.37,32.19
31.66,32.79,32.84,31.60
32.68,32.35,32.73,32.14
32.14,32.99,33.01,31.97
33.35,34.31,34.60,33.32
34.23,34.62,34.85,34.03
34.56,33.95,34.65,33.76
33.86,34.02,34.11,33.61
34.24,33.68,34.30,33.52
33.30,33.54,33.71,32.93
33.37,33.57,33.66,32.90
33.67,33.49,33.95,33.43
33.79,34.23,34.31,33.29
34.16,34.33,34.72,34.06
34.24,34.13,34.29,33.65
34.64,34.99,35.00,34.40
35.06,35.17,35.24,34.70
35.47,35.28,35.59,35.01
35.14,34.54,35.24,34.44
34.56,35.19,35.59,34.54
35.52,35.48,35.72,35.40
35.60,36.21,36.31,35.45
36.50,36.46,36.50,36.21
36.40,36.73,36.90,36.16
36.82,37.41,37.48,36.57
37.35,37.87,37.93,37.25
37.83,37.98,38.66,37.48
38.12,38.95,39.09,38.05
38.95,38.93,39.22,38.36
38.84,38.61,39.36,38.57
38.29,37.64,38.31,37.48
38.14,38.10,38.49,38.00
38.18,37.96,38.32,37.79
38.03,38.00,38.12,37.63
37.98,37.69,38.06,37.68
37.97,37.50,38.46,37.11
37.91,37.77,38.12,37.27
37.70,37.36,37.98,37.12
37.73,38.15,38.22,37.73
38.15,38.17,38.25,37.76
38.40,38.35,38.40,37.90
38.36,38.18,38.58,37.55
38.26,38.56,38.81,38.10
38.57,39.22,39.45,38.25
39.48,39.62,39.86,39.48
39.71,39.42,39.87,39.33
39.84,39.26,39.85,39.09
39.29,39.50,39.66,39.17
38.98,38.92,39.53,38.65
39.08,39.70,39.79,39.08
39.90,40.00,40.00,39.35
40.00,40.68,40.73,39.87
40.94,40.95,41.38,40.89
40.87,40.38,40.87,40.08
40.17,41.10,41.18,40.01
40.77,42.29,42.50,40.77
42.56,42.55,42.88,41.78
42.99,43.18,43.79,42.75
43.34,43.12,43.76,42.86
43.18,42.77,43.23,42.55
43.34,42.57,43.45,42.55
42.72,43.81,43.85,42.72
43.91,44.41,44.66,43.07
44.71,44.41,44.80,44.18
44.36,44.15,44.36,43.62
43.91,44.01,44.05,43.65
43.84,43.06,44.10,42.75
43.33,44.51,44.93,43.25
44.31,43.67,44.31,43.49
43.70,43.97,44.05,43.31
44.82,44.95,45.22,44.47
44.82,45.29,45.56,44.75
45.24,44.60,45.45,44.32
44.04,43.53,44.04,43.10
43.75,44.71,44.79,43.75
44.48,45.06,45.20,44.48
44.74,43.44,44.82,43.18
43.14,43.12,43.28,42.78
43.73,44.39,44.62,43.70
44.34,44.88,44.93,44.01
44.78,45.59,46.00,44.76
45.54,44.92,45.56,44.66
45.29,45.30,45.55,44.58
45.42,45.64,46.02,45.21
45.82,46.00,46.06,45.64
45.98,45.92,45.98,45.60
46.03,47.16,47.91,45.98
