VB,Vanguard Small-Cap ETF - DNQ,NASDAQ
58.16,58.60,58.69,57.99
58.64,58.78,58.90,58.33
58.71,58.82,59.01,58.67
58.74,59.10,59.24,58.31
59.06,59.54,59.54,58.88
59.81,59.34,59.90,59.14
58.97,58.61,59.09,58.31
58.80,59.34,59.41,58.32
59.06,59.51,59.63,59.06
59.58,58.70,59.61,58.34
58.89,59.65,59.67,58.89
59.29,58.98,59.29,58.28
59.02,58.01,59.41,57.83
57.89,56.80,58.09,56.65
57.20,56.95,57.24,56.54
56.67,56.56,57.21,56.39
56.35,56.98,57.01,55.96
57.12,56.06,57.13,55.54
56.38,55.42,56.92,55.30
55.62,56.26,56.26,55.59
56.37,57.03,57.03,56.09
56.72,56.62,57.01,56.22
56.16,54.68,56.16,54.57
54.69,54.78,54.78,53.50
54.62,54.31,55.13,54.22
54.91,54.99,55.38,54.37
54.90,55.10,55.32,54.35
55.04,56.01,56.01,54.57
55.49,56.45,56.45,55.20
57.03,57.41,57.42,56.53
57.70,57.82,57.89,57.41
57.83,58.30,58.31,57.73
58.05,58.44,58.66,58.04
58.71,58.55,58.77,58.40
58.40,57.76,58.49,57.61
58.00,58.30,58.45,57.80
57.46,58.33,58.37,57.30
58.43,58.09,58.43,57.80
58.61,59.34,59.47,58.60
59.63,59.99,60.20,59.57
60.10,60.06,60.54,59.89
60.16,60.32,60.39,59.94
60.69,61.49,61.51,60.60
61.50,61.63,61.75,61.40
61.43,61.87,62.22,61.43
61.91,62.34,62.54,61.87
61.99,62.53,62.54,61.75
62.76,62.57,62.85,62.13
62.48,62.37,62.60,61.88
62.60,62.99,62.99,62.29
63.14,63.36,63.67,63.06
63.37,63.23,63.60,63.07
62.42,62.42,63.36,62.20
61.89,63.27,63.35,61.84
63.34,63.98,63.99,63.05
63.67,63.33,63.84,63.29
63.80,62.90,64.17,62.90
63.16,62.93,63.53,62.65
63.17,63.27,63.38,62.96
63.34,63.41,63.67,62.97
63.18,62.99,63.75,62.94
63.50,63.55,63.74,62.97
63.79,64.76,64.76,63.62
64.52,65.14,65.21,64.39
65.05,64.88,65.19,64.47
64.62,64.83,65.07,64.15
64.96,65.31,65.32,64.59
65.42,65.59,65.68,65.22
65.44,65.76,65.76,65.10
66.06,67.02,67.08,66.04
67.10,67.29,67.43,67.02
67.11,66.36,67.31,65.84
66.02,66.00,66.53,65.11
66.35,66.99,67.00,66.14
67.08,67.40,67.43,66.82
66.60,68.13,68.18,66.31
68.17,68.87,68.89,67.88
68.91,68.56,69.22,68.52
68.32,66.90,68.74,66.73
67.34,67.03,67.45,66.69
67.56,68.34,68.36,67.20
68.37,66.51,68.47,66.44
66.86,67.88,67.88,66.83
66.84,65.79,66.88,65.40
65.18,64.80,65.75,64.23
64.31,62.32,65.03,25.00
61.71,60.76,62.67,59.92
63.90,64.08,64.08,63.04
63.32,64.37,65.28,63.09
64.71,66.15,66.23,64.64
66.05,65.46,66.57,65.24
65.00,64.17,65.10,63.42
64.50,64.16,64.97,62.45
65.03,63.14,65.16,62.80
62.70,62.29,63.42,61.36
60.68,59.23,60.92,59.20
58.22,60.27,60.65,57.93
60.10,59.49,60.54,59.42
58.02,59.37,59.45,57.01
59.74,59.54,61.00,59.30
61.02,61.97,62.04,60.53
61.82,61.35,62.10,60.88
60.62,59.45,61.45,59.41
59.77,61.10,61.10,59.31
61.21,61.80,61.94,60.94
60.12,58.83,60.76,58.68
59.15,57.44,59.32,57.39
57.52,57.42,57.98,56.30
57.91,57.53,58.90,57.22
58.54,59.50,59.50,58.36
58.82,60.25,60.29,58.73
60.95,60.62,61.71,60.49
61.16,62.12,62.28,60.94
61.65,61.91,62.47,61.51
62.18,61.88,62.35,61.19
62.00,61.93,62.33,61.58
62.81,61.34,62.93,61.00
61.64,60.09,62.11,60.01
60.00,59.90,60.45,59.16
59.40,58.88,59.81,58.77
59.05,59.77,60.00,58.54
59.82,59.54,60.34,59.27
58.51,57.25,58.54,56.90
57.08,56.60,58.00,56.45
