ATLC,Atlanticus Holdings Corporation - Common Stock,NASDAQ
3.33,3.30,3.33,3.19
3.30,3.32,3.45,3.26
3.31,3.37,3.45,3.30
3.36,3.46,3.51,3.35
3.43,3.53,3.57,3.40
3.54,3.48,3.58,3.34
3.43,3.47,3.53,3.42
3.52,3.51,3.59,3.46
3.49,3.70,3.73,3.49
3.70,3.65,3.70,3.52
3.69,3.56,3.69,3.50
3.50,3.50,3.54,3.45
3.50,3.44,3.51,3.42
3.44,3.29,3.45,3.26
3.32,3.04,3.33,2.98
3.03,3.05,3.14,2.95
3.03,3.24,3.26,3.00
3.25,3.30,3.34,3.18
3.31,3.34,3.38,3.27
3.28,3.36,3.37,3.14
3.35,3.17,3.35,3.15
3.18,3.05,3.18,3.00
3.02,2.90,3.03,2.88
2.90,2.99,3.04,2.81
2.98,3.21,3.25,2.89
3.20,3.21,3.23,2.90
3.18,3.20,3.23,3.01
3.18,3.19,3.21,2.90
3.13,3.08,3.20,3.07
3.10,3.16,3.19,3.08
3.15,3.26,3.28,3.10
3.25,3.45,3.45,3.20
3.44,3.30,3.45,3.26
3.30,3.38,3.39,3.21
3.36,3.39,3.42,3.31
3.39,3.50,3.50,3.36
3.45,3.49,3.50,3.38
3.43,3.46,3.53,3.34
3.48,3.51,3.56,3.46
3.51,3.62,3.70,3.50
3.64,3.62,3.68,3.58
3.63,3.67,3.70,3.56
3.69,3.91,3.99,3.64
3.90,3.98,4.01,3.82
3.93,4.24,4.24,3.90
4.22,4.29,4.32,4.08
4.25,4.52,4.52,4.19
4.53,4.58,4.68,4.31
4.48,4.60,4.65,4.48
4.60,4.76,4.76,4.55
4.76,4.93,4.99,4.75
4.93,5.11,5.12,4.79
5.13,4.99,5.13,4.73
4.94,5.09,5.09,4.74
5.08,5.02,5.12,4.99
4.98,5.01,5.18,4.90
5.03,5.00,5.12,4.74
5.00,5.27,5.29,4.98
5.27,5.36,5.37,4.95
5.32,5.15,5.35,4.96
5.14,5.16,5.23,5.06
N/A,N/A,N/A,N/A
5.12,5.26,5.33,4.99
5.24,5.41,5.41,5.16
5.39,5.38,5.42,5.22
5.35,5.45,5.48,5.28
5.43,5.47,5.51,5.36
5.50,5.50,5.54,5.45
5.46,5.32,5.48,5.31
5.36,5.56,5.57,5.11
6.31,6.36,6.74,6.25
6.31,6.05,6.34,5.94
6.05,5.97,6.25,5.89
5.97,6.22,6.30,5.97
6.21,6.08,6.31,6.06
6.03,6.24,6.25,6.02
6.10,6.25,6.33,6.07
6.23,6.20,6.34,6.15
6.16,6.07,6.21,6.05
6.11,6.00,6.17,6.00
6.06,6.04,6.12,5.97
6.02,5.99,6.19,5.97
6.04,6.15,6.18,6.00
6.06,6.09,6.14,6.01
6.06,6.18,6.25,5.99
6.15,6.18,6.27,5.82
6.07,5.88,6.29,5.87
6.04,6.10,6.19,6.01
5.99,6.28,6.32,5.99
6.32,6.32,6.45,6.30
6.28,6.22,6.28,6.05
6.15,6.50,6.52,5.92
6.57,5.91,6.60,5.42
5.93,5.56,6.06,5.50
5.31,5.17,5.37,5.09
5.00,4.74,5.01,4.69
4.65,5.34,5.46,4.60
5.33,4.92,5.33,4.00
4.81,4.75,4.81,4.50
4.79,4.68,4.89,4.51
4.75,4.80,4.89,4.58
4.76,4.58,4.80,4.53
4.54,4.32,4.58,4.29
4.33,4.27,4.39,4.16
4.26,4.34,4.38,4.15
4.25,4.07,4.29,4.00
4.14,3.98,4.14,3.93
3.98,4.19,4.34,3.78
4.24,4.18,4.24,4.09
4.24,4.50,4.84,4.05
4.43,4.41,4.56,4.29
4.40,3.87,4.40,3.65
3.87,4.00,4.01,3.73
3.95,3.89,3.95,3.80
3.93,3.87,3.97,3.78
3.90,4.10,4.15,3.78
4.14,4.09,4.14,3.99
4.11,4.04,4.18,4.01
4.03,3.87,4.05,3.85
3.84,3.76,3.89,3.74
3.79,3.94,4.00,3.74
3.92,3.99,4.08,3.92
3.93,3.65,3.99,3.62
3.64,3.96,4.01,3.50
3.96,4.18,4.20,3.69
4.21,4.50,4.52,3.98
4.50,4.28,4.50,4.12
4.29,4.20,4.37,4.15
4.26,4.33,4.41,4.23
4.30,4.49,4.50,4.26
4.46,4.48,4.56,4.46
4.54,4.70,4.77,4.53
4.66,4.68,4.71,4.61
4.70,4.61,4.70,4.39
4.49,4.43,4.59,4.20
4.44,4.18,4.49,4.15
4.10,4.46,4.60,4.04
4.49,4.29,4.63,4.25
4.33,4.69,4.69,4.33
4.65,4.92,4.95,4.58
4.92,4.88,5.08,4.73
4.92,4.80,4.92,4.78
4.77,4.82,4.92,4.68
4.86,4.91,4.98,4.76
4.81,5.07,5.10,4.81
5.15,5.10,5.16,4.98
5.09,5.01,5.10,4.92
5.03,5.21,5.22,5.03
5.15,5.23,5.27,5.05
5.13,5.13,5.21,5.04
5.15,5.19,5.19,5.12
5.11,5.06,5.15,5.02
5.00,4.87,5.01,4.85
4.75,4.71,4.87,4.68
4.69,4.55,4.77,4.55
4.52,4.45,4.61,4.37
4.49,4.65,4.68,4.36
4.63,4.93,4.94,4.60
4.89,4.69,4.91,4.67
4.66,4.76,4.78,4.55
4.79,4.56,4.79,4.56
4.50,4.52,4.75,4.50
4.51,4.48,4.62,4.25
4.49,4.26,4.49,4.20
4.33,4.46,4.49,4.11
4.42,4.15,4.42,4.15
4.16,4.37,4.44,4.02
4.46,4.58,4.70,4.40
4.56,4.59,4.70,4.55
4.69,4.84,4.84,4.65
4.80,4.80,4.92,4.80
4.78,4.94,5.00,4.74
4.98,4.87,5.00,4.85
4.91,4.85,4.96,4.82
4.92,4.86,4.99,4.82
4.87,5.00,5.00,4.83
4.91,4.76,4.91,4.74
4.75,4.71,4.82,4.45
4.77,4.93,4.99,4.61
4.93,5.20,5.28,4.93
5.17,5.15,5.38,5.11
5.13,4.96,5.13,4.80
4.93,4.86,5.06,4.84
4.95,5.19,5.27,4.82
5.20,5.22,5.27,5.10
5.25,5.08,5.25,4.96
5.05,4.94,5.05,4.90
4.96,4.82,4.96,4.80
4.90,4.85,4.90,4.72
4.77,4.98,5.20,4.76
5.12,5.89,5.95,5.11
5.85,5.78,5.99,5.65
5.84,5.56,5.84,5.53
5.54,5.74,5.75,5.48
5.72,5.78,5.83,5.61
5.78,5.93,6.00,5.61
5.95,6.00,6.18,5.84
6.02,5.98,6.07,5.84
6.08,5.95,6.08,5.73
5.98,5.91,6.01,5.78
5.80,5.60,5.99,5.50
5.61,6.03,6.03,5.52
6.03,6.00,6.04,5.88
5.95,5.94,6.01,5.92
5.98,5.96,6.10,5.93
5.91,5.96,6.07,5.91
5.90,5.72,6.01,5.64
5.79,5.74,5.82,5.56
5.74,5.63,5.74,5.58
5.68,5.55,5.68,5.39
5.61,5.93,6.02,5.50
5.97,5.94,6.00,5.87
6.02,6.18,6.21,5.92
6.20,5.94,6.20,5.87
5.94,5.94,5.98,5.74
5.93,5.97,6.05,5.86
5.97,5.96,6.12,5.95
5.87,6.06,6.11,5.82
5.97,6.00,6.11,5.94
