NC,NACCO Industries,NASDAQ
50.64,52.89,53.11,50.64
52.83,53.06,53.12,51.25
53.06,52.93,54.94,52.78
52.78,53.80,54.10,52.70
53.60,54.23,55.00,52.95
54.65,54.23,55.13,53.43
53.64,54.04,54.65,52.71
54.25,55.61,56.01,53.51
55.43,57.76,58.19,55.43
58.05,57.69,58.05,56.57
57.69,59.31,59.69,57.69
58.63,57.12,58.78,56.00
57.11,55.65,59.19,55.60
55.56,54.75,55.58,54.43
55.33,54.67,56.08,53.59
54.46,54.62,56.17,54.02
54.27,54.44,54.51,53.75
54.75,53.64,55.49,53.51
53.93,53.82,55.55,53.53
54.11,51.72,54.39,51.07
51.89,51.21,52.22,50.37
50.97,50.13,51.07,49.87
49.15,46.81,49.60,46.51
46.88,47.22,49.21,46.86
46.79,45.18,47.20,44.87
46.15,47.77,47.94,45.99
47.36,48.33,49.34,46.72
48.19,49.08,49.25,48.19
48.31,48.84,49.40,47.78
49.43,49.36,49.76,48.84
49.83,50.18,50.38,49.43
50.05,49.96,50.20,49.17
49.28,50.00,50.68,49.28
50.15,50.00,50.30,49.56
50.00,48.15,50.24,48.14
48.37,49.74,50.38,48.37
48.70,48.25,48.70,47.77
48.42,46.80,48.42,46.79
47.97,49.06,49.65,47.27
49.33,49.59,50.00,48.69
51.79,55.97,56.85,50.15
56.03,65.29,65.54,56.03
65.90,67.67,69.83,65.61
68.35,68.51,69.09,67.37
68.80,74.51,74.75,68.26
74.96,76.60,77.62,73.30
76.96,76.40,79.42,74.60
76.72,76.30,77.89,74.67
76.30,78.67,78.85,75.52
78.94,79.13,81.34,77.15
79.50,81.46,81.75,78.51
81.56,80.54,81.70,80.03
81.47,81.47,81.55,78.46
80.53,83.97,83.97,79.63
84.26,85.87,86.15,83.47
84.84,83.48,85.39,82.99
83.33,80.96,84.81,80.38
81.60,80.93,82.23,79.52
80.04,77.58,80.04,77.01
77.37,74.74,78.28,74.47
74.60,74.15,75.76,73.77
74.92,74.24,75.86,72.79
74.80,82.35,82.72,74.41
81.50,82.06,83.12,78.24
82.10,80.88,82.47,79.57
80.13,80.44,81.43,78.39
80.16,80.99,81.75,79.18
80.57,79.39,80.98,78.54
79.39,81.49,82.65,79.04
82.30,84.99,85.29,82.30
85.08,85.00,86.86,84.70
84.76,83.76,84.76,80.66
83.16,82.15,86.74,80.64
83.82,85.49,85.49,82.41
85.94,85.58,86.55,84.03
84.31,86.59,87.13,82.90
86.85,90.94,91.12,86.52
90.46,89.10,92.19,88.40
89.17,88.78,95.00,88.52
85.65,91.07,92.85,85.41
92.70,96.10,96.71,91.80
95.82,86.94,96.38,86.94
87.65,90.90,91.25,86.53
88.16,84.70,88.18,83.32
83.68,83.33,86.58,82.35
82.56,78.41,91.09,75.01
80.12,81.65,84.01,79.00
87.80,90.87,91.96,87.01
89.00,97.15,101.44,88.79
97.58,104.95,107.00,96.59
105.07,104.74,106.94,103.41
103.68,104.39,104.98,99.01
104.38,105.99,106.22,100.67
106.31,103.96,114.69,103.28
103.96,101.75,105.40,100.89
98.41,91.42,98.41,91.27
89.11,93.51,97.27,86.32
93.82,89.01,94.60,88.83
84.96,88.78,89.82,82.73
90.17,87.95,93.70,86.91
91.30,94.30,95.72,89.10
94.08,84.56,95.15,84.54
84.00,79.84,84.60,79.08
80.23,86.26,86.31,79.84
85.37,87.64,89.41,84.67
84.16,79.17,84.16,78.51
80.16,73.08,80.16,72.65
73.43,71.10,74.44,68.01
72.08,74.13,74.89,72.02
75.99,79.54,79.99,75.97
78.46,81.96,82.89,77.24
83.60,90.53,91.97,83.55
91.00,93.99,94.00,88.59
92.76,94.77,96.03,92.69
95.32,97.31,97.65,94.12
98.11,99.49,101.95,97.13
101.40,101.99,105.47,99.83
102.69,100.72,105.98,100.71
100.89,98.69,102.00,96.26
96.75,96.46,99.33,95.05
96.97,96.79,100.04,94.81
96.79,98.26,100.45,95.28
96.28,91.54,97.07,88.52
91.61,88.76,91.90,88.75
89.11,87.28,89.11,83.09
88.12,83.41,88.56,83.40
85.39,81.68,89.24,81.00
81.62,86.73,87.01,81.62
89.59,89.00,91.75,87.55
89.25,90.06,90.98,88.98
89.83,87.03,89.83,86.79
88.91,92.97,93.44,88.91
92.53,90.52,93.19,89.45
90.51,87.70,90.51,87.06
86.20,82.57,86.20,82.24
85.60,88.89,88.91,83.89
86.75,88.97,90.85,86.37
89.69,85.53,90.75,84.52
87.03,91.50,92.87,86.61
91.00,89.91,91.50,88.95
90.14,93.90,94.38,89.84
94.93,93.65,94.93,92.54
93.00,90.01,93.68,89.71
90.78,89.12,91.72,85.20
89.13,89.04,92.63,85.61
91.15,91.90,92.72,88.41
90.91,89.76,93.58,86.89
90.28,91.09,92.70,88.72
92.55,111.12,111.75,92.55
108.12,99.93,112.45,97.40
101.35,100.18,102.60,98.32
98.37,97.44,99.03,93.96
94.46,89.98,95.57,88.95
87.51,87.31,91.93,86.31
87.56,85.05,87.75,84.83
84.27,87.54,89.59,84.03
89.46,91.58,92.00,88.95
90.92,91.85,93.99,89.10
91.48,85.20,91.48,85.20
85.18,85.57,85.66,82.65
86.31,81.17,87.90,80.68
78.64,79.07,81.12,77.57
78.29,80.10,80.46,75.21
80.90,77.83,81.75,77.33
79.22,82.08,82.40,76.96
81.27,77.13,81.27,76.76
77.15,77.54,79.75,75.51
79.93,85.78,86.08,79.24
84.88,87.87,88.02,83.19
89.49,90.50,92.28,87.00
89.85,86.46,89.85,86.10
86.64,90.36,91.51,86.00
92.35,89.74,93.61,88.27
90.03,87.00,91.09,86.85
88.99,92.88,93.40,88.99
92.11,92.20,95.09,89.74
91.75,91.70,94.56,91.01
91.15,90.42,91.77,88.50
91.43,92.45,93.23,90.17
92.56,95.45,95.47,91.76
95.53,93.55,96.02,93.21
93.16,90.78,93.75,89.66
89.37,86.52,91.36,85.41
88.30,95.07,95.50,88.30
94.80,92.47,95.00,91.17
92.72,90.63,93.37,88.91
89.60,88.63,89.66,87.00
89.33,87.39,90.00,85.04
88.55,88.40,89.60,87.77
87.69,86.97,88.69,85.93
88.83,87.99,88.98,87.18
87.69,90.30,90.66,86.50
91.62,91.61,92.86,89.46
91.93,93.82,94.55,91.16
93.95,93.88,95.00,93.10
93.11,95.16,95.62,91.99
96.29,98.72,99.66,96.00
98.78,100.27,100.71,98.15
102.22,102.12,103.28,99.00
102.13,105.00,105.00,102.13
102.83,104.40,105.52,101.95
