ADK,Adcare Health Systems Inc Common Stock (GA),NASDAQ
4.00,4.00,4.22,4.00
4.00,3.90,4.00,3.90
3.90,3.97,4.00,3.90
3.96,4.00,4.00,3.85
4.01,4.00,4.01,3.96
4.01,4.02,4.15,4.00
4.00,4.05,4.15,4.00
4.02,4.00,4.02,3.90
3.96,3.95,4.00,3.76
3.95,3.97,4.00,3.95
3.98,3.98,3.98,3.98
4.00,4.06,4.10,4.00
4.11,4.05,4.15,4.00
4.00,3.97,4.00,3.95
3.95,3.94,3.96,3.76
3.91,4.10,4.10,3.91
4.10,4.00,4.10,4.00
4.02,4.09,4.09,4.00
4.10,4.10,4.15,4.06
4.15,4.20,4.20,4.15
4.18,4.22,4.30,4.18
4.25,4.30,4.30,4.25
4.28,4.25,4.28,4.23
4.29,4.30,4.30,4.28
4.30,4.05,4.30,4.05
4.10,4.10,4.10,4.07
4.10,4.00,4.10,4.00
4.01,4.10,4.10,4.01
4.05,4.15,4.15,4.05
4.10,4.70,4.70,4.10
4.90,5.01,5.10,4.80
5.05,5.35,5.64,5.05
5.40,5.30,5.40,5.15
5.49,5.95,6.00,5.35
5.95,5.72,6.00,5.50
5.67,5.60,5.90,5.40
5.55,5.75,5.85,5.40
5.80,5.95,6.00,5.80
5.95,5.95,6.10,5.95
5.99,5.99,6.05,5.96
6.00,5.93,6.00,5.93
5.98,5.97,6.00,5.97
5.98,5.96,6.00,5.93
5.99,5.97,6.00,5.95
5.95,5.95,5.97,5.95
5.98,5.84,5.98,5.82
5.84,5.96,6.10,5.84
6.00,5.99,6.06,5.95
6.00,5.86,6.00,5.86
5.90,5.92,5.95,5.83
5.97,5.81,5.99,5.80
5.82,5.88,5.90,5.81
5.85,5.85,5.90,5.80
5.84,5.68,5.84,5.62
5.65,5.51,5.65,5.25
5.50,5.20,5.50,5.20
5.20,5.46,5.46,5.20
5.49,5.77,6.00,5.42
5.71,5.70,5.71,5.70
5.70,5.76,5.80,5.70
5.77,5.75,5.77,5.71
5.80,5.84,5.89,5.71
5.95,5.80,5.95,5.76
5.85,5.50,5.85,5.41
5.43,5.46,5.50,5.37
5.48,5.35,5.48,5.20
5.25,5.44,5.49,5.21
5.49,5.70,5.75,5.49
5.73,5.70,5.74,5.60
5.72,5.68,5.75,5.53
5.74,5.75,5.80,5.70
5.61,5.76,5.86,5.61
5.65,5.71,5.80,5.65
5.72,5.72,5.72,5.72
5.73,5.70,5.80,5.65
5.73,5.79,5.80,5.73
5.85,5.79,5.85,5.79
5.75,5.75,5.75,5.60
5.75,5.75,5.80,5.75
5.73,5.73,5.78,5.73
5.70,5.65,5.74,5.65
5.70,5.70,5.70,5.60
5.66,5.50,5.75,5.50
5.51,5.46,5.54,5.46
