MSON,MISONIX,NASDAQ
1.63,1.76,1.83,1.63
1.72,1.79,1.80,1.72
1.76,1.77,1.80,1.76
1.81,1.86,1.88,1.80
1.91,2.11,2.11,1.90
2.16,2.56,2.73,2.16
2.71,2.74,2.78,2.57
2.74,2.57,2.79,2.50
2.57,2.70,2.79,2.57
2.65,2.65,2.70,2.64
2.68,2.72,2.75,2.68
2.78,2.72,2.79,2.69
2.69,2.57,2.70,2.50
2.75,2.49,2.75,2.46
2.49,2.49,2.49,2.39
2.50,2.29,2.50,2.28
2.28,2.28,2.31,2.28
2.26,2.28,2.28,2.24
2.31,2.09,2.54,2.05
2.10,2.03,2.10,1.83
2.01,1.97,2.01,1.92
1.98,2.00,2.23,1.98
2.03,2.11,2.11,1.95
2.02,2.09,2.09,1.96
2.09,2.13,2.22,2.07
2.09,2.09,2.09,2.09
2.15,2.02,2.15,2.02
2.08,2.12,2.12,2.07
2.09,2.15,2.16,2.09
2.15,2.36,2.38,2.15
2.36,2.36,2.36,2.36
2.21,2.25,2.25,2.20
2.36,2.45,2.45,2.36
2.36,2.36,2.36,2.36
2.36,2.36,2.36,2.36
2.40,2.23,2.40,2.21
2.34,2.12,2.34,2.12
2.38,2.31,2.40,2.30
2.31,2.31,2.31,2.31
2.16,2.16,2.17,2.15
2.18,2.13,2.18,2.11
2.13,2.13,2.13,2.12
2.13,2.16,2.22,2.13
2.20,2.20,2.20,2.20
2.19,2.19,2.19,2.12
2.14,2.14,2.40,2.12
2.19,2.36,2.36,2.15
2.36,2.35,2.36,2.25
2.32,2.33,2.33,2.32
2.21,2.32,2.33,2.17
2.30,2.31,2.33,2.19
2.19,2.27,2.34,2.19
2.19,2.19,2.26,2.18
2.26,2.26,2.26,2.26
2.22,2.25,2.25,2.22
2.19,2.20,2.23,2.19
2.22,2.16,2.22,2.16
2.16,2.17,2.29,2.16
2.16,2.18,2.20,2.13
2.18,2.18,2.18,2.18
2.23,2.22,2.24,2.22
2.18,2.13,2.18,2.13
2.13,2.22,2.22,2.13
2.30,2.16,2.30,2.16
2.14,2.13,2.33,2.13
2.15,2.08,2.17,2.00
2.08,2.18,2.20,2.08
2.13,2.18,2.19,2.13
2.10,2.34,2.34,2.10
2.34,2.39,2.39,2.27
2.32,2.30,2.33,2.13
2.28,2.29,2.29,2.28
2.25,2.25,2.26,2.16
2.17,2.17,2.25,2.10
2.17,2.17,2.17,2.17
2.10,2.15,2.24,2.10
2.15,2.09,2.15,2.08
2.09,2.15,2.20,2.07
2.11,2.24,2.24,2.08
2.28,2.20,2.28,2.20
2.23,2.28,2.28,2.23
2.24,2.27,2.27,2.24
2.28,2.29,2.33,2.27
2.75,2.99,3.84,2.75
2.92,2.51,2.92,2.46
2.89,2.55,2.96,2.35
2.61,2.43,2.87,2.43
2.69,2.54,2.70,2.45
2.57,2.60,2.82,2.51
2.67,2.75,2.81,2.62
2.65,2.74,2.77,2.63
2.68,2.62,2.70,2.55
2.56,2.57,2.62,2.53
2.61,2.60,2.75,2.55
2.58,2.68,2.73,2.51
2.70,2.66,2.70,2.49
2.64,2.73,2.73,2.64
2.67,2.67,2.67,2.56
2.53,2.76,2.76,2.53
2.77,2.65,2.77,2.56
2.63,2.66,2.66,2.57
2.69,2.60,2.69,2.58
2.65,2.58,2.66,2.58
2.58,2.56,2.60,2.55
2.63,2.55,2.66,2.55
2.55,2.59,2.60,2.55
2.55,2.53,2.55,2.50
2.53,2.24,2.53,2.23
2.32,2.15,2.32,2.01
2.15,2.21,2.21,2.12
2.14,2.19,2.19,2.14
2.26,2.11,2.26,2.11
2.15,2.18,2.18,2.11
2.21,2.21,2.21,2.15
2.19,2.22,2.22,2.16
2.19,2.20,2.20,2.16
2.25,2.20,2.25,2.12
2.11,2.14,2.17,2.11
2.11,2.17,2.23,2.10
2.16,2.21,2.21,2.16
2.19,2.19,2.21,2.19
2.18,2.13,2.18,2.10
2.14,2.17,2.19,2.10
2.11,2.22,2.22,2.10
2.22,2.06,2.22,2.06
2.04,2.01,2.17,2.00
2.00,2.00,2.00,2.00
2.09,1.97,2.09,1.96
1.93,1.95,1.95,1.90
1.95,2.01,2.01,1.95
2.01,2.10,2.15,1.90
2.10,2.12,2.13,2.04
2.04,2.10,2.10,1.93
1.98,2.19,2.19,1.95
1.99,2.06,2.08,1.99
2.03,2.01,2.03,2.01
2.00,2.03,2.09,2.00
2.03,2.13,2.19,1.95
2.08,2.14,2.19,2.07
2.07,2.08,2.08,2.00
2.02,1.99,2.02,1.97
1.95,2.04,2.08,1.95
2.00,2.04,2.06,1.97
1.98,1.96,2.14,1.96
1.96,2.02,2.05,1.94
1.99,2.00,2.00,1.95
1.95,2.03,2.03,1.94
2.16,2.02,2.17,2.02
1.99,1.97,1.99,1.97
2.10,2.07,2.10,2.07
2.15,2.08,2.15,2.08
2.03,1.93,2.03,1.93
1.93,1.93,1.93,1.93
1.93,1.93,1.93,1.93
1.94,2.06,2.06,1.85
2.00,1.90,2.00,1.87
1.88,2.02,2.07,1.85
1.89,2.07,2.07,1.89
1.66,1.82,1.88,1.61
1.99,1.89,1.99,1.80
1.85,1.86,1.87,1.82
1.90,1.87,1.90,1.87
1.86,1.75,1.90,1.75
1.75,1.80,1.80,1.71
1.94,1.78,1.96,1.77
1.81,1.83,1.90,1.79
1.80,1.92,1.92,1.76
1.85,1.86,1.97,1.85
1.89,1.93,1.93,1.81
1.88,1.81,1.99,1.72
1.80,1.83,1.83,1.80
1.84,1.87,1.91,1.84
1.93,1.94,1.95,1.91
1.95,1.96,1.96,1.95
1.96,1.96,1.96,1.96
1.98,1.98,1.98,1.98
2.02,2.02,2.02,2.00
2.02,2.00,2.02,2.00
2.03,2.05,2.05,2.00
2.05,2.03,2.05,2.00
2.03,2.05,2.05,2.00
2.04,2.00,2.04,1.95
2.00,2.00,2.03,2.00
1.92,1.96,2.01,1.83
1.87,1.97,2.03,1.87
2.01,2.21,2.23,2.00
2.25,2.21,2.25,2.12
2.17,2.28,2.28,2.17
2.25,2.25,2.28,2.25
2.35,2.30,2.35,2.30
2.34,2.39,2.39,2.32
2.39,2.37,2.40,2.37
2.39,2.34,2.39,2.20
2.27,2.24,2.27,2.24
2.19,2.16,2.19,2.16
2.11,2.14,2.15,2.05
2.11,2.28,2.34,2.11
2.23,2.20,2.24,2.20
2.20,2.20,2.20,2.20
2.22,2.20,2.23,2.20
2.20,2.20,2.20,2.20
2.23,2.24,2.24,2.23
2.27,2.40,2.40,2.26
2.49,2.40,2.49,2.34
2.40,2.40,2.40,2.40
2.40,2.35,2.45,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.23,2.29,2.30,2.07
2.24,2.28,2.29,2.20
2.23,2.21,2.23,2.21
2.21,2.45,2.45,2.15
2.40,2.40,2.40,2.33
2.30,2.40,2.40,2.18
2.22,2.33,2.35,2.18
2.25,2.32,2.34,2.21
2.21,2.40,2.40,2.21
2.60,2.38,2.60,2.38
2.45,2.36,2.48,2.36
2.39,2.48,2.48,2.25
2.46,2.47,2.49,2.34
2.43,2.43,2.43,2.43
2.46,2.46,2.46,2.43
2.36,2.45,2.49,2.36
2.49,2.48,2.50,2.44
2.47,2.69,2.80,2.47
2.72,2.88,2.99,2.72
2.81,2.81,2.81,2.81
2.78,2.53,2.78,2.50
2.41,2.41,2.53,2.41
2.25,2.35,2.54,2.12
2.39,2.56,2.57,2.39
2.54,2.65,2.85,2.54
2.77,2.65,2.77,2.57
2.70,2.67,2.71,2.52
2.55,2.57,2.60,2.36
2.39,2.43,2.52,2.23
2.27,2.31,2.43,2.25
2.31,2.32,2.32,2.28
2.27,2.26,2.30,2.25
2.33,2.26,2.43,2.26
2.26,2.25,2.29,2.25
2.25,2.30,2.40,2.25
2.25,2.26,2.31,2.25
2.29,2.26,2.36,2.25
2.27,2.18,2.30,2.14
2.17,2.16,2.22,2.16
2.18,2.17,2.21,2.16
2.17,2.16,2.22,2.15
2.15,2.11,2.30,2.04
2.15,2.15,2.18,2.08
2.11,2.29,2.29,2.11
2.42,2.38,2.43,2.35
2.40,2.24,2.40,2.21
2.21,2.20,2.21,2.20
2.19,2.26,2.33,2.18
2.23,2.35,2.42,2.23
2.27,2.26,2.33,2.24
2.42,2.30,2.42,2.26
2.26,2.30,2.30,2.25
2.30,2.31,2.31,2.30
2.35,2.39,2.39,2.35
2.39,2.39,2.39,2.39
2.30,2.48,2.53,2.30
2.48,2.48,2.48,2.48
2.40,2.41,2.48,2.39
2.46,2.30,2.46,2.30
2.30,2.30,2.30,2.30
2.29,2.38,2.38,2.28
2.30,2.44,2.44,2.28
2.29,2.44,2.44,2.28
2.44,2.44,2.44,2.44
2.30,2.52,2.52,2.30
2.31,2.51,2.51,2.31
2.50,2.51,2.51,2.49
2.46,2.52,2.57,2.46
2.40,2.47,2.47,2.36
2.47,2.47,2.47,2.47
2.47,2.25,2.47,2.12
2.18,2.38,2.46,2.18
2.45,2.45,2.49,2.45
2.32,2.55,2.55,2.22
2.35,2.32,2.36,2.32
2.32,2.36,2.41,2.32
2.34,2.34,2.34,2.34
2.42,2.43,2.43,2.42
2.31,2.31,2.31,2.31
2.31,2.42,2.49,2.31
2.36,2.25,2.45,2.25
2.36,2.26,2.36,2.20
2.21,2.25,2.27,2.21
2.23,2.22,2.25,2.22
2.22,2.22,2.22,2.22
2.24,2.24,2.29,2.10
2.13,2.09,2.21,2.07
2.12,2.15,2.16,2.09
2.20,2.18,2.22,2.13
2.14,2.10,2.18,2.10
2.10,2.17,2.17,2.10
2.10,2.17,2.17,2.10
2.19,2.20,2.29,2.10
2.11,2.11,2.11,2.10
2.13,2.19,2.19,2.11
2.18,2.18,2.24,2.12
2.15,2.10,2.15,2.10
2.12,2.10,2.12,2.10
2.12,2.12,2.14,2.10
2.12,2.12,2.12,2.12
2.11,2.12,2.12,2.08
2.12,2.20,2.20,2.12
2.16,2.16,2.16,2.12
2.16,2.27,2.43,2.16
2.25,2.38,2.38,2.24
2.31,2.39,2.39,2.31
2.32,2.39,2.39,2.32
2.36,2.35,2.39,2.25
2.33,2.35,2.35,2.26
2.40,2.49,2.49,2.37
2.44,2.38,2.44,2.38
2.42,2.41,2.48,2.40
2.45,2.33,2.47,2.32
2.36,2.35,2.36,2.31
2.34,2.38,2.38,2.32
2.39,2.40,2.40,2.38
2.40,2.36,2.40,2.35
2.30,2.32,2.32,2.27
2.32,2.32,2.32,2.32
2.35,2.36,2.36,2.35
2.30,2.32,2.32,2.30
2.33,2.37,2.37,2.32
2.32,2.32,2.37,2.32
2.34,2.37,2.37,2.30
2.34,2.36,2.39,2.30
2.32,2.34,2.36,2.32
2.33,2.33,2.33,2.32
2.31,2.30,2.40,2.30
2.31,2.34,2.34,2.30
2.34,2.34,2.34,2.33
2.35,2.30,2.35,2.30
2.30,2.30,2.36,2.30
2.35,2.25,2.35,2.22
2.21,2.20,2.21,2.14
2.18,2.20,2.20,2.15
2.19,2.28,2.29,2.19
2.26,2.30,2.40,2.22
2.31,2.30,2.31,2.30
2.31,2.35,2.35,2.29
2.32,2.28,2.32,2.25
2.30,2.25,2.35,2.25
2.23,2.25,2.31,2.23
2.26,2.30,2.30,2.25
2.26,2.35,2.38,2.26
2.30,2.32,2.38,2.30
2.33,2.49,2.63,2.33
2.51,2.47,2.51,2.38
2.46,2.46,2.51,2.32
2.46,2.42,2.49,2.36
2.42,2.49,2.49,2.42
2.49,2.44,2.66,2.38
2.44,2.37,2.45,2.35
2.37,2.40,2.40,2.36
2.37,2.41,2.41,2.37
2.40,2.45,2.49,2.40
2.45,2.40,2.45,2.34
2.40,2.45,2.51,2.32
2.48,2.40,2.50,2.35
2.41,2.40,2.41,2.34
2.40,2.51,2.51,2.38
2.50,2.47,2.52,2.47
2.49,2.50,2.55,2.40
2.50,2.50,2.50,2.50
2.46,2.53,2.53,2.46
2.52,2.49,2.52,2.42
2.50,2.42,2.50,2.42
2.50,2.54,2.55,2.50
2.51,2.46,2.58,2.41
2.43,2.51,2.51,2.42
2.51,2.51,2.51,2.51
2.41,2.40,2.47,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.39
2.40,2.40,2.40,2.40
2.39,2.47,2.53,2.38
2.46,2.40,2.48,2.40
2.44,2.40,2.44,2.39
2.40,2.40,2.40,2.40
2.40,2.38,2.40,2.38
2.40,2.40,2.45,2.31
2.47,2.47,2.47,2.38
2.49,2.37,2.53,2.36
2.41,2.37,2.44,2.37
2.37,2.40,2.44,2.37
2.31,2.44,2.44,2.31
2.40,2.38,2.50,2.37
2.53,2.46,2.53,2.41
2.46,2.40,2.46,2.40
2.40,2.40,2.40,2.40
2.40,2.32,2.49,2.31
2.30,2.23,2.33,2.22
2.42,2.31,2.44,2.30
2.31,2.24,2.38,2.24
2.28,2.20,2.28,2.15
2.27,2.15,2.45,2.15
2.20,2.19,2.30,2.08
2.14,2.21,2.25,2.12
2.25,2.25,2.25,2.25
2.36,2.40,2.50,2.26
2.44,2.39,2.44,2.39
2.30,2.35,2.40,2.17
2.38,2.25,2.38,2.25
2.40,2.34,2.40,2.25
2.30,2.29,2.30,2.25
2.25,2.35,2.35,2.21
2.28,2.40,2.40,2.26
2.26,2.38,2.43,2.26
2.29,2.29,2.29,2.29
2.29,2.29,2.29,2.29
2.39,2.43,2.43,2.39
2.42,2.31,2.42,2.30
2.32,2.20,2.32,2.20
2.21,2.29,2.29,2.20
2.29,2.29,2.29,2.29
2.24,2.25,2.32,2.11
2.19,2.23,2.32,2.19
2.30,2.32,2.32,2.30
2.21,2.27,2.31,2.14
2.27,2.29,2.30,2.07
2.29,2.29,2.29,2.29
2.29,2.29,2.29,2.29
2.24,2.20,2.24,2.15
2.19,2.07,2.20,2.07
2.07,2.07,2.07,2.07
2.10,2.11,2.20,2.10
2.07,2.10,2.10,2.00
2.10,2.10,2.10,2.10
2.03,2.04,2.05,2.03
2.04,2.04,2.04,2.04
2.00,2.00,2.00,2.00
2.00,1.98,2.11,1.98
2.00,1.85,2.00,1.77
1.93,1.93,1.93,1.93
1.76,1.84,2.00,1.76
1.83,2.00,2.00,1.81
1.89,1.98,2.00,1.89
1.90,1.98,2.00,1.78
1.85,1.98,1.98,1.80
1.88,1.88,1.88,1.88
1.90,1.81,1.90,1.81
1.53,1.86,2.00,1.53
1.86,1.86,1.86,1.86
1.84,1.83,1.84,1.83
1.80,1.77,1.80,1.77
1.50,1.65,1.67,1.50
1.70,1.70,1.77,1.65
1.73,1.71,1.77,1.71
1.64,1.68,1.68,1.64
1.75,1.83,1.95,1.75
1.83,1.83,1.83,1.83
1.83,1.83,1.83,1.83
1.77,1.84,1.84,1.77
1.84,1.75,1.84,1.75
1.80,1.70,1.80,1.70
1.71,1.64,1.71,1.64
1.64,1.65,1.65,1.64
1.65,1.72,1.79,1.65
1.80,1.74,1.80,1.65
1.66,1.84,2.10,1.66
1.95,1.95,1.99,1.93
1.95,1.81,1.95,1.81
1.91,1.97,1.99,1.91
1.99,2.03,2.09,1.97
1.90,1.88,2.10,1.85
1.86,1.90,2.00,1.86
1.87,2.00,2.00,1.86
1.99,1.97,2.00,1.86
1.99,2.03,2.14,1.99
2.02,2.13,2.15,1.90
2.00,2.20,2.20,2.00
2.18,2.04,2.21,1.98
1.91,2.03,2.03,1.91
2.08,2.08,2.08,2.06
2.00,1.87,2.00,1.87
1.95,2.16,2.20,1.88
1.96,1.88,2.08,1.84
1.91,1.97,2.08,1.88
1.98,2.02,2.02,1.88
1.94,1.86,1.95,1.80
1.86,1.99,1.99,1.85
1.97,1.89,2.00,1.87
1.96,2.00,2.00,1.87
2.00,2.00,2.00,2.00
1.92,1.98,1.98,1.91
1.97,1.98,1.98,1.96
1.96,1.99,2.00,1.96
1.87,2.00,2.00,1.87
2.00,1.99,2.00,1.86
2.04,1.99,2.04,1.87
1.87,1.95,1.95,1.87
2.04,2.01,2.04,1.87
1.88,1.97,1.97,1.88
1.82,1.90,1.93,1.82
1.96,1.82,1.96,1.81
1.85,1.90,1.90,1.84
1.81,2.04,2.04,1.81
2.05,1.98,2.05,1.92
1.84,1.90,2.02,1.84
1.88,1.90,2.01,1.86
1.86,1.90,1.92,1.86
1.85,1.94,1.99,1.81
1.86,1.93,1.98,1.81
1.93,1.93,1.93,1.93
1.85,1.97,1.97,1.85
1.89,1.89,1.89,1.89
1.95,1.89,1.95,1.89
1.86,2.00,2.00,1.86
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.87,1.87,2.00,1.87
1.90,1.81,1.90,1.81
1.90,1.90,2.00,1.90
1.90,1.90,1.90,1.90
1.95,1.95,1.95,1.95
1.84,1.90,1.91,1.82
1.83,1.85,1.91,1.83
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.90,1.60,1.90,1.60
1.65,1.81,2.00,1.65
1.89,1.89,1.95,1.80
1.91,2.00,2.19,1.91
2.01,1.93,2.03,1.91
1.90,2.04,2.04,1.90
2.00,2.00,2.04,1.91
1.96,1.82,2.00,1.70
1.85,1.90,1.96,1.78
1.90,1.90,1.90,1.90
1.91,1.92,1.95,1.91
1.96,1.98,2.01,1.95
1.95,2.02,2.04,1.95
2.03,2.04,2.05,2.03
2.07,2.01,2.12,1.95
2.01,2.01,2.03,1.97
1.95,1.97,1.97,1.95
1.90,2.00,2.06,1.90
2.03,1.99,2.07,1.97
1.99,1.99,1.99,1.99
1.99,2.02,2.02,1.99
2.01,1.99,2.02,1.98
1.99,2.05,2.05,1.99
2.05,2.08,2.08,2.05
2.08,2.06,2.10,2.02
2.05,2.01,2.05,2.00
2.01,2.04,2.04,2.00
2.05,2.05,2.05,2.02
2.11,2.12,2.12,2.10
2.03,2.14,2.14,2.02
2.10,1.98,2.10,1.91
1.93,1.98,1.98,1.93
1.96,2.03,2.03,1.92
1.97,1.97,1.97,1.97
1.98,1.98,1.98,1.98
1.99,2.05,2.05,1.99
2.04,2.05,2.05,1.95
2.00,1.99,2.00,1.95
1.99,1.99,1.99,1.99
1.99,2.02,2.02,1.99
2.03,2.01,2.03,1.98
2.00,1.98,2.03,1.98
1.99,2.01,2.01,1.99
2.01,2.03,2.04,2.01
2.01,2.03,2.05,2.00
2.01,2.05,2.05,2.00
2.00,1.90,2.00,1.90
1.92,1.99,2.00,1.90
1.91,1.91,1.98,1.91
1.91,1.92,1.97,1.91
1.88,1.97,1.97,1.88
1.91,1.97,1.97,1.91
2.00,2.05,2.05,2.00
2.05,2.01,2.05,2.01
2.04,2.02,2.04,2.02
2.00,2.00,2.00,1.90
1.92,1.99,1.99,1.91
1.95,2.00,2.00,1.95
1.94,2.00,2.00,1.94
1.96,1.93,1.96,1.90
2.00,1.99,2.00,1.99
1.91,2.00,2.00,1.91
2.00,2.00,2.00,2.00
1.95,1.91,1.95,1.91
1.92,1.91,1.94,1.91
1.93,1.91,2.00,1.91
1.92,1.90,1.95,1.90
2.10,1.94,2.10,1.94
1.97,1.97,1.97,1.97
1.96,2.00,2.00,1.90
1.95,1.93,1.95,1.93
1.99,2.00,2.00,1.95
2.02,2.00,2.10,2.00
2.00,1.98,2.00,1.98
