MCD,McDonald's Corporation Common Stock,NASDAQ
62.63,62.78,63.07,62.31
62.66,62.30,62.75,62.19
62.20,61.45,62.41,61.06
61.25,61.90,62.34,61.11
62.27,61.84,62.41,61.60
62.02,62.32,62.43,61.85
62.03,62.66,62.66,62.00
62.86,62.59,63.29,62.56
62.56,62.65,62.73,62.09
62.67,62.28,62.98,62.05
62.90,63.48,63.82,62.77
63.49,63.01,63.60,62.75
62.97,63.20,63.60,62.80
63.23,63.39,64.78,62.81
63.34,63.09,63.60,62.92
62.75,63.81,64.00,62.75
63.67,63.73,64.00,63.30
63.85,62.83,63.87,62.75
62.82,62.43,63.22,62.39
62.83,63.89,63.97,62.83
63.87,64.03,64.05,63.35
64.63,65.21,65.75,64.61
65.19,64.06,65.27,64.02
64.07,63.37,64.34,62.63
63.48,62.92,63.80,62.92
63.15,63.57,63.85,62.77
63.54,63.25,63.83,62.97
63.25,63.79,63.84,62.54
63.21,63.59,63.89,63.19
63.50,64.01,64.18,63.28
64.21,64.26,64.35,63.77
64.11,64.48,64.62,64.00
64.46,64.74,64.89,64.30
64.93,64.77,64.93,64.63
64.78,64.87,65.05,64.70
64.96,65.26,65.55,64.77
64.29,64.38,64.64,63.76
64.46,63.85,64.73,63.85
63.98,63.98,64.14,63.67
64.42,64.07,64.42,63.91
64.25,63.63,64.34,63.45
63.79,63.43,63.79,63.30
63.72,63.67,63.76,63.25
64.41,65.12,65.54,64.23
64.99,65.10,65.50,64.84
65.02,64.94,65.24,64.73
64.80,65.21,65.21,64.67
65.46,65.53,65.98,65.36
65.70,65.93,66.19,65.69
66.22,66.07,66.24,65.80
66.23,66.38,66.44,65.87
66.47,66.68,66.74,66.36
66.53,66.53,66.91,66.00
66.07,67.01,67.25,65.90
67.14,67.35,67.35,66.83
66.99,66.80,67.19,66.58
67.13,66.90,67.44,66.84
67.09,67.26,67.45,66.93
67.46,67.07,67.48,66.59
67.11,67.24,67.49,66.92
67.15,66.72,67.39,66.63
67.06,67.58,67.71,67.06
67.76,68.03,68.20,67.76
67.77,67.81,67.96,67.65
67.80,67.70,68.13,67.26
67.90,68.76,69.03,67.87
68.66,68.68,68.77,68.14
68.77,68.53,68.85,68.37
68.68,68.92,69.05,68.31
69.18,69.42,69.53,69.05
69.31,69.16,69.49,68.97
69.11,69.03,69.28,68.33
69.00,69.92,69.97,68.99
69.98,70.34,70.59,69.95
70.62,70.36,71.19,70.05
70.25,71.03,71.47,70.12
71.22,71.15,71.35,70.75
71.30,71.02,71.42,70.73
70.71,70.53,71.33,70.40
