RTM,Guggenheim S&P 500 Equal Weight Materials ETF,NASDAQ
53.33,54.06,54.08,53.33
54.01,54.20,54.25,53.85
54.27,55.03,55.17,54.27
54.30,54.80,54.83,54.30
54.97,55.49,55.50,54.90
56.11,55.30,56.11,55.01
54.51,54.27,55.00,53.83
54.36,54.81,54.83,53.98
54.56,54.38,54.56,54.29
54.39,53.74,54.57,53.52
54.01,54.54,54.54,53.70
54.20,53.87,54.20,53.35
53.55,51.67,53.59,51.67
51.33,50.57,51.85,50.35
51.23,50.85,51.23,50.78
50.35,50.30,51.03,49.96
49.86,49.30,49.86,48.61
50.11,48.86,50.23,48.74
49.07,47.92,49.86,47.92
48.55,49.42,49.42,48.55
49.52,50.21,50.35,49.52
50.04,49.56,50.36,49.56
48.62,47.38,48.62,47.38
47.89,48.66,48.66,47.00
48.63,48.33,49.03,48.28
48.90,49.14,49.34,48.52
49.06,48.82,49.06,48.36
48.90,49.70,49.71,48.90
48.74,49.71,49.76,48.74
50.22,50.83,51.05,50.22
51.50,50.98,51.55,50.66
50.94,51.60,51.60,50.94
51.52,52.02,52.21,51.43
51.95,51.90,52.07,51.67
51.86,50.91,51.86,50.85
50.91,50.85,51.50,50.85
50.36,51.25,51.25,50.00
51.37,51.44,51.54,51.10
51.73,52.39,52.39,51.65
52.49,52.78,53.01,52.49
52.98,53.24,53.71,52.98
53.40,53.52,53.67,53.05
54.01,54.41,54.51,54.01
54.49,54.32,54.61,54.21
53.98,54.09,54.52,53.98
53.96,54.24,54.50,53.92
53.90,54.35,54.35,53.90
55.00,54.72,55.00,54.58
54.55,54.52,54.55,54.11
54.73,55.43,55.43,54.73
55.92,55.80,56.16,55.60
55.76,55.20,55.93,55.08
54.71,54.71,55.35,53.21
54.02,55.38,55.38,53.86
55.54,56.29,56.29,55.41
56.07,56.10,56.30,55.94
56.62,55.58,56.62,55.58
55.45,55.58,55.99,55.25
55.68,56.25,56.50,55.68
56.43,56.05,56.62,56.05
56.00,55.85,56.16,55.85
56.76,56.66,56.86,56.45
57.11,57.60,57.60,57.11
57.61,57.65,57.85,57.32
57.80,57.20,57.83,57.01
56.94,57.36,57.37,56.74
57.36,57.54,57.58,57.28
57.91,57.33,57.91,57.33
57.46,57.29,57.46,56.96
57.58,57.89,57.89,57.34
58.05,57.84,58.06,57.67
57.89,56.93,57.89,56.59
56.81,56.71,56.81,55.73
57.18,56.87,57.31,56.87
56.85,56.87,57.12,56.65
56.39,57.58,57.58,56.22
57.81,58.37,58.37,57.72
58.72,58.30,59.01,58.30
57.98,56.45,57.98,56.45
56.80,56.61,56.95,56.44
57.27,57.32,57.38,57.07
57.46,56.31,57.46,56.28
56.58,56.21,57.75,55.68
