SBSA,Spanish Broadcasting System,NASDAQ
0.78,0.80,0.83,0.72
0.75,0.77,0.84,0.75
0.74,0.75,0.80,0.74
0.75,0.78,0.79,0.69
0.78,0.79,0.80,0.76
0.79,0.72,0.79,0.72
0.70,0.61,0.70,0.60
0.61,0.67,0.70,0.61
0.68,0.67,0.71,0.61
0.65,0.77,0.77,0.65
0.80,0.81,0.81,0.77
0.81,0.84,0.90,0.75
0.86,0.84,0.86,0.74
0.85,0.84,0.85,0.82
0.86,0.86,0.86,0.84
0.87,0.85,0.87,0.83
0.85,0.88,0.88,0.84
0.81,0.85,0.88,0.80
0.82,0.83,0.85,0.78
0.83,0.76,0.84,0.75
0.76,0.75,0.81,0.75
0.78,0.75,0.81,0.75
0.78,0.78,0.80,0.75
0.76,0.75,0.79,0.73
0.80,0.75,0.80,0.72
0.75,0.72,0.77,0.70
0.70,0.74,0.74,0.68
0.76,0.70,0.76,0.69
0.70,0.71,0.72,0.69
0.71,0.73,0.73,0.70
0.72,0.74,0.74,0.72
0.73,0.74,0.74,0.71
0.71,0.74,0.74,0.71
0.75,0.79,0.79,0.75
0.80,0.77,0.80,0.75
0.76,0.76,0.78,0.76
0.75,0.78,0.78,0.75
0.78,0.71,0.80,0.71
0.74,0.71,0.75,0.70
0.71,0.70,0.71,0.63
0.68,0.65,0.71,0.63
0.65,0.68,0.68,0.64
0.68,0.76,0.77,0.68
0.76,0.77,0.78,0.75
0.77,0.80,0.82,0.77
0.76,0.80,0.82,0.71
0.80,0.93,0.93,0.80
0.93,0.88,1.04,0.86
0.88,0.91,0.91,0.85
0.92,0.99,0.99,0.85
0.99,0.95,1.02,0.93
1.00,0.98,1.00,0.94
0.94,0.71,0.94,0.71
0.75,0.74,0.82,0.73
0.81,0.75,0.83,0.74
0.76,0.86,0.86,0.75
0.86,0.77,0.88,0.75
0.80,0.81,0.83,0.76
0.79,0.80,0.80,0.78
0.80,0.80,0.82,0.77
0.80,0.79,0.81,0.75
0.76,0.77,0.79,0.73
0.79,0.80,0.85,0.74
0.76,0.85,0.86,0.76
0.84,0.79,0.86,0.78
0.79,0.79,0.83,0.79
0.82,0.84,0.85,0.80
0.84,0.92,0.93,0.84
0.92,0.90,0.92,0.88
0.91,1.04,1.04,0.89
1.04,1.03,1.08,0.99
1.03,1.02,1.04,0.95
1.04,1.01,1.09,0.98
1.01,1.16,1.16,1.01
1.20,1.10,1.20,1.05
1.10,1.27,1.35,1.06
1.25,1.47,1.50,1.22
1.51,1.58,1.65,1.43
1.58,1.60,1.73,1.34
1.50,1.50,1.60,1.43
1.50,1.74,1.75,1.50
1.75,1.71,1.83,1.62
1.68,1.96,2.02,1.64
1.96,1.92,2.02,1.76
1.86,2.04,2.20,1.77
1.97,1.61,2.10,1.30
1.60,1.58,1.85,1.50
1.60,1.75,1.83,1.60
1.58,1.91,1.92,1.48
1.94,1.94,1.99,1.86
2.01,2.10,2.10,1.86
2.07,2.00,2.07,1.94
2.00,1.99,2.04,1.94
2.03,1.93,2.07,1.92
1.92,1.81,1.92,1.67
1.75,1.62,1.78,1.57
1.50,1.60,1.69,1.41
1.62,1.67,1.74,1.60
1.52,1.62,1.70,1.49
1.62,1.60,1.74,1.60
1.65,1.77,1.80,1.65
1.77,1.71,1.77,1.71
1.55,1.70,1.73,1.50
1.62,1.77,1.82,1.62
1.75,1.79,1.88,1.75
1.71,1.60,1.75,1.58
1.60,1.60,1.71,1.54
1.60,1.61,1.70,1.51
1.65,1.64,1.65,1.57
1.68,1.63,1.69,1.58
1.57,1.70,1.70,1.57
1.73,1.65,1.73,1.64
1.65,1.61,1.66,1.56
1.58,1.60,1.66,1.57
1.59,1.55,1.61,1.51
1.54,1.58,1.59,1.47
1.60,1.55,1.64,1.51
1.52,1.47,1.57,1.47
1.45,1.31,1.45,1.30
1.29,1.27,1.32,1.23
1.27,1.33,1.38,1.20
1.33,1.26,1.33,1.26
1.25,1.14,1.25,1.04
1.14,1.14,1.20,1.09
1.17,0.99,1.17,0.99
1.00,0.96,1.02,0.96
1.01,0.98,1.01,0.95
0.96,0.95,0.98,0.90
0.94,0.93,0.98,0.93
0.98,1.01,1.01,0.96
1.00,1.04,1.10,1.00
1.07,1.18,1.30,1.07
1.16,1.19,1.24,1.14
1.18,1.18,1.21,1.13
1.18,1.12,1.18,1.05
1.09,1.10,1.17,1.05
1.09,1.10,1.13,1.04
1.10,1.11,1.12,1.09
1.11,1.12,1.15,1.00
1.10,1.13,1.15,1.06
1.15,1.17,1.18,1.12
1.17,1.22,1.27,1.17
1.22,1.18,1.22,1.13
1.17,1.17,1.19,1.13
1.10,1.13,1.18,1.09
1.13,1.16,1.17,1.11
1.16,1.14,1.16,1.13
1.18,1.16,1.20,1.13
1.18,1.17,1.20,1.10
1.17,1.22,1.22,1.15
1.25,1.19,1.25,1.17
1.15,1.15,1.17,1.13
1.12,1.16,1.16,1.10
1.10,1.12,1.15,1.10
1.15,1.08,1.16,1.08
1.09,1.07,1.10,1.05
1.07,1.07,1.08,1.00
1.05,1.08,1.09,1.03
1.06,1.05,1.07,1.01
1.01,1.01,1.02,0.99
1.01,0.98,1.01,0.94
0.97,0.93,0.99,0.89
0.91,0.92,0.93,0.85
0.90,0.99,0.99,0.87
0.95,1.05,1.05,0.95
1.07,0.98,1.08,0.97
0.99,0.93,1.01,0.89
0.93,0.95,0.99,0.90
0.95,0.92,0.98,0.91
0.92,0.82,0.93,0.81
0.81,0.83,0.87,0.80
0.86,0.81,0.87,0.78
0.84,0.82,0.85,0.80
0.82,0.81,0.83,0.78
0.80,0.72,0.80,0.70
0.75,0.76,0.77,0.73
0.76,0.78,0.80,0.74
0.79,0.83,0.86,0.79
0.81,0.83,0.86,0.81
0.85,0.86,0.86,0.83
0.86,0.84,0.86,0.79
0.82,0.82,0.83,0.80
0.80,0.82,0.83,0.80
0.82,0.86,0.86,0.81
0.90,0.84,0.90,0.83
0.84,0.86,0.87,0.82
0.87,0.87,0.89,0.84
0.88,0.88,0.88,0.83
0.88,0.85,0.88,0.79
0.83,0.84,0.86,0.82
0.84,0.84,0.86,0.80
0.83,0.84,0.86,0.83
0.84,0.84,0.86,0.80
0.82,0.85,0.85,0.82
0.83,0.84,0.84,0.83
0.84,0.86,0.86,0.82
0.84,0.85,0.87,0.84
0.84,0.84,0.84,0.80
0.84,0.85,0.86,0.82
0.82,0.80,0.84,0.80
0.78,0.79,0.84,0.76
0.79,0.75,0.80,0.72
0.77,0.77,0.77,0.75
0.76,0.75,0.80,0.73
0.74,0.73,0.74,0.73
0.74,0.74,0.74,0.72
0.73,0.77,0.78,0.71
0.78,0.73,0.78,0.73
0.71,0.73,0.77,0.71
0.73,0.72,0.73,0.68
0.71,0.77,0.79,0.71
0.77,0.76,0.79,0.76
0.79,0.81,0.82,0.76
0.79,0.78,0.80,0.77
0.75,0.80,0.81,0.75
0.78,0.80,0.80,0.78
0.80,0.83,0.83,0.70
0.83,0.82,0.83,0.80
0.80,0.81,0.83,0.79
0.83,0.78,0.84,0.78
0.76,0.78,0.79,0.76
0.77,0.75,0.81,0.75
0.76,0.76,0.80,0.75
0.75,0.77,0.77,0.72
0.76,0.74,0.78,0.73
0.74,0.74,0.74,0.73
0.74,0.72,0.75,0.70
0.73,0.73,0.75,0.70
0.73,0.72,0.73,0.70
0.71,0.73,0.74,0.71
0.73,0.72,0.75,0.71
0.73,0.73,0.76,0.72
0.75,0.75,0.77,0.73
0.75,0.74,0.76,0.72
0.73,0.73,0.74,0.71
0.72,0.72,0.72,0.72
0.75,0.74,0.76,0.72
0.73,0.75,0.76,0.73
0.77,0.77,0.80,0.76
0.76,0.76,0.78,0.75
0.79,0.74,0.79,0.74
0.76,0.76,0.77,0.74
0.76,0.76,0.77,0.74
0.77,0.74,0.78,0.74
0.76,0.74,0.76,0.74
0.74,0.75,0.75,0.74
0.76,0.74,0.76,0.74
0.74,0.72,0.77,0.71
0.73,0.72,0.73,0.70
0.71,0.71,0.73,0.70
0.71,0.73,0.75,0.70
0.73,0.72,0.75,0.71
0.72,0.83,0.83,0.70
0.82,0.81,0.86,0.76
0.81,0.82,0.85,0.80
0.81,0.85,0.86,0.81
0.84,0.83,0.87,0.82
0.82,0.78,0.84,0.78
0.78,0.82,0.84,0.78
0.81,0.93,0.95,0.73
0.94,1.06,1.06,0.94
1.06,1.06,1.14,1.04
1.07,0.97,1.07,0.93
0.96,0.94,0.96,0.89
0.89,0.92,0.94,0.89
0.91,0.94,0.94,0.91
0.94,0.96,0.96,0.92
0.96,0.94,0.98,0.92
0.95,0.92,0.95,0.91
0.92,0.95,0.97,0.89
0.91,0.96,0.96,0.91
0.95,0.94,0.96,0.91
0.96,0.97,1.01,0.89
0.97,0.94,0.97,0.89
0.92,0.91,0.94,0.89
0.91,0.90,0.91,0.82
0.90,0.93,0.95,0.86
0.93,0.89,0.98,0.87
0.90,0.90,0.93,0.84
0.88,0.93,0.93,0.88
0.93,0.93,0.96,0.91
0.92,0.92,0.94,0.91
0.93,0.98,0.98,0.92
0.87,0.96,0.98,0.87
0.96,0.98,1.05,0.95
0.99,0.97,1.00,0.94
0.97,0.97,0.99,0.94
0.98,0.90,0.98,0.89
0.92,0.92,0.95,0.88
0.97,0.94,0.97,0.91
0.96,0.93,0.98,0.93
0.94,0.93,0.94,0.92
0.98,0.98,0.98,0.94
0.98,0.98,0.98,0.95
0.97,0.94,0.98,0.91
0.95,0.97,0.98,0.93
0.98,1.03,1.05,0.93
1.04,1.09,1.21,1.01
1.10,0.99,1.10,0.93
1.05,1.00,1.05,0.93
1.00,0.98,1.00,0.95
0.96,0.97,0.99,0.93
0.99,0.98,1.03,0.96
0.98,0.98,1.01,0.98
1.00,0.98,1.00,0.91
1.01,0.97,1.01,0.94
0.95,0.94,1.01,0.93
0.96,0.93,0.99,0.92
0.96,0.98,0.98,0.93
0.94,0.91,0.97,0.87
0.90,0.94,0.96,0.90
0.94,0.95,0.96,0.93
0.95,0.94,0.95,0.93
0.93,0.93,0.94,0.90
0.91,0.90,0.91,0.86
0.89,0.89,0.89,0.86
0.88,0.87,0.90,0.86
0.87,0.90,0.90,0.87
0.89,0.89,0.90,0.89
0.89,0.85,0.89,0.83
0.84,0.84,0.86,0.84
0.82,0.83,0.83,0.78
0.82,0.85,0.86,0.82
0.85,0.89,0.98,0.80
0.90,0.90,0.90,0.87
0.88,0.80,0.88,0.77
0.79,0.83,0.89,0.79
0.82,0.80,0.83,0.77
0.78,0.79,0.82,0.77
0.78,0.79,0.81,0.78
0.78,0.78,0.80,0.78
0.79,0.78,0.79,0.77
0.79,0.77,0.80,0.77
0.78,0.77,0.78,0.74
0.76,0.78,0.79,0.75
0.78,0.80,0.82,0.78
0.79,0.79,0.83,0.79
0.78,0.82,0.85,0.77
0.81,0.83,0.85,0.78
0.83,0.89,0.93,0.80
0.89,0.89,0.92,0.88
0.89,0.90,0.90,0.89
0.90,0.89,0.90,0.87
0.87,0.88,0.90,0.87
0.87,0.86,0.89,0.86
0.86,0.84,0.91,0.82
0.80,0.82,0.84,0.78
0.83,0.77,0.83,0.77
0.77,0.77,0.80,0.76
0.75,0.74,0.79,0.72
0.75,0.72,0.78,0.72
0.73,0.74,0.76,0.72
0.73,0.75,0.75,0.73
0.75,0.75,0.76,0.75
0.75,0.71,0.75,0.71
0.72,0.72,0.74,0.72
0.71,0.68,0.73,0.66
0.68,0.68,0.70,0.66
0.69,0.66,0.69,0.66
0.67,0.67,0.71,0.66
0.68,0.64,0.69,0.64
0.64,0.64,0.65,0.62
0.67,0.63,0.67,0.62
0.63,0.59,0.64,0.58
0.59,0.60,0.62,0.59
0.61,0.61,0.64,0.60
0.65,0.60,0.65,0.60
0.59,0.65,0.65,0.59
0.71,0.70,0.73,0.62
0.68,0.74,0.75,0.65
0.71,0.72,0.72,0.70
0.72,0.74,0.75,0.67
0.73,0.69,0.74,0.65
0.69,0.70,0.75,0.69
0.72,0.69,0.74,0.69
0.70,0.71,0.75,0.69
0.71,0.69,0.71,0.68
0.70,0.65,0.71,0.65
0.65,0.68,0.70,0.65
0.66,0.63,0.69,0.60
0.65,0.64,0.68,0.64
0.65,0.67,0.68,0.61
0.66,0.66,0.67,0.62
6.30,6.24,6.30,5.00
6.30,6.51,7.55,6.30
6.51,6.51,6.51,6.51
7.00,6.80,7.00,6.80
6.50,6.50,6.62,6.00
6.51,6.82,6.90,6.50
6.55,6.95,7.00,6.55
7.00,6.97,7.00,6.85
7.00,6.84,7.30,6.81
6.58,6.83,6.95,6.58
6.90,6.90,6.90,6.25
6.35,5.74,6.90,5.58
5.61,4.44,5.96,4.25
4.45,4.61,4.80,4.24
4.50,4.38,4.87,4.19
4.09,4.17,4.73,3.94
3.96,3.75,4.00,3.26
3.51,3.44,3.65,3.07
3.54,3.68,3.71,3.30
3.45,2.78,3.50,2.53
2.92,2.95,3.47,2.65
2.94,2.97,3.22,2.75
2.91,2.75,3.00,2.75
2.80,2.70,2.80,2.70
3.00,3.15,3.19,2.95
3.19,3.25,3.37,3.14
3.33,3.59,3.66,3.31
3.49,3.28,3.59,3.21
3.10,3.23,3.45,3.10
3.40,2.88,3.40,2.84
2.88,3.00,3.20,2.88
3.00,3.03,3.10,3.00
3.10,3.05,3.20,3.04
3.05,3.10,3.31,2.98
3.19,3.08,3.20,2.86
3.10,3.19,3.32,3.10
3.29,3.23,3.29,3.13
3.24,3.22,3.47,3.08
3.10,3.10,3.28,3.08
3.05,3.19,3.25,3.05
3.19,3.11,3.25,3.05
2.98,3.00,3.10,2.96
3.00,2.98,3.01,2.94
3.01,2.96,3.01,2.79
2.90,2.92,2.92,2.84
2.90,2.82,2.95,2.70
2.93,2.85,2.93,2.80
2.78,2.94,2.95,2.75
2.81,2.79,2.81,2.76
2.88,2.82,2.96,2.70
2.80,2.15,2.80,2.12
2.15,1.80,2.15,1.65
1.75,1.70,1.88,1.70
1.69,1.79,2.01,1.69
1.80,2.04,2.19,1.80
2.14,1.98,2.17,1.95
2.14,1.80,2.14,1.78
1.72,1.66,1.76,1.55
1.67,1.30,1.67,1.15
1.52,1.28,1.52,1.25
1.44,1.33,1.47,1.32
1.39,1.28,1.39,1.26
1.30,1.19,1.36,1.19
1.23,1.22,1.41,1.22
1.22,1.25,1.26,1.20
1.21,1.17,1.26,1.17
1.16,1.20,1.24,1.16
1.24,1.18,1.24,1.18
1.18,1.23,1.34,1.18
1.22,1.21,1.22,1.19
1.20,1.23,1.23,1.18
1.24,1.20,1.24,1.19
1.25,1.20,1.25,1.19
1.18,0.99,1.18,0.97
1.05,0.98,1.06,0.95
1.00,1.00,1.05,1.00
1.05,1.03,1.05,0.99
1.02,1.02,1.02,0.99
1.02,1.00,1.04,1.00
0.99,1.00,1.04,0.99
1.02,1.03,1.04,0.99
1.03,1.03,1.04,0.97
0.99,1.06,1.06,0.99
1.06,1.48,1.65,1.05
1.63,2.99,3.14,1.53
2.80,2.13,2.93,1.91
2.40,2.11,2.43,2.00
3.20,3.10,4.05,2.70
2.95,3.10,3.15,2.70
3.02,2.95,3.09,2.81
3.00,2.95,3.02,2.78
2.88,2.81,2.94,2.75
2.81,2.70,2.91,2.70
2.60,2.35,2.68,2.25
2.37,2.59,2.59,2.25
2.58,2.50,2.58,2.50
2.46,2.51,2.59,2.45
2.59,2.63,2.83,2.55
2.68,2.74,2.74,2.66
2.80,2.47,2.80,2.30
2.54,2.33,2.54,2.31
2.48,2.41,2.48,2.32
2.48,2.31,2.48,2.30
2.35,2.44,2.47,2.26
2.39,2.37,2.40,2.31
2.31,2.25,2.31,2.25
2.24,2.25,2.30,2.20
2.26,2.17,2.32,2.14
2.16,2.12,2.16,2.05
2.07,2.06,2.11,2.06
2.09,2.05,2.09,2.05
2.05,1.99,2.05,1.90
1.98,1.98,2.00,1.98
2.05,1.96,2.05,1.94
1.94,1.86,1.94,1.70
1.94,2.20,2.23,1.94
2.24,2.38,2.43,2.21
2.35,2.60,3.40,2.35
2.63,2.74,2.79,2.55
2.69,2.80,2.85,2.68
2.85,3.00,3.05,2.85
3.10,2.89,3.15,2.89
2.89,2.99,2.99,2.89
2.99,2.96,3.03,2.93
2.95,2.95,3.04,2.95
2.99,2.94,3.06,2.94
2.95,2.97,3.04,2.95
3.00,3.00,3.00,2.97
3.01,2.84,3.01,2.78
2.81,2.84,2.97,2.81
2.86,2.89,2.99,2.84
2.84,2.92,2.99,2.84
3.00,3.59,4.08,2.99
3.57,4.38,4.40,3.45
4.53,5.53,6.27,4.51
5.49,7.36,7.45,5.10
7.41,7.06,7.47,6.60
7.00,6.14,7.00,5.59
5.97,6.15,6.81,5.87
6.14,7.08,7.30,5.87
7.01,5.88,7.19,5.88
5.90,5.94,6.31,5.90
6.05,5.97,6.25,5.80
6.09,5.46,6.09,5.39
5.41,5.54,5.74,5.41
5.44,4.89,5.58,4.81
4.95,5.09,5.58,4.95
5.09,4.58,5.10,4.54
4.54,4.98,5.31,4.51
5.00,5.00,5.04,4.61
4.92,4.84,5.18,4.75
4.88,5.06,5.06,4.88
5.00,5.05,5.41,4.96
4.99,5.09,5.12,4.94
5.19,5.20,5.33,4.97
5.22,5.79,6.04,5.12
6.01,5.28,6.08,5.25
5.21,5.40,5.58,5.00
5.41,4.83,5.41,4.56
4.79,4.61,4.79,4.50
4.60,4.36,4.82,4.30
4.38,4.32,4.48,4.32
4.37,4.61,4.75,4.37
4.59,4.20,4.60,4.09
4.12,4.13,4.19,3.92
4.13,4.00,4.34,4.00
4.07,4.32,4.34,4.00
4.23,4.42,4.60,4.23
4.44,4.39,4.48,4.26
4.38,4.27,4.55,4.22
4.27,4.16,4.34,4.11
4.15,4.09,4.21,4.05
4.09,4.14,4.20,3.90
4.12,4.22,4.34,4.06
4.24,4.15,4.27,3.99
4.14,4.00,4.14,3.95
3.98,3.93,3.98,3.80
3.92,4.08,4.25,3.88
4.13,3.96,4.13,3.93
4.02,4.38,4.65,4.00
4.42,4.12,4.47,3.99
4.15,4.71,5.00,4.09
5.55,6.75,7.09,5.45
6.57,6.65,7.25,6.41
6.59,6.13,6.96,6.00
6.08,6.20,6.45,5.67
6.16,5.94,6.16,5.72
5.89,5.89,6.07,5.50
5.91,5.65,6.15,5.52
5.72,6.20,6.31,5.72
6.17,6.41,6.72,6.12
6.38,6.20,6.58,6.14
6.14,6.06,6.22,6.00
6.05,6.51,6.59,6.03
6.44,6.45,6.55,6.33
6.48,6.55,6.69,6.16
6.58,6.74,6.94,6.58
6.75,6.41,6.77,6.34
6.37,6.26,6.45,6.16
6.33,6.59,6.71,6.32
6.63,6.61,7.07,6.27
6.67,6.45,6.67,6.42
6.46,6.26,6.46,6.16
6.26,6.28,6.36,6.16
6.32,6.27,6.40,6.17
6.23,6.13,6.23,6.00
6.12,6.19,6.29,6.05
6.16,6.72,6.84,5.60
6.68,6.70,6.81,6.51
6.62,6.76,6.96,6.61
6.79,7.00,7.40,6.79
7.04,6.85,7.50,6.76
6.85,6.35,7.13,6.25
5.89,3.75,5.89,3.65
3.73,4.21,4.47,3.60
4.13,4.15,4.54,4.00
4.18,4.04,4.26,4.01
4.03,4.08,4.17,4.01
4.09,3.97,4.12,3.96
3.97,3.77,3.97,3.72
3.78,3.51,3.82,3.47
3.54,3.40,3.54,3.30
3.41,3.44,3.57,3.31
3.41,3.23,3.41,3.19
3.21,3.08,3.37,3.06
3.05,3.15,3.21,3.02
3.12,2.88,3.17,2.85
2.89,2.98,3.13,2.78
3.03,3.49,3.84,2.98
3.49,3.35,3.81,3.32
3.35,3.36,3.42,3.14
3.41,3.51,3.74,3.40
3.57,3.31,3.73,3.19
3.17,3.22,3.31,3.16
3.24,3.26,3.37,3.18
3.27,3.52,3.55,3.23
3.51,3.72,3.77,3.51
3.72,3.77,3.99,3.64
3.77,3.76,3.77,3.63
3.75,3.58,3.75,3.54
3.60,3.51,3.60,3.50
3.46,3.83,3.92,3.46
3.83,3.76,3.87,3.70
3.77,3.95,4.18,3.77
3.93,3.82,3.94,3.77
3.96,4.06,4.17,3.96
4.04,4.07,4.12,3.96
4.08,4.10,4.16,4.03
4.06,4.25,4.51,4.05
4.18,4.37,4.67,3.89
