FXE,Guggenheim CurrencyShares Euro Currency Trust,NASDAQ
144.13,143.86,144.32,143.81
143.89,143.46,144.09,143.25
143.28,143.89,144.08,143.19
143.19,142.97,143.26,142.82
143.67,143.91,144.15,142.77
144.81,144.94,145.30,144.74
144.62,144.65,145.21,144.59
145.29,144.83,145.37,144.49
144.59,144.76,144.93,144.21
143.68,143.55,143.72,143.12
142.59,142.78,142.81,142.27
141.09,140.78,141.15,140.57
140.62,140.70,141.16,140.09
140.95,141.14,141.56,140.63
141.18,141.26,141.37,141.05
140.40,140.55,140.79,140.21
140.20,139.96,140.36,139.75
139.65,139.46,139.65,139.20
139.05,138.39,139.09,138.35
138.94,139.05,139.08,138.69
139.26,139.38,139.47,139.00
139.22,138.71,139.30,138.63
137.97,137.16,138.02,137.00
136.61,136.40,136.81,135.60
136.51,136.37,136.84,136.27
137.22,137.52,138.11,136.68
137.07,137.06,137.31,136.54
136.39,136.59,136.70,135.71
135.47,135.87,136.13,135.25
136.25,137.41,137.49,136.18
136.75,135.82,136.84,135.58
135.76,135.86,136.28,135.28
134.89,135.65,135.80,134.57
135.90,135.70,136.00,135.46
135.26,134.75,135.51,134.70
135.20,135.05,135.96,134.88
134.45,135.27,135.42,134.38
135.47,135.85,136.53,135.32
135.06,135.32,135.51,134.32
135.40,135.82,135.95,134.87
136.16,136.65,137.08,135.97
136.23,135.64,136.36,135.24
135.49,135.91,135.98,135.31
136.53,136.00,136.60,135.82
135.36,135.71,135.86,135.33
135.96,136.22,136.49,135.83
136.15,136.48,136.54,136.00
137.16,137.30,137.46,136.97
136.80,136.44,136.85,136.10
136.93,137.47,137.53,136.86
137.18,137.11,137.48,136.98
136.38,135.80,136.63,135.56
135.06,135.06,135.24,134.72
134.46,135.21,135.36,134.44
134.81,134.67,135.30,134.49
133.15,132.94,133.44,132.90
133.12,132.52,133.56,132.37
133.34,133.80,133.88,133.15
134.19,134.46,134.50,134.03
134.34,133.83,134.40,133.65
134.74,134.73,135.15,134.68
134.60,135.51,135.55,134.56
134.81,134.48,134.96,134.39
133.44,133.73,133.75,133.23
133.20,133.22,133.41,133.08
132.78,133.16,133.32,132.70
133.43,134.58,134.60,133.41
135.60,135.48,135.83,135.37
135.78,135.51,135.78,135.12
135.93,136.22,136.44,135.67
135.27,135.47,135.49,135.03
134.75,134.77,135.06,134.40
133.95,134.51,134.54,133.94
134.40,134.10,134.45,133.96
133.70,133.65,133.73,133.38
132.93,132.78,132.99,132.24
132.39,133.37,133.63,132.36
132.83,133.30,133.33,132.64
132.51,131.43,133.06,131.37
131.93,131.63,131.96,130.79
131.87,132.07,132.30,131.75
132.99,132.77,133.03,132.20
131.94,131.61,132.02,131.20
130.30,129.70,130.35,129.59
127.86,127.86,128.70,127.75
126.74,125.96,127.35,124.88
126.44,126.96,127.38,125.74
128.87,127.51,129.08,127.24
126.95,126.45,127.16,126.44
126.36,125.91,126.74,125.82
125.25,124.95,125.61,124.94
124.66,123.47,124.68,123.24
123.42,123.48,123.82,122.47
123.96,121.77,124.02,121.27
122.43,123.50,123.65,122.23
123.20,124.75,125.63,122.62
125.10,125.36,125.62,124.83
123.50,123.42,123.80,123.11
121.83,122.98,123.09,121.72
122.35,121.57,122.57,121.42
122.02,123.22,123.58,121.69
123.16,122.37,123.44,122.33
121.58,122.03,123.20,121.51
121.78,122.11,122.29,121.45
122.18,121.22,122.19,121.16
120.20,119.28,120.43,119.19
119.07,118.80,119.37,118.80
118.90,119.12,119.75,118.79
120.02,119.52,120.37,119.42
120.58,121.05,121.06,120.40
120.48,120.57,120.93,120.12
122.11,121.89,122.62,121.79
122.58,123.07,123.10,122.27
122.57,122.63,122.99,122.46
123.52,123.49,123.72,122.99
123.36,123.36,123.58,123.17
123.42,122.78,123.60,122.65
122.50,122.38,122.80,122.25
122.16,122.69,123.04,121.70
122.72,122.86,123.49,122.55
122.66,123.44,123.55,122.42
123.00,122.33,123.05,122.28
121.57,121.56,121.75,121.13
121.99,121.87,122.57,121.87
123.52,124.77,125.00,123.50
125.47,125.08,125.62,124.87
125.50,125.80,126.20,125.24
125.52,126.01,126.20,125.47
126.43,126.50,126.60,126.11
125.86,126.00,126.09,125.74
125.23,125.48,125.58,125.14
125.86,126.73,126.96,125.86
126.55,126.97,127.36,126.55
128.21,128.91,129.03,128.14
129.23,128.82,129.38,128.71
129.12,128.98,129.41,128.97
128.21,128.49,128.78,128.20
