CMF,iShares California Muni Bond ETF,NASDAQ
105.46,105.45,105.56,105.45
105.39,105.37,105.80,105.32
105.75,105.65,105.75,105.40
105.80,105.80,105.88,105.63
105.54,105.60,105.90,105.54
105.61,105.89,105.93,105.60
105.88,105.87,105.88,105.75
105.79,105.79,106.00,105.74
106.15,106.10,106.16,105.82
nan,106.21,nan,nan
106.08,106.10,106.24,106.03
106.28,106.24,106.28,106.05
106.36,106.36,106.38,105.68
106.09,106.03,106.33,105.90
106.26,106.20,106.26,106.04
106.18,106.03,106.18,105.86
106.08,105.80,106.08,105.78
105.87,105.85,105.89,105.81
105.84,105.73,105.89,105.73
105.49,105.45,105.59,105.41
105.15,105.55,105.73,105.15
105.83,105.83,105.95,105.58
105.63,106.08,106.08,105.38
106.12,106.21,106.21,105.86
106.21,106.17,106.21,106.00
105.80,106.10,106.16,105.80
106.13,105.88,106.13,105.84
105.90,105.88,106.03,105.88
nan,105.82,nan,nan
105.81,105.99,106.07,105.78
105.80,105.97,106.02,105.80
105.79,105.90,106.03,105.76
105.92,105.88,106.09,105.68
105.81,105.79,105.81,105.58
105.93,105.75,105.93,105.70
105.89,106.06,106.06,105.89
106.17,106.19,106.21,105.96
106.24,106.27,106.27,106.13
106.01,105.98,106.03,105.98
106.02,106.08,106.10,105.88
105.90,106.12,106.13,105.90
106.10,106.09,106.29,106.09
106.09,106.35,106.35,106.09
106.37,106.39,106.39,106.20
106.39,106.52,106.52,106.24
106.38,106.45,106.46,106.24
106.23,106.37,110.39,106.22
106.27,106.50,106.53,106.23
106.36,106.58,106.58,106.36
106.44,106.55,106.64,106.41
106.59,106.40,106.61,106.40
106.36,106.59,108.33,106.36
107.02,106.87,107.02,106.84
106.54,106.58,106.77,106.54
106.53,106.52,106.68,106.52
106.67,106.19,106.68,106.19
106.22,106.05,106.38,106.05
105.88,106.00,106.24,105.88
105.94,106.10,106.12,105.94
106.24,106.00,106.24,106.00
106.00,106.10,106.14,106.00
nan,105.77,nan,nan
105.80,105.74,105.80,105.19
104.48,105.72,105.74,104.48
105.65,105.52,105.70,105.51
105.51,105.76,105.78,105.51
105.79,105.59,105.82,105.59
105.61,105.90,105.92,105.61
105.90,106.03,106.03,105.88
105.90,106.10,106.12,105.89
106.04,106.22,106.25,106.03
106.33,106.35,106.39,106.31
106.27,106.54,106.54,106.27
106.67,106.48,106.68,106.39
106.78,106.90,107.05,106.75
107.11,107.16,107.16,106.99
107.23,107.24,107.26,107.05
107.28,107.34,107.55,107.24
107.47,107.66,107.78,107.47
107.71,107.85,107.85,107.59
107.85,107.83,107.85,107.67
107.76,107.81,107.82,107.68
107.66,107.48,107.66,107.40
107.53,107.59,107.60,107.40
107.55,107.49,107.55,107.48
107.57,107.47,107.66,107.47
107.50,107.30,107.50,107.25
107.46,107.46,107.61,107.31
107.48,107.51,107.52,107.29
107.49,107.40,107.53,107.30
107.49,107.26,107.49,107.26
107.49,107.52,107.62,106.20
107.50,107.57,107.57,107.36
107.41,107.46,107.70,107.41
107.48,107.75,107.75,107.48
107.66,107.80,107.80,107.66
107.71,107.88,107.92,107.71
107.94,107.95,107.96,107.74
107.80,108.13,108.13,107.80
107.96,108.07,108.14,107.90
108.09,107.66,108.09,107.22
nan,107.95,nan,nan
107.65,107.60,107.65,107.43
107.59,107.50,107.60,107.50
107.44,107.64,107.64,107.40
107.58,107.58,107.58,107.36
107.60,107.56,107.75,107.54
107.74,107.81,107.81,107.60
107.60,107.79,107.88,107.60
107.88,107.64,107.88,107.51
107.50,107.56,107.57,107.33
107.50,107.18,107.51,107.09
107.10,106.98,107.15,106.98
107.07,106.31,107.16,106.25
107.13,107.15,107.16,107.05
107.18,107.04,107.18,107.01
107.00,107.15,107.21,107.00
106.79,107.13,107.21,106.79
107.15,107.25,107.33,107.15
107.27,107.39,107.39,107.19
107.39,107.22,107.59,107.20
107.21,107.35,107.44,107.21
107.33,107.36,107.48,107.28
107.26,107.35,107.48,107.26
107.27,107.29,107.29,107.06
nan,107.32,nan,nan
107.16,107.34,107.36,107.16
107.44,107.56,107.56,107.26
107.35,107.31,107.52,107.31
107.61,107.54,107.61,107.31
107.59,107.54,107.59,107.51
107.58,107.65,107.65,107.58
107.64,107.65,107.65,107.58
107.72,107.78,107.79,107.60
107.89,107.92,107.94,107.73
107.91,107.42,107.91,107.42
107.50,107.78,107.88,107.50
107.87,107.94,107.94,107.69
108.13,108.09,108.13,107.91
108.24,108.11,108.24,108.02
108.07,108.25,108.28,108.07
108.16,108.36,108.38,108.15
108.34,108.35,108.36,108.21
108.39,108.46,108.47,108.23
108.28,108.30,108.64,108.28
108.30,108.22,108.30,108.01
107.99,108.20,108.23,107.99
108.29,108.26,108.29,108.25
108.43,108.49,108.49,108.23
108.52,108.27,108.60,108.00
108.56,108.37,108.56,108.37
108.63,108.49,108.65,108.49
108.86,108.99,109.00,108.69
109.00,109.01,109.14,108.94
109.07,109.18,109.19,109.07
109.10,109.42,109.43,109.10
109.50,109.65,109.67,109.50
109.80,109.78,109.81,109.75
109.69,109.94,109.94,109.69
109.99,110.18,110.18,109.92
110.21,110.17,110.22,109.20
110.36,110.34,110.36,110.17
110.50,110.50,110.65,110.50
110.60,110.72,110.80,110.55
110.75,110.56,110.78,110.52
110.46,110.56,110.67,110.46
110.61,110.61,110.79,110.61
110.38,110.40,110.41,110.21
110.40,110.35,110.40,110.20
nan,109.91,nan,nan
110.11,109.93,110.16,109.93
110.01,109.85,110.01,109.67
109.90,109.78,109.90,109.66
109.78,109.54,109.79,109.53
109.58,109.62,109.69,106.78
109.60,109.65,109.75,109.60
109.55,109.66,109.74,109.54
109.62,109.74,109.74,109.61
109.70,109.68,109.70,109.60
109.72,109.60,109.80,109.57
109.59,109.65,109.89,109.59
110.00,110.04,110.07,109.98
110.10,110.14,110.27,110.10
110.21,110.17,110.30,109.99
110.37,110.26,110.37,110.08
110.29,110.31,110.32,110.15
110.26,110.25,110.27,110.12
110.15,110.15,110.21,110.10
109.80,109.71,109.80,109.70
109.75,109.67,109.75,109.52
109.47,109.55,109.55,109.36
109.42,109.60,109.60,109.39
109.60,109.83,109.83,109.60
109.94,110.00,110.00,109.69
109.20,109.64,109.85,109.20
109.68,109.89,109.91,109.68
109.66,109.80,109.80,109.66
109.71,109.60,109.71,109.60
109.51,109.43,109.73,109.43
109.51,109.41,109.65,108.54
109.38,109.43,109.69,109.36
109.67,109.72,109.72,109.48
109.66,109.69,109.70,109.46
109.65,109.62,109.68,109.52
109.42,109.58,109.60,109.42
109.60,109.36,109.60,109.28
109.18,109.07,109.21,109.07
109.11,109.00,109.11,108.90
109.03,109.16,109.16,109.03
108.78,108.73,108.79,108.58
108.65,108.67,108.76,108.65
108.80,108.46,108.80,108.39
108.50,108.77,108.79,108.50
108.69,108.42,108.69,108.40
108.38,108.43,108.64,108.28
108.15,107.87,108.39,107.72
107.54,107.32,107.54,107.12
107.13,106.36,107.13,105.73
106.35,105.84,106.35,105.63
105.30,102.48,105.45,102.06
102.00,102.14,102.50,100.61
101.50,102.06,102.82,101.50
103.25,103.06,103.25,100.99
103.61,103.63,104.42,103.60
104.00,104.89,104.89,104.00
105.05,105.16,105.16,104.75
nan,105.20,nan,nan
105.25,104.96,105.30,104.73
105.25,104.97,105.25,104.80
105.14,105.16,105.21,104.94
104.95,104.34,104.95,104.30
104.69,103.36,104.69,103.36
103.04,104.32,104.38,102.69
102.62,102.45,104.70,102.43
102.18,102.00,103.64,101.92
101.15,102.68,103.03,101.15
102.52,101.29,102.59,101.29
101.36,101.50,102.50,100.96
101.04,101.70,101.70,100.50
100.50,99.41,101.31,99.41
99.05,100.10,100.60,98.71
99.88,100.86,100.87,99.54
100.31,101.02,101.81,100.31
101.02,101.16,101.93,101.02
101.03,101.39,101.96,101.03
100.76,101.49,101.93,100.10
nan,100.63,nan,nan
100.55,99.86,101.05,99.86
99.65,99.45,100.00,99.40
99.42,99.02,100.00,99.00
98.90,99.18,99.76,98.85
99.94,98.85,99.94,98.85
98.85,99.47,99.94,98.79
99.50,100.00,100.00,99.00
99.00,100.12,100.82,99.00
99.88,100.49,100.49,99.10
100.31,99.92,100.31,99.12
99.25,98.89,100.00,98.89
99.02,98.81,99.63,98.73
98.79,98.48,98.79,97.58
97.91,97.43,98.26,96.92
nan,96.35,nan,nan
95.50,96.30,96.98,95.27
96.40,96.89,97.44,96.40
95.73,97.10,97.32,95.73
95.60,96.44,97.10,95.60
97.00,97.05,98.15,97.00
97.06,97.58,98.34,97.00
98.20,98.00,98.20,97.31
98.39,97.30,98.39,97.14
97.74,98.00,98.00,97.29
98.49,97.60,98.49,97.50
97.22,97.30,97.93,97.22
97.60,99.04,100.35,97.60
98.61,97.05,98.61,96.99
96.88,97.93,97.94,96.88
96.80,97.38,97.38,96.80
96.73,96.67,97.58,96.67
97.50,96.20,97.50,96.06
96.00,97.97,97.97,96.00
97.55,97.24,98.00,97.24
98.25,98.08,98.25,98.08
98.03,98.45,98.49,98.03
98.64,99.19,99.19,98.64
99.49,99.42,99.49,99.39
nan,99.80,nan,nan
99.90,99.68,99.90,99.68
99.89,100.28,100.40,99.89
99.50,99.13,100.36,98.54
99.24,100.69,100.69,99.24
100.24,100.75,100.75,100.24
102.56,100.40,102.57,100.40
102.33,101.20,102.33,101.20
101.00,101.10,101.11,101.00
101.60,101.45,101.60,101.45
101.85,101.20,101.85,101.11
100.79,101.75,101.75,100.79
101.75,101.65,101.75,100.94
100.94,101.00,101.49,100.94
100.67,100.66,100.86,100.62
100.77,100.75,100.77,100.75
102.38,101.00,102.38,100.92
101.98,102.12,102.50,101.44
101.08,101.22,101.50,101.03
