SITO,SITO Mobile,NASDAQ
0.72,0.64,0.72,0.64
0.64,0.70,0.70,0.64
0.65,0.68,0.68,0.64
0.68,0.66,0.68,0.66
0.66,0.69,0.71,0.66
0.70,0.67,0.73,0.67
0.70,0.72,0.73,0.65
0.70,0.84,0.84,0.70
0.80,0.72,0.80,0.72
0.72,0.61,0.74,0.61
0.65,0.65,0.69,0.61
0.65,0.62,0.65,0.62
0.63,0.59,0.63,0.59
0.59,0.59,0.59,0.59
0.60,0.55,0.60,0.55
0.55,0.57,0.57,0.53
0.57,0.57,0.57,0.51
0.57,0.57,0.57,0.57
0.57,0.57,0.57,0.57
0.58,0.59,0.59,0.58
0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.58
0.59,0.58,0.61,0.53
0.57,0.60,0.60,0.53
0.57,0.59,0.59,0.53
0.52,0.55,0.60,0.51
0.55,0.55,0.55,0.55
0.52,0.55,0.55,0.52
0.55,0.59,0.60,0.52
0.52,0.57,0.57,0.50
0.56,0.61,0.65,0.55
0.60,0.51,0.62,0.51
0.51,0.54,0.54,0.40
0.54,0.45,0.54,0.45
0.53,0.55,0.57,0.53
0.56,0.55,0.56,0.54
0.57,0.56,0.57,0.55
0.56,0.55,0.57,0.55
0.55,0.55,0.56,0.50
0.58,0.60,0.60,0.58
0.60,0.60,0.63,0.60
0.60,0.62,0.62,0.58
0.60,0.61,0.61,0.55
0.58,0.57,0.60,0.56
0.57,0.57,0.60,0.57
0.60,0.64,0.64,0.55
0.65,0.60,0.65,0.59
0.60,0.66,0.77,0.60
0.66,0.66,0.66,0.65
0.64,0.61,0.65,0.56
0.59,0.66,0.66,0.59
0.64,0.58,0.64,0.58
0.58,0.58,0.64,0.58
0.58,0.60,0.60,0.58
0.60,0.58,0.60,0.58
0.58,0.58,0.60,0.56
0.60,0.56,0.60,0.56
0.56,0.58,0.58,0.56
0.55,0.53,0.55,0.52
0.53,0.51,0.53,0.51
0.52,0.51,0.52,0.50
0.50,0.51,0.51,0.50
0.48,0.48,0.48,0.48
0.51,0.50,0.52,0.49
0.52,0.50,0.52,0.48
0.53,0.50,0.53,0.41
0.50,0.50,0.53,0.50
0.53,0.50,0.53,0.50
0.52,0.57,0.57,0.51
0.58,0.61,0.64,0.57
0.64,0.64,0.66,0.60
0.64,0.60,0.65,0.60
0.60,0.61,0.61,0.60
0.61,0.62,0.62,0.60
0.61,0.62,0.66,0.61
0.66,0.65,0.66,0.65
0.65,0.66,0.66,0.62
0.62,0.56,0.62,0.56
0.60,0.69,0.70,0.58
0.68,0.66,0.68,0.65
0.66,0.65,0.66,0.63
0.65,0.61,0.69,0.61
0.59,0.69,0.69,0.58
0.69,0.68,0.69,0.63
0.68,0.78,0.78,0.67
0.78,0.70,0.79,0.70
0.67,0.79,0.79,0.67
0.79,0.89,0.90,0.79
0.89,0.94,0.97,0.89
0.94,0.98,1.02,0.94
0.99,1.06,1.13,0.99
1.06,0.97,1.10,0.93
0.97,0.96,0.97,0.90
0.96,0.96,0.96,0.96
0.96,0.81,0.96,0.71
0.80,0.79,0.80,0.71
0.76,0.85,0.85,0.76
0.85,0.85,0.85,0.85
0.79,0.90,0.90,0.79
0.92,0.90,0.98,0.90
0.90,0.90,0.90,0.90
0.83,0.78,0.88,0.78
0.80,0.85,0.85,0.80
0.85,0.92,0.92,0.85
0.92,0.95,0.95,0.90
0.93,0.90,0.93,0.90
0.91,0.93,0.93,0.90
0.99,0.93,1.00,0.90
0.91,0.94,0.94,0.91
0.94,0.94,0.94,0.93
0.94,0.94,0.94,0.92
0.94,0.97,0.97,0.93
1.00,1.13,1.20,0.98
1.16,1.10,1.35,1.05
1.15,1.17,1.17,1.10
1.19,1.30,1.30,1.19
1.30,1.42,1.45,1.30
1.41,1.49,1.54,1.37
1.49,1.47,1.61,1.43
1.48,1.52,1.58,1.45
1.55,1.50,1.55,1.42
1.53,1.50,1.55,1.49
1.50,1.51,1.51,1.42
1.50,1.50,1.54,1.46
1.45,1.48,1.49,1.41
1.42,1.43,1.43,1.42
1.42,1.23,1.42,1.16
1.19,1.26,1.26,1.16
1.27,1.25,1.27,1.23
1.22,1.27,1.31,1.21
1.30,1.39,1.40,1.29
1.40,1.39,1.40,1.31
1.36,1.31,1.36,1.29
1.30,1.33,1.33,1.26
1.33,1.34,1.39,1.33
1.35,1.35,1.37,1.35
1.36,1.34,1.36,1.33
1.26,1.19,1.27,1.03
1.20,1.13,1.20,1.11
1.24,1.14,1.27,1.12
1.14,1.15,1.15,1.13
1.14,1.12,1.15,1.12
1.11,1.13,1.13,1.11
1.13,1.13,1.14,1.11
1.13,1.10,1.14,1.06
1.10,1.10,1.10,1.09
1.10,1.10,1.11,1.08
1.12,1.08,1.12,1.08
1.08,1.06,1.08,1.05
1.05,1.06,1.06,1.03
1.05,1.03,1.05,1.00
1.04,1.05,1.07,1.01
1.07,1.08,1.08,1.05
1.07,1.07,1.08,1.07
1.06,1.03,1.08,1.00
1.00,0.90,1.03,0.87
0.89,0.80,0.92,0.80
0.77,0.80,0.85,0.77
0.78,0.82,0.82,0.78
0.82,0.83,0.84,0.81
0.89,0.82,0.89,0.82
0.84,0.65,0.84,0.65
0.70,0.70,0.73,0.70
0.73,0.74,0.74,0.68
0.70,0.70,0.73,0.68
0.71,0.74,0.74,0.67
0.75,0.77,0.77,0.74
0.78,0.82,0.85,0.78
0.83,0.83,0.83,0.81
0.83,0.86,0.86,0.82
0.88,0.98,1.00,0.88
1.01,1.02,1.13,0.98
1.04,1.06,1.08,1.04
1.05,1.10,1.10,1.05
1.10,1.04,1.10,1.01
1.04,0.98,1.04,0.92
0.98,0.96,1.00,0.91
0.95,0.95,0.97,0.95
0.95,0.95,0.95,0.94
0.89,0.92,0.94,0.89
0.98,0.91,0.98,0.91
0.90,0.92,0.92,0.90
0.93,0.92,0.93,0.92
0.94,0.91,0.94,0.90
0.93,0.85,0.93,0.80
0.85,0.85,0.85,0.84
0.85,0.85,0.85,0.85
0.83,0.85,0.85,0.82
0.85,0.85,0.85,0.85
0.82,0.86,0.86,0.82
0.84,0.84,0.84,0.82
0.82,0.82,0.83,0.82
0.82,0.82,0.82,0.82
0.80,0.80,0.80,0.70
0.81,0.81,0.81,0.80
0.81,0.87,0.87,0.81
0.88,0.80,0.88,0.76
0.85,0.80,0.88,0.79
0.79,0.75,0.79,0.72
0.75,0.78,0.78,0.72
0.72,0.78,0.78,0.72
0.73,0.78,0.78,0.73
0.73,0.73,0.78,0.73
0.78,0.80,0.80,0.78
0.80,0.80,0.80,0.79
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.75,0.97,0.97,0.75
1.01,1.05,1.20,1.00
1.09,0.99,1.09,0.99
1.00,0.96,1.00,0.82
0.96,0.93,0.96,0.82
0.90,0.92,0.93,0.90
0.90,0.95,0.97,0.87
0.97,1.00,1.03,0.97
1.00,1.00,1.02,0.99
1.00,1.02,1.02,1.00
1.01,1.02,1.05,1.01
1.04,1.01,1.04,0.99
0.99,0.95,0.99,0.92
0.99,0.88,0.99,0.88
0.92,0.90,0.92,0.90
0.90,0.90,0.95,0.90
0.92,0.90,0.92,0.86
0.90,0.90,0.94,0.87
0.92,0.91,0.95,0.89
0.90,0.92,0.95,0.90
0.90,0.91,0.91,0.90
0.86,0.90,0.90,0.86
0.90,0.89,0.90,0.89
0.89,0.90,0.90,0.89
0.88,0.90,0.90,0.88
0.90,1.00,1.05,0.90
0.95,0.95,0.95,0.93
0.91,0.95,1.00,0.90
0.95,0.92,0.95,0.90
0.92,0.90,0.94,0.90
0.90,0.90,0.92,0.88
0.93,0.90,0.93,0.90
0.90,0.87,0.90,0.87
0.88,0.95,0.95,0.86
0.88,0.90,0.90,0.86
0.89,0.90,0.90,0.89
0.88,0.90,0.90,0.86
0.87,0.90,0.90,0.87
0.85,0.88,0.90,0.85
0.88,0.82,0.88,0.80
0.75,0.79,0.82,0.75
0.80,0.80,0.80,0.77
0.75,0.77,0.77,0.73
0.75,0.75,0.77,0.74
0.76,0.74,0.77,0.74
0.73,0.78,0.78,0.72
0.80,0.78,0.80,0.72
0.75,0.81,0.82,0.75
0.81,0.80,0.81,0.80
0.80,0.80,0.80,0.78
0.79,0.80,0.81,0.79
0.78,0.81,0.89,0.78
0.81,0.82,0.82,0.80
