YTEN,Yield10 Bioscience,NASDAQ
11.39,11.65,12.13,11.39
11.60,11.74,12.06,11.60
11.70,11.74,12.00,11.67
11.75,11.90,12.00,11.59
11.80,11.59,11.85,11.52
11.62,11.18,11.67,11.15
11.09,11.07,11.27,11.00
11.16,11.51,11.74,11.10
11.51,11.46,11.59,11.32
11.47,11.28,11.47,11.00
11.28,11.13,11.45,11.05
11.06,11.25,11.29,10.67
11.29,10.66,11.33,10.66
10.60,10.27,10.98,10.20
10.55,10.59,10.65,10.24
10.51,10.16,10.60,10.12
10.12,10.10,10.40,10.10
10.16,10.06,10.24,9.81
10.16,9.97,10.24,9.90
10.04,9.61,10.04,9.35
9.60,9.87,9.98,9.55
9.79,9.54,9.99,9.50
9.49,9.00,9.61,8.94
9.05,9.75,9.81,8.98
9.71,9.18,9.71,9.11
9.41,9.20,9.41,9.07
9.13,9.07,9.13,8.83
9.06,9.62,9.67,8.88
9.46,9.77,9.81,9.29
9.86,9.94,10.05,9.71
10.05,10.73,10.99,10.05
10.75,10.56,10.76,10.52
10.55,10.11,10.76,10.08
10.12,10.00,10.33,9.91
9.98,10.01,10.20,9.98
10.03,10.14,10.23,10.02
9.99,9.90,10.00,9.75
9.91,9.54,9.98,9.52
9.66,10.12,10.15,9.66
10.19,9.78,10.19,9.70
9.85,10.22,10.27,9.85
10.26,10.36,10.43,9.82
10.46,10.67,10.75,10.30
10.72,10.35,10.80,10.29
10.32,10.63,10.66,10.28
10.60,10.93,10.96,10.57
11.10,12.42,12.60,10.96
12.43,11.92,12.78,11.89
11.76,11.81,11.96,11.40
11.87,11.87,12.00,11.58
11.61,11.69,11.90,11.54
11.72,11.69,11.89,11.64
11.81,11.81,11.88,11.55
11.75,11.55,11.75,11.18
11.52,11.79,11.89,11.39
11.69,11.65,11.93,11.56
11.76,11.96,12.06,11.63
11.98,12.28,12.32,11.85
12.35,12.25,12.51,12.24
12.31,12.73,13.13,12.07
12.63,12.18,12.70,12.12
12.30,12.37,12.46,12.15
12.47,12.48,13.05,12.32
12.44,13.09,13.16,12.27
12.98,12.88,13.36,12.74
12.86,12.81,12.89,12.65
12.79,12.88,13.00,12.73
12.85,12.65,12.85,12.48
12.58,12.62,12.69,12.36
12.50,12.59,12.60,12.30
12.54,13.02,13.04,12.54
13.00,12.81,13.02,12.64
12.68,12.41,13.12,12.39
12.44,12.62,12.64,12.38
12.64,13.03,13.14,12.64
12.91,14.42,14.52,12.78
14.45,13.98,14.98,13.92
14.63,13.22,14.64,13.18
13.23,12.97,13.43,12.79
13.01,13.42,13.80,13.01
13.53,12.78,13.56,12.08
12.82,12.44,12.97,12.16
12.50,12.44,12.50,12.08
12.25,12.77,12.88,12.14
12.72,12.47,12.86,12.43
12.42,11.56,12.50,10.03
11.57,11.94,12.63,11.42
12.54,12.30,12.83,12.14
12.18,12.81,13.00,12.18
14.07,16.42,16.50,13.86
16.48,16.72,17.12,16.10
16.56,16.05,16.90,15.77
16.09,15.37,16.20,15.20
15.45,14.81,15.65,14.36
14.68,15.71,15.82,14.34
15.25,14.76,15.25,14.51
14.39,14.96,15.46,14.26
14.90,14.57,15.19,14.39
14.36,14.93,15.02,13.78
15.05,14.16,15.14,13.83
14.55,14.49,14.75,14.10
14.44,14.50,14.74,14.01
14.40,14.43,14.90,14.09
14.51,15.39,15.45,14.33
15.30,16.25,16.40,15.30
15.71,14.53,15.99,14.52
14.67,14.04,14.75,13.82
14.08,13.85,14.13,13.55
13.99,13.34,14.06,13.15
13.62,13.92,14.00,13.24
13.76,14.58,14.60,13.67
14.76,14.94,15.21,14.57
15.00,15.38,15.45,14.75
15.26,14.95,15.33,14.80
15.07,15.11,15.30,14.57
15.23,14.96,15.23,14.70
15.29,14.74,15.29,14.48
14.83,14.75,15.16,14.52
14.80,14.63,14.94,14.42
