FDS,FactSet Research Systems Inc. Common Stock,NASDAQ
66.21,66.68,67.16,66.04
66.75,67.31,67.33,66.26
67.43,67.46,67.89,67.13
67.47,68.03,68.20,67.33
68.03,68.18,68.26,67.70
68.11,67.12,68.49,66.73
66.97,66.60,67.01,66.13
66.95,67.94,68.15,66.95
67.99,67.09,68.05,66.70
67.09,66.81,67.38,66.15
66.91,67.03,68.32,65.89
66.41,65.78,66.41,65.60
65.78,64.70,66.29,64.62
64.76,63.87,65.08,63.83
64.26,63.42,64.44,62.86
63.31,63.95,64.25,62.56
64.41,64.72,64.97,63.49
64.76,63.67,64.94,63.00
63.85,63.00,64.16,62.73
63.08,63.76,63.85,62.84
63.81,64.65,64.79,63.24
64.16,64.08,64.31,63.94
63.63,62.19,63.80,62.15
62.09,62.85,62.92,61.15
62.45,62.31,63.08,62.00
62.60,63.09,63.33,62.42
63.08,63.10,63.45,62.45
62.86,64.33,64.63,62.61
63.57,64.90,64.90,63.46
65.49,65.28,65.62,64.59
65.55,65.85,65.86,65.08
65.65,65.31,65.91,65.03
65.21,65.21,65.58,64.94
65.10,65.23,65.42,64.38
65.02,65.00,65.38,64.83
64.96,66.24,66.24,64.96
65.62,66.15,66.29,65.24
66.29,66.20,66.36,65.51
66.21,67.60,67.60,66.19
67.65,68.77,68.92,67.65
69.03,69.52,69.87,68.79
69.86,69.01,69.89,68.84
69.32,70.30,70.39,69.32
70.08,70.25,70.80,69.90
69.89,71.00,71.44,69.63
70.81,71.16,71.36,70.57
71.12,71.41,71.50,70.52
71.50,71.18,71.50,70.05
71.17,71.62,71.73,70.88
72.29,73.89,74.89,72.17
74.25,76.17,76.28,74.25
76.28,75.05,76.47,74.83
72.62,72.62,74.89,72.50
72.12,73.03,73.12,71.81
72.88,73.55,73.81,72.64
73.07,72.70,73.49,71.96
72.75,72.23,73.63,72.20
72.52,72.40,72.73,71.73
72.39,72.98,73.36,72.35
72.81,73.25,73.50,72.74
73.17,73.37,74.00,73.17
73.83,73.60,74.29,72.96
73.43,74.41,74.67,73.30
74.32,74.62,74.83,74.12
74.58,75.08,75.14,74.25
74.86,74.64,74.87,73.92
74.70,74.95,74.96,74.13
75.17,75.47,75.47,74.70
75.31,75.44,75.49,74.98
75.51,75.98,75.98,75.46
75.65,75.58,76.36,75.54
75.42,74.56,75.80,74.42
74.22,74.66,74.98,73.96
75.15,75.72,75.94,75.09
75.96,75.97,76.41,75.27
75.70,76.17,76.17,74.95
75.86,76.61,76.84,75.86
76.41,76.93,77.64,76.41
76.48,76.09,77.39,75.86
76.50,74.98,76.55,74.68
75.22,74.93,75.69,74.44
75.00,75.22,76.06,74.87
75.64,76.70,76.75,75.64
75.76,74.77,76.16,74.52
74.38,73.99,74.79,73.85
73.75,72.16,74.67,68.89
72.00,70.56,72.61,69.63
74.10,73.46,74.10,72.24
70.57,72.78,73.65,70.57
72.89,74.31,74.41,72.81
74.34,74.73,75.33,74.04
74.42,73.44,75.07,73.09
73.52,73.72,74.41,72.38
74.42,72.17,74.66,72.06
71.75,71.51,72.55,71.04
70.75,68.09,71.23,68.09
66.85,69.08,69.09,66.82
68.69,68.58,70.11,68.36
68.00,67.59,68.00,66.36
67.32,66.80,68.80,66.45
67.73,69.26,69.26,67.73
68.98,68.05,68.98,67.83
67.86,67.41,69.25,67.33
67.76,68.40,68.40,66.89
68.26,69.34,69.36,68.00
68.25,68.46,69.88,68.11
68.46,66.13,68.49,66.09
66.31,65.77,66.48,64.89
66.43,66.05,66.96,65.77
67.07,67.47,67.49,66.72
66.85,68.42,68.43,66.83
68.69,69.08,69.42,68.52
68.62,71.27,71.44,68.62
71.26,71.58,72.19,71.22
71.58,71.54,72.10,71.18
71.48,71.35,72.17,71.23
72.04,71.87,72.79,71.53
71.80,69.97,72.26,69.90
70.13,69.74,70.19,68.86
69.28,68.50,69.76,68.28
68.70,70.46,70.57,68.25
70.75,70.91,71.45,70.21
69.88,68.07,69.94,67.70
67.80,66.99,68.44,66.85
66.89,66.81,67.02,65.32
67.24,66.14,67.47,65.97
66.84,66.33,67.67,65.90
66.61,68.40,68.44,66.58
68.76,68.70,69.17,67.70
68.83,69.08,69.31,68.65
68.74,69.06,69.38,68.49
69.90,71.52,71.78,69.49
70.95,71.66,71.66,70.77
71.52,71.09,71.78,70.54
70.71,69.79,70.77,69.58
69.81,70.41,70.49,69.32
69.33,71.37,71.39,68.42
72.19,71.12,72.19,70.73
71.84,72.87,73.24,71.78
72.84,74.63,74.66,72.76
74.84,75.98,76.00,74.62
75.88,75.43,76.20,75.13
75.10,74.93,75.81,74.73
75.63,74.46,75.63,73.60
73.74,75.00,75.25,73.41
75.99,76.45,76.48,75.54
76.33,76.54,77.02,75.38
76.83,77.80,77.80,76.75
77.45,76.81,77.67,76.70
76.00,77.96,78.05,75.83
77.55,78.69,78.83,76.85
78.09,78.20,78.62,77.50
77.16,76.77,77.21,76.32
75.89,75.86,76.15,75.50
75.73,75.09,76.05,75.00
74.70,74.74,75.17,74.42
75.37,75.55,76.11,74.93
75.55,75.12,75.64,74.82
74.80,74.07,75.05,73.83
73.80,75.19,75.31,73.58
75.47,75.73,75.92,74.99
74.87,73.87,74.95,73.85
73.41,73.15,73.93,72.42
73.54,73.88,74.34,73.41
74.05,74.48,74.50,73.15
74.23,73.52,74.32,73.52
73.39,73.55,73.91,72.89
74.17,76.36,76.41,74.17
76.20,77.11,77.19,76.20
78.06,78.98,78.99,77.70
78.82,78.17,79.20,78.11
78.26,79.20,79.31,78.15
79.77,79.73,79.83,79.20
79.79,80.57,80.62,79.10
81.46,83.08,83.12,81.17
82.95,83.03,84.11,82.51
82.67,82.37,83.39,82.17
82.44,82.53,82.63,82.00
82.61,82.05,82.91,82.04
82.62,83.61,83.82,82.25
84.01,84.09,84.79,83.31
82.52,80.56,83.66,79.90
79.91,79.93,80.89,79.80
80.29,80.53,80.98,79.58
80.65,80.46,81.33,80.26
80.87,81.81,81.98,80.16
81.38,82.00,82.50,81.38
82.13,81.13,83.00,81.12
81.78,81.98,82.24,81.02
81.89,80.37,82.13,80.22
81.23,82.33,82.37,81.09
82.35,81.96,82.89,81.46
82.46,82.34,82.59,81.82
82.36,82.67,83.05,81.95
82.53,83.45,83.60,82.53
82.96,84.16,84.30,82.15
84.50,86.19,86.59,84.37
85.92,86.09,86.60,85.50
87.15,86.73,87.15,86.02
86.57,87.63,87.70,86.44
86.79,87.21,87.93,86.57
87.51,88.16,88.37,86.90
88.63,87.94,89.46,87.12
88.07,89.07,89.07,87.98
89.55,88.15,89.87,87.78
87.92,87.94,88.69,87.21
87.58,87.69,87.93,86.95
88.00,87.88,88.25,87.01
87.76,87.78,88.47,87.75
88.16,88.09,88.72,87.52
88.57,88.11,88.88,87.66
88.27,87.84,88.74,87.40
88.76,89.45,89.45,88.73
89.35,89.30,89.70,88.83
88.82,88.40,89.30,88.20
88.45,88.28,89.20,88.12
88.25,88.53,88.68,87.81
87.53,88.46,88.75,87.11
87.70,87.41,88.54,87.13
87.67,87.96,88.48,87.41
87.24,86.52,87.30,86.00
86.71,87.34,87.50,86.71
88.24,88.95,89.30,88.14
88.74,89.41,89.50,88.59
88.97,90.12,90.27,88.04
89.37,88.78,89.42,88.45
89.32,90.80,90.82,89.32
89.94,90.29,90.80,89.58
89.87,89.64,89.98,88.74
88.63,88.67,89.36,88.42
89.99,90.69,90.73,89.77
90.72,92.52,92.52,90.72
92.22,93.31,93.46,91.70
93.05,93.84,93.85,92.60
94.09,93.84,94.45,93.35
93.90,94.20,94.50,93.81
94.97,94.49,95.26,94.13
94.72,95.45,95.65,94.09
95.80,96.28,96.86,95.66
95.00,92.81,96.86,92.40
92.82,91.30,93.71,91.28
91.30,93.15,93.20,91.01
93.12,93.00,93.12,92.49
92.94,92.82,93.03,92.59
93.00,94.54,94.55,92.72
94.51,95.01,95.31,94.26
94.89,95.00,95.40,94.36
94.58,95.41,95.52,94.09
95.51,95.07,95.62,94.16
95.06,95.32,95.84,95.06
95.13,94.56,95.53,94.55
94.41,93.76,94.80,93.73
94.68,95.16,95.85,94.31
95.50,93.51,95.56,93.35
93.47,93.71,94.66,93.45
93.89,94.13,94.75,93.77
94.31,94.39,94.88,93.34
93.81,94.62,94.86,93.11
94.70,94.85,95.36,94.48
95.45,94.44,95.45,94.05
94.52,94.50,94.87,93.97
94.35,95.05,95.21,94.35
94.62,98.03,98.03,94.62
97.86,97.04,98.72,96.84
96.72,96.38,97.01,96.23
96.95,96.10,97.21,95.91
96.21,96.98,97.23,95.86
96.64,97.43,97.81,95.78
97.58,98.49,99.23,97.31
98.38,99.78,100.24,98.00
99.72,99.66,100.73,98.76
99.79,100.80,101.12,99.39
101.58,101.20,101.99,100.87
100.74,101.68,102.95,100.51
101.51,101.36,102.37,100.76
101.45,101.91,102.29,101.37
101.91,102.83,102.95,101.91
102.54,103.57,103.73,102.54
103.02,103.55,103.69,102.50
103.10,103.63,104.15,102.90
103.23,104.83,105.00,102.88
104.70,105.34,105.50,104.58
104.90,105.39,105.94,104.90
105.96,106.41,106.60,105.41
106.41,107.49,107.99,106.24
107.86,107.88,108.32,107.26
106.68,105.28,107.36,105.07
105.08,101.75,105.28,101.65
101.22,101.35,103.60,100.14
101.99,105.00,105.00,101.69
105.68,104.88,106.37,104.12
105.01,102.38,105.28,101.80
101.98,103.19,104.96,101.35
103.58,105.11,105.30,103.58
104.92,104.04,105.18,103.12
104.68,102.93,104.77,102.37
103.23,104.25,104.72,102.51
103.88,104.00,104.43,102.50
102.52,102.03,102.77,101.36
101.45,102.43,102.67,101.25
102.24,102.16,103.01,100.86
100.29,98.26,100.44,97.70
98.22,96.62,99.36,96.49
97.74,97.13,98.84,96.90
98.16,98.51,98.80,97.70
99.65,100.50,101.28,99.61
100.55,99.96,101.00,99.86
99.57,100.65,100.96,98.90
101.10,101.67,101.99,100.28
101.73,102.11,103.41,101.44
102.50,102.63,103.30,101.97
102.29,103.97,104.43,102.08
104.45,104.63,105.26,104.27
104.21,104.73,104.89,103.86
105.18,104.91,106.00,104.21
104.85,105.79,105.94,104.85
105.56,105.62,106.47,105.27
106.30,105.03,106.39,104.56
104.86,104.90,105.67,104.29
105.28,104.46,105.39,103.95
104.43,103.76,104.82,103.13
103.03,102.84,103.62,102.53
103.40,103.83,104.13,102.75
103.10,103.30,103.81,102.68
103.30,104.00,104.40,102.63
102.42,101.64,102.59,100.80
101.80,102.50,102.52,100.96
103.84,104.57,104.62,103.76
104.67,105.50,105.85,104.51
105.58,105.18,106.42,104.81
105.31,106.52,107.40,105.23
106.43,108.63,108.63,106.15
107.73,108.33,109.00,107.69
108.44,109.41,110.19,108.40
