ROIAK,Radio One,NASDAQ
2.92,2.96,2.97,2.85
2.95,3.17,3.17,2.92
3.17,3.30,3.32,3.10
3.24,3.29,3.39,3.20
3.28,3.37,3.40,3.20
3.35,3.35,3.42,3.32
3.31,3.33,3.35,3.24
3.29,3.36,3.39,3.15
3.36,3.39,3.44,3.31
3.41,3.58,3.60,3.40
3.61,3.75,3.78,3.59
3.67,3.58,3.69,3.45
3.61,3.53,3.67,3.33
3.30,3.43,3.48,3.21
3.49,3.49,3.50,3.09
3.45,3.38,3.55,3.35
3.37,3.23,3.38,3.11
3.22,3.18,3.23,3.15
3.19,3.21,3.35,3.15
3.22,3.28,3.33,3.20
3.35,3.27,3.39,3.23
3.27,3.31,3.36,3.20
3.28,3.18,3.32,3.16
3.17,3.17,3.28,3.08
3.19,3.34,3.39,3.03
3.37,3.35,3.54,3.34
3.42,3.49,3.49,3.37
3.50,3.45,3.54,3.43
3.37,3.40,3.51,3.36
3.44,3.40,3.55,3.31
3.40,3.30,3.43,3.25
3.31,3.30,3.31,3.26
3.30,3.29,3.30,3.26
3.33,3.28,3.33,3.25
3.26,3.10,3.26,3.02
3.13,2.90,3.13,2.87
2.87,2.94,3.00,2.75
2.91,2.99,2.99,2.91
3.00,3.07,3.11,2.94
3.09,3.22,3.22,3.06
3.20,3.23,3.28,3.20
3.20,3.28,3.34,3.20
3.28,3.27,3.33,3.23
3.31,3.22,3.31,3.13
3.18,3.05,3.22,3.05
3.05,3.06,3.09,3.01
3.03,3.14,3.20,3.03
3.14,3.17,3.17,3.11
3.14,3.17,3.22,3.14
3.16,3.21,3.29,3.13
3.23,3.32,3.32,3.17
3.29,3.30,3.33,3.23
3.28,2.91,3.28,2.80
2.87,3.01,3.05,2.86
3.05,3.04,3.07,2.99
2.99,3.07,3.14,2.97
3.09,3.03,3.14,2.98
3.03,3.05,3.08,2.95
3.06,3.07,3.12,3.06
3.04,3.09,3.20,2.99
2.88,3.05,3.21,2.83
3.02,3.07,3.11,3.00
3.05,3.27,3.32,2.95
3.22,3.21,3.27,3.21
3.17,3.24,3.26,3.08
3.24,3.46,3.48,3.19
3.45,3.73,3.74,3.45
3.76,3.59,3.76,3.53
3.55,3.85,3.88,3.51
3.86,4.25,4.25,3.80
4.27,4.63,4.70,3.97
4.57,4.80,4.83,4.38
4.79,4.79,4.88,4.65
4.82,4.75,4.82,4.61
4.73,4.73,4.76,4.55
4.70,4.95,5.00,4.51
4.98,4.95,5.00,4.90
4.96,4.97,5.08,4.81
4.96,5.05,5.21,4.95
5.06,4.99,5.15,4.95
5.01,5.17,5.24,5.01
5.21,5.04,5.24,5.01
5.04,5.37,5.44,5.02
5.25,5.28,5.39,5.14
5.25,5.27,5.40,5.21
5.20,4.78,5.33,4.26
4.83,4.44,5.01,4.40
4.53,4.50,4.95,4.50
4.51,4.85,4.92,4.35
4.87,4.97,5.10,4.86
5.00,4.98,5.04,4.92
4.98,4.90,4.98,4.79
4.93,4.77,4.98,4.55
4.77,4.57,4.83,4.42
4.51,4.45,4.66,4.36
4.35,4.07,4.35,3.99
3.97,3.96,4.25,3.72
3.98,4.00,4.17,3.97
3.91,3.80,4.05,3.67
3.86,3.84,4.16,3.76
3.99,4.19,4.20,3.88
4.15,4.15,4.20,4.02
4.07,3.87,4.10,3.87
3.87,3.99,4.06,3.74
3.96,3.90,4.00,3.68
3.81,3.86,3.89,3.74
3.85,3.41,3.85,3.40
3.46,2.95,3.46,2.92
3.00,2.79,3.04,2.78
2.90,2.70,2.92,2.67
2.70,2.85,2.96,2.70
2.89,2.83,3.05,2.78
2.83,2.73,2.83,2.73
2.77,2.77,2.78,2.70
2.79,2.54,2.95,2.49
2.54,2.44,2.58,2.34
2.43,2.35,2.45,2.30
2.34,2.31,2.43,2.26
2.31,2.08,2.33,2.04
2.06,1.87,2.06,1.86
1.85,1.72,1.95,1.62
1.73,1.56,1.84,1.53
1.52,1.30,1.57,1.27
1.30,1.28,1.44,1.26
1.29,1.24,1.37,1.17
1.26,1.27,1.32,1.16
1.28,1.22,1.35,1.17
1.21,1.20,1.25,1.11
1.54,1.44,1.54,1.28
1.41,1.31,1.45,1.29
1.34,1.34,1.39,1.30
1.37,1.42,1.48,1.30
1.43,1.37,1.53,1.35
1.38,1.23,1.38,1.18
1.21,1.13,1.21,1.02
1.09,0.89,1.10,0.78
0.88,0.90,0.95,0.85
0.90,0.87,0.90,0.85
0.89,0.90,0.92,0.87
0.90,0.90,0.91,0.84
0.90,0.87,0.91,0.87
0.90,1.12,1.25,0.88
1.11,1.14,1.28,1.07
1.15,1.02,1.15,1.00
1.01,1.10,1.12,0.96
1.10,0.96,1.10,0.95
0.99,0.89,0.99,0.87
0.90,1.04,1.04,0.89
1.03,1.07,1.07,0.95
1.03,0.99,1.06,0.97
1.00,0.93,1.00,0.91
0.93,0.89,0.93,0.87
0.89,0.88,0.90,0.83
0.88,0.85,0.88,0.84
0.85,0.86,0.91,0.81
0.86,0.82,0.86,0.79
0.80,0.71,0.81,0.65
0.69,0.65,0.70,0.64
0.65,0.66,0.70,0.65
0.66,0.62,0.66,0.62
0.63,0.58,0.63,0.58
0.60,0.58,0.60,0.56
0.58,0.59,0.59,0.55
0.58,0.57,0.60,0.56
0.58,0.58,0.59,0.55
0.57,0.57,0.59,0.57
0.57,0.66,0.69,0.57
0.70,0.70,0.75,0.65
0.70,0.71,0.77,0.69
0.74,0.73,0.74,0.69
0.73,0.73,0.75,0.69
0.74,0.90,0.97,0.72
0.95,0.81,0.95,0.80
0.83,0.91,0.92,0.82
0.91,0.97,1.04,0.90
1.00,0.90,1.00,0.86
0.86,0.86,0.92,0.82
0.87,0.89,0.90,0.78
0.90,0.89,0.92,0.85
0.89,0.91,0.93,0.87
0.91,0.88,0.92,0.87
0.87,0.85,0.89,0.76
0.85,0.83,0.85,0.82
0.83,0.90,0.92,0.82
0.90,0.88,0.91,0.82
0.89,0.88,0.89,0.85
0.88,0.88,0.89,0.84
0.89,0.88,0.90,0.86
0.89,0.86,0.89,0.83
0.86,0.86,0.87,0.83
0.86,0.94,0.94,0.83
0.94,0.89,0.97,0.86
0.90,0.90,0.91,0.89
0.91,0.96,0.97,0.91
0.96,0.96,1.00,0.93
0.96,0.94,0.99,0.93
0.95,0.95,0.97,0.91
0.95,0.93,0.97,0.93
0.95,0.95,0.97,0.93
0.95,0.97,0.97,0.90
0.96,0.91,0.97,0.91
0.92,0.92,0.94,0.90
0.93,0.94,0.96,0.92
0.94,0.95,0.95,0.92
0.95,0.93,0.95,0.92
0.92,0.94,0.94,0.92
0.93,1.12,1.18,0.89
1.20,1.08,1.28,1.08
1.08,1.16,1.18,1.05
1.16,1.20,1.29,1.15
1.21,1.15,1.26,1.13
1.19,1.17,1.21,1.12
1.18,1.05,1.20,0.93
1.02,0.98,1.04,0.97
0.99,1.18,1.18,0.99
1.15,1.11,1.22,1.08
1.13,1.10,1.13,1.05
1.09,1.07,1.11,1.06
1.05,1.06,1.08,1.05
1.10,1.21,1.24,1.10
1.19,1.20,1.35,1.18
1.20,1.24,1.30,1.20
1.24,1.24,1.29,1.23
1.24,1.25,1.26,1.20
1.26,1.25,1.37,1.24
1.24,1.10,1.24,1.10
1.13,1.16,1.18,1.04
1.15,1.14,1.16,1.13
1.12,1.15,1.21,1.07
1.14,1.08,1.15,1.08
1.10,1.06,1.11,0.98
1.06,1.00,1.06,0.95
0.99,1.03,1.03,0.96
1.04,1.04,1.05,1.01
1.04,1.03,1.12,1.00
1.04,1.02,1.04,1.01
1.03,1.03,1.04,1.00
1.03,1.06,1.09,1.03
1.04,1.05,1.09,1.03
1.05,1.07,1.08,1.04
1.06,1.01,1.07,0.98
1.02,1.01,1.05,1.01
1.02,1.07,1.07,1.01
1.07,1.07,1.15,1.04
1.07,1.10,1.10,1.05
1.10,1.11,1.11,1.07
1.12,1.11,1.20,1.10
1.11,1.10,1.12,1.08
1.10,1.08,1.10,1.04
1.09,1.15,1.15,1.08
1.13,1.15,1.18,1.13
1.15,1.12,1.16,1.11
1.12,1.15,1.19,1.06
1.16,1.11,1.25,1.11
1.10,1.09,1.11,1.07
1.10,1.08,1.12,1.07
1.12,1.14,1.14,1.08
1.13,1.16,1.17,1.11
1.17,1.46,1.53,1.11
1.42,1.44,1.67,1.31
1.43,1.50,1.59,1.36
1.49,1.48,1.55,1.42
1.49,1.59,1.71,1.48
1.60,1.45,1.61,1.42
1.45,1.41,1.55,1.37
1.43,1.38,1.53,1.37
1.38,1.34,1.40,1.32
1.34,1.27,1.36,1.22
1.28,1.32,1.34,1.23
1.32,1.31,1.39,1.30
1.30,1.26,1.33,1.24
1.25,1.25,1.28,1.23
1.25,1.49,1.53,1.25
1.47,1.44,1.47,1.38
1.43,1.50,1.60,1.40
1.53,1.41,1.53,1.40
1.41,1.51,1.51,1.36
1.52,1.60,1.76,1.44
1.61,1.53,1.63,1.50
1.53,1.55,1.66,1.52
1.58,1.54,1.59,1.50
1.54,1.48,1.62,1.46
1.48,1.51,1.56,1.48
1.51,1.49,1.58,1.48
1.49,1.59,1.70,1.40
1.66,1.90,1.94,1.58
1.93,1.82,2.04,1.73
1.82,1.86,1.94,1.62
1.91,1.88,1.99,1.80
1.90,2.15,2.16,1.87
2.16,2.22,2.38,2.10
2.24,2.14,2.36,2.12
2.14,2.15,2.17,1.99
2.00,1.92,2.14,1.67
1.92,2.03,2.05,1.90
2.05,1.98,2.10,1.94
2.01,2.00,2.06,1.90
1.99,2.03,2.04,1.92
2.02,1.99,2.02,1.91
1.97,1.91,2.00,1.87
1.89,1.75,1.89,1.75
1.70,1.84,1.84,1.63
1.82,1.74,1.93,1.69
1.80,1.72,1.81,1.67
1.75,1.65,1.76,1.60
1.69,1.75,1.77,1.66
1.77,1.70,1.78,1.68
1.68,1.73,1.77,1.68
1.74,1.79,1.84,1.74
1.80,1.91,1.92,1.78
1.90,1.91,1.94,1.85
1.90,1.88,1.91,1.81
1.93,1.93,1.95,1.88
1.96,1.95,1.97,1.93
2.00,2.05,2.22,1.98
2.05,1.98,2.06,1.89
1.96,1.98,2.04,1.93
2.03,2.08,2.10,1.99
2.09,2.11,2.20,2.04
2.14,2.17,2.20,2.10
2.16,2.10,2.20,2.00
2.09,2.04,2.09,2.01
2.07,2.12,2.14,2.03
2.13,2.11,2.19,2.05
2.11,2.28,2.28,2.11
2.18,2.25,2.33,2.11
2.25,2.59,2.61,2.24
2.59,2.56,2.73,2.48
2.54,2.70,2.70,2.54
2.67,2.66,2.70,2.41
2.69,2.80,2.82,2.63
2.80,2.91,2.97,2.73
2.91,2.90,3.02,2.79
2.96,2.91,2.99,2.86
3.03,2.90,3.03,2.76
2.77,2.84,2.90,2.59
