TIF,Tiffany & Co. Common Stock,NASDAQ
43.66,43.99,44.59,43.59
44.04,44.28,44.34,43.44
44.11,44.96,45.07,44.05
45.08,46.89,46.97,45.02
46.53,46.01,46.60,45.50
46.23,46.68,47.02,45.90
46.34,46.44,46.58,45.35
46.43,46.88,46.98,46.12
46.49,45.36,46.63,45.23
45.46,45.37,45.69,44.76
45.23,44.10,45.30,44.03
43.76,43.10,43.83,42.91
42.86,41.77,43.16,41.57
41.67,40.79,41.87,40.68
41.87,41.73,42.01,41.33
41.71,41.47,41.96,41.23
41.32,41.37,41.76,40.87
41.59,40.82,41.62,40.66
41.20,40.61,41.65,40.54
40.61,41.10,41.14,40.61
41.20,42.05,42.13,41.20
41.82,41.63,42.01,41.35
41.32,40.00,41.58,39.89
39.95,39.70,40.02,38.89
39.74,39.79,40.09,39.17
40.35,40.07,40.35,39.34
40.79,41.14,41.74,40.69
41.11,41.54,41.64,40.69
40.95,41.51,41.57,40.92
41.81,42.08,42.10,41.63
42.79,43.05,43.12,42.36
42.88,43.35,43.38,42.70
43.26,43.54,43.62,43.02
43.62,43.51,43.74,43.33
43.51,42.94,43.71,42.81
43.07,43.69,43.72,42.87
42.88,43.78,43.82,42.55
43.78,44.39,44.55,43.65
44.50,45.59,45.74,44.33
45.57,44.90,45.80,44.73
45.13,44.97,45.56,44.83
45.10,45.43,45.71,45.03
45.63,45.94,46.05,45.39
45.72,46.01,46.28,45.72
45.96,45.87,46.15,45.60
45.82,45.89,46.11,45.61
45.65,45.60,45.75,45.04
45.94,46.00,46.15,45.45
45.78,46.04,46.11,45.46
46.06,47.99,48.01,45.96
48.01,47.39,48.07,47.09
46.98,47.58,48.38,46.92
47.25,47.25,48.00,46.88
44.83,47.41,47.49,44.75
48.15,47.76,48.18,47.21
46.89,47.33,47.37,46.63
47.70,47.09,47.91,47.05
47.29,47.32,47.94,47.03
47.54,47.28,47.56,47.04
47.34,46.92,47.63,46.62
46.75,47.49,47.70,46.70
47.85,48.25,48.32,47.78
48.28,49.12,49.17,47.99
48.39,49.20,49.33,48.39
48.98,48.81,49.27,48.55
48.94,49.43,49.66,48.50
49.51,49.79,49.82,49.03
49.85,49.81,50.01,49.73
49.78,50.34,50.50,49.68
50.61,51.14,51.23,50.49
51.39,50.90,51.39,50.64
50.78,50.20,51.16,49.78
50.04,49.38,50.34,48.59
49.79,49.48,50.22,49.13
49.48,50.38,50.60,49.29
49.94,50.91,51.18,49.53
50.91,51.46,51.50,50.60
51.62,51.94,52.19,51.46
51.68,49.84,51.77,49.61
49.99,49.48,50.59,49.15
49.91,49.95,50.35,49.63
49.90,48.48,50.00,48.33
48.84,49.53,49.74,48.51
48.74,48.06,48.87,47.83
47.40,47.39,48.47,47.26
47.00,44.79,47.20,42.04
44.88,43.55,45.56,43.12
45.62,46.62,46.86,45.62
46.00,46.50,47.18,45.92
46.80,47.94,48.09,46.56
47.86,46.41,48.00,46.15
46.00,44.91,46.00,44.54
44.96,45.23,45.37,43.84
45.64,43.63,45.99,43.52
43.25,43.43,44.12,42.57
43.03,41.76,43.12,41.62
40.78,42.72,42.83,40.61
42.72,42.32,43.10,42.26
41.24,42.60,42.70,40.75
43.00,43.59,44.55,42.98
46.56,46.86,47.40,45.54
46.65,45.43,46.82,45.15
45.00,44.69,45.99,44.65
44.97,44.61,44.97,43.51
45.25,44.49,45.42,43.76
43.18,42.13,43.75,41.82
42.20,40.64,42.64,40.52
40.58,41.21,41.27,40.00
41.48,42.43,43.50,41.48
43.14,43.64,43.86,42.77
