APA,Apache Corporation Common Stock,NASDAQ
104.94,105.87,106.46,104.53
105.98,107.12,107.16,105.24
106.78,108.80,108.92,106.17
108.32,107.15,108.32,106.18
106.12,106.59,106.80,104.89
107.45,106.91,108.23,105.87
105.39,105.29,106.42,104.76
104.52,106.82,107.10,104.16
107.08,107.40,107.70,106.42
107.12,107.66,108.00,105.95
107.08,108.40,108.60,106.44
106.74,106.46,106.74,105.68
107.32,105.06,107.44,104.74
104.35,102.03,104.88,101.72
102.81,104.00,104.96,102.56
101.97,102.36,103.91,101.67
102.23,101.40,103.06,99.88
103.04,101.69,104.36,100.63
102.93,98.77,103.14,98.08
99.47,102.40,102.53,99.34
102.42,104.63,104.94,101.78
104.57,103.32,104.97,102.72
102.19,98.88,102.59,98.72
99.06,98.40,99.98,95.15
98.27,97.19,99.13,96.88
98.55,98.51,99.85,97.56
98.03,98.55,99.15,96.32
98.47,99.82,99.99,97.88
98.61,99.58,99.90,98.00
101.99,103.68,104.10,100.85
103.96,103.57,104.63,102.94
101.87,103.59,104.03,101.29
103.09,105.01,105.32,102.50
105.37,104.02,105.59,103.04
103.30,102.46,104.16,101.82
102.09,102.27,102.56,101.00
100.85,103.14,103.33,100.07
103.63,103.64,103.97,102.27
104.01,105.03,105.38,103.71
105.48,106.18,107.04,105.28
106.36,106.01,106.97,105.29
106.26,104.80,106.47,104.33
105.63,107.41,107.46,105.58
107.34,106.02,107.41,105.46
105.26,106.21,106.76,105.26
106.41,106.59,107.17,105.28
106.25,106.94,107.31,105.81
107.33,106.85,107.98,106.10
105.19,104.32,105.51,102.70
104.66,104.65,104.95,103.58
105.45,106.18,106.65,105.14
105.60,103.45,106.25,102.76
103.82,101.68,104.46,100.63
100.63,101.60,102.10,100.11
102.32,103.26,103.53,102.00
102.55,102.32,103.52,102.00
103.51,99.07,103.67,98.97
99.31,98.31,99.48,97.09
98.98,99.80,100.20,98.59
100.08,99.72,100.24,99.00
100.19,101.50,102.35,99.95
102.80,103.87,103.98,102.65
104.23,106.21,106.55,103.55
105.84,106.54,107.04,105.36
106.00,105.47,106.55,104.66
104.78,106.29,106.49,104.35
106.63,106.76,107.38,106.08
106.82,107.11,108.10,106.37
107.00,106.79,107.00,105.33
107.64,108.06,108.19,106.51
103.94,106.67,107.29,103.75
105.62,105.44,106.79,104.53
104.09,105.18,105.60,103.85
106.09,107.81,108.43,106.07
108.11,108.06,108.48,107.08
106.93,108.24,108.47,105.96
107.91,109.87,109.99,106.70
109.86,109.49,111.00,109.07
108.97,105.86,109.25,105.50
106.46,106.58,107.15,104.83
107.10,102.92,107.45,102.22
102.78,101.76,103.00,96.06
101.88,104.55,105.55,101.15
102.07,100.92,102.41,99.75
99.31,99.30,100.81,98.00
98.96,95.96,100.21,90.41
95.96,93.53,96.90,92.02
97.00,98.27,98.67,96.44
97.02,96.66,98.87,96.19
97.49,98.44,99.05,96.99
98.28,96.46,98.44,96.25
95.81,94.28,95.97,92.02
94.81,95.19,95.49,93.15
96.29,94.04,97.07,93.53
93.54,93.26,94.59,91.20
91.25,87.97,91.50,87.39
86.07,89.58,90.55,85.16
89.74,87.35,89.74,87.34
84.79,88.04,88.24,83.55
89.07,87.81,90.50,87.40
90.40,91.84,91.97,90.05
92.32,89.54,92.56,89.26
87.90,85.42,89.15,85.24
86.12,89.04,89.10,84.50
90.13,89.60,90.60,86.60
87.26,87.57,90.64,87.03
88.56,86.03,89.68,85.82
86.64,88.89,89.00,85.73
90.43,88.84,92.73,88.44
90.96,93.26,93.35,90.70
92.48,93.64,93.74,91.78
95.03,95.34,96.70,93.91
95.82,98.20,98.41,95.82
97.48,97.62,99.11,96.80
98.15,97.19,98.23,95.78
97.38,97.57,99.49,96.21
99.59,95.55,99.96,94.95
95.85,93.33,96.03,93.01
93.14,92.21,93.25,90.86
91.73,89.67,92.62,89.38
90.67,89.92,90.88,88.55
