VBK,Vanguard Small-Cap Growth ETF - DNQ,NASDAQ
60.50,61.18,61.25,60.50
61.27,61.49,61.68,61.01
61.48,61.67,61.81,61.41
61.65,61.86,61.90,61.03
61.75,62.22,62.22,61.56
62.54,62.09,62.66,61.87
61.63,61.19,61.75,60.92
61.46,61.98,62.10,60.84
61.85,62.08,62.30,61.80
62.20,61.14,62.26,60.85
61.40,62.17,62.17,61.39
61.76,61.43,61.81,60.76
61.56,60.43,61.86,60.22
60.38,59.12,60.44,58.97
59.56,59.20,59.64,58.79
59.08,58.86,59.45,58.66
58.65,59.26,59.31,58.30
59.42,58.40,59.42,57.78
58.59,57.68,59.25,57.51
57.86,58.58,58.58,57.84
58.70,59.29,59.38,58.44
59.03,59.06,59.46,58.63
58.55,56.80,58.58,56.78
56.90,56.89,56.98,55.57
56.76,56.50,57.33,56.34
57.19,57.30,57.56,56.61
57.15,57.38,57.58,56.60
57.21,58.41,58.41,56.90
57.85,58.81,58.83,57.67
59.53,59.88,59.89,59.05
60.06,60.30,60.43,59.88
60.31,60.69,60.69,60.11
60.42,60.76,60.95,60.29
61.02,60.68,61.07,60.62
60.54,59.79,60.59,59.63
60.07,60.32,60.56,59.88
59.54,60.37,60.38,59.25
60.39,60.38,60.53,59.99
60.76,61.74,61.77,60.76
61.96,62.33,62.63,61.96
62.55,62.50,63.00,62.33
62.65,62.77,62.86,62.28
63.22,63.96,64.09,63.09
64.07,64.16,64.28,63.94
63.95,64.42,64.79,63.95
64.50,64.97,65.19,64.49
64.65,65.16,65.20,64.42
65.48,65.19,65.51,64.78
65.19,64.95,65.28,64.44
65.24,65.46,65.50,64.87
65.67,65.93,66.24,65.67
65.96,65.64,66.05,65.50
64.69,64.69,65.82,64.49
64.28,65.59,65.76,64.03
65.75,66.41,66.46,65.46
66.11,65.69,66.28,65.68
66.24,65.25,66.59,65.20
65.41,65.20,65.85,64.94
65.46,65.59,65.73,65.30
65.71,65.71,66.01,65.28
65.47,65.30,66.13,65.30
65.76,65.91,66.18,65.38
66.13,67.09,67.09,66.03
66.83,67.36,67.54,66.77
67.32,67.06,67.39,66.64
66.92,67.04,67.28,66.32
67.13,67.42,67.42,66.74
67.54,67.82,67.94,67.45
67.77,67.90,67.93,67.37
68.30,69.35,69.39,68.30
69.34,69.68,69.84,69.34
69.50,68.79,69.69,68.20
68.40,68.19,68.86,67.38
68.55,69.28,69.28,68.48
69.41,69.48,69.57,68.96
68.84,70.19,70.33,68.29
70.32,71.04,71.04,70.13
71.06,70.77,71.36,70.72
70.49,69.09,70.94,68.96
69.48,69.08,69.56,68.67
69.65,70.35,70.35,69.32
70.37,68.53,70.51,68.53
68.98,69.97,70.02,68.98
69.03,67.89,69.03,67.57
67.32,66.87,67.80,66.18
66.42,64.32,67.09,30.00
63.89,62.57,64.55,61.74
65.93,65.86,65.97,64.93
65.18,66.30,67.15,64.89
66.64,68.13,68.21,66.63
68.00,67.56,68.67,67.24
67.01,66.07,67.06,65.33
66.48,66.17,66.98,64.41
66.94,65.08,67.18,64.85
64.71,64.25,65.36,63.30
63.25,61.32,63.25,61.10
60.12,62.15,62.73,60.00
62.11,61.49,62.60,61.49
60.06,61.38,61.51,59.00
61.72,61.65,63.20,61.36
63.03,64.07,64.07,62.71
63.81,63.38,64.18,62.91
62.64,61.53,63.55,61.51
61.81,63.36,63.36,61.47
63.55,64.35,64.46,63.35
62.82,61.39,63.33,61.18
61.57,59.62,61.81,59.62
59.90,59.56,59.94,58.47
60.08,59.71,61.16,59.41
60.71,61.62,61.68,60.57
