IFMI,Institutional Financial Markets,NASDAQ
4.90,5.29,5.29,4.90
5.33,6.05,6.12,5.25
6.23,6.99,6.99,6.05
6.98,8.35,8.37,6.98
8.38,8.45,9.40,8.15
8.59,7.75,8.65,7.42
7.74,7.10,7.74,6.87
7.12,7.48,7.59,7.05
7.43,7.56,7.68,7.33
7.58,7.50,7.58,7.17
7.47,7.50,7.65,7.28
7.52,7.40,7.52,7.10
7.38,7.19,7.49,7.08
7.00,7.15,7.15,6.84
7.14,7.00,7.14,6.71
7.03,6.99,7.14,6.74
6.93,7.06,7.07,6.84
7.02,7.27,7.27,6.98
7.24,7.39,7.47,7.15
7.42,7.45,7.45,7.30
7.45,7.93,8.26,7.44
7.85,7.74,7.85,7.56
7.70,7.74,7.74,7.39
7.76,7.85,7.85,7.58
7.75,7.89,7.91,7.67
7.84,7.83,7.85,7.24
7.83,7.82,7.85,7.52
7.84,8.20,8.23,7.62
7.90,8.20,8.20,7.79
8.18,8.36,8.36,8.00
8.20,8.53,8.53,8.20
8.50,8.58,8.60,8.46
8.45,8.58,8.58,8.38
8.49,8.60,8.67,8.45
8.47,8.42,8.59,8.36
8.47,8.40,8.53,8.20
8.40,8.40,8.40,8.00
8.38,8.55,8.55,8.24
8.45,8.25,8.55,8.13
8.14,8.45,8.45,8.14
8.50,8.43,8.50,8.36
8.45,8.33,8.49,8.25
8.15,7.95,8.33,7.58
7.76,6.28,7.89,6.12
6.34,6.48,6.59,6.12
6.32,6.29,6.39,6.21
6.38,6.50,6.50,6.20
6.12,6.60,6.60,6.12
6.59,6.55,6.59,6.38
6.40,6.40,6.54,6.16
6.17,6.44,6.45,6.16
6.41,6.49,6.49,6.36
6.86,6.86,6.86,6.23
6.67,6.60,6.74,6.40
6.47,6.60,6.66,6.26
6.44,6.50,6.60,6.35
6.50,6.30,6.58,6.22
6.19,6.00,6.38,5.90
5.97,5.99,5.99,5.76
5.88,5.70,5.90,5.54
5.50,5.64,5.70,5.49
5.73,6.00,6.00,5.66
6.00,6.50,6.50,6.00
6.54,6.32,6.54,6.22
6.27,6.20,6.27,5.97
6.10,5.99,6.10,5.82
5.97,6.20,6.21,5.93
6.09,6.03,6.25,5.97
6.01,5.89,6.04,5.86
5.95,5.83,5.95,5.65
5.76,5.82,5.84,5.71
5.75,5.74,5.88,5.65
5.77,5.69,5.87,5.62
5.68,5.65,5.69,5.60
5.66,5.75,5.78,5.65
5.77,5.79,5.79,5.66
5.79,5.70,5.79,5.61
5.64,5.95,6.00,5.60
5.90,5.95,5.99,5.70
5.95,5.85,5.99,5.77
5.85,5.84,5.90,5.75
5.80,5.73,5.94,5.60
5.75,5.59,5.78,5.55
5.59,5.61,5.68,5.59
5.61,5.67,5.70,5.54
5.68,5.66,5.80,5.51
6.49,6.20,6.68,5.75
6.40,6.21,6.50,6.15
6.01,6.25,6.25,5.90
6.25,6.10,6.29,5.90
6.05,5.92,6.14,5.88
5.92,5.98,6.09,5.84
5.94,5.78,5.97,5.69
5.74,5.61,5.80,5.51
5.60,5.56,5.74,5.25
5.47,5.00,5.57,4.89
5.65,4.93,5.65,4.80
4.95,4.75,4.95,4.70
4.71,4.50,4.71,4.40
4.52,4.50,4.87,4.50
4.65,4.64,4.90,4.34
4.60,4.55,4.60,4.51
4.50,4.27,4.54,4.25
4.27,4.32,4.44,4.27
4.35,4.40,4.63,4.32
4.18,4.31,4.44,4.18
4.31,4.13,4.34,4.05
4.16,4.09,4.25,4.08
4.10,4.23,4.25,4.10
4.23,4.31,4.35,4.15
4.41,4.40,4.64,4.37
4.33,4.60,4.74,4.33
4.63,4.82,4.87,4.55
4.75,4.96,4.96,4.66
5.03,4.89,5.10,4.85
4.90,5.01,5.01,4.89
5.01,5.00,5.22,4.90
4.94,5.00,5.09,4.80
4.96,4.98,4.98,4.78
4.89,5.07,5.38,4.76
5.11,5.43,5.59,4.95
5.40,5.29,5.49,5.26
5.10,4.97,5.10,4.81
5.06,5.00,5.06,4.79
4.91,4.84,5.05,4.76
4.75,4.78,4.85,4.70
4.69,4.74,4.90,4.65
4.68,4.75,4.75,4.58
