FXB,Guggenheim CurrencyShares British Pound Sterling Trust,NASDAQ
161.39,160.57,161.40,160.45
159.94,159.52,160.07,159.26
159.34,159.75,159.96,159.00
159.06,158.94,159.07,158.60
160.20,159.84,160.20,159.14
160.84,160.59,161.30,160.54
160.88,161.17,161.45,160.88
162.27,162.38,162.52,161.98
162.51,162.79,162.96,162.44
162.53,162.13,162.53,161.78
163.03,163.33,163.40,163.02
162.33,162.35,162.51,162.21
161.52,161.49,161.90,160.96
160.50,160.63,160.95,160.35
161.10,161.89,162.00,161.07
160.76,160.93,161.23,160.74
161.35,161.18,161.51,160.90
162.01,160.78,162.01,160.63
160.00,159.34,160.03,159.34
158.81,159.10,159.15,158.50
159.12,159.30,159.45,158.84
159.08,158.49,159.19,158.39
157.86,157.04,157.92,156.83
156.22,155.83,156.32,155.13
155.51,155.50,156.06,155.38
155.87,156.51,156.98,155.39
155.57,155.33,155.74,155.25
155.47,156.45,156.60,155.36
155.52,156.18,156.33,155.42
155.99,157.37,157.44,155.82
157.11,156.31,157.30,156.18
155.55,155.67,156.20,155.12
153.63,154.00,154.22,153.34
154.53,154.28,154.63,154.14
153.77,153.57,154.24,153.56
153.55,153.46,154.23,153.41
152.22,152.18,152.52,151.45
151.22,151.97,152.14,151.02
148.95,149.42,149.65,148.33
149.25,149.11,149.34,147.62
150.05,150.47,150.81,149.85
150.61,149.86,150.82,149.56
149.84,150.92,151.14,149.71
151.08,150.12,151.15,149.81
149.40,149.42,149.63,149.07
149.01,149.18,149.30,148.69
149.55,150.12,150.14,149.46
150.91,151.33,151.60,150.78
150.10,149.99,150.25,149.77
150.91,152.02,152.09,150.78
152.98,152.73,153.18,152.26
152.40,151.85,152.53,151.65
149.64,149.64,150.93,149.44
149.46,150.40,150.47,149.39
149.63,149.95,150.33,149.50
148.72,148.28,148.81,148.17
148.67,147.61,148.67,147.48
147.84,148.47,148.65,147.81
149.36,149.32,149.41,149.08
150.46,150.16,150.74,150.04
150.89,151.31,151.49,150.68
151.81,152.34,152.38,151.73
152.29,152.28,152.63,152.09
151.13,152.21,152.23,151.06
151.45,151.90,152.23,151.43
151.52,152.13,152.21,151.35
152.74,153.25,153.32,152.74
153.47,153.15,153.64,153.05
153.86,153.10,153.86,152.94
153.82,154.14,154.34,153.76
153.92,154.42,154.54,153.91
153.70,153.30,153.92,153.20
151.98,152.82,152.82,151.98
153.13,153.17,153.20,152.89
153.47,153.52,153.66,153.25
152.96,153.31,153.34,152.87
152.59,153.21,153.21,152.46
154.04,153.99,154.26,153.86
152.75,151.85,152.94,151.84
151.61,151.34,151.63,150.69
151.96,152.68,152.83,151.70
152.54,152.39,152.57,151.98
152.12,151.84,152.19,151.59
150.97,151.02,151.26,150.32
150.17,150.41,150.85,150.17
149.95,147.92,150.13,146.32
146.41,147.62,147.63,145.93
149.35,148.04,149.58,147.92
147.79,148.97,149.45,147.33
148.08,147.69,148.25,147.64
146.48,145.57,146.65,145.51
145.65,144.77,145.65,144.55
144.13,144.20,144.51,143.06
144.40,142.79,144.41,142.50
142.95,143.54,143.83,142.52
142.51,143.35,144.03,141.75
143.07,144.27,144.39,142.99
143.31,143.78,143.95,143.02
142.64,143.43,143.47,142.54
143.19,143.43,143.86,143.17
144.07,145.24,145.44,143.57
145.03,144.02,145.03,143.82
145.72,145.88,146.61,145.69
145.69,145.96,146.16,144.96
145.88,145.55,145.88,145.33
145.15,144.11,145.19,144.00
144.38,144.07,145.02,144.03
143.48,143.68,143.71,142.90
144.87,144.72,145.51,144.61
145.82,146.53,146.54,145.78
145.13,144.65,145.31,144.46
146.91,146.83,147.44,146.71
147.30,147.58,147.74,147.04
147.35,147.03,147.85,146.99
147.59,147.52,147.62,147.27
147.45,147.60,147.65,147.16
147.64,146.94,147.81,146.79
147.54,147.44,147.91,147.24
148.32,148.89,149.07,147.96
149.30,148.59,149.35,148.57
148.79,149.99,150.00,148.78
150.01,150.47,150.60,150.01
150.19,150.14,150.26,149.75
149.08,148.78,149.36,148.74
150.00,151.16,151.21,150.00
151.17,151.31,151.45,150.96
151.26,150.76,151.64,150.67
150.83,151.24,151.51,150.83
150.83,150.94,151.01,150.41
150.48,150.02,150.59,149.88
149.69,149.67,150.19,149.31
150.75,150.94,151.22,150.72
151.58,151.88,152.27,151.58
152.97,153.80,154.03,152.83
153.05,152.31,153.05,152.15
151.81,151.69,151.90,151.36
151.12,152.16,152.29,151.12
151.53,150.99,151.55,150.61
151.81,151.98,155.00,151.79
153.12,153.54,153.67,152.90
154.38,154.12,154.39,153.85
154.77,155.21,155.21,154.46
155.37,155.18,155.66,155.03
155.62,155.40,155.80,155.12
155.18,156.15,156.50,155.18
157.68,158.15,158.33,157.60
158.52,158.73,158.79,158.17
158.53,158.22,158.71,157.85
158.00,158.18,158.18,157.54
158.61,158.95,159.21,158.59
158.77,158.36,158.94,158.22
156.66,157.75,158.35,156.40
156.16,156.10,156.17,155.62
155.30,155.09,155.42,154.94
155.12,155.26,155.48,155.05
155.56,155.83,156.28,155.56
155.60,155.10,155.60,154.84
155.79,155.33,155.80,155.01
155.85,155.26,155.98,155.01
154.34,154.63,154.68,154.06
154.68,154.45,155.07,154.32
153.49,153.56,154.06,153.34
153.61,153.73,153.98,153.56
154.54,154.63,155.21,154.51
154.23,154.39,154.54,153.77
154.06,153.86,154.13,153.84
153.07,152.60,153.35,152.54
153.87,153.76,154.00,153.64
152.89,153.23,153.28,152.84
153.66,153.89,153.89,153.51
152.59,152.93,153.00,152.24
153.80,153.91,154.55,153.80
153.58,153.64,154.01,153.55
153.23,152.83,153.24,152.70
153.41,153.45,153.88,153.26
153.54,154.84,155.10,153.51
154.60,155.43,155.70,154.50
155.31,155.53,155.73,155.10
155.74,155.48,156.00,155.37
154.95,154.76,155.22,154.63
154.76,155.41,155.61,154.57
155.72,155.90,156.13,155.39
156.14,156.00,156.66,155.94
157.01,157.49,157.63,157.01
157.71,157.75,157.90,157.39
156.72,157.17,157.39,156.43
157.17,157.05,157.35,156.97
157.43,156.33,157.43,155.94
157.43,157.56,157.61,157.17
157.84,157.52,157.86,157.44
157.94,158.14,158.47,157.81
157.89,158.13,158.30,157.72
158.77,157.81,158.80,157.49
158.42,158.73,158.86,158.38
158.55,157.93,158.55,157.90
157.37,157.17,157.37,156.77
157.40,158.12,158.27,157.31
159.01,159.26,159.37,158.96
159.78,159.07,159.81,158.99
158.14,158.50,158.60,157.93
156.33,156.20,156.62,156.00
156.55,157.61,157.83,156.55
156.81,156.20,157.06,156.07
156.27,156.01,156.27,155.76
156.52,156.48,156.86,156.33
157.53,157.56,157.94,157.28
157.44,156.82,157.44,156.53
158.37,158.59,158.85,158.29
158.93,159.45,159.55,158.77
159.89,159.57,160.00,159.26
159.50,159.41,159.55,159.24
160.17,160.14,160.78,159.87
161.87,162.07,162.14,161.65
161.46,161.04,161.74,161.04
160.45,160.44,160.69,160.35
160.74,159.05,160.76,158.73
159.98,160.30,160.48,159.39
160.64,160.30,160.68,160.09
160.48,160.51,160.87,160.42
159.64,159.62,159.90,159.62
159.23,158.04,159.23,157.59
158.21,158.10,158.60,158.07
159.10,159.57,159.70,158.98
159.02,159.04,159.07,158.56
158.88,158.78,158.88,158.16
158.17,156.96,158.17,156.78
157.12,156.92,157.26,156.76
155.38,155.26,155.55,155.12
154.77,154.91,154.94,154.46
154.18,154.72,155.11,154.17
155.10,155.40,155.49,154.71
154.56,155.15,155.25,154.53
156.06,156.85,156.97,155.77
156.02,156.36,156.51,155.79
157.28,156.83,157.29,156.69
157.19,157.19,157.44,156.81
157.03,156.80,157.06,156.33
157.00,157.22,157.33,156.74
156.76,157.75,158.06,156.65
156.94,156.96,157.26,156.53
155.52,154.57,155.64,154.45
155.21,155.48,155.48,154.78
154.38,154.33,154.45,153.72
154.63,154.22,154.63,153.98
154.19,153.75,154.20,153.50
153.01,153.00,153.19,152.72
153.30,153.54,153.61,153.09
153.22,153.21,153.29,152.90
153.31,152.98,153.32,152.74
153.57,154.11,154.33,153.39
153.38,153.35,153.78,152.84
154.64,155.77,155.77,154.64
154.12,153.92,154.23,153.52
155.28,154.98,155.28,154.85
153.99,154.23,154.23,153.68
154.54,153.87,154.54,153.65
154.39,154.58,154.89,154.21
154.51,154.93,155.12,154.36
155.00,155.28,155.49,154.60
155.82,156.78,156.90,155.58
157.63,157.37,157.92,157.34
157.79,157.83,157.96,157.68
159.13,158.54,159.43,158.49
158.95,158.96,159.04,158.79
158.34,158.07,158.34,157.48
158.95,159.14,159.23,158.71
158.52,159.08,159.20,158.51
156.85,157.28,157.36,156.67
157.63,158.05,158.20,157.59
158.80,158.35,158.82,158.02
158.01,157.68,158.13,157.32
158.27,159.28,159.55,158.23
159.99,160.56,160.66,159.95
160.92,160.96,161.19,160.48
160.93,160.49,160.93,160.27
159.88,160.03,160.07,159.47
160.20,160.12,160.33,159.99
159.63,159.77,160.04,159.35
159.62,160.09,160.19,159.62
159.58,159.95,160.41,159.43
158.98,159.12,159.39,158.77
159.06,159.44,159.44,158.95
160.54,160.26,160.61,160.26
159.22,159.98,160.12,159.19
160.66,160.72,160.88,160.58
161.38,161.37,161.67,161.13
160.56,160.36,161.01,160.12
161.37,161.12,161.57,160.87
161.11,160.41,161.11,160.00
159.81,160.18,160.19,159.37
161.48,161.61,161.79,161.39
161.98,161.59,162.29,161.59
162.06,162.28,162.44,162.06
161.80,161.72,161.83,161.58
161.68,161.71,161.85,161.38
163.00,161.04,163.00,160.89
160.35,160.56,160.67,160.33
160.81,161.09,161.11,160.75
159.84,159.51,159.94,159.34
159.09,159.87,159.88,159.09
160.05,160.84,160.95,160.05
159.37,159.81,160.03,159.35
159.69,159.26,159.75,158.88
160.42,160.40,160.54,160.07
160.76,161.26,161.40,160.52
161.84,162.12,162.25,161.55
162.79,162.88,162.91,162.66
161.19,161.38,161.61,161.19
160.63,160.06,161.00,160.02
159.88,159.15,159.96,159.11
159.10,158.94,159.30,158.94
158.68,158.94,159.00,158.61
159.31,159.83,159.83,159.31
159.33,159.53,159.81,159.23
158.95,160.15,160.28,158.73
160.56,160.25,160.59,160.10
161.32,161.84,161.95,161.28
161.69,162.31,162.35,161.63
162.00,162.11,162.26,161.94
162.78,162.58,162.96,162.29
162.84,162.46,163.15,162.41
162.19,161.49,162.19,161.35
161.63,161.64,161.92,161.47
162.28,162.42,162.70,162.21
162.31,161.91,162.35,161.88
161.98,161.59,162.09,160.76
161.82,162.08,162.36,161.82
162.77,162.98,163.21,162.68
164.67,164.25,164.77,164.09
164.21,163.90,164.22,163.66
163.40,163.72,163.86,163.38
164.52,165.26,165.27,163.97
165.46,165.35,165.90,165.21
165.37,165.99,166.12,165.37
165.71,165.50,166.06,165.40
163.84,163.65,164.33,163.60
164.58,163.98,164.61,163.92
163.49,162.70,163.64,162.58
163.23,162.91,163.37,162.54
162.16,162.90,162.91,161.68
162.40,162.52,162.62,162.16
163.58,162.40,163.58,162.19
161.71,161.79,162.14,161.44
161.47,160.85,161.47,160.45
161.07,160.95,161.34,160.90
161.04,161.38,161.46,160.81
160.34,160.52,160.72,160.19
160.62,161.24,161.28,160.34
161.20,161.39,161.95,160.71
160.08,160.07,160.34,159.83
160.57,160.82,161.00,160.57
161.36,161.71,161.84,161.27
162.34,162.82,162.85,162.29
163.05,163.70,163.83,163.05
163.72,163.42,163.78,163.17
162.90,162.27,163.17,162.23
162.40,162.60,162.60,162.05
162.16,163.16,163.29,162.16
162.90,162.36,162.90,162.35
163.23,163.25,163.49,163.23
162.67,162.84,162.95,162.54
