WINA,Winmark Corporation - Common Stock,NASDAQ
21.77,21.99,21.99,21.45
22.26,21.85,22.43,21.80
21.99,22.10,22.47,21.79
22.10,22.10,22.10,22.10
21.60,21.68,22.32,21.60
22.18,22.31,22.42,22.14
22.31,22.25,22.35,22.25
21.75,22.30,22.30,21.75
22.07,22.25,22.25,21.55
22.39,22.11,22.39,22.11
22.44,22.33,22.44,21.79
22.23,22.33,22.39,22.22
21.70,22.19,22.19,21.70
22.19,22.25,22.40,22.12
22.25,22.25,22.25,22.25
21.63,22.10,22.20,21.63
21.30,22.10,22.10,21.30
22.38,22.34,22.38,22.12
22.34,22.34,22.34,22.34
22.34,22.34,22.34,22.34
22.34,22.34,22.34,22.34
21.57,22.20,22.32,21.57
22.20,22.20,22.20,22.20
21.52,21.63,21.63,21.50
21.53,21.59,21.75,21.50
21.57,21.70,21.81,21.50
21.55,21.49,21.58,21.47
21.31,21.17,21.46,20.14
20.00,20.70,20.88,19.70
20.08,20.33,20.50,19.48
20.49,20.50,20.50,20.49
20.48,20.45,20.48,20.45
20.35,20.35,20.35,20.33
20.35,20.35,20.35,20.35
19.72,19.86,19.87,19.72
20.25,20.35,20.35,20.01
20.20,20.07,20.20,20.04
20.20,20.35,20.35,20.20
20.32,20.05,20.37,20.05
19.55,20.09,20.19,19.49
20.75,20.60,21.08,20.60
20.59,20.58,21.20,19.95
19.80,21.57,21.80,19.70
21.83,20.86,21.85,20.54
20.63,21.25,21.30,20.55
20.85,21.56,21.58,20.85
21.50,22.00,22.00,21.20
21.80,21.98,21.98,21.80
21.54,21.64,21.64,21.50
22.20,22.09,22.20,21.99
21.72,22.21,22.22,21.72
21.93,22.00,22.32,21.50
21.30,22.00,22.00,21.30
21.91,22.07,22.07,21.91
22.00,22.07,22.07,21.89
22.03,22.03,22.03,21.71
21.70,21.65,21.70,21.65
21.71,22.24,22.30,21.67
21.61,22.50,22.74,21.61
22.51,22.96,22.96,22.51
22.99,23.16,23.16,22.78
22.52,22.68,22.79,22.10
22.59,23.00,23.00,22.59
23.29,22.70,23.29,22.59
22.45,23.53,23.53,22.21
23.25,23.88,23.88,23.25
23.82,24.43,25.10,22.97
23.77,24.28,24.28,23.37
24.99,24.78,24.99,24.75
24.70,24.84,24.90,24.70
24.72,26.00,26.20,24.72
25.28,25.74,25.81,25.28
26.40,26.33,26.40,25.54
26.79,27.05,27.25,26.77
27.35,26.73,27.79,26.28
27.00,27.54,27.54,27.00
27.08,27.08,27.08,27.08
27.23,27.38,27.70,27.23
27.75,27.75,27.75,27.75
27.90,27.75,27.90,27.30
27.35,27.50,28.08,27.35
27.89,27.97,28.23,27.64
27.95,27.90,28.00,27.90
27.90,27.90,27.90,27.90
27.00,28.00,28.00,27.00
27.00,28.50,28.50,27.00
28.50,28.20,29.05,28.01
27.80,28.65,28.99,27.80
29.66,29.40,30.00,29.11
29.00,29.37,29.49,28.71
29.40,31.00,31.90,28.76
30.68,30.42,30.80,29.51
30.00,31.00,31.09,30.00
31.31,31.24,31.74,30.41
31.22,31.60,31.70,30.90
31.00,31.26,31.26,30.69
31.30,31.68,31.68,28.20
31.77,30.96,31.77,29.33
30.83,30.22,30.83,29.41
30.50,30.71,31.19,30.49
30.73,31.15,31.27,30.73
30.31,31.19,31.70,30.31
