SIEB,Siebert Financial Corp. - Common Stock,NASDAQ
2.33,2.32,2.33,2.30
2.31,2.31,2.31,2.31
2.39,2.30,2.40,2.30
2.31,2.31,2.37,2.30
2.31,2.31,2.37,2.30
2.31,2.31,2.31,2.31
2.37,2.38,2.38,2.37
2.31,2.28,2.40,2.28
2.27,2.30,2.30,2.27
2.31,2.31,2.31,2.31
2.30,2.31,2.31,2.30
2.49,2.47,2.49,2.26
2.28,2.29,2.29,2.28
2.29,2.31,2.31,2.29
2.25,2.29,2.32,2.25
2.29,2.29,2.29,2.29
2.25,2.26,2.26,2.25
2.34,2.31,2.34,2.30
2.31,2.31,2.31,2.31
2.31,2.31,2.31,2.31
2.31,2.29,2.32,2.29
2.33,2.31,2.33,2.31
2.31,2.31,2.31,2.31
2.28,2.34,2.34,2.28
2.33,2.27,2.33,2.27
2.27,2.27,2.28,2.27
2.25,2.26,2.26,2.25
2.26,2.48,2.48,2.25
2.48,2.48,2.48,2.48
2.48,2.48,2.48,2.48
2.46,2.34,2.46,2.26
2.27,2.28,2.28,2.27
2.28,2.28,2.28,2.28
2.29,2.25,2.30,2.25
2.27,2.29,2.29,2.27
2.29,2.29,2.29,2.29
2.26,2.26,2.26,2.25
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.26,2.26,2.26,2.26
2.26,2.26,2.26,2.26
2.26,2.26,2.26,2.26
2.26,2.25,2.26,2.25
2.25,2.45,2.45,2.25
2.32,2.26,2.32,2.26
2.26,2.26,2.26,2.26
2.26,2.42,2.42,2.26
2.34,2.33,2.48,2.27
2.29,2.27,2.31,2.25
2.46,2.40,2.46,2.40
2.40,2.40,2.40,2.40
2.40,2.40,2.40,2.40
2.32,2.30,2.32,2.29
2.26,2.27,2.27,2.26
2.27,2.27,2.27,2.27
2.27,2.27,2.27,2.27
2.30,2.26,2.30,2.25
2.28,2.30,2.30,2.25
2.34,2.30,2.34,2.25
2.30,2.30,2.30,2.30
2.25,2.35,2.35,2.25
2.25,2.35,2.35,2.25
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.35,2.35,2.35,2.35
2.34,2.27,2.35,2.27
2.27,2.27,2.27,2.27
2.27,2.25,2.28,2.25
2.25,2.25,2.25,2.25
2.30,2.33,2.33,2.30
2.31,2.25,2.31,2.25
2.25,2.25,2.25,2.25
2.25,2.31,2.31,2.25
2.27,2.27,2.27,2.27
2.25,2.20,2.27,2.12
2.20,2.20,2.20,2.13
2.34,2.16,2.34,2.16
2.30,2.15,2.30,2.15
2.25,2.26,2.26,2.25
2.17,2.35,2.35,2.17
2.35,2.35,2.35,2.35
2.17,2.17,2.17,2.17
2.16,2.37,2.37,2.16
2.37,2.37,2.37,2.37
2.37,2.37,2.37,2.37
2.37,2.37,2.37,2.37
2.34,2.20,2.34,2.20
2.20,2.20,2.20,2.20
2.20,2.20,2.20,2.19
2.20,2.20,2.20,2.20
2.20,2.20,2.25,2.19
2.20,2.21,2.21,2.20
2.20,2.34,2.34,2.20
2.15,2.19,2.19,2.15
2.33,2.20,2.33,2.20
2.20,2.20,2.20,2.20
2.20,2.19,2.20,2.19
2.15,2.15,2.15,2.15
2.15,2.15,2.15,2.15
2.15,2.15,2.15,2.15
2.15,2.15,2.15,2.15
2.19,2.19,2.19,2.19
2.19,2.19,2.19,2.19
2.24,2.19,2.24,2.14
2.19,2.16,2.19,2.16
2.16,2.16,2.16,2.16
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.22,2.16,2.22,2.16
2.16,2.16,2.16,2.16
2.16,2.16,2.16,2.16
2.16,2.16,2.16,2.16
2.10,2.10,2.10,2.10
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.05,2.05,2.05,2.05
2.05,2.05,2.05,2.05
2.05,2.05,2.05,2.05
2.05,2.05,2.05,2.05
2.02,2.07,2.07,2.00
2.03,2.03,2.03,2.03
2.03,2.03,2.03,2.03
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.03,2.03,2.03,2.03
2.02,2.02,2.02,2.02
2.02,2.02,2.02,2.02
2.02,2.02,2.02,2.02
2.03,2.03,2.03,2.03
2.03,2.03,2.03,2.03
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.14,2.15,2.15,2.14
2.15,2.15,2.15,2.15
2.15,2.15,2.15,2.15
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.01,2.01,2.01,2.01
2.01,2.01,2.01,2.01
2.00,2.00,2.00,2.00
2.20,2.00,2.20,2.00
2.00,2.00,2.00,2.00
1.87,1.77,1.87,1.77
1.77,1.77,1.77,1.77
1.77,1.77,1.77,1.77
1.77,1.77,1.77,1.77
2.00,2.00,2.00,2.00
2.12,2.00,2.12,2.00
1.85,1.91,1.99,1.85
1.91,1.97,2.00,1.91
1.97,1.97,1.97,1.97
1.97,1.97,1.97,1.97
1.97,1.97,1.97,1.97
1.97,1.97,1.97,1.97
1.97,1.97,1.97,1.97
1.97,1.97,1.97,1.97
1.93,1.80,1.93,1.80
1.83,1.83,1.83,1.83
1.80,1.81,1.82,1.77
1.81,1.81,1.81,1.81
1.77,1.31,1.77,1.31
1.43,1.42,1.49,1.38
1.42,1.45,1.49,1.42
1.45,1.45,1.50,1.38
1.45,1.51,1.51,1.41
1.43,1.45,1.45,1.43
1.41,1.50,1.53,1.41
1.42,1.60,1.60,1.42
1.60,1.61,1.62,1.59
1.53,1.60,1.60,1.50
1.59,1.59,1.59,1.59
1.59,1.62,1.62,1.59
1.65,1.69,1.70,1.64
1.86,1.90,1.90,1.82
1.92,1.93,1.99,1.77
1.93,1.99,2.00,1.93
1.96,1.91,1.97,1.91
1.95,2.00,2.00,1.95
2.14,2.20,2.20,2.05
2.15,2.15,2.15,2.15
2.20,2.20,2.20,2.17
2.21,2.17,2.30,2.16
2.18,2.24,2.25,2.18
2.14,2.13,2.14,2.13
2.16,2.25,2.25,2.16
2.29,2.28,2.29,1.95
2.28,2.12,2.28,2.12
2.25,2.21,2.29,2.21
2.08,2.08,2.08,2.08
2.09,2.28,2.29,2.08
2.39,2.36,2.49,2.36
2.34,2.40,2.41,2.34
2.29,2.37,2.37,2.20
2.37,2.37,2.37,2.35
2.39,2.39,2.39,2.38
2.40,2.40,2.40,2.36
2.25,2.39,2.39,2.20
2.40,2.40,2.40,2.39
2.41,2.41,2.41,2.41
2.39,2.39,2.39,2.39
2.39,2.39,2.39,2.39
2.38,2.38,2.38,2.38
2.38,2.38,2.38,2.38
2.21,2.12,2.21,2.03
2.12,2.12,2.13,2.12
2.10,2.02,2.10,2.02
1.95,1.97,1.97,1.95
1.97,1.97,1.97,1.97
1.97,2.00,2.23,1.97
2.00,2.00,2.00,2.00
2.00,1.90,2.00,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.90,1.90,1.90,1.90
1.87,1.87,1.87,1.87
1.87,1.87,1.87,1.87
1.87,1.87,1.87,1.87
1.87,1.87,1.87,1.87
1.87,1.87,1.87,1.87
1.70,1.71,1.71,1.70
1.71,1.71,1.71,1.71
1.71,1.71,1.71,1.71
1.76,1.76,1.76,1.76
1.76,1.76,1.76,1.76
1.78,1.77,1.78,1.77
1.77,1.77,1.77,1.77
1.77,1.75,1.80,1.75
1.77,1.71,1.77,1.71
1.75,1.79,1.79,1.73
1.75,1.75,1.75,1.75
1.73,1.72,1.80,1.72
1.69,1.74,1.74,1.69
1.73,1.73,1.73,1.70
1.75,1.72,1.75,1.71
1.72,1.72,1.72,1.72
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.73,1.71,1.73,1.71
1.71,1.71,1.71,1.71
1.80,1.80,1.80,1.79
1.75,1.99,1.99,1.75
1.99,1.99,1.99,1.99
1.78,1.78,1.78,1.77
1.78,1.78,1.78,1.78
1.78,1.78,1.78,1.78
1.98,1.98,1.98,1.98
1.86,1.92,1.95,1.86
1.86,1.92,1.92,1.86
1.85,1.85,1.85,1.85
1.95,1.79,1.95,1.79
1.78,1.78,1.78,1.78
1.78,1.78,1.78,1.78
1.77,1.77,1.77,1.77
1.77,1.75,1.77,1.75
1.90,1.90,1.90,1.90
1.99,1.99,1.99,1.99
1.99,1.99,1.99,1.99
1.99,1.99,1.99,1.99
1.82,1.82,1.82,1.82
1.82,1.82,1.82,1.82
1.98,1.95,1.98,1.95
1.95,1.95,1.95,1.95
1.79,1.84,1.84,1.76
1.80,1.79,1.94,1.79
1.79,1.80,1.96,1.79
1.82,1.94,1.94,1.82
1.94,1.94,1.94,1.94
1.79,1.78,1.85,1.78
1.90,1.79,1.90,1.79
1.95,1.78,1.95,1.78
1.78,1.80,1.89,1.78
1.87,1.88,1.93,1.87
1.94,1.94,1.94,1.94
1.94,1.94,1.94,1.94
1.81,1.85,1.85,1.81
1.81,1.80,1.85,1.80
1.80,1.80,1.80,1.80
1.91,1.82,1.91,1.82
1.80,1.80,1.80,1.80
1.81,1.80,1.81,1.80
1.80,1.80,1.80,1.80
1.93,1.92,1.93,1.92
1.92,1.92,1.92,1.92
1.80,1.80,1.80,1.80
1.91,1.90,1.91,1.90
1.80,1.80,1.80,1.80
1.80,1.81,1.81,1.80
1.81,1.81,1.81,1.81
1.85,1.85,1.85,1.85
1.91,1.94,1.94,1.91
1.81,1.80,1.82,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.81,1.81,1.81,1.81
1.81,1.81,1.81,1.81
1.81,1.89,1.93,1.81
1.81,1.80,1.81,1.80
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.82,1.82,1.82,1.82
1.89,1.89,1.89,1.89
1.90,1.90,1.90,1.90
1.86,1.86,1.86,1.86
1.86,1.86,1.86,1.86
1.86,1.86,1.86,1.86
1.88,1.90,1.90,1.88
1.94,1.94,1.94,1.94
1.94,1.94,1.94,1.94
1.94,1.94,1.94,1.94
1.94,1.94,1.94,1.94
1.94,1.94,1.94,1.94
1.94,1.94,1.94,1.94
1.94,1.94,1.94,1.94
1.94,1.94,1.94,1.94
1.90,1.90,1.90,1.90
1.90,1.89,1.90,1.87
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.91,1.81,1.91,1.81
1.94,1.80,1.94,1.80
1.70,1.70,1.70,1.70
1.85,1.85,1.85,1.85
1.85,1.85,1.85,1.85
1.93,1.89,1.93,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.89,1.89,1.89,1.89
1.75,1.52,1.75,1.52
1.56,1.70,1.76,1.56
1.66,1.77,1.80,1.66
1.68,1.81,1.81,1.68
1.81,1.81,1.81,1.81
1.81,1.81,1.81,1.81
1.84,1.91,1.92,1.82
1.90,1.94,1.94,1.90
1.94,1.64,1.94,1.61
1.79,1.77,1.79,1.77
1.70,1.78,1.83,1.70
1.66,1.80,1.80,1.66
1.84,1.77,1.84,1.67
1.69,1.58,1.83,1.58
1.80,1.82,1.82,1.65
1.82,1.83,1.84,1.76
1.69,1.74,1.75,1.67
1.84,1.84,1.84,1.84
1.84,1.84,1.84,1.84
1.84,1.74,1.84,1.74
1.83,1.82,1.83,1.82
1.82,1.82,1.82,1.82
1.82,1.82,1.82,1.82
1.71,1.61,1.71,1.61
1.82,1.82,1.82,1.82
1.82,1.82,1.82,1.82
1.82,1.82,1.82,1.82
1.67,1.82,1.82,1.61
1.82,1.82,1.82,1.82
1.81,1.83,1.83,1.81
1.70,1.70,1.75,1.70
1.70,1.70,1.70,1.70
1.74,1.74,1.74,1.74
1.73,1.75,1.75,1.73
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.75,1.75,1.75,1.75
1.84,1.74,1.84,1.69
1.74,1.74,1.74,1.74
1.64,1.68,1.68,1.62
1.62,1.55,1.63,1.55
1.56,1.52,1.56,1.52
1.55,1.50,1.55,1.50
1.51,1.35,1.51,1.26
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.38,1.32,1.38,1.32
1.52,1.48,1.52,1.33
1.34,1.54,1.54,1.34
1.54,1.46,1.54,1.42
1.46,1.46,1.46,1.46
1.46,1.46,1.46,1.46
1.54,1.49,1.54,1.46
1.49,1.49,1.49,1.49
1.55,1.55,1.55,1.55
1.48,1.48,1.48,1.48
1.47,1.55,1.55,1.36
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.52,1.43,1.52,1.43
1.45,1.34,1.50,1.33
1.34,1.34,1.34,1.34
1.34,1.34,1.34,1.34
1.44,1.44,1.44,1.44
1.44,1.46,1.50,1.44
1.46,1.46,1.46,1.46
1.48,1.50,1.50,1.48
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.57,1.49,1.57,1.49
1.41,1.41,1.41,1.41
1.43,1.34,1.45,1.34
1.69,1.58,1.69,1.58
1.58,1.58,1.58,1.58
