RE,Everest Re Group,NASDAQ
86.27,85.45,86.58,85.20
85.12,84.21,85.42,83.84
84.41,84.18,84.59,83.95
84.33,84.35,84.67,84.17
84.33,84.20,84.44,83.82
84.66,84.76,84.87,84.16
84.56,84.86,85.52,84.41
84.85,85.84,85.99,84.79
85.39,86.03,86.05,85.32
85.76,84.81,85.91,84.75
84.80,86.29,86.31,84.80
85.59,86.60,86.81,85.59
86.49,85.75,86.88,85.49
85.78,84.48,85.78,84.21
85.02,84.57,85.31,84.10
84.23,84.51,85.85,84.20
84.27,85.89,85.89,84.27
85.94,84.91,85.94,84.62
85.28,85.74,86.91,84.95
86.15,85.57,86.17,85.17
85.46,86.02,86.15,85.37
85.76,85.26,85.78,85.02
85.00,83.54,85.47,83.54
83.58,83.28,83.83,82.18
83.40,82.80,83.45,82.45
83.42,83.74,83.91,82.82
83.33,84.37,84.99,82.88
84.46,80.01,84.46,79.55
79.39,80.97,81.19,79.00
81.36,82.36,82.45,80.85
82.46,82.50,82.70,82.16
82.63,83.46,83.61,82.43
83.40,83.86,84.11,83.30
83.81,84.43,84.53,83.60
84.04,84.20,84.63,83.72
84.39,85.22,85.30,83.96
84.66,85.81,86.01,84.46
86.11,85.42,86.24,85.22
85.69,85.48,85.71,84.70
85.50,84.45,85.53,84.01
84.70,83.01,84.70,82.90
82.99,82.70,83.13,82.46
83.02,81.76,83.08,81.60
81.50,83.26,83.39,81.08
83.28,82.54,83.38,82.03
82.27,82.64,82.84,81.87
82.25,83.12,83.20,82.00
83.12,82.53,83.19,82.27
82.38,82.12,82.52,81.58
81.99,81.76,81.99,81.45
82.10,82.38,82.72,81.64
82.60,82.27,82.60,82.07
80.83,80.83,82.50,80.79
80.57,80.10,80.84,79.86
80.13,79.53,80.13,79.32
79.53,79.55,80.02,79.16
80.04,79.97,80.77,79.38
79.86,79.77,80.47,79.61
80.15,80.86,81.00,79.93
81.08,80.88,81.12,79.96
80.50,80.93,81.45,79.78
81.23,80.81,81.55,80.41
80.81,80.51,80.85,80.20
80.37,80.56,80.72,80.23
80.31,81.86,81.95,80.30
81.57,81.51,81.59,81.01
81.62,81.77,81.79,80.88
81.98,81.96,82.01,81.12
81.85,82.04,82.27,81.71
82.21,83.40,83.41,82.21
83.06,82.67,83.46,82.50
82.67,81.20,82.73,81.11
80.89,81.77,81.90,80.59
82.17,82.02,82.17,81.29
81.98,82.32,82.52,81.55
81.80,82.19,82.46,81.55
82.00,82.87,82.94,81.74
82.98,82.65,83.25,82.53
82.28,80.15,82.60,80.02
80.66,80.86,81.68,80.44
80.69,78.19,80.85,77.65
76.71,76.65,77.37,76.41
77.92,76.98,77.92,75.74
76.04,75.55,76.31,75.49
75.57,76.89,77.44,75.33
76.53,74.17,77.24,73.45
73.92,74.35,75.26,73.66
76.56,77.10,77.12,75.23
76.42,76.97,77.28,76.06
77.35,77.74,77.80,76.85
77.81,77.82,78.49,77.70
77.59,76.86,77.59,76.51
76.81,76.81,76.94,76.02
77.58,75.96,77.66,75.86
75.79,76.22,76.87,75.23
75.28,73.65,75.59,73.65
