PPG,PPG Industries,NASDAQ
59.30,60.60,60.64,58.99
60.40,60.64,61.14,60.40
60.42,61.59,62.00,60.42
61.35,61.87,61.89,60.89
61.72,61.75,61.99,61.27
61.88,61.68,62.00,61.29
61.01,60.83,61.32,60.16
61.18,61.47,61.52,60.42
62.81,62.79,63.68,62.43
62.74,62.05,62.97,61.66
62.21,64.23,64.26,62.02
63.85,63.13,64.12,62.27
61.26,59.10,62.47,59.00
59.30,59.92,60.94,58.91
60.75,61.08,61.43,60.54
60.69,59.97,61.30,59.85
59.82,59.51,59.82,58.39
59.82,59.01,59.82,57.78
59.36,58.68,60.16,58.64
59.27,59.52,59.54,58.87
59.45,59.94,60.50,58.89
59.59,59.21,60.35,58.85
58.70,57.73,58.95,57.55
57.64,58.34,58.50,56.96
58.36,57.68,58.85,57.41
58.37,59.16,59.53,57.94
59.10,59.75,60.06,58.36
59.58,60.23,60.40,59.03
59.44,60.36,60.74,59.08
60.99,61.42,61.42,60.52
61.29,61.81,61.95,61.07
61.76,62.11,62.26,61.45
61.78,62.48,62.88,61.50
62.54,62.07,62.72,61.72
61.91,61.45,62.06,61.06
61.72,62.10,62.48,61.32
61.14,61.06,61.25,60.53
60.99,61.54,61.76,60.86
61.69,62.38,62.44,61.25
62.65,62.60,62.87,62.11
62.78,62.94,63.78,62.55
62.80,62.91,63.40,62.50
63.39,63.29,63.50,63.12
63.44,63.55,63.74,63.18
63.27,62.93,63.56,62.69
62.98,63.70,64.00,62.32
63.33,63.29,63.33,62.75
63.86,64.16,64.65,63.63
64.33,64.49,64.63,64.04
64.55,64.64,64.77,64.08
64.59,65.90,66.08,64.52
65.73,64.74,65.73,64.50
64.93,64.93,65.38,64.68
64.39,65.48,65.59,64.09
65.58,66.05,66.09,65.11
65.62,65.43,65.91,65.00
65.81,64.69,66.06,64.66
64.94,66.07,66.35,64.86
66.30,65.76,66.63,65.47
65.89,66.05,66.40,65.29
65.82,65.40,66.16,65.24
65.97,66.50,66.53,65.97
66.63,66.92,67.12,66.18
66.88,67.60,67.85,66.84
67.26,67.45,68.37,67.19
67.23,67.93,68.00,66.87
68.06,68.68,68.68,67.84
68.79,68.89,69.03,68.56
68.84,69.33,69.47,68.20
69.33,69.51,69.56,68.73
69.75,69.73,70.00,68.21
69.75,69.16,70.24,68.64
69.11,70.20,70.30,68.81
70.37,70.41,70.78,69.86
70.08,70.49,70.68,69.65
70.02,70.25,70.28,69.36
70.24,71.27,71.28,69.76
71.25,70.72,71.81,70.69
70.81,68.96,70.98,68.90
69.31,69.92,70.10,68.84
70.47,71.24,71.31,70.06
71.44,70.37,72.24,70.36
70.82,71.28,71.38,70.39
70.42,68.47,70.77,67.83
67.93,67.47,68.23,66.92
66.63,64.75,67.35,60.89
64.65,63.79,66.00,63.35
66.82,67.09,67.23,65.75
66.26,66.43,67.22,65.90
66.81,67.64,67.68,66.38
67.32,66.78,67.95,66.64
66.10,65.09,66.30,64.54
65.41,66.12,66.89,64.82
66.66,65.63,68.06,65.59
65.45,64.36,65.45,63.29
63.15,61.56,63.20,61.56
60.25,62.69,62.91,60.11
62.46,61.53,62.53,61.52
59.55,62.22,62.24,59.01
62.83,61.86,62.83,61.46
63.26,65.09,65.09,62.72
64.89,64.07,65.05,63.89
63.35,62.54,64.19,62.54
62.88,64.73,64.76,62.82
64.80,63.96,65.16,63.45
62.19,61.79,63.06,61.60
61.79,60.52,62.45,60.46
60.56,62.13,62.32,60.28
62.65,61.91,63.25,61.58
62.88,63.32,63.69,62.66
62.78,64.78,64.93,62.78
65.32,64.07,65.61,64.02
64.77,65.58,65.60,64.56
68.50,66.54,68.50,66.30
66.91,66.16,66.94,64.70
66.14,66.66,67.29,66.14
67.71,66.81,68.28,66.40
66.96,65.54,67.27,65.50
65.59,65.10,65.82,64.32
64.61,63.11,64.66,63.00
63.21,62.95,63.70,62.37
63.22,62.89,63.49,62.39
61.78,61.00,61.78,60.63
60.99,60.41,62.03,60.23
60.21,61.05,61.33,59.69
61.21,60.57,61.68,59.92
61.25,60.56,61.87,59.95
60.42,63.07,63.07,60.31
63.96,64.25,64.60,63.35
64.13,64.62,65.08,63.94
64.43,63.78,64.47,63.21
64.33,65.33,65.60,64.23
65.02,64.52,65.66,63.75
64.51,64.60,65.22,63.60
64.32,62.46,64.48,62.27
62.82,62.15,63.14,61.57
61.47,64.64,64.74,61.47
65.14,64.80,65.51,64.23
65.44,66.00,66.80,65.01
65.98,67.65,67.72,65.82
67.85,68.20,68.24,67.33
68.83,68.80,69.53,68.50
68.39,68.84,69.18,68.39
69.18,68.82,69.76,67.84
67.90,69.47,69.71,67.85
70.11,71.12,71.28,69.99
70.42,70.02,70.99,69.88
70.28,70.88,70.93,70.19
70.54,70.25,70.85,69.59
69.38,69.55,70.09,68.53
69.81,69.77,70.16,69.39
69.23,69.34,69.81,68.63
67.93,67.05,67.93,66.72
65.81,66.85,67.01,65.76
66.50,66.31,66.97,66.27
65.84,66.51,66.78,65.45
67.33,67.74,68.25,67.28
67.72,67.25,67.72,66.70
66.86,65.59,66.99,65.04
65.00,65.40,65.54,64.72
65.82,65.01,66.17,64.95
64.32,64.21,64.71,64.03
63.92,65.14,65.40,63.12
65.53,65.32,66.44,65.17
65.75,67.10,67.11,64.97
66.72,65.48,66.90,65.47
65.24,65.83,66.13,64.93
66.83,68.16,68.40,66.51
68.40,68.92,68.93,68.24
69.46,69.98,70.22,69.46
69.46,68.28,69.57,68.08
68.28,69.10,69.47,68.21
69.97,69.31,69.97,69.18
69.55,70.77,71.00,69.52
71.49,71.64,71.91,71.40
71.22,71.34,71.61,70.95
71.11,71.63,71.89,70.29
71.27,72.23,72.31,71.11
72.29,72.05,72.73,71.68
72.38,72.66,72.93,72.00
72.43,72.19,72.74,71.63
72.07,72.08,72.91,72.07
71.61,71.45,72.32,71.11
72.51,72.92,73.18,72.07
72.93,72.78,73.20,72.58
73.05,73.14,73.32,71.64
72.76,72.90,73.50,72.53
73.50,72.80,73.99,72.33
73.50,73.09,73.50,72.68
72.76,72.24,73.07,72.10
72.93,74.00,74.35,72.76
73.76,74.76,74.96,73.76
75.00,74.55,75.00,73.92
74.51,75.21,75.45,74.46
75.37,75.00,75.59,74.73
74.62,75.50,75.65,74.26
75.85,76.24,76.62,75.85
76.19,76.33,76.55,75.87
77.04,76.77,77.34,75.83
76.85,76.88,77.07,76.39
75.81,75.77,76.79,75.26
75.93,77.46,77.95,75.40
76.49,76.67,77.37,75.95
77.38,76.43,77.38,76.25
76.90,77.33,78.00,76.62
76.71,77.30,77.68,76.26
76.30,76.77,76.88,75.84
77.22,76.60,77.60,76.10
76.27,76.70,77.16,76.10
77.12,76.67,77.86,76.25
77.29,77.64,78.14,77.29
77.69,77.89,78.22,76.90
78.69,79.13,79.41,78.53
79.06,79.67,79.84,78.66
78.96,79.09,79.37,78.66
79.20,78.26,79.42,77.94
78.13,78.02,78.33,77.12
77.37,78.11,78.48,77.14
77.11,76.78,77.80,76.40
76.91,76.86,77.87,76.72
76.29,75.58,76.38,75.02
75.68,76.08,76.64,75.35
77.12,77.55,78.02,77.00
77.41,77.38,77.74,76.91
76.93,77.35,77.56,76.01
76.30,75.92,76.42,75.35
76.41,77.79,77.82,76.41
76.97,77.63,78.00,76.87
77.00,77.80,77.95,76.21
77.02,77.96,78.50,76.75
79.12,79.86,79.95,78.99
79.77,80.19,80.29,79.52
79.82,80.80,80.99,79.68
80.43,79.95,80.50,79.78
80.77,80.45,80.99,80.32
80.40,79.84,80.80,79.60
80.24,80.05,80.24,79.52
80.43,80.90,80.92,80.18
80.98,80.46,81.30,80.46
80.70,81.33,81.60,80.48
81.15,82.10,82.59,81.15
81.99,81.46,81.99,81.02
81.64,82.01,82.16,81.03
81.95,82.36,82.49,81.77
82.50,82.48,82.95,82.39
