ICUI,ICU Medical,NASDAQ
36.61,36.73,37.30,36.48
36.61,36.38,36.92,36.26
36.42,36.50,36.84,36.30
36.59,36.66,36.73,36.18
36.68,37.09,37.22,36.56
37.11,37.31,37.42,37.09
37.22,36.94,37.55,36.86
37.06,36.97,37.10,36.71
36.88,37.10,37.30,36.88
37.25,36.97,37.25,36.58
37.08,37.05,37.53,36.95
36.79,36.85,37.11,36.61
37.00,36.27,37.19,36.17
36.17,36.41,36.56,36.17
36.51,35.80,36.88,35.70
35.61,35.11,35.63,35.00
34.99,35.37,35.60,34.99
35.40,34.65,35.51,34.57
34.93,34.78,35.22,34.17
35.00,34.39,35.48,34.24
32.20,32.60,33.21,32.00
32.40,32.40,32.81,32.32
32.40,32.31,32.53,31.88
32.37,33.04,33.06,32.10
33.12,33.35,33.65,33.12
33.51,34.56,34.78,33.41
34.58,34.11,34.85,34.01
33.94,34.05,34.46,33.90
33.81,34.50,34.52,33.81
34.40,34.50,34.53,34.13
34.45,34.13,34.50,33.98
34.01,35.30,35.35,33.59
35.30,34.80,35.42,34.77
34.73,34.96,35.09,34.47
34.85,35.32,35.36,34.85
35.15,35.39,35.59,35.15
35.26,34.73,35.26,34.43
34.78,34.37,34.78,34.29
34.50,34.80,34.90,34.47
34.93,35.11,35.54,34.86
35.25,35.08,35.49,35.04
35.03,34.98,35.46,34.95
35.00,35.19,35.30,35.00
35.11,34.95,35.18,34.89
34.83,35.08,35.08,34.83
35.10,35.55,35.97,34.75
35.33,35.20,35.46,35.10
35.05,35.30,35.30,34.80
35.29,35.39,35.68,35.09
35.44,35.55,35.62,35.11
35.49,35.84,36.00,35.49
35.80,36.05,36.28,35.67
36.22,36.02,36.28,35.64
35.92,36.35,36.76,35.88
36.30,36.14,36.38,35.41
36.15,35.50,36.15,35.44
35.59,35.20,35.64,35.15
35.27,34.96,35.32,34.92
35.11,34.89,35.16,34.76
34.85,34.84,34.97,34.53
34.67,34.45,34.75,34.40
34.45,34.50,34.58,34.32
34.56,34.60,34.65,34.34
34.60,34.97,35.01,34.60
34.99,35.06,35.34,34.88
35.11,34.75,35.18,34.62
34.64,34.77,34.84,34.54
34.70,35.07,35.14,34.65
34.88,35.19,35.29,34.82
35.18,36.00,36.25,35.18
36.00,35.55,36.08,35.53
35.97,35.47,35.99,35.29
35.50,35.00,35.50,34.98
33.34,33.49,33.58,32.95
33.41,33.52,33.55,33.02
33.60,34.22,34.28,33.14
34.33,34.80,34.81,34.15
34.80,34.91,35.12,34.60
34.77,34.72,35.09,34.72
34.74,35.19,35.37,34.61
35.32,35.78,35.80,35.13
35.66,35.61,35.91,35.55
35.59,35.56,35.89,35.10
35.20,35.28,35.64,34.76
35.02,35.27,35.48,34.94
35.06,35.08,35.91,33.73
34.91,33.69,35.04,33.55
34.48,34.48,34.84,33.76
34.23,34.25,34.42,34.00
34.25,34.25,34.31,34.08
34.12,34.30,34.35,34.09
34.15,33.51,34.30,33.25
31.44,32.90,33.62,31.40
33.22,33.12,33.46,33.03
33.00,32.94,33.15,32.77
32.49,32.73,33.19,31.99
32.53,32.15,32.53,31.66
32.16,31.86,32.21,31.60
31.50,31.69,32.04,31.21
31.97,31.95,32.97,31.91
32.40,32.01,32.50,31.73
33.44,31.82,33.44,31.74
31.59,31.03,31.79,30.94
30.96,31.69,31.91,30.92
31.90,32.53,32.92,31.90
32.05,31.35,32.05,31.28
31.49,31.01,31.49,31.00
31.17,30.85,31.17,30.72
31.09,30.73,31.09,30.55
31.00,31.19,31.26,30.78
30.91,31.77,31.77,30.91
31.78,31.98,32.44,31.78
32.15,32.58,32.63,31.99
32.34,32.61,32.67,32.13
32.74,32.75,32.91,32.30
32.95,32.81,33.09,32.32
32.95,33.29,34.33,32.95
33.45,32.86,33.72,32.84
32.82,32.69,33.06,32.59
32.48,32.33,32.77,32.21
32.38,32.94,32.94,31.95
32.99,32.71,33.24,32.61
32.33,32.58,32.61,32.06
32.66,32.17,33.11,32.10
32.31,31.50,32.37,31.36
31.71,31.90,32.22,30.59
32.08,31.06,32.22,30.94
31.17,31.99,32.11,30.67
32.14,32.79,33.17,32.14
32.77,33.19,33.27,32.66
33.03,33.01,33.78,32.98
33.22,34.35,34.65,33.22
34.19,34.93,34.93,33.83
34.85,34.61,34.94,34.43
34.37,32.99,34.37,32.96
33.02,34.37,34.41,33.02
36.97,37.88,37.94,35.71
37.75,37.00,38.43,36.77
37.49,37.13,37.62,37.00
37.00,37.59,37.72,36.80
37.50,38.39,38.49,37.37
38.38,38.26,39.00,38.19
38.05,37.24,38.19,37.14
37.44,37.26,37.59,37.06
36.88,37.21,37.57,36.75
37.65,37.10,37.65,36.89
36.97,37.02,37.39,36.51
37.02,37.47,37.54,36.90
37.30,37.02,37.50,37.02
36.62,36.03,36.62,35.72
36.32,36.72,36.78,36.23
36.37,36.54,36.81,36.25
36.03,34.05,36.29,34.01
33.75,34.58,34.78,33.69
34.41,34.49,34.63,34.13
34.55,34.92,34.97,34.18
35.23,35.80,35.95,35.02
35.82,36.00,36.39,35.34
35.96,36.25,36.48,35.18
36.07,36.54,36.58,35.59
36.72,36.23,36.86,36.20
36.02,36.25,36.38,35.53
36.00,36.99,37.01,35.81
37.00,36.47,37.05,36.41
36.82,36.75,36.90,36.41
37.20,36.20,37.20,36.16
36.08,35.61,36.51,35.42
36.03,36.01,36.17,35.71
36.15,36.67,36.78,36.05
36.89,36.75,36.90,36.13
36.56,36.07,36.60,36.00
36.17,36.15,36.28,35.93
36.29,35.83,36.29,35.19
35.83,35.84,36.06,35.83
35.99,35.95,36.18,35.71
35.92,36.00,36.17,35.03
35.96,36.54,36.67,35.96
36.40,36.18,36.43,35.52
36.53,36.22,36.53,35.89
36.37,36.74,36.75,35.94
36.61,36.28,36.74,36.26
36.31,36.22,36.79,35.80
35.97,36.02,36.28,35.93
36.39,36.84,36.90,36.39
36.79,36.98,37.11,36.67
37.00,37.70,37.75,35.03
37.52,37.31,37.66,36.99
37.57,37.29,38.30,37.07
37.55,37.08,37.55,36.82
37.00,36.60,37.15,36.26
36.97,37.60,37.96,36.82
37.43,36.98,37.43,36.77
37.04,37.01,37.45,36.75
36.98,37.33,37.55,36.88
37.28,37.10,37.41,37.10
37.13,36.89,37.13,36.66
37.06,37.42,37.55,36.88
37.46,37.84,37.89,37.43
37.90,37.37,37.93,37.35
37.54,38.15,38.18,37.28
39.19,36.56,39.20,36.48
36.50,36.59,36.70,36.11
36.71,37.74,38.15,36.55
37.79,37.40,37.82,37.17
37.61,37.39,37.81,37.33
37.14,37.39,37.68,37.10
37.21,37.02,37.54,36.87
37.32,36.68,37.32,36.53
36.48,36.50,36.76,36.44
36.55,36.66,36.80,36.31
37.06,37.14,37.32,36.93
37.47,36.75,37.47,36.49
36.80,36.70,37.06,36.56
36.82,36.98,37.08,36.76
37.00,36.95,37.00,36.65
36.75,36.67,37.07,36.52
36.84,36.74,36.99,36.49
36.51,36.34,36.84,36.32
36.02,36.47,36.75,36.02
36.68,36.67,37.13,36.42
36.36,35.60,36.51,35.26
35.64,35.35,36.47,35.22
35.60,35.65,35.90,35.38
35.72,36.15,36.48,35.27
36.08,36.37,36.50,35.70
36.04,36.13,36.20,35.75
36.48,36.95,37.09,36.13
36.95,36.93,37.17,36.50
36.75,37.25,37.40,36.26
36.98,36.65,37.00,36.28
37.22,37.20,37.49,36.81
37.15,37.18,37.27,36.92
37.02,37.30,37.44,36.95
37.17,37.14,37.37,36.98
37.41,37.22,37.50,37.08
37.26,36.91,37.30,36.84
37.09,36.80,37.10,36.78
36.65,36.73,36.87,36.56
36.81,36.34,36.90,36.20
36.53,36.86,36.91,35.45
36.79,36.84,37.18,36.74
36.88,36.90,37.00,36.70
36.80,36.75,36.93,36.40
36.25,36.32,36.75,36.20
36.43,37.00,37.19,36.29
36.96,36.82,37.04,36.74
36.92,36.83,37.03,36.66
36.48,36.90,37.07,36.48
36.87,36.75,36.96,36.51
36.78,36.62,36.93,36.58
36.52,36.56,36.84,36.52
36.50,36.50,37.17,36.50
36.85,36.42,36.93,36.22
36.58,35.57,36.59,35.38
35.60,36.11,36.16,35.60
36.00,36.10,36.20,35.90
36.02,36.18,36.48,35.78
35.90,36.34,36.68,35.88
36.36,36.44,36.60,36.32
36.65,36.36,36.65,36.19
36.13,35.82,36.44,35.77
35.83,35.92,35.94,35.57
35.83,36.67,36.69,35.80
36.59,36.60,36.67,36.38
36.39,37.06,37.41,36.39
37.10,36.83,37.10,36.60
36.76,37.27,37.30,36.76
37.21,37.48,37.71,37.11
37.61,39.20,39.26,37.45
39.25,39.99,40.14,38.98
39.82,39.15,39.82,39.07
39.35,39.06,39.35,38.59
43.52,43.05,43.96,40.54
43.11,43.12,43.70,42.51
42.95,42.34,43.20,42.25
42.24,41.96,42.48,41.73
42.00,42.53,42.75,41.96
42.31,42.25,42.46,41.89
42.00,42.01,42.36,41.71
41.67,41.71,41.93,41.36
41.51,42.16,42.22,41.13
42.00,42.21,42.40,41.85
42.03,41.71,42.20,41.71
41.74,41.64,41.74,41.16
41.44,41.91,42.20,40.87
42.15,42.51,42.57,41.67
41.98,41.97,42.68,41.65
41.88,40.32,42.31,40.26
