DEE,DB Commodity Double Short ETN due April 1,NASDAQ
49.02,49.00,49.08,49.00
48.55,48.44,48.59,48.44
48.41,47.06,48.41,47.06
47.45,47.90,47.90,47.41
47.50,47.50,47.50,47.50
46.68,47.54,47.58,46.51
49.86,51.35,51.40,49.26
51.72,51.21,54.34,51.21
51.77,51.55,51.77,51.20
52.68,53.37,53.55,52.68
54.71,53.28,54.71,52.90
55.01,54.78,55.06,54.78
55.00,56.02,56.18,55.00
56.65,57.60,57.60,56.22
57.37,56.91,57.46,56.63
57.79,57.49,57.79,57.27
57.80,58.85,58.85,55.00
59.25,58.83,59.98,58.83
58.93,60.08,60.33,58.70
59.67,57.92,67.96,57.92
56.93,54.91,56.98,54.00
54.97,56.50,56.50,54.72
57.85,60.60,61.98,57.84
62.68,62.15,64.44,60.91
62.12,61.79,62.72,60.88
60.26,59.15,61.06,58.97
59.54,58.66,60.73,58.06
58.31,57.62,59.66,57.12
59.78,59.04,60.16,59.04
56.51,54.90,57.00,54.60
54.98,55.03,55.70,54.64
55.10,54.00,55.10,54.00
54.51,52.85,54.51,52.78
52.35,52.16,52.94,51.65
53.15,54.34,54.34,53.15
54.05,53.04,56.50,52.94
55.38,55.07,56.50,55.01
54.19,53.02,54.71,52.95
52.45,53.84,53.88,52.45
53.29,52.96,53.30,51.87
52.16,51.33,52.22,51.11
51.72,52.09,52.31,51.51
51.29,51.33,51.62,49.63
50.86,51.63,51.88,50.68
51.90,51.96,52.16,51.77
52.10,51.90,52.29,50.59
52.07,51.99,52.07,51.83
51.39,52.18,52.60,51.08
52.80,53.35,53.88,52.80
52.44,51.57,52.44,51.27
50.50,50.07,51.02,50.07
50.69,50.68,50.75,50.57
52.43,52.43,52.99,51.95
53.42,52.09,54.00,52.02
52.30,52.37,52.49,51.97
53.70,53.62,53.99,53.17
52.97,53.90,53.90,52.74
53.65,53.79,54.34,53.65
53.02,51.50,53.02,51.03
51.81,52.25,52.25,51.75
51.09,51.47,51.83,50.71
50.10,49.61,50.16,49.50
47.57,48.15,49.09,47.57
48.20,48.12,48.40,48.01
48.21,48.21,48.21,48.21
48.98,48.87,48.98,48.87
48.05,48.75,49.05,48.05
48.47,48.40,48.63,48.12
49.00,48.24,49.81,48.24
48.25,47.09,48.30,46.90
47.09,47.09,47.09,47.09
48.29,48.86,48.86,48.29
50.34,50.55,51.12,50.04
50.05,49.42,50.05,49.16
49.25,49.43,50.13,48.97
50.49,49.52,50.96,49.43
50.03,48.68,50.10,48.50
48.66,49.60,49.63,48.57
50.39,51.90,52.01,50.30
51.27,50.91,51.74,50.69
49.91,49.33,49.91,48.74
48.55,47.97,49.09,47.36
47.53,47.96,47.96,47.50
48.83,50.16,50.30,48.83
52.99,52.31,53.01,51.55
52.55,54.24,54.94,52.47
54.30,54.72,55.50,54.09
52.89,53.46,54.05,52.67
53.95,53.47,53.95,51.44
53.04,53.34,54.72,52.49
53.54,54.22,54.22,53.49
55.23,56.60,57.00,55.21
57.31,58.77,59.13,57.12
57.41,58.98,58.98,57.41
59.51,59.48,60.41,59.23
61.18,61.29,62.13,60.65
61.60,60.56,63.00,59.02
60.33,60.18,60.45,59.90
62.25,61.45,62.27,61.39
60.50,60.14,60.50,59.60
58.79,57.58,58.79,56.40
57.75,58.41,58.90,57.28
59.61,60.05,60.05,58.57
60.26,59.57,60.26,59.51
59.88,59.12,60.63,57.70
60.88,63.04,63.16,60.74
62.99,62.99,63.48,62.12
62.70,62.22,62.70,61.82
60.73,60.96,60.98,60.73
59.29,59.18,63.74,58.57
59.23,60.21,60.21,59.23
58.28,58.80,58.80,58.10
57.67,56.88,57.67,56.88
55.85,55.74,55.97,55.74
55.54,56.09,56.33,55.35
56.22,56.00,56.30,55.38
54.00,56.33,56.64,53.92
56.33,56.33,56.33,56.33
58.65,58.17,58.70,58.17
58.72,58.22,58.99,58.18
57.19,56.27,57.19,56.02
56.95,57.18,57.59,56.95
60.21,60.36,60.36,60.14
58.77,59.16,60.97,58.77
60.01,61.92,61.92,60.00
60.82,61.40,61.40,60.82
59.99,61.29,61.85,59.38
60.11,58.32,60.11,58.26
57.60,56.58,57.61,56.58
57.00,56.33,57.24,56.33
58.14,58.21,58.21,58.14
56.21,55.89,56.26,55.48
55.92,55.02,55.92,54.85
55.02,55.02,55.02,55.02
55.62,55.77,55.95,55.62
54.96,54.80,54.96,54.80
54.80,54.80,54.80,54.80
54.80,54.80,54.80,54.80
54.16,53.00,54.20,52.96
49.75,53.83,53.83,49.75
54.22,54.12,54.22,54.12
53.85,55.74,55.91,53.85
55.34,54.61,57.15,54.61
53.25,53.10,53.25,52.56
53.30,51.66,53.30,51.66
48.20,47.81,48.20,47.54
47.85,47.56,47.85,47.00
46.63,47.00,47.00,46.54
44.71,45.30,45.34,44.68
47.01,47.16,47.28,46.54
47.16,46.69,47.20,46.48
48.90,48.87,48.90,48.23
49.53,50.37,50.37,49.53
50.66,51.00,51.00,49.88
50.63,51.36,51.37,50.63
51.60,52.45,52.45,51.35
50.95,51.53,51.53,50.95
52.82,52.20,53.15,52.20
51.47,52.36,52.36,51.47
53.42,53.42,53.42,53.42
53.42,53.42,53.42,53.42
54.67,55.07,55.07,54.67
55.10,55.60,55.61,55.04
54.07,53.61,54.07,53.42
53.50,53.30,53.98,53.30
53.30,53.30,53.30,53.30
53.11,53.12,53.12,53.11
52.54,51.70,52.54,51.70
51.01,50.46,51.04,50.46
50.31,49.52,50.31,49.52
50.38,49.52,50.44,49.52
49.04,49.54,49.54,48.92
49.80,50.13,50.13,49.80
49.79,49.12,49.79,48.95
47.39,47.39,47.39,47.39
47.39,47.39,47.39,47.39
47.74,47.74,47.74,47.74
47.74,47.74,47.74,47.74
48.15,48.15,48.15,48.15
48.15,48.15,48.15,48.15
47.53,48.09,48.09,47.45
47.46,47.46,47.46,47.46
48.02,48.02,48.02,48.02
46.30,45.65,46.30,45.63
