AETI,American Electric Technologies,NASDAQ
2.26,2.30,2.32,2.23
2.35,2.35,2.35,2.35
2.50,2.33,2.50,2.26
2.23,2.33,2.35,2.23
2.33,2.47,2.47,2.20
2.37,2.46,2.46,2.35
2.35,2.32,2.40,2.15
2.35,2.40,2.40,2.33
2.36,2.36,2.36,2.36
nan,2.36,nan,nan
2.40,2.39,2.40,2.36
2.25,2.39,2.39,2.25
2.40,2.41,2.41,2.40
2.41,2.41,2.41,2.40
2.26,2.41,2.41,2.26
2.30,2.41,2.42,2.30
2.27,2.40,2.46,2.27
2.32,2.21,2.40,2.00
2.18,2.21,2.28,2.18
2.06,2.15,2.16,2.06
2.10,2.17,2.17,2.10
2.20,2.19,2.20,2.13
2.19,2.20,2.23,2.15
2.10,2.21,2.21,2.10
2.23,2.22,2.25,2.22
2.10,2.15,2.15,2.09
2.20,2.18,2.20,2.06
nan,2.18,nan,nan
2.11,2.20,2.20,2.10
nan,2.20,nan,nan
2.19,2.19,2.19,2.19
2.15,2.19,2.19,2.10
2.20,2.20,2.20,2.20
2.11,2.20,2.20,2.07
nan,2.20,nan,nan
2.10,2.18,2.18,2.10
2.29,2.23,2.29,2.10
2.47,2.26,2.47,2.10
2.45,2.35,2.45,2.30
2.38,2.33,2.38,2.16
2.34,2.34,2.35,2.32
2.34,2.34,2.34,2.30
2.46,2.46,2.46,2.46
2.47,2.40,2.47,2.40
2.47,2.54,2.55,2.40
2.58,2.64,2.67,2.54
2.68,2.64,2.68,2.61
2.66,2.66,2.67,2.55
2.66,2.66,2.66,2.55
2.66,2.68,2.73,2.66
2.69,2.75,2.76,2.69
2.70,2.67,2.82,2.65
2.66,2.68,2.70,2.65
2.79,2.76,2.79,2.68
2.77,2.75,2.77,2.62
2.62,2.75,2.78,2.62
2.65,2.66,2.75,2.65
2.65,2.69,2.69,2.65
2.76,2.76,2.76,2.73
2.79,2.79,2.79,2.75
2.75,2.77,2.77,2.75
N/A,N/A,N/A,N/A
2.78,2.78,2.78,2.77
2.77,2.78,2.78,2.77
2.77,2.78,2.78,2.77
2.77,2.78,2.78,2.75
2.78,2.78,2.78,2.78
2.77,2.78,2.78,2.75
2.75,2.78,2.78,2.75
2.75,2.78,2.78,2.75
2.75,2.78,2.78,2.75
2.75,2.78,2.78,2.75
2.78,2.75,2.78,2.75
2.75,2.75,2.78,2.75
2.79,2.75,2.79,2.75
2.75,2.75,2.75,2.75
2.75,2.77,2.77,2.75
2.75,2.75,2.79,2.75
2.79,2.99,3.40,2.79
2.95,3.00,3.00,2.95
3.00,3.00,3.00,2.81
3.00,3.01,3.02,2.95
3.04,3.08,3.08,3.00
3.08,2.97,3.18,2.97
2.98,2.96,3.04,2.82
nan,2.96,nan,nan
2.95,2.95,2.95,2.75
2.95,2.91,3.01,2.91
nan,2.91,nan,nan
2.75,2.38,2.76,2.12
2.85,2.40,2.85,2.40
2.40,2.43,2.43,2.30
2.46,2.46,2.46,2.46
2.31,2.40,2.70,2.25
2.28,2.32,2.32,2.25
2.25,2.20,2.30,2.20
2.20,2.10,2.27,2.10
2.09,2.10,2.11,2.09
2.10,2.11,2.11,1.94
2.10,2.05,2.11,2.05
2.10,2.11,2.11,2.10
2.02,2.11,2.11,2.02
nan,2.11,nan,nan
1.83,2.10,2.10,1.83
2.00,2.11,2.11,1.83
nan,2.11,nan,nan
2.00,2.10,2.10,2.00
2.05,2.10,2.10,2.05
nan,2.10,nan,nan
2.01,2.07,2.07,2.01
2.10,2.09,2.10,2.09
2.01,2.05,2.05,2.01
2.05,2.00,2.07,1.83
2.10,2.08,2.10,1.92
2.05,2.04,2.08,1.94
2.07,2.00,2.07,2.00
2.11,2.07,2.11,2.01
2.11,2.10,2.11,2.10
nan,2.10,nan,nan
2.08,2.10,2.11,2.01
2.10,2.10,2.10,2.10
2.09,2.13,2.22,2.06
2.01,2.09,2.09,1.91
nan,2.09,nan,nan
2.11,2.06,2.11,1.91
2.08,2.07,2.08,1.85
1.86,2.00,2.00,1.85
2.03,2.08,2.08,2.00
2.08,2.09,2.11,1.85
1.90,2.09,2.09,1.90
1.92,2.05,2.05,1.92
2.11,2.19,2.29,2.11
2.25,2.25,2.25,2.25
nan,2.25,nan,nan
2.25,2.26,2.26,2.25
2.26,2.26,2.26,2.21
nan,2.26,nan,nan
2.27,2.27,2.27,2.27
2.28,2.28,2.28,2.28
nan,2.28,nan,nan
2.10,2.25,2.28,2.10
2.10,2.25,2.28,2.10
2.25,2.25,2.25,2.25
2.27,2.27,2.27,2.27
2.27,2.27,2.27,2.27
2.27,2.22,2.35,2.22
2.29,2.28,2.29,2.22
2.08,2.08,2.08,2.08
2.21,2.24,2.24,2.20
2.24,2.29,2.29,2.15
nan,2.29,nan,nan
2.28,2.27,2.28,2.11
2.27,2.27,2.27,2.27
2.28,2.29,2.29,2.26
2.27,2.24,2.29,2.11
2.24,2.25,2.25,2.11
2.03,2.26,2.26,2.03
2.24,2.24,2.27,2.23
2.05,2.25,2.26,1.92
2.01,2.19,2.19,1.95
2.09,2.20,2.20,2.09
2.22,2.22,2.22,2.05
2.06,2.22,2.22,2.06
nan,2.22,nan,nan
2.22,2.01,2.22,2.01
2.20,2.19,2.20,2.18
2.20,2.12,2.20,2.12
2.22,2.22,2.22,2.22
2.04,2.20,2.20,1.95
2.17,2.14,2.17,2.08
2.10,2.10,2.10,2.10
2.10,2.25,2.25,2.10
2.18,2.24,2.24,2.17
nan,2.24,nan,nan
2.24,2.28,2.30,2.24
N/A,N/A,N/A,N/A
2.25,2.25,2.25,2.25
2.25,2.29,2.29,2.25
