CMG,Chipotle Mexican Grill,NASDAQ
89.60,87.84,89.60,87.18
87.52,89.02,90.00,87.11
88.59,87.32,89.60,86.60
87.34,86.43,88.11,86.00
90.57,91.89,92.73,90.00
93.86,96.77,98.00,92.50
96.52,95.42,96.68,94.82
95.27,95.64,95.96,94.25
97.23,99.42,99.71,96.86
99.56,98.06,99.58,96.83
98.00,99.50,99.97,97.54
98.61,97.85,99.80,97.38
97.95,100.06,102.90,97.95
100.02,97.77,100.79,97.64
98.23,95.85,98.46,95.38
95.53,97.50,98.73,95.53
97.63,98.44,98.98,96.13
98.78,98.62,99.64,96.63
99.01,96.46,99.65,96.44
96.89,100.38,100.41,96.86
100.38,100.85,101.40,99.32
100.65,100.38,101.13,100.01
100.00,98.51,100.00,97.90
98.11,95.20,98.68,93.81
95.55,99.92,100.86,95.17
100.54,100.65,100.88,99.17
100.74,99.51,101.81,99.45
99.50,101.12,101.48,98.39
98.63,104.87,105.13,98.00
105.72,103.79,106.49,103.17
103.80,104.46,104.70,103.49
104.10,103.98,105.00,103.55
103.56,104.99,105.46,103.56
105.00,103.93,105.00,103.00
103.94,103.64,104.60,102.88
103.68,104.84,105.29,103.54
103.69,103.82,104.36,102.93
104.10,104.71,105.72,103.50
105.53,107.93,108.50,105.33
108.41,110.12,110.22,107.88
110.15,110.08,111.75,109.40
110.29,109.03,110.29,108.86
109.16,110.63,111.55,109.07
110.87,111.50,112.55,110.72
111.50,112.01,113.22,110.90
112.25,112.32,112.51,110.71
111.46,112.96,113.17,111.30
113.54,114.98,115.64,113.00
114.09,114.18,115.63,112.93
114.13,114.71,115.27,114.00
115.11,115.02,115.53,114.30
115.27,114.17,115.51,113.86
114.33,113.63,115.36,113.36
113.02,114.44,114.50,110.71
114.76,115.27,115.61,114.25
115.07,114.35,115.50,114.19
114.65,114.98,117.12,114.05
115.43,114.02,115.89,113.70
114.62,114.60,115.00,114.04
115.01,114.48,116.47,113.62
114.15,112.67,114.91,112.53
113.27,114.48,115.12,113.00
115.12,119.30,119.82,114.87
119.59,122.17,122.62,118.70
122.88,122.47,124.56,121.46
122.32,122.73,123.20,121.25
123.31,122.52,123.43,120.78
123.22,123.21,124.74,122.72
123.24,125.54,125.99,123.22
127.04,125.97,127.15,125.01
126.13,125.08,127.20,124.71
125.01,124.05,125.40,122.86
123.78,123.43,124.95,120.25
124.12,124.08,125.23,122.00
123.79,126.75,126.75,123.56
136.27,144.72,145.11,133.01
145.00,142.98,145.00,140.77
142.95,141.98,145.39,141.83
141.87,139.04,143.50,139.00
141.95,135.27,141.95,134.74
136.00,139.13,140.23,136.00
139.69,134.91,142.84,134.87
135.27,138.90,139.79,134.91
137.55,133.39,138.31,133.00
131.33,135.00,137.15,128.02
134.98,131.52,137.02,124.00
130.39,128.83,133.35,126.36
134.99,136.92,137.60,134.13
136.07,138.06,141.24,135.75
139.50,142.37,142.78,139.26
143.90,141.85,148.87,141.19
141.42,138.61,141.99,136.08
139.21,139.03,140.87,134.34
140.25,139.66,144.49,137.39
138.08,138.91,140.79,135.91
134.00,133.84,137.04,132.77
131.60,135.77,137.43,129.07
136.77,137.48,140.94,135.78
136.00,136.28,136.74,130.04
139.29,138.09,142.40,137.47
140.77,143.99,143.99,139.60
144.80,142.28,146.00,142.05
141.35,141.25,143.71,140.26
142.36,147.61,147.68,140.40
148.45,148.90,152.79,147.79
147.04,143.81,149.98,143.35
146.25,139.07,146.25,138.59
139.72,142.03,142.21,135.36
143.59,143.37,146.97,142.58
145.99,146.14,146.50,142.48
144.88,149.48,149.50,144.02
151.63,148.77,153.70,148.35
150.74,152.92,154.25,148.76
153.28,152.52,155.42,152.00
153.84,151.85,153.99,149.60
153.14,152.74,153.45,150.73
154.50,151.59,155.00,150.40
152.20,145.15,152.84,145.00
144.44,147.30,148.71,144.31
147.67,144.76,147.67,144.32
145.53,146.84,148.89,142.95
147.12,145.96,148.67,145.75
144.00,138.44,144.00,137.37
138.50,136.81,141.30,136.57
136.15,138.67,139.59,133.60
138.65,137.24,140.53,136.40
138.80,135.26,142.13,134.56
135.82,138.45,138.60,133.40
139.55,139.57,141.23,137.50
139.98,140.41,141.30,138.70
139.42,139.93,141.15,137.32
140.35,142.76,143.94,140.30
142.62,143.72,144.97,141.69
144.17,142.46,144.17,139.88
141.91,136.82,142.21,136.62
136.17,130.24,137.79,128.53
128.45,133.97,134.30,127.30
135.75,129.60,135.75,129.48
131.49,133.16,133.53,130.43
137.01,145.50,145.99,137.00
145.60,148.57,148.63,144.06
149.67,148.28,150.00,146.67
147.68,147.94,148.46,146.27
148.89,146.01,149.48,144.10
144.00,147.90,147.92,143.31
150.06,150.51,150.98,148.99
150.29,151.24,152.56,147.50
150.94,152.54,154.43,150.73
151.21,150.93,152.48,149.50
148.29,151.60,152.00,148.19
152.10,151.34,152.88,150.06
150.03,150.03,152.08,149.00
147.01,146.32,147.92,145.20
144.31,146.23,147.30,143.02
146.16,142.63,146.16,142.30
142.27,144.97,146.06,141.01
146.64,147.87,149.71,145.36
147.71,149.42,150.68,146.69
149.01,147.92,150.51,147.08
147.11,149.84,149.91,146.52
150.92,149.56,152.30,149.25
147.22,145.69,148.87,144.79
144.40,147.61,147.89,142.82
148.43,148.48,151.34,147.17
150.35,153.03,153.13,147.06
153.68,148.84,153.87,148.84
148.39,150.83,151.85,148.20
152.88,159.41,159.54,151.63
161.49,164.19,164.19,159.98
165.88,163.51,166.52,162.29
163.21,164.78,164.99,161.13
165.67,166.05,167.04,164.41
165.05,162.82,166.29,162.09
