RL,Ralph Lauren Corporation Common Stock,NASDAQ
81.84,81.56,81.90,80.18
81.37,84.76,84.99,80.83
84.74,84.12,85.23,83.78
84.15,85.74,86.49,84.12
85.30,86.37,86.49,84.72
86.48,85.56,86.97,84.99
84.98,83.82,85.66,83.20
84.25,85.70,85.97,83.76
85.16,85.11,85.64,84.66
84.51,83.83,85.53,82.88
83.90,84.77,84.94,83.82
84.12,86.40,86.51,83.76
86.24,84.48,86.95,84.10
84.60,82.04,84.99,81.88
82.78,82.77,83.42,82.02
82.47,82.57,83.61,82.05
82.41,83.01,83.30,81.76
83.21,81.92,83.51,81.74
82.12,82.00,84.38,81.73
82.80,83.14,83.67,82.63
83.51,85.67,86.28,83.03
79.45,78.51,81.21,76.90
77.65,77.14,78.51,76.88
77.38,76.65,77.57,75.06
76.50,77.63,78.97,76.14
78.29,78.59,79.44,78.13
78.59,77.99,79.40,77.64
77.79,79.03,79.34,77.77
78.05,78.69,78.78,77.75
79.03,79.72,79.77,78.00
79.74,80.30,80.72,79.74
79.76,80.57,80.66,79.56
80.48,80.60,81.18,80.00
80.75,81.31,81.70,80.28
80.96,80.28,81.31,79.89
80.55,80.15,80.67,79.87
79.58,79.64,79.89,78.73
79.70,79.93,80.92,79.30
79.23,80.76,81.05,79.16
81.12,80.63,81.73,80.41
80.64,80.35,80.94,80.02
80.80,80.99,81.91,80.68
81.43,82.63,82.76,81.09
82.81,82.78,83.74,82.45
82.40,82.93,83.45,82.19
82.69,82.35,83.07,81.89
81.75,82.67,82.76,81.39
83.09,82.16,83.17,81.94
82.00,81.12,82.05,79.92
81.11,81.37,81.50,80.69
81.42,81.99,82.47,81.27
81.91,83.32,83.48,81.63
82.86,82.86,83.95,82.43
82.05,83.86,84.28,81.86
84.33,84.90,85.48,84.19
84.70,84.72,85.15,84.11
85.28,84.65,85.83,84.57
84.64,86.07,86.70,84.64
86.50,85.69,86.67,84.88
85.67,85.77,86.38,85.22
85.35,85.04,85.84,84.74
85.60,86.53,86.83,85.59
86.86,88.14,88.38,86.66
87.94,88.09,88.22,87.42
88.54,88.86,89.84,88.34
88.49,88.84,89.21,87.62
89.02,89.73,89.76,88.40
89.75,89.47,89.94,88.91
89.36,90.39,90.89,88.61
90.63,91.18,91.36,90.08
91.28,90.62,91.28,89.97
90.44,90.01,90.95,89.29
89.62,90.76,90.88,88.70
91.17,91.36,91.80,90.92
91.30,92.90,93.08,91.14
91.84,94.94,95.45,91.81
94.80,95.00,95.55,94.00
94.70,94.49,95.59,94.30
94.22,92.02,94.68,91.65
92.62,92.35,93.42,91.89
92.82,93.85,94.13,92.82
93.98,89.90,94.88,89.83
90.70,92.37,93.38,89.90
91.34,90.65,91.81,90.21
89.52,89.41,91.66,88.46
88.80,85.28,89.33,80.34
84.46,82.74,86.20,80.83
86.41,89.59,89.83,86.41
88.10,89.03,90.31,88.10
89.75,91.92,92.07,89.37
91.92,90.18,92.42,89.71
89.22,89.32,90.51,88.05
89.42,86.98,90.01,84.52
87.92,85.78,89.48,85.48
82.99,88.10,89.26,82.70
85.72,85.01,86.82,84.65
83.42,84.27,86.52,83.42
83.77,84.92,85.73,83.63
83.15,85.60,85.94,81.30
86.53,85.23,87.19,85.17
86.78,88.28,88.35,86.59
87.92,86.86,88.94,86.39
86.13,84.55,87.66,84.48
82.58,85.84,85.90,82.56
85.63,86.34,87.49,85.52
85.13,81.78,85.13,81.05
82.23,78.60,82.30,78.42
78.90,79.41,79.89,77.20
79.89,80.27,82.46,79.75
81.70,83.20,83.57,81.64
82.12,83.45,84.20,82.05
84.00,84.17,85.00,83.71
82.94,82.44,83.10,81.11
80.14,80.12,80.81,80.00
80.40,80.85,81.00,80.11
80.93,80.45,81.30,80.32
81.21,79.88,82.01,79.42
79.95,78.18,81.00,77.93
78.44,78.83,79.58,76.68
78.43,76.52,78.53,76.08
76.72,77.27,78.18,76.41
77.29,77.04,78.31,76.70
75.71,73.40,75.71,72.91
73.40,72.96,74.61,72.51
73.32,73.95,74.32,71.14
74.34,73.12,74.90,72.61
74.00,71.93,74.61,71.12
72.54,74.96,75.15,71.77
75.94,77.22,77.49,75.68
77.88,77.16,77.90,76.12
77.00,76.12,77.21,75.47
77.22,77.68,77.96,76.54
77.17,77.19,77.83,76.36
77.04,77.18,77.37,75.35
76.68,73.90,76.71,73.67
73.69,72.90,74.02,72.28
71.61,74.39,74.59,71.39
74.58,73.31,75.04,73.19
74.43,76.47,77.50,74.34
76.35,79.22,79.54,75.83
79.67,81.97,82.01,79.11
82.17,80.12,82.57,79.56
80.10,78.53,80.34,78.00
78.97,78.30,79.55,77.24
77.15,79.01,79.40,76.82
80.58,81.64,82.20,80.45
81.44,79.31,81.51,79.10
82.04,85.47,85.88,80.00
84.87,84.29,86.00,83.76
82.72,85.79,85.84,82.72
86.20,86.55,87.30,85.93
85.69,84.82,86.68,84.11
83.19,81.77,83.19,81.11
79.86,81.37,81.45,79.86
81.16,80.36,81.30,80.00
79.58,79.78,80.60,79.23
80.70,82.46,83.24,80.63
82.13,83.14,83.78,81.93
82.78,82.72,83.20,81.45
81.90,83.04,83.24,81.15
83.01,82.91,84.00,82.27
81.58,80.55,81.63,79.86
79.79,81.35,81.59,79.20
81.61,77.14,81.92,77.06
77.59,78.22,78.50,76.08
78.10,75.46,78.18,75.37
75.01,75.74,77.04,74.50
76.88,78.84,79.22,76.88
79.03,79.91,80.52,78.90
81.03,81.09,82.20,80.72
80.63,80.19,81.20,79.80
80.34,81.38,82.00,80.28
82.70,81.46,82.83,81.08
81.51,81.54,82.25,80.95
82.59,83.33,83.58,82.08
83.08,85.10,85.87,82.99
84.40,85.83,85.93,84.25
85.60,86.39,86.45,85.45
86.53,87.67,87.77,86.31
87.68,89.82,89.92,87.12
89.81,89.19,90.07,88.45
89.13,87.83,89.45,87.14
87.51,86.04,87.79,85.81
87.42,89.26,89.51,87.42
89.16,89.00,90.11,88.79
89.23,91.09,91.41,87.95
91.67,90.09,91.67,89.86
90.83,89.86,91.76,88.99
90.79,90.31,90.83,89.34
90.00,91.25,91.32,89.66
92.34,92.96,93.37,91.81
92.80,91.63,92.99,90.17
92.03,91.08,92.63,90.57
91.01,92.91,94.16,90.98
93.07,93.72,94.27,93.07
93.28,93.72,94.00,92.62
94.37,94.40,95.41,93.67
94.41,94.07,94.90,93.24
94.86,95.27,95.66,93.90
95.40,95.66,95.98,94.21
93.48,93.14,94.87,92.26
92.80,93.62,94.35,92.73
94.21,93.15,95.05,92.35
93.27,94.03,94.25,93.14
94.72,94.83,95.78,94.67
94.41,96.49,96.92,93.91
95.43,94.32,96.00,92.70
95.17,93.92,95.17,92.92
94.15,96.88,97.79,93.97
97.33,96.46,97.44,95.82
97.56,97.00,97.62,96.58
96.85,96.63,97.22,95.16
97.99,99.33,99.40,97.01
98.89,99.62,100.62,98.89
99.50,101.07,101.42,99.38
101.49,100.92,101.87,100.19
107.00,108.28,109.28,105.73
106.22,106.50,107.14,104.98
104.28,103.71,106.26,102.79
104.07,104.35,106.59,103.89
103.74,102.45,105.13,101.83
102.65,105.42,105.75,102.39
106.37,106.26,107.15,106.00
106.47,107.16,107.50,105.62
106.60,107.78,108.02,106.37
106.48,106.56,107.14,105.57
107.83,109.82,109.87,107.53
108.94,109.82,110.45,108.75
108.94,108.70,109.05,106.90
107.86,109.24,109.91,107.34
111.28,110.59,111.76,110.21
110.57,113.05,113.21,110.57
112.95,112.12,113.41,111.20
111.94,111.25,112.40,110.77
112.30,111.85,113.37,111.78
111.73,112.76,113.01,111.29
113.48,113.02,113.95,112.68
112.32,112.99,113.10,111.64
113.61,111.74,114.01,111.64
111.79,111.82,112.82,111.28
111.42,111.92,112.07,111.18
111.93,113.26,113.26,111.03
113.04,114.16,114.50,112.70
114.29,113.59,114.76,112.86
113.87,115.32,115.45,113.08
115.07,113.77,115.13,113.36
113.27,111.65,113.79,110.75
111.43,112.82,113.02,110.69
112.73,112.28,113.29,111.50
112.22,111.53,112.42,111.34
111.36,112.57,112.77,111.26
112.51,110.92,112.51,110.86
112.08,111.69,112.29,111.20
113.49,108.36,114.54,108.17
108.18,108.30,109.85,107.70
108.16,107.94,109.14,107.21
107.99,106.76,107.99,105.02
106.49,107.59,107.94,105.76
108.32,107.75,108.51,107.03
108.39,108.64,108.78,107.70
108.36,108.51,108.59,107.80
108.07,110.01,110.30,107.72
110.06,109.56,110.86,108.78
109.51,105.69,109.51,105.56
105.54,105.00,107.00,104.11
105.39,103.95,105.87,103.29
104.31,104.75,105.36,103.94
104.24,104.45,104.59,102.33
105.00,106.08,106.84,103.38
106.30,105.44,106.48,105.38
105.69,103.98,106.55,103.40
104.23,107.18,107.54,104.12
107.90,106.91,108.42,106.60
106.62,106.82,107.00,105.33
106.86,108.59,109.87,106.86
108.76,112.56,112.98,108.59
112.66,113.84,115.15,112.56
114.25,115.77,115.87,113.87
120.41,125.35,128.04,120.25
124.51,126.98,127.50,124.06
126.24,126.87,127.63,125.63
126.87,126.46,128.56,126.07
125.72,125.04,127.32,124.52
125.75,125.56,126.71,125.15
124.93,124.92,126.50,124.01
125.05,127.98,128.02,125.03
126.49,123.78,127.83,123.63
123.94,122.10,123.98,120.77
121.93,123.79,124.44,121.54
124.42,125.29,126.08,123.97
125.43,126.71,127.16,125.28
126.91,124.10,127.48,123.31
124.11,124.29,125.13,123.01
125.83,126.46,127.04,125.41
126.45,125.29,126.60,124.21
126.06,124.62,126.44,123.39
124.87,126.60,126.94,123.81
126.02,126.78,127.50,125.10
125.15,125.51,127.21,124.26
123.96,127.23,127.97,123.55
126.41,123.72,126.60,122.66
119.85,123.19,123.88,119.09
122.93,121.18,123.55,120.14
123.00,121.69,123.13,121.29
122.21,117.29,122.21,116.65
119.43,119.75,120.67,117.36
119.93,118.49,120.61,118.27
118.06,119.48,119.91,117.13
120.66,119.64,120.66,118.65
120.09,120.51,122.13,119.77
120.69,119.43,122.28,119.34
119.61,123.52,123.57,119.43
123.75,124.85,125.28,123.33
124.36,123.65,124.63,122.98
124.52,126.63,127.89,124.22
126.89,128.00,128.82,125.93
127.47,128.59,130.19,127.13
128.82,125.49,129.39,125.07
125.38,126.08,127.32,124.50
126.32,123.60,126.74,122.49
123.80,124.48,125.25,123.07
123.44,124.31,124.93,123.19
125.17,128.39,128.88,125.00
127.46,128.00,128.75,126.61
128.67,129.00,129.94,127.79
127.46,127.38,127.94,125.51
127.88,128.49,130.50,127.88
130.20,131.77,133.03,129.82
132.00,133.00,133.47,131.01
132.76,132.24,134.14,131.74
132.48,130.99,132.73,130.66
131.68,132.31,132.62,130.84
132.21,131.56,132.43,131.14
131.64,130.77,131.84,130.07
131.52,129.29,132.40,128.70
129.24,127.76,129.92,126.87
127.70,128.27,129.10,126.99
127.28,130.02,130.46,126.80
130.44,129.61,131.45,128.35
129.59,129.56,130.45,128.89
130.32,132.69,133.23,130.03
132.78,131.87,133.73,130.42
