TNA,Direxion Small Cap Bull 3X Shares,NASDAQ
44.66,46.15,46.15,44.63
45.90,45.66,46.51,44.70
45.69,45.59,46.41,45.23
45.60,46.57,46.65,44.38
46.06,47.30,47.30,45.78
47.97,46.86,48.15,46.25
45.93,45.20,46.56,44.61
45.69,46.96,47.24,44.55
46.49,47.48,47.91,46.22
47.55,45.47,47.91,44.62
45.92,47.91,47.97,45.92
46.93,45.92,46.96,44.33
46.06,43.52,47.07,43.20
43.44,41.07,44.06,40.78
41.91,41.35,42.08,40.48
40.95,40.30,41.84,40.07
39.70,41.42,41.64,39.27
41.70,39.36,41.77,38.30
39.88,38.04,41.15,37.88
38.71,39.46,39.69,38.22
39.73,40.72,40.91,38.76
40.30,39.97,41.05,39.03
39.18,36.05,39.19,35.90
36.30,36.40,36.50,34.13
36.03,35.38,37.04,35.25
36.69,36.79,37.46,35.54
36.47,37.01,37.35,35.38
36.81,38.83,38.92,35.95
37.75,39.73,39.75,37.41
41.00,41.70,41.83,39.86
42.33,42.62,42.87,41.65
42.58,43.67,43.69,42.20
43.15,43.87,44.51,42.93
44.59,44.25,44.67,43.79
44.09,42.72,44.28,42.35
43.17,43.76,44.41,42.83
42.06,43.79,43.97,41.64
44.01,43.24,44.12,42.62
44.23,46.24,46.44,44.12
46.84,47.39,48.20,46.63
48.07,48.16,48.98,47.46
48.26,48.56,48.71,47.62
49.47,51.50,51.74,49.05
51.54,51.78,52.26,51.27
51.33,52.38,53.56,51.33
52.55,53.69,54.56,52.44
52.76,54.20,54.40,52.17
55.07,54.14,55.10,53.04
54.00,53.65,54.32,52.41
54.30,55.00,55.00,53.30
55.36,55.99,57.00,55.30
55.82,55.43,56.68,55.13
53.23,53.23,56.00,52.71
52.18,55.45,55.90,51.80
55.69,57.58,57.65,54.92
56.65,55.63,57.29,55.60
57.09,54.54,58.23,54.48
55.27,54.51,56.34,53.91
55.28,55.38,55.89,54.55
55.73,55.89,56.73,54.66
55.23,54.58,56.94,54.50
55.83,55.95,56.65,54.29
56.50,59.16,59.17,56.03
58.55,60.11,60.56,58.16
59.93,59.59,60.58,58.40
58.95,59.43,60.26,57.65
59.59,60.32,60.40,58.51
60.44,61.04,61.44,60.02
60.69,61.46,61.58,59.57
62.61,65.45,65.45,62.30
65.39,66.06,66.46,65.20
65.53,63.54,66.17,62.04
62.41,62.67,64.26,59.92
63.55,65.10,65.23,62.83
65.49,66.51,66.86,64.73
64.51,68.65,69.00,63.47
69.08,70.78,70.98,67.90
70.85,69.90,72.24,69.83
69.05,65.15,71.05,64.70
66.28,65.45,66.77,64.45
66.88,69.53,69.57,65.68
69.49,63.45,69.92,63.25
64.67,67.69,67.85,64.57
64.74,61.30,64.78,60.11
59.76,58.54,61.24,57.21
57.32,52.13,59.31,42.29
50.68,47.65,52.84,45.99
54.64,55.69,55.69,53.22
53.65,56.67,59.15,53.05
57.62,61.92,62.08,57.39
61.52,60.12,63.16,59.22
58.94,56.62,58.98,54.25
57.66,56.93,59.03,52.25
59.16,54.00,59.69,53.20
53.00,51.83,54.77,49.53
47.77,43.99,48.51,43.84
41.76,45.84,47.03,41.15
45.21,44.03,46.58,43.86
41.14,43.97,44.06,38.94
44.43,44.19,47.57,43.53
47.52,49.96,49.98,46.50
49.51,48.04,50.06,46.87
46.60,43.65,48.50,43.61
44.51,47.39,47.44,43.22
47.73,49.12,49.60,46.99
45.31,41.89,46.60,41.47
42.50,38.67,42.91,38.55
39.00,38.42,39.88,36.36
39.43,38.56,41.37,37.96
40.68,42.60,42.62,40.22
41.08,44.32,44.45,40.82
46.11,45.10,47.50,44.77
46.35,48.38,48.90,45.74
47.26,47.93,49.38,47.00
48.76,48.02,49.00,46.37
48.52,48.20,49.37,47.41
50.47,46.72,50.74,45.88
47.26,43.84,48.77,43.60
43.46,43.33,45.00,41.86
42.27,41.35,43.32,41.04
41.83,43.44,43.95,40.70
43.26,42.63,44.58,41.94
40.55,37.74,40.55,36.94
37.45,36.46,39.18,36.08
36.62,35.65,36.97,32.92
36.20,34.54,36.44,33.87
36.39,33.19,37.25,32.52
33.45,36.53,36.65,33.45
37.82,38.12,38.44,36.50
38.19,39.84,39.87,37.77
39.59,38.64,40.40,37.44
40.21,42.17,42.66,39.75
41.88,41.73,42.60,40.80
41.99,40.63,42.02,39.14
39.70,36.25,39.95,35.87
36.57,36.55,36.92,34.56
35.10,38.41,38.66,34.63
39.40,36.43,39.60,36.12
38.07,40.30,40.68,38.04
39.65,43.24,43.44,39.32
43.80,46.23,46.29,43.14
47.47,45.64,47.85,45.19
45.52,43.44,46.09,42.69
44.54,43.08,45.16,41.07
41.38,43.25,44.34,40.81
45.49,45.31,46.19,44.30
44.93,44.33,46.19,43.25
45.05,45.69,46.07,44.50
44.43,44.11,45.56,44.01
42.01,43.35,43.94,40.80
44.35,44.80,45.29,43.39
43.48,42.36,43.89,41.32
39.75,37.41,39.79,37.06
35.15,36.71,37.50,35.03
36.31,35.49,36.61,35.35
34.79,36.34,37.01,34.37
37.54,38.23,39.16,36.92
38.11,38.53,39.68,37.00
38.16,35.50,38.49,35.18
35.05,35.48,35.59,33.82
36.32,34.06,36.85,34.02
32.51,32.93,34.06,31.50
32.08,34.39,34.61,31.75
34.75,33.58,35.65,33.22
34.77,36.30,36.42,32.73
35.67,33.87,36.27,33.84
33.62,33.76,34.88,32.83
35.37,37.49,37.59,35.03
37.49,38.77,39.07,37.11
40.52,40.76,41.21,39.50
40.45,38.51,40.47,38.13
38.83,39.21,40.13,38.75
41.04,39.31,41.08,38.42
39.78,39.66,40.40,39.01
41.04,42.47,42.95,40.80
42.25,42.01,43.25,41.58
41.67,42.82,43.12,40.73
42.43,41.88,42.83,40.87
42.79,42.40,42.99,40.64
42.84,45.99,46.31,41.94
45.97,45.12,46.82,44.94
44.76,43.49,45.69,42.55
42.53,41.98,44.50,41.57
43.79,46.02,46.16,43.56
46.07,45.73,46.40,45.07
45.96,47.00,47.33,43.50
46.83,47.53,48.05,46.30
48.50,47.06,49.33,45.95
48.45,47.85,48.65,46.57
47.48,45.91,48.36,44.98
47.42,49.75,50.14,46.50
49.67,49.31,50.24,48.49
50.18,48.91,50.29,47.81
49.08,50.77,51.52,48.32
50.86,50.88,51.98,50.42
50.44,51.34,51.87,48.85
52.28,53.54,54.82,51.81
53.64,53.49,54.42,52.02
54.85,52.97,55.08,52.02
53.44,54.27,54.49,52.81
52.21,51.01,53.90,49.80
51.79,52.57,53.46,51.18
53.36,51.84,54.50,49.80
52.19,52.74,52.91,51.59
53.93,53.68,55.50,53.46
52.84,53.61,54.65,52.00
52.45,53.18,53.48,51.01
54.41,52.26,54.50,51.51
51.76,52.63,53.48,51.66
53.61,51.62,54.61,50.52
53.50,54.84,54.90,52.64
55.00,55.46,55.63,53.02
58.44,59.61,59.69,57.93
59.91,60.69,61.19,59.53
60.18,60.55,61.01,59.03
60.97,58.19,61.33,57.13
58.35,60.02,60.11,56.67
58.13,59.32,60.04,57.44
57.62,56.40,58.96,56.14
57.20,56.38,58.27,56.28
55.10,53.08,55.56,51.97
53.48,53.57,53.93,52.55
55.41,56.64,57.44,55.40
56.13,57.17,57.57,55.07
56.57,57.98,58.44,55.57
55.93,56.40,56.70,54.98
57.90,60.10,60.19,57.89
59.09,58.95,60.16,58.71
58.35,59.25,59.63,56.07
57.19,57.93,59.00,56.48
61.06,61.68,62.13,60.95
61.93,63.59,63.91,61.67
62.77,64.89,65.46,62.63
64.83,66.09,66.65,64.50
68.53,67.29,69.00,66.80
67.75,67.25,68.40,66.73
68.56,67.90,68.58,67.05
68.32,70.37,70.86,67.78
71.14,69.25,71.57,69.23
70.25,69.26,70.28,68.82
69.03,68.50,71.16,68.06
68.82,70.39,70.80,67.96
70.54,70.95,71.39,69.07
71.77,71.91,73.13,70.79
72.72,74.31,74.46,72.58
74.77,74.20,75.22,73.95
74.59,74.00,75.02,73.61
73.24,74.55,74.99,72.77
75.01,74.00,75.13,73.44
74.31,74.35,74.73,74.00
74.21,74.08,75.27,74.07
73.73,72.43,74.30,72.30
74.41,76.21,77.42,73.84
76.96,73.02,77.13,70.50
72.82,75.43,75.47,72.00
75.60,74.38,75.96,73.49
75.13,73.25,75.68,70.09
72.31,74.37,75.25,70.58
75.48,75.34,76.31,74.10
77.09,77.08,77.60,75.90
77.26,76.94,78.12,76.06
76.90,78.60,79.23,76.42
78.13,79.01,79.08,76.93
78.95,73.02,79.30,72.50
71.87,70.70,73.00,69.66
72.02,69.32,72.08,69.06
69.27,70.74,71.55,69.00
69.50,71.05,71.10,68.57
71.43,74.41,75.14,70.71
74.41,75.09,75.90,73.32
74.96,69.61,75.30,69.34
70.79,70.96,72.50,69.20
72.71,75.76,76.60,72.20
75.48,75.12,77.00,75.02
74.91,75.82,76.15,72.42
75.52,76.19,76.50,74.47
76.57,78.54,80.13,76.39
78.60,80.11,80.25,77.60
79.54,78.96,80.40,77.80
77.55,80.00,80.28,77.29
79.19,82.65,82.72,78.85
82.78,83.88,84.23,82.55
83.22,82.50,83.71,81.94
83.03,84.46,84.86,82.95
84.20,86.25,86.94,83.78
86.82,86.45,87.78,85.56
84.50,79.96,85.48,79.50
80.23,75.85,80.49,74.18
76.15,77.20,78.37,74.50
78.29,82.44,82.48,78.12
83.93,82.76,84.46,80.75
83.76,77.87,83.92,77.01
77.56,78.82,80.00,76.71
81.20,84.18,84.75,81.14
84.15,83.10,84.30,80.68
84.00,78.94,84.15,77.00
79.15,82.89,83.95,77.39
82.30,81.83,83.30,80.86
78.68,75.56,78.71,74.77
73.75,76.11,77.56,73.59
73.77,74.97,76.55,72.55
69.94,72.96,74.62,68.77
71.92,70.56,74.55,69.37
73.56,71.28,74.04,71.24
73.60,73.90,74.24,72.89
76.77,79.08,79.12,76.50
79.50,77.91,79.90,77.26
77.35,78.55,79.24,74.90
80.15,80.35,80.99,78.00
81.56,82.37,84.73,80.40
83.10,81.72,83.88,81.55
81.90,83.99,84.21,80.41
85.07,87.21,87.58,84.66
87.13,88.15,88.50,86.70
90.01,89.23,90.80,88.41
90.01,89.92,90.65,89.27
89.72,91.24,93.10,89.26
92.76,91.85,93.59,90.50
92.24,90.43,93.24,89.52
91.60,87.57,91.91,86.36
87.66,85.18,88.48,84.23
83.79,81.95,84.66,81.62
83.43,82.16,83.82,80.46
80.26,83.36,83.50,79.80
83.35,85.78,85.80,82.16
82.00,81.85,82.03,79.57
82.49,81.71,83.36,80.35
85.78,86.79,86.86,84.96
88.27,88.59,88.64,86.40
88.36,88.35,88.85,86.50
88.84,90.80,92.38,88.27
91.06,92.42,92.73,89.99
92.21,93.74,95.00,91.96
94.10,94.73,95.71,93.27
96.02,91.36,96.25,91.15
91.16,88.15,91.78,86.16
88.37,84.58,88.49,83.14
82.90,83.42,87.20,82.18
86.22,84.70,87.95,83.47
84.50,87.45,87.90,84.09
89.01,91.64,91.65,88.70
90.82,86.86,91.17,85.44
85.20,88.89,89.78,83.80
89.22,85.37,89.95,84.54
83.56,81.57,86.43,81.40
79.56,80.88,81.63,78.93
81.17,84.48,84.59,80.75
86.30,85.00,86.55,82.80
84.31,83.20,84.98,81.50
78.85,78.77,80.45,78.28
79.40,77.56,80.43,77.19
76.97,80.49,81.27,76.97
79.53,83.66,83.68,79.40
84.73,85.30,86.17,84.15
88.24,88.90,88.97,85.72
88.58,80.52,88.59,80.13
81.09,80.34,82.01,78.90
76.62,76.87,79.31,76.30
76.48,73.14,77.37,72.93
74.42,73.56,75.46,73.46
72.77,70.99,73.47,70.74
71.73,72.19,73.38,70.78
70.89,68.66,71.21,67.80
69.39,68.17,70.44,67.03
69.88,72.43,73.11,69.75
70.19,68.66,71.84,67.82
68.83,69.16,70.86,66.55
71.15,69.14,71.54,68.13
68.43,71.06,71.75,68.35
72.71,75.75,75.93,72.31
74.40,73.88,76.88,73.80
71.39,74.65,75.16,69.11
75.48,73.55,75.93,72.30
73.53,75.31,75.75,72.25
76.06,78.88,78.88,75.60
79.62,79.82,80.50,77.74
80.55,81.73,82.41,80.16
81.89,85.43,85.91,81.15
85.75,86.12,86.40,84.53
85.72,87.19,87.54,84.76
89.75,91.02,92.07,88.92
87.80,89.44,89.63,86.81
86.07,83.70,87.50,83.02
82.39,82.32,85.03,82.12
83.88,84.52,87.13,83.41
84.97,80.45,86.23,79.84
81.46,82.02,82.36,80.25
80.95,78.20,81.50,76.72
80.27,83.50,83.63,80.07
83.48,82.97,83.69,81.37
83.77,85.25,86.24,83.14
84.92,85.46,86.19,83.58
82.43,82.76,84.63,81.60
81.99,80.53,82.65,80.03
79.10,73.51,79.17,73.15
73.47,73.09,76.16,72.69
70.04,72.71,73.99,68.43
75.36,71.44,76.25,69.40
70.59,64.90,72.63,64.35
64.58,65.93,66.18,59.95
62.91,54.04,63.29,54.00
56.10,51.19,56.83,47.44
46.12,37.88,49.69,37.76
40.89,45.43,45.60,35.36
41.08,38.58,43.98,38.27
39.38,44.15,46.20,38.60
45.45,45.01,46.63,43.20
46.59,48.84,48.98,46.20
46.41,46.12,48.12,44.56
47.22,46.20,48.26,44.84
