SPYV,SPDR S&P 500 Value ETF (based on S&P 500 Value Index--symbol: SVX),NASDAQ
58.08,58.42,58.46,58.08
58.41,58.61,58.61,58.35
58.58,58.65,58.72,58.51
58.66,59.10,59.14,58.66
58.92,59.02,59.02,58.83
59.40,59.35,59.40,59.15
58.93,58.89,59.09,58.74
59.11,59.34,59.54,58.88
59.41,59.54,59.54,59.39
59.32,58.90,59.32,58.68
58.73,59.57,59.57,58.73
59.16,59.12,59.16,58.75
59.23,57.89,59.23,57.89
57.67,56.74,57.82,56.71
57.34,56.99,57.34,56.95
56.80,56.65,57.19,56.65
56.52,56.76,56.76,56.30
56.61,56.66,56.78,56.39
57.08,56.21,57.08,56.21
56.59,56.92,56.92,56.58
56.95,57.65,57.65,56.95
57.47,57.43,57.47,57.22
56.67,55.62,56.67,55.62
55.36,55.39,55.52,54.53
55.61,55.34,55.80,55.34
55.73,55.75,55.88,55.31
55.70,55.72,55.87,55.55
55.44,56.09,56.11,55.44
55.85,55.82,55.97,55.59
56.48,57.03,57.03,56.34
57.30,57.30,57.30,57.30
57.11,57.55,57.64,57.11
57.37,57.71,57.84,57.37
57.95,57.76,57.95,57.70
57.64,57.10,57.80,57.08
57.30,57.56,57.58,57.30
56.87,57.25,57.26,56.87
57.53,57.46,57.61,57.46
57.84,57.95,58.00,57.84
58.15,58.15,58.34,58.15
58.22,58.11,58.43,58.11
58.17,58.26,58.26,58.16
58.87,59.00,59.00,58.87
59.18,59.19,59.21,59.14
59.04,59.26,59.51,59.04
59.60,59.52,59.69,59.32
59.40,59.81,59.81,59.40
60.05,59.76,60.05,59.70
59.79,59.81,59.85,59.51
60.01,60.52,60.52,59.87
60.56,60.80,61.00,60.56
60.92,60.72,60.96,60.65
60.20,60.20,60.51,60.04
60.19,60.52,60.58,60.19
60.69,60.98,61.00,60.51
60.67,60.84,61.00,60.67
61.05,60.63,61.32,60.63
60.76,60.70,60.94,60.43
60.85,60.96,60.97,60.81
61.08,60.82,61.08,60.75
60.57,60.70,60.87,60.52
61.17,60.95,61.28,60.83
61.30,61.57,61.63,61.27
61.60,61.73,61.73,61.59
61.73,61.31,61.78,61.23
61.12,61.62,61.65,61.05
61.83,62.00,62.00,61.75
62.17,62.17,62.34,62.17
62.14,62.32,62.32,62.00
62.64,62.91,62.91,62.64
62.89,63.10,63.12,62.88
62.70,62.07,62.83,61.78
61.74,62.31,62.31,61.70
62.75,62.87,62.87,62.70
62.98,62.69,63.06,62.62
62.17,62.79,62.79,62.10
62.89,63.19,63.19,62.73
63.12,62.86,63.28,62.86
62.65,61.48,62.80,61.48
61.59,61.77,61.96,61.50
62.37,62.81,62.94,62.37
62.72,61.83,62.75,61.83
62.30,62.61,62.77,62.17
61.68,61.32,61.81,61.31
60.74,60.84,61.29,60.49
60.84,59.13,60.84,40.00
58.49,58.13,59.19,57.61
60.62,60.66,60.79,60.00
59.93,60.49,61.26,59.93
60.88,61.10,61.28,60.65
61.10,61.08,61.18,60.96
60.12,59.20,60.12,59.17
59.58,59.45,59.61,58.50
60.02,58.57,60.02,58.50
58.21,58.49,58.66,57.93
57.13,56.45,57.26,56.45
55.27,56.99,57.05,53.00
56.83,56.32,57.10,56.32
54.90,56.02,56.02,54.69
56.61,55.94,56.98,55.92
57.07,57.86,57.86,56.81
57.59,57.17,57.75,56.98
56.91,56.30,57.33,56.30
56.66,57.27,57.27,56.27
57.80,57.65,57.88,57.24
56.64,55.59,56.75,55.59
55.76,55.18,56.01,55.15
55.30,55.81,55.81,54.73
55.88,55.47,56.45,55.42
56.85,57.04,57.04,56.42
56.81,57.04,57.05,56.73
57.59,57.53,57.73,57.53
57.46,58.38,58.38,57.46
58.13,58.27,58.44,58.06
58.28,58.00,58.32,57.97
58.03,57.92,58.12,57.92
58.60,58.14,58.62,58.14
57.84,57.10,57.93,57.10
57.18,56.82,57.18,56.65
56.19,55.92,56.45,55.92
55.97,56.21,56.35,55.77
56.06,56.08,56.34,56.06
55.31,54.60,55.31,54.52
54.35,54.00,54.72,53.90
54.01,53.85,54.01,53.04
53.86,53.72,53.93,53.38
54.13,53.68,54.30,53.47
54.45,55.50,55.50,54.45
56.12,55.95,56.12,55.52
55.99,56.13,56.18,55.99
56.22,56.45,56.48,56.22
57.18,57.39,57.59,57.18
57.11,57.27,57.44,57.09
57.14,57.24,57.24,56.73
56.88,55.71,56.88,55.65
55.67,55.81,55.86,55.62
55.26,56.47,56.47,55.23
56.86,55.76,56.86,55.76
56.51,56.90,57.20,56.51
57.04,57.34,57.44,57.00
57.93,58.12,58.12,57.93
58.77,58.37,58.77,58.29
58.30,57.92,58.30,57.87
58.31,57.80,58.31,57.74
57.21,57.69,57.80,57.21
58.56,59.02,59.08,58.51
58.77,58.69,58.92,58.62
58.95,59.04,59.12,58.84
58.84,59.00,59.00,58.75
58.34,58.17,58.76,58.17
59.04,59.20,59.26,58.90
58.64,58.95,59.08,58.52
57.80,57.30,57.80,57.30
56.74,57.09,57.26,56.74
56.97,56.99,57.22,56.97
56.85,56.91,56.98,56.77
57.52,57.85,57.87,57.27
57.43,57.84,57.84,57.24
57.31,56.58,57.31,56.51
56.33,56.36,56.38,56.11
56.56,56.22,56.78,56.22
55.60,55.74,55.86,55.44
55.17,55.68,55.69,54.91
55.90,55.42,55.93,55.41
55.66,56.40,56.40,55.17
56.15,55.40,56.22,55.40
55.08,55.62,55.80,55.08
56.44,57.18,57.19,56.35
57.42,57.58,57.58,57.20
58.09,58.13,58.20,57.81
58.02,57.52,58.02,57.49
57.70,57.81,57.98,57.70
58.37,58.33,58.45,58.27
58.43,58.51,58.52,58.33
59.05,58.98,59.05,58.85
58.84,58.99,59.15,58.84
58.93,59.15,59.15,58.93
58.97,59.02,59.02,58.82
58.92,58.61,58.92,58.49
58.81,59.49,59.57,58.81
59.45,59.28,59.67,59.25
59.21,59.00,59.51,58.98
58.51,58.35,58.84,58.31
59.15,59.50,59.50,59.15
59.46,59.15,59.46,59.15
59.27,59.46,59.46,58.81
59.23,59.20,59.43,59.08
59.53,59.14,59.74,59.02
59.42,59.41,59.50,59.20
59.10,58.99,59.10,58.90
59.46,60.19,60.24,59.46
60.23,60.29,60.32,60.15
60.55,60.22,60.55,60.03
60.36,60.62,60.62,60.17
60.54,60.49,60.58,60.46
60.32,60.80,60.80,60.32
61.09,61.08,61.30,60.86
60.98,60.79,60.98,60.63
61.22,60.37,61.22,60.30
60.56,61.05,61.05,60.48
60.54,60.07,60.72,60.03
60.27,61.01,61.02,60.27
61.11,60.92,61.23,60.69
60.96,60.82,60.96,60.82
61.41,61.01,61.46,61.01
60.97,60.97,60.97,60.97
60.65,60.76,60.76,60.42
60.81,60.96,60.97,60.65
60.88,60.94,60.96,60.85
61.15,60.76,61.40,60.76
61.27,61.21,61.29,61.07
61.36,61.33,61.36,60.95
62.11,62.75,62.75,62.02
62.67,63.03,63.12,62.67
62.63,62.83,62.84,62.63
62.96,62.22,62.96,62.22
61.94,62.46,62.46,61.94
62.15,62.38,62.43,62.15
61.92,61.82,61.92,61.63
62.16,62.09,62.28,62.09
61.54,60.92,61.54,60.73
60.89,60.84,60.98,60.84
61.49,61.69,61.78,61.49
61.36,61.70,61.70,61.36
61.32,61.37,61.43,61.19
60.85,60.61,60.85,60.60
61.02,61.32,61.32,61.02
60.85,60.97,60.97,60.85
60.54,60.46,60.54,60.21
60.31,60.52,60.78,60.31
61.36,61.81,61.81,61.36
61.82,62.49,62.49,61.82
62.35,62.38,62.48,62.33
62.71,62.71,62.71,62.71
63.21,62.69,63.21,62.69
62.88,62.97,62.97,62.82
63.33,63.28,63.33,63.12
63.41,63.74,63.74,63.41
63.95,63.79,64.03,63.79
63.95,63.80,64.01,63.76
63.76,63.59,63.92,63.46
63.59,63.84,63.84,63.51
63.44,63.47,63.47,63.28
63.54,63.73,64.95,62.43
64.12,64.14,64.14,64.02
64.42,64.56,64.56,64.38
64.55,64.41,64.55,64.39
64.47,64.63,64.63,64.47
64.62,64.73,64.74,64.58
64.82,64.83,64.84,64.80
64.77,64.69,64.77,64.58
64.55,64.69,64.69,64.55
65.40,65.49,65.71,65.40
65.70,65.51,65.70,65.17
65.30,65.91,65.96,65.30
66.00,65.85,66.00,65.67
65.80,65.34,65.84,65.34
65.29,65.37,65.37,65.29
65.71,65.72,65.82,65.65
66.26,66.42,66.42,66.25
66.53,66.28,66.53,66.22
66.71,66.85,66.90,66.71
66.82,66.94,66.94,66.76
66.84,66.00,66.84,66.00
65.94,66.21,66.28,65.76
66.57,66.74,66.74,66.54
66.75,66.96,66.96,66.72
66.66,66.86,66.86,66.40
67.13,67.14,67.18,66.97
67.27,67.28,67.30,67.10
67.42,66.34,67.42,66.34
66.58,66.69,66.77,66.56
67.57,68.00,68.03,67.55
67.95,67.77,67.95,67.75
67.50,68.02,68.02,67.41
68.00,67.97,68.00,67.68
68.23,68.57,68.64,68.23
68.41,68.67,68.76,68.41
68.62,68.43,68.65,68.19
68.26,68.45,68.45,68.16
68.29,69.02,69.02,68.29
69.05,69.11,69.15,68.83
69.03,68.85,69.03,68.77
69.10,69.33,69.37,69.10
69.38,69.64,69.64,69.33
69.87,69.83,69.87,69.67
68.12,68.49,69.53,68.12
68.65,68.27,68.71,68.00
68.29,68.10,68.29,67.73
68.55,68.67,68.67,68.40
69.17,69.15,69.18,69.03
69.30,68.21,69.30,68.21
67.94,68.08,68.33,67.94
68.83,69.25,69.25,68.83
68.82,68.50,68.82,68.22
68.88,68.20,68.88,68.09
68.52,69.07,69.07,68.52
68.76,68.93,68.93,68.67
68.18,67.66,68.18,67.66
67.47,68.17,68.28,67.47
67.50,67.35,67.70,67.25
65.72,66.95,67.14,65.72
66.77,65.74,66.88,65.25
66.72,66.60,66.78,66.47
67.07,66.87,67.25,66.87
67.69,67.52,67.76,67.43
67.63,67.46,67.63,67.31
66.95,67.38,67.38,66.95
67.88,67.90,67.96,67.51
68.20,68.20,68.38,68.20
68.26,68.28,68.35,68.25
67.86,68.37,68.37,67.72
68.90,68.89,69.06,68.89
68.88,68.87,68.96,68.71
69.25,69.08,69.32,69.06
69.35,69.12,69.41,69.12
69.20,69.23,69.45,69.19
69.42,69.48,69.48,69.39
69.60,69.32,69.60,69.27
69.30,69.09,69.30,69.03
69.22,68.97,69.30,68.96
68.29,68.26,68.29,68.02
68.48,68.11,68.48,67.90
67.87,68.17,68.22,67.87
68.22,68.52,68.59,68.22
67.61,67.76,67.76,67.27
67.85,67.91,67.91,67.65
68.90,68.71,68.90,68.68
68.92,68.86,68.95,68.73
68.86,68.84,68.97,68.79
69.08,69.51,69.51,69.08
69.59,70.00,70.00,69.45
70.02,70.01,70.02,69.92
70.14,70.32,70.42,70.14
70.83,70.23,70.83,70.23
70.21,69.94,70.21,69.93
70.01,69.41,70.01,69.21
68.88,68.70,69.26,68.37
69.51,69.05,69.62,68.93
69.08,69.29,69.46,69.00
69.41,69.96,69.96,69.41
69.80,68.93,69.80,68.86
68.79,69.34,69.34,68.48
69.25,68.65,69.25,68.55
68.52,68.46,69.02,68.44
68.24,68.45,68.56,68.15
