PRKR,ParkerVision,NASDAQ
0.70,0.68,0.71,0.65
0.64,0.64,0.68,0.63
0.63,0.64,0.66,0.60
0.64,0.65,0.67,0.61
0.64,0.58,0.64,0.55
0.55,0.53,0.58,0.53
0.53,0.49,0.55,0.47
0.52,0.46,0.52,0.45
0.47,0.51,0.52,0.46
0.50,0.45,0.51,0.41
0.48,0.45,0.48,0.42
0.45,0.45,0.45,0.44
0.45,0.47,0.49,0.45
0.47,0.43,0.47,0.42
0.44,0.48,0.48,0.42
0.49,0.46,0.49,0.46
0.45,0.50,0.50,0.43
0.55,0.47,0.55,0.45
0.47,0.45,0.47,0.45
0.45,0.47,0.48,0.45
0.46,0.48,0.48,0.45
0.45,0.50,0.51,0.44
0.51,0.48,0.51,0.48
0.47,0.47,0.51,0.47
0.48,0.48,0.48,0.47
0.50,0.45,0.50,0.45
0.48,0.47,0.48,0.44
0.46,0.45,0.48,0.45
0.44,0.42,0.48,0.42
0.47,0.43,0.47,0.42
0.44,0.43,0.45,0.43
0.44,0.43,0.45,0.42
0.42,0.43,0.44,0.42
0.44,0.43,0.45,0.43
0.44,0.40,0.44,0.40
0.38,0.38,0.40,0.35
0.38,0.37,0.39,0.35
0.35,0.39,0.40,0.35
0.36,0.40,0.40,0.36
0.44,0.42,0.44,0.40
0.44,0.39,0.44,0.36
0.38,0.39,0.40,0.38
0.40,0.42,0.44,0.40
0.43,0.45,0.46,0.42
0.45,0.46,0.53,0.45
0.46,0.48,0.52,0.46
0.50,0.46,0.50,0.44
0.46,0.43,0.47,0.42
0.44,0.44,0.46,0.43
0.43,0.44,0.45,0.42
0.45,0.41,0.45,0.41
0.41,0.42,0.44,0.41
0.42,0.42,0.43,0.42
0.42,0.46,0.47,0.42
0.48,0.47,0.48,0.45
0.47,0.54,0.54,0.47
0.54,0.50,0.54,0.50
0.51,0.48,0.52,0.47
0.48,0.44,0.48,0.44
0.48,0.48,0.49,0.46
0.49,0.48,0.49,0.47
0.48,0.53,0.54,0.48
0.53,0.62,0.63,0.53
0.62,0.58,0.64,0.55
0.60,0.58,0.63,0.55
0.60,0.58,0.62,0.56
0.59,0.59,0.62,0.58
0.61,0.65,0.68,0.61
0.67,0.68,0.75,0.65
0.68,0.55,0.69,0.51
0.56,0.56,0.58,0.54
0.56,0.57,0.59,0.56
0.58,0.54,0.58,0.47
0.53,0.59,0.60,0.51
0.59,0.54,0.62,0.51
0.53,0.53,0.54,0.50
0.52,0.57,0.57,0.52
0.56,0.56,0.57,0.50
0.56,0.55,0.56,0.53
0.53,0.57,0.57,0.53
0.58,0.61,0.63,0.54
0.62,0.71,0.71,0.57
0.69,0.67,0.72,0.66
0.74,0.72,0.74,0.65
0.74,0.73,0.74,0.70
0.74,0.70,0.74,0.69
0.72,0.69,0.72,0.66
0.69,0.68,0.69,0.67
0.68,0.68,0.71,0.66
0.65,0.68,0.70,0.60
0.70,0.71,0.71,0.64
0.72,0.73,0.77,0.72
0.73,0.74,0.78,0.73
0.78,0.77,0.80,0.74
0.77,0.84,0.84,0.76
0.85,0.81,0.85,0.80
0.85,0.80,0.85,0.76
0.82,0.72,0.82,0.68
0.72,0.72,0.74,0.69
0.71,0.71,0.71,0.67
0.71,0.75,0.76,0.68
0.70,0.78,0.81,0.70
0.74,0.80,0.80,0.71
0.82,0.80,0.82,0.74
0.82,0.81,0.82,0.75
0.79,0.78,0.83,0.76
0.76,0.84,0.84,0.76
0.85,0.92,0.92,0.82
0.94,0.94,0.94,0.85
0.96,0.95,0.97,0.90
0.95,0.88,0.95,0.85
0.77,0.74,0.77,0.71
0.74,0.75,0.79,0.74
0.75,0.72,0.77,0.70
0.72,0.69,0.75,0.57
0.63,0.68,0.70,0.61
0.65,0.72,0.77,0.65
0.76,0.71,0.79,0.70
0.72,0.65,0.72,0.65
0.65,0.67,0.70,0.65
0.70,0.64,0.70,0.60
0.63,0.62,0.65,0.60
0.62,0.59,0.62,0.58
0.60,0.60,0.65,0.59
0.62,0.60,0.69,0.60
0.61,0.61,0.66,0.61
0.62,0.65,0.66,0.60
0.66,0.65,0.66,0.61
0.64,0.63,0.67,0.61
0.64,0.63,0.64,0.62
0.62,0.66,0.66,0.60
0.66,0.66,0.67,0.62
0.65,0.67,0.69,0.62
0.65,0.67,0.69,0.65
0.65,0.69,0.70,0.64
