WAYN,Wayne Savings Bancshares Inc. - Common Stock,NASDAQ
6.00,5.99,6.00,5.99
5.99,5.99,5.99,5.99
5.99,5.99,5.99,5.99
6.30,6.30,6.30,6.30
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.50,6.25,6.50,6.10
6.25,6.25,6.25,6.25
6.05,6.05,6.05,6.03
6.05,6.05,6.05,6.05
6.12,6.04,6.12,5.94
5.99,5.99,5.99,5.99
6.06,6.06,6.06,6.06
6.12,6.12,6.12,6.12
6.25,6.24,6.25,6.24
6.15,6.02,6.17,6.02
6.02,6.04,6.04,6.02
5.96,6.01,6.01,5.96
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,5.93
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.77,6.72,6.80,6.64
6.25,6.37,6.37,6.25
6.37,6.28,6.37,6.25
6.68,6.30,6.68,6.30
6.30,6.30,6.30,6.30
6.30,6.30,6.30,6.30
6.50,6.99,6.99,6.50
6.99,6.99,6.99,6.99
6.43,6.46,6.46,6.43
6.47,6.45,6.47,6.45
6.97,6.91,7.37,6.80
6.52,7.98,7.98,6.52
7.99,7.94,7.99,7.94
8.00,7.96,8.01,7.96
7.93,7.88,7.93,7.87
7.88,7.88,7.88,7.88
7.21,8.04,8.95,7.21
7.49,7.84,8.39,7.49
7.67,7.69,8.50,7.67
7.52,8.59,8.69,7.52
8.36,7.98,8.36,7.98
7.52,8.70,8.70,7.49
8.38,7.93,8.38,7.86
7.85,8.50,8.50,7.85
8.50,8.47,8.86,8.35
8.75,8.25,8.75,8.25
8.35,8.25,8.44,8.25
7.95,8.27,8.27,7.95
8.27,8.25,8.30,8.25
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.49,8.49,8.49,8.25
8.26,8.25,8.26,8.25
8.44,8.45,8.45,8.25
8.45,8.45,8.45,8.45
8.45,8.45,8.45,8.45
8.44,8.44,8.44,8.44
8.44,8.45,8.45,8.43
8.43,8.45,8.45,8.43
8.27,8.25,8.27,8.25
8.35,8.35,8.35,8.35
8.35,8.35,8.35,8.35
8.28,8.28,8.28,8.28
8.28,8.30,8.30,8.28
8.55,8.55,9.00,8.55
8.25,8.31,8.31,8.25
8.88,8.88,8.93,8.88
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.93,8.25,8.93,8.25
8.49,8.49,8.49,8.49
8.59,8.59,8.59,8.59
8.69,8.60,8.69,8.33
8.35,8.45,8.45,8.35
8.45,8.45,8.45,8.45
8.45,8.45,8.45,8.45
8.31,8.25,8.46,8.25
8.75,8.75,8.75,8.75
8.25,8.25,8.25,8.25
8.64,8.25,8.64,8.25
8.25,8.25,8.27,8.25
8.34,8.53,8.70,8.25
8.53,8.53,8.53,8.53
8.25,8.30,8.30,8.25
8.33,8.46,8.46,8.33
8.25,8.25,8.26,8.25
8.50,8.25,8.50,8.25
8.25,8.25,8.25,8.25
8.26,8.25,8.26,8.25
8.25,8.25,8.25,8.25
8.27,8.25,8.28,8.25
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.25,8.25,8.25,8.25
8.39,8.25,9.06,8.25
8.34,8.31,8.95,8.25
8.37,8.25,8.37,8.25
8.30,8.27,8.31,8.27
8.25,7.75,8.27,7.59
7.90,7.35,7.90,7.11
7.51,7.55,7.55,7.45
7.81,7.75,7.81,7.75
7.75,7.75,7.75,7.75
7.75,7.75,7.75,7.75
7.75,7.75,7.75,7.75
7.52,7.52,7.52,7.52
7.52,7.52,7.52,7.52
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.55,7.55,7.55,7.55
7.55,7.55,7.55,7.55
7.55,7.55,7.55,7.55
7.55,7.55,7.55,7.55
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.55,7.55,7.55,7.55
7.68,7.54,7.69,7.54
