GLD,SPDR Gold Trust,NASDAQ
109.82,109.80,110.14,109.31
109.88,109.70,110.39,109.26
110.71,111.51,111.77,110.41
111.07,110.82,111.29,110.62
111.52,111.37,111.58,110.26
113.34,112.85,113.59,112.52
112.38,110.49,113.05,110.14
110.92,111.54,111.57,109.57
111.51,112.03,112.37,110.79
111.35,110.86,112.01,110.38
110.95,111.52,111.75,110.83
109.97,108.94,110.05,108.46
108.48,107.37,108.78,106.61
106.93,107.17,107.68,106.01
107.44,107.48,107.72,107.07
106.87,107.56,107.99,106.75
107.53,106.53,108.80,106.16
107.18,106.48,107.23,105.18
105.88,105.96,106.30,105.27
106.64,108.35,108.48,106.37
109.16,109.13,109.60,108.61
109.10,108.70,109.54,108.43
106.79,104.37,106.80,103.75
103.76,104.68,104.68,102.28
104.41,104.04,105.14,104.00
105.18,105.41,106.15,104.87
105.13,105.12,105.50,104.11
105.58,107.13,107.56,105.27
106.08,107.04,107.10,105.57
109.45,109.62,109.87,109.10
109.66,109.25,110.01,108.87
109.61,109.98,110.11,109.19
109.32,109.47,110.39,108.81
109.86,109.07,109.97,108.66
108.84,107.89,108.91,107.65
107.33,107.36,108.16,107.10
106.70,108.31,108.70,106.60
108.89,109.43,109.60,108.41
109.48,109.43,109.90,108.97
109.86,111.02,111.45,109.86
111.46,111.63,112.18,111.18
111.25,110.83,111.37,110.22
111.13,110.81,111.75,110.80
111.22,109.88,111.30,109.52
109.16,109.72,110.16,109.04
109.94,108.47,110.50,108.02
108.28,108.60,108.65,107.86
108.56,107.95,108.77,107.45
108.16,108.36,108.56,107.82
110.02,110.40,110.57,109.70
110.18,109.59,110.46,109.55
110.10,110.34,110.61,109.50
108.28,108.28,110.29,107.85
107.31,107.75,108.00,106.95
107.50,108.32,108.50,107.34
106.94,106.30,107.07,106.24
107.00,106.78,107.25,106.48
107.16,108.59,108.70,106.82
108.87,108.75,109.17,108.40
108.57,107.97,108.66,107.87
109.44,108.95,109.50,108.85
109.97,110.26,110.47,109.92
110.56,110.89,110.98,110.27
110.89,111.03,111.51,110.83
111.85,112.49,112.93,111.77
112.47,112.65,112.98,112.13
113.09,113.64,114.07,112.74
113.64,113.01,114.13,112.98
113.12,112.69,113.16,112.06
113.23,113.03,113.66,112.78
112.90,113.65,113.71,112.85
112.50,111.24,113.07,110.54
110.88,111.15,111.36,110.67
111.73,111.46,112.21,111.33
111.82,112.31,112.64,111.48
111.79,111.84,112.01,110.76
111.26,113.19,113.30,111.09
112.88,112.75,113.20,112.63
112.43,114.63,114.82,112.34
114.03,114.31,114.99,113.63
113.85,114.28,114.52,113.84
115.26,115.36,115.70,115.21
115.91,115.73,116.28,115.53
116.39,114.87,116.43,114.17
113.58,115.09,115.24,113.31
115.62,118.49,118.62,115.57
117.64,118.27,118.88,116.74
117.50,117.57,117.90,116.81
119.46,120.66,120.87,118.97
121.28,121.40,122.24,120.77
121.29,120.56,121.71,120.10
121.88,120.37,122.02,119.12
120.55,119.36,121.12,119.29
118.86,119.49,120.32,118.50
118.19,116.63,118.43,116.08
116.14,115.84,116.95,115.18
115.05,115.22,116.24,114.51
116.34,116.84,117.17,116.04
117.16,117.36,117.52,116.82
118.58,118.47,119.08,118.32
118.16,118.69,119.04,118.14
118.48,118.88,118.90,117.63
119.88,119.91,120.25,119.63
119.35,119.78,119.88,118.72
119.16,117.96,119.39,117.48
117.96,119.19,119.39,117.05
118.73,121.49,121.80,118.62
121.61,121.00,122.45,120.66
120.48,120.56,120.99,119.51
119.36,118.97,120.04,118.83
119.88,120.01,120.41,119.33
119.63,119.60,120.26,118.96
119.71,120.99,121.03,119.48
120.68,120.33,120.89,120.04
121.64,121.90,122.41,121.49
123.04,122.83,123.50,122.81
123.09,120.39,123.11,120.36
121.16,121.45,121.59,120.87
120.89,120.95,121.02,119.77
120.76,121.30,122.16,120.67
122.75,122.76,123.13,122.49
122.79,121.09,123.56,120.81
121.05,121.27,121.82,120.02
121.07,121.68,122.09,120.88
120.91,117.04,121.03,116.98
118.21,118.49,118.50,117.41
117.67,116.51,117.72,116.30
116.57,117.73,117.78,116.50
117.39,117.21,117.41,116.10
118.14,118.36,118.73,118.00
