HNR,Harvest Natural Resources Inc,NASDAQ
5.39,5.41,5.48,5.30
5.42,5.31,5.46,5.30
5.31,5.12,5.37,5.10
5.09,5.14,5.22,5.05
5.13,5.25,5.29,5.09
5.27,5.25,5.31,5.13
5.22,5.24,5.27,5.18
5.29,5.15,5.29,5.07
5.10,4.99,5.22,4.99
4.99,4.95,5.06,4.92
5.00,5.15,5.31,4.95
5.08,5.23,5.27,5.02
5.21,5.20,5.50,5.20
5.17,5.15,5.27,5.11
5.18,4.96,5.18,4.96
4.97,4.91,5.09,4.90
4.87,4.92,4.96,4.87
4.94,4.56,4.97,4.55
4.60,4.49,4.72,4.40
4.51,4.59,4.69,4.49
4.59,4.63,4.73,4.59
4.60,4.55,4.67,4.54
4.55,4.36,4.58,4.33
4.36,4.61,4.68,4.36
4.62,4.44,4.69,4.37
4.47,4.37,4.56,4.35
4.34,4.39,4.46,4.30
4.38,5.16,5.20,4.38
5.07,5.11,5.14,4.92
5.15,5.12,5.19,5.01
5.13,5.06,5.14,4.99
5.08,5.13,5.20,5.04
5.13,5.10,5.15,5.01
5.05,5.14,5.15,5.02
5.15,5.04,5.15,5.04
5.05,5.06,5.15,5.03
4.98,5.26,5.26,4.95
5.28,5.34,5.43,5.21
5.37,5.33,5.41,5.28
5.34,5.36,5.37,5.27
5.39,5.31,5.43,5.29
5.31,5.34,5.43,5.17
5.36,5.44,5.45,5.32
5.45,5.49,5.50,5.44
5.48,5.48,5.50,5.42
5.46,5.48,5.55,5.44
5.45,5.61,5.61,5.45
5.62,5.58,5.65,5.56
5.60,5.56,5.63,5.47
5.75,6.43,6.45,5.60
6.52,6.43,6.61,6.40
6.45,6.21,6.48,6.12
6.16,6.16,6.26,6.00
6.08,6.13,6.23,5.78
6.13,6.32,6.33,6.01
6.30,6.38,6.46,6.27
6.46,6.41,6.48,6.27
6.46,6.78,6.83,6.41
6.89,7.27,7.49,6.81
7.90,7.80,8.25,7.53
7.76,7.53,7.90,7.53
7.61,7.54,7.76,7.51
7.61,8.41,8.45,7.60
8.47,8.06,8.70,7.99
8.06,7.86,8.11,7.77
7.80,7.82,7.84,7.62
7.80,7.81,7.93,7.74
7.85,8.02,8.09,7.75
7.96,7.93,8.02,7.79
7.92,8.39,8.39,7.92
8.40,8.46,8.54,8.32
8.45,8.54,8.60,8.25
8.46,8.79,8.81,8.46
8.97,8.93,9.05,8.77
9.02,8.73,9.03,8.63
8.62,8.95,8.98,8.45
8.88,9.00,9.00,8.84
9.07,8.95,9.07,8.92
8.87,8.65,9.03,8.65
8.72,8.76,8.88,8.56
8.81,8.81,8.89,8.61
8.84,8.83,9.01,8.67
8.90,8.87,9.01,8.73
8.69,8.83,8.89,8.41
8.72,8.68,8.89,8.42
8.65,8.15,8.65,7.09
8.14,7.45,8.20,7.11
7.89,7.97,8.17,7.77
7.85,8.15,8.30,7.85
8.22,8.68,8.89,8.15
8.67,8.61,8.94,8.51
8.51,8.55,8.65,8.27
8.64,8.47,8.84,8.25
8.65,8.18,8.83,8.10
8.12,7.83,8.18,7.47
7.44,7.10,7.60,6.96
6.90,7.17,7.33,6.85
7.33,7.23,7.44,7.13
6.98,7.14,7.16,6.93
7.18,7.22,7.47,7.18
7.37,7.69,7.71,7.37
7.66,7.57,7.88,7.25
7.46,7.34,7.73,7.30
7.46,8.02,8.02,7.41
8.21,8.63,8.76,8.07
8.40,7.80,8.61,7.72
7.89,7.63,8.17,7.60
7.76,7.70,7.83,7.44
7.78,7.73,8.00,7.67
7.94,8.07,8.09,7.82
7.99,8.10,8.23,7.97
8.23,8.19,8.27,8.08
8.27,8.47,8.49,8.11
8.34,8.31,8.44,8.24
8.31,8.28,8.35,8.14
8.28,8.26,8.39,8.20
8.43,8.07,8.43,8.05
8.09,7.81,8.18,7.80
7.78,8.29,8.33,7.70
8.30,7.95,8.33,7.91
8.02,8.30,8.31,7.95
8.30,8.05,8.32,8.04
8.03,7.57,8.05,7.51
7.55,7.37,7.75,7.33
7.37,7.17,7.47,7.07
7.25,7.09,7.30,6.88
7.35,7.16,7.54,7.13
7.22,7.33,7.37,7.10
7.41,7.44,7.49,7.26
7.44,8.29,8.33,7.44
8.30,8.14,8.46,8.11
8.33,8.41,8.45,8.19
8.42,8.49,8.50,8.25
8.50,8.27,8.50,8.09
8.17,7.90,8.19,7.81
7.92,8.06,8.10,7.89
7.94,8.31,8.31,7.89
8.34,7.97,8.36,7.89
8.09,8.31,8.34,7.99
8.24,8.46,8.49,8.16
8.47,8.40,8.48,8.25
8.46,8.18,8.46,8.17
8.19,8.14,8.36,8.09
8.20,8.15,8.35,8.01
8.02,8.30,8.33,7.96
8.43,8.38,8.48,8.29
8.40,8.29,8.47,8.17
8.38,8.27,8.48,8.12
8.18,8.01,8.31,8.01
7.93,8.02,8.05,7.85
8.13,8.03,8.13,7.86
7.93,8.19,8.48,7.92
7.97,7.90,8.03,7.84
7.74,7.32,7.74,7.11
7.30,7.45,7.50,7.30
7.37,7.32,7.52,7.30
7.45,7.36,7.51,7.33
7.35,7.02,7.36,6.99
7.00,6.92,7.07,6.79
6.86,6.85,6.90,6.65
6.88,6.75,6.91,6.55
6.58,6.54,6.71,6.51
6.50,6.78,6.86,6.45
6.89,7.07,7.12,6.87
7.17,7.15,7.20,7.00
7.08,6.90,7.13,6.90
6.87,7.01,7.10,6.80
7.13,7.19,7.25,7.03
7.21,7.08,7.21,7.02
7.17,7.14,7.17,7.01
7.12,7.02,7.12,6.93
7.07,7.29,7.33,7.01
7.41,7.34,7.42,7.26
7.36,7.36,7.46,7.31
7.47,7.51,7.65,7.47
7.49,7.39,7.55,7.34
7.37,7.48,7.54,7.27
7.47,7.28,7.56,7.26
7.35,7.16,7.38,7.04
7.16,7.22,7.25,7.01
7.22,7.26,7.42,7.13
7.24,7.85,7.91,7.24
7.75,7.63,7.86,7.58
7.76,7.93,7.94,7.66
9.09,9.10,9.58,8.86
9.10,10.40,10.75,9.10
10.25,10.40,10.40,10.05
10.28,10.42,10.61,10.25
10.50,10.44,10.67,10.35
10.37,10.56,10.62,10.37
10.55,11.08,11.31,10.51
11.17,11.16,11.49,11.01
11.25,11.50,11.51,11.14
11.50,11.63,11.74,11.36
11.65,11.90,12.00,11.55
11.82,11.91,12.04,11.37
12.00,11.75,12.03,11.68
11.77,11.65,11.84,11.03
11.76,11.64,11.79,11.49
11.66,11.58,11.82,11.50
11.48,11.35,11.75,11.15
11.39,11.82,11.90,11.34
11.93,11.98,12.44,11.85
11.97,11.94,12.17,11.75
11.99,12.29,12.32,11.76
12.22,12.21,12.22,11.85
12.07,12.34,12.38,12.00
12.38,12.20,12.48,12.00
12.14,12.48,12.51,12.03
12.48,12.95,13.11,12.34
13.08,12.96,13.15,12.60
12.98,12.78,13.03,12.52
13.00,13.35,13.36,12.86
13.35,13.46,13.78,13.21
13.46,13.50,13.71,13.41
13.61,13.48,13.98,13.11
13.50,13.67,13.76,13.21
13.55,13.41,13.60,13.29
13.32,13.05,13.44,12.99
13.11,12.88,13.18,12.44
12.77,12.44,12.77,12.04
12.44,13.15,13.24,12.41
13.30,13.69,13.78,13.19
13.69,14.02,14.08,13.38
14.02,13.75,14.20,13.68
13.51,13.20,13.62,13.18
13.33,13.66,13.68,13.27
13.58,13.33,13.82,13.31
13.27,13.11,13.40,13.01
12.90,12.81,13.21,12.58
13.06,13.49,13.55,13.06
13.56,13.44,13.72,13.26
13.32,13.64,13.69,13.27
13.59,13.80,13.97,13.59
13.96,13.15,13.98,13.13
13.15,12.85,13.38,12.71
12.93,12.82,13.18,12.77
12.82,12.90,13.01,12.76
12.98,12.25,13.02,12.25
12.27,12.06,12.40,12.00
12.03,11.47,12.05,11.40
11.46,11.76,11.96,11.28
11.75,11.75,11.88,11.65
11.75,11.95,12.11,11.72
12.05,12.49,12.52,12.05
12.53,12.59,12.76,12.47
12.64,12.59,12.87,12.46
12.60,12.92,12.92,12.49
12.93,12.56,12.93,12.38
12.62,12.67,12.83,12.51
12.71,12.48,12.71,12.11
12.44,12.17,12.48,12.07
12.35,12.31,12.49,12.17
12.33,11.91,12.33,11.91
11.86,12.02,12.12,11.66
11.95,11.81,11.99,11.75
11.83,11.80,11.86,11.48
11.80,11.71,11.87,11.62
11.76,12.08,12.19,11.76
12.20,12.81,12.83,12.10
12.83,12.13,12.91,12.09
12.09,12.15,12.39,11.98
12.11,11.58,12.15,11.58
11.55,11.08,11.63,11.01
11.01,10.91,11.07,10.65
11.00,10.72,11.04,10.72
10.73,10.59,10.88,10.55
10.57,10.62,10.71,10.51
10.67,11.37,11.49,10.52
11.33,11.00,11.48,10.99
10.97,10.75,11.01,10.51
10.83,11.12,11.19,10.83
11.19,11.53,11.56,11.05
11.47,11.33,11.70,11.31
11.35,12.00,12.02,11.09
12.02,11.71,12.14,11.67
11.70,11.72,11.98,11.60
11.70,12.46,12.55,11.61
12.38,12.91,13.54,12.38
13.02,12.71,13.02,12.57
12.62,12.73,12.75,12.49
12.76,12.84,12.90,12.72
12.80,12.48,12.87,12.43
12.56,12.61,12.62,12.28
12.61,12.68,12.76,12.31
12.74,12.84,12.85,12.52
12.72,12.62,12.84,12.21
12.63,12.97,13.12,12.56
13.06,13.26,13.83,12.93
13.34,13.88,13.92,13.29
13.96,14.90,14.98,13.92
14.92,14.74,14.92,14.54
15.06,16.27,16.66,15.00
16.51,15.90,16.57,15.81
15.96,16.75,16.85,15.90
17.06,16.52,17.46,16.13
16.61,16.53,16.73,15.99
16.52,16.25,16.63,16.20
16.05,15.00,16.05,14.92
14.99,15.39,15.54,14.49
15.24,15.23,15.35,14.66
14.67,15.19,15.38,14.29
15.28,13.90,16.00,13.86
14.10,13.92,14.96,13.75
14.09,13.65,14.14,13.50
13.96,13.99,14.67,13.92
14.78,16.02,16.30,14.40
15.99,15.56,16.00,15.25
15.64,15.32,15.75,15.20
15.36,15.29,15.49,15.05
15.31,15.11,15.62,15.10
15.10,15.29,15.40,15.10
15.40,15.44,15.52,15.14
15.44,15.24,15.45,15.15
15.35,15.19,15.42,15.14
15.30,15.15,15.41,15.05
15.17,14.96,15.17,14.94
15.06,14.55,15.27,14.50
15.32,15.71,15.93,15.06
15.62,14.81,16.00,14.19
14.82,14.56,15.09,14.50
14.55,14.01,15.04,13.83
14.10,14.26,14.40,13.92
14.17,14.48,14.73,14.10
14.51,15.03,15.08,14.40
14.99,14.73,14.99,14.50
14.73,14.15,14.76,14.01
14.41,14.49,14.66,14.20
14.56,14.53,14.56,14.28
14.39,14.29,14.45,13.61
14.28,14.16,14.43,13.99
14.16,13.70,14.16,13.61
13.64,13.79,13.81,13.36
13.79,13.82,13.96,13.73
13.82,13.29,13.91,13.26
13.30,12.71,13.30,12.46
12.67,12.08,12.71,12.05
11.93,11.83,12.43,11.60
12.00,11.79,12.21,11.60
11.83,12.17,12.34,11.83
12.64,12.88,12.91,12.18
12.86,11.98,12.86,11.89
11.90,11.81,11.94,11.35
11.78,11.58,11.94,11.48
11.44,10.92,11.49,10.89
10.80,10.91,11.10,10.71
10.91,11.64,11.71,10.91
11.73,11.36,11.79,11.28
11.36,11.19,11.36,10.87
11.22,11.17,11.23,10.95
11.31,10.91,11.54,10.84
10.90,12.33,12.49,10.85
12.30,12.13,12.39,12.01
12.24,12.24,12.48,12.02
12.48,12.29,12.66,12.03
12.26,11.50,12.29,11.44
11.71,11.72,12.05,11.53
11.47,11.67,11.84,11.40
11.65,11.01,11.70,10.94
11.13,10.69,11.29,10.66
10.69,10.62,11.05,10.51
10.70,10.80,10.96,10.52
10.68,10.51,10.70,10.31
11.95,12.09,13.56,11.68
12.37,12.95,13.13,12.29
12.79,12.45,12.84,12.08
12.51,11.93,12.68,11.72
12.04,11.44,12.16,11.38
11.52,11.03,11.71,10.76
11.18,11.16,11.79,10.85
11.06,11.08,11.39,10.95
10.87,10.95,11.06,10.55
10.95,10.65,11.00,10.50
10.76,10.55,10.86,10.51
10.63,10.75,10.90,10.48
10.75,10.81,11.24,10.50
10.84,11.03,11.19,10.72
11.03,12.13,12.25,10.79
12.08,11.78,12.18,11.66
11.80,11.94,12.16,11.39
12.12,12.12,12.58,11.98
12.13,12.24,12.32,11.74
12.01,11.47,12.07,11.31
