COST,Costco Wholesale Corporation - Common Stock,NASDAQ
59.13,59.41,60.07,59.13
59.26,59.23,59.42,58.84
59.07,60.00,60.05,59.00
60.08,59.71,60.44,59.26
59.47,59.28,59.61,59.10
59.21,59.35,59.42,59.00
59.23,59.03,59.39,58.72
59.11,59.40,59.59,58.94
59.12,58.72,59.25,58.71
58.99,58.79,58.99,58.43
59.17,58.95,59.28,58.79
58.48,58.27,58.68,57.62
58.13,57.52,58.60,57.35
57.40,57.07,57.96,57.04
57.35,57.55,57.82,56.75
57.20,57.93,58.48,57.14
57.71,57.53,58.04,57.28
57.73,57.35,57.82,57.06
57.59,57.43,58.54,57.40
57.80,57.91,57.92,57.36
58.00,58.77,58.88,57.60
58.59,58.42,58.95,58.38
58.17,58.52,58.94,58.10
58.59,58.58,58.90,58.07
58.26,58.14,58.78,58.13
58.80,58.76,59.00,58.20
58.66,59.15,59.32,58.38
58.86,59.67,59.78,58.67
59.19,59.28,59.42,58.95
59.62,60.67,60.85,59.30
60.79,61.05,61.30,60.74
60.93,60.96,61.13,60.58
60.73,61.14,61.36,60.66
61.40,60.79,61.45,60.69
60.64,60.51,60.92,60.41
60.80,60.86,61.22,60.61
60.29,61.40,61.52,60.21
61.36,60.97,61.47,60.78
61.00,61.65,62.11,60.68
62.12,61.38,62.12,61.20
59.75,60.68,61.58,59.64
60.75,60.80,61.16,60.48
60.85,60.68,60.97,60.50
60.54,60.67,61.00,60.52
60.38,60.13,60.57,60.04
60.21,59.84,60.41,59.76
59.78,59.90,60.06,59.77
59.88,60.17,60.48,59.81
60.07,60.55,60.62,60.05
60.71,60.91,60.96,60.59
60.96,61.33,61.46,60.90
61.00,61.27,61.43,60.92
61.38,60.72,61.50,60.49
60.54,60.88,61.09,60.43
60.76,60.76,60.89,60.36
60.74,60.07,60.74,60.02
60.42,60.05,60.42,60.01
60.25,60.13,60.42,59.91
60.14,60.14,60.43,59.96
60.27,60.17,60.50,60.04
60.06,59.71,60.11,59.68
N/A,N/A,N/A,N/A
60.33,60.82,60.87,60.00
61.05,61.74,61.85,60.75
61.65,61.72,61.96,61.50
61.60,60.98,61.62,60.82
61.04,61.21,61.41,60.92
60.89,60.35,61.21,60.26
60.22,59.89,60.55,59.76
59.79,59.62,59.87,58.94
59.41,59.03,59.44,58.90
58.96,59.19,59.52,58.93
59.29,59.47,59.53,58.61
59.70,59.49,59.92,59.33
59.40,59.51,59.56,59.04
59.23,60.22,60.41,59.12
60.07,60.20,60.48,60.00
60.20,60.07,60.30,60.01
60.25,59.17,60.25,59.11
59.30,58.85,59.49,58.74
59.01,59.35,59.45,58.92
59.13,59.08,59.68,59.02
59.03,59.31,59.50,58.90
58.83,59.88,60.36,58.31
59.75,60.36,60.83,59.72
58.95,58.03,59.11,55.00
57.86,57.31,58.70,56.83
58.62,57.52,58.99,57.10
57.40,57.94,58.30,57.33
58.06,57.88,58.19,57.66
57.81,57.67,58.48,57.60
57.26,57.74,58.12,57.21
57.82,58.35,58.44,57.52
58.64,57.78,58.99,57.68
57.49,57.77,58.48,57.49
57.00,56.59,57.52,56.55
55.93,57.44,57.73,55.79
57.18,56.76,57.41,56.68
55.96,56.50,56.50,55.39
56.60,55.98,56.70,55.71
57.34,58.74,59.26,57.04
58.79,58.25,58.92,58.02
58.18,57.98,58.85,57.73
58.34,58.95,58.98,57.95
58.23,57.93,59.16,57.30
57.45,56.17,57.45,56.01
56.01,55.85,56.62,55.76
55.69,56.66,56.72,55.55
56.68,57.40,57.75,56.58
57.82,57.65,58.06,57.30
57.18,57.52,57.65,57.00
57.64,57.52,57.90,57.30
57.93,59.16,59.18,57.92
58.47,58.34,58.89,58.12
58.59,58.58,58.72,57.99
58.50,58.21,58.73,58.05
58.50,57.78,58.70,57.55
57.99,57.61,58.31,57.54
57.59,57.44,57.68,57.02
57.17,56.22,57.45,56.00
56.17,56.44,56.86,55.87
56.59,56.65,57.20,56.22
56.18,55.63,56.37,55.39
55.52,54.83,55.67,54.69
54.73,54.90,55.16,54.22
55.18,54.23,55.18,53.76
54.69,54.00,54.71,53.51
53.76,54.29,54.33,53.41
54.78,55.71,55.79,54.52
56.29,56.19,56.29,55.60
56.05,55.93,56.43,55.73
56.15,56.51,56.75,56.15
56.39,56.35,56.40,55.87
56.37,56.55,56.59,55.85
56.59,54.98,56.60,54.95
55.13,54.82,55.29,54.60
54.37,55.09,55.09,54.11
55.07,53.61,55.10,53.48
54.09,54.90,55.08,53.84
55.00,55.95,56.00,54.78
55.79,55.71,56.00,55.45
56.49,57.21,57.36,56.39
57.22,56.51,57.40,56.41
56.74,56.21,57.00,55.77
55.71,56.71,56.89,55.71
57.06,56.84,57.34,56.76
56.62,56.55,56.91,56.38
56.49,57.40,57.61,56.24
56.74,56.46,56.74,55.86
56.25,56.54,56.64,55.76
56.55,57.16,57.49,56.54
56.79,56.98,57.32,56.63
56.51,55.87,56.62,55.81
55.49,55.67,55.96,55.37
55.41,55.31,55.71,55.06
55.14,55.37,55.50,55.00
55.51,55.83,56.29,55.38
55.25,55.68,55.99,54.99
55.44,55.01,55.63,54.61
54.73,55.04,55.12,54.48
55.33,54.90,55.64,54.85
54.52,55.60,55.67,54.05
55.37,57.07,57.40,55.20
57.13,56.28,57.15,56.15
56.39,56.19,56.53,55.41
56.21,56.07,56.85,56.07
55.86,56.50,57.06,55.74
56.93,57.79,57.89,56.76
58.41,58.59,58.83,57.65
59.05,58.57,59.05,58.19
58.25,58.64,59.00,58.20
59.37,59.21,59.42,58.80
59.50,58.94,59.51,58.83
59.30,59.54,59.79,59.14
59.82,60.05,60.23,59.41
60.00,61.04,61.20,59.94
61.04,61.19,61.27,60.91
61.16,61.24,61.33,60.82
61.50,61.29,61.50,60.95
61.51,61.28,61.78,60.97
61.21,61.27,61.53,60.86
61.52,62.33,62.45,61.52
62.05,62.50,62.82,61.88
63.00,64.05,64.31,62.78
63.82,63.73,64.14,63.63
63.86,65.00,65.11,63.69
64.93,64.67,65.22,64.39
64.87,64.49,65.00,64.08
64.92,65.05,65.25,64.50
