BIL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,NASDAQ
45.85,45.85,45.86,45.84
45.85,45.84,45.86,45.84
45.84,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.85,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.85,45.84,45.85,45.84
45.85,45.86,45.86,45.84
45.85,45.85,45.86,45.85
nan,45.85,nan,nan
45.86,45.85,45.86,45.85
45.86,45.85,45.86,45.85
45.85,45.85,45.86,45.85
45.86,45.85,45.86,45.85
45.86,45.86,45.86,45.83
45.86,45.86,45.86,45.84
45.84,45.87,45.87,45.84
45.85,45.86,45.87,45.85
45.86,45.87,45.87,45.85
45.85,45.86,45.87,45.85
45.86,45.85,45.87,45.85
45.87,45.87,45.88,45.86
45.86,45.87,45.87,45.86
45.85,45.87,45.87,45.85
45.86,45.87,45.87,45.86
45.87,45.87,45.87,45.86
45.86,45.87,45.87,45.85
45.87,45.87,45.87,45.86
nan,45.87,nan,nan
45.87,45.87,45.87,45.86
45.87,45.84,45.87,45.84
45.85,45.86,45.86,45.85
45.86,45.84,45.86,45.84
45.86,45.86,45.86,45.85
45.86,45.84,45.86,45.84
45.85,45.86,45.86,45.84
45.85,45.86,45.86,45.85
45.85,45.86,45.86,45.84
45.86,45.84,45.86,45.84
45.86,45.85,45.86,45.84
45.86,45.84,45.86,45.84
45.85,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.85,45.84,45.85,45.84
45.84,45.84,45.85,45.83
45.84,45.85,45.85,45.84
45.85,45.84,45.85,45.84
45.85,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.85,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.84,45.85,45.85,45.84
45.84,45.85,45.85,45.84
45.84,45.84,45.85,45.84
45.85,45.86,45.86,45.84
45.85,45.86,45.86,45.85
45.85,45.84,45.86,45.84
45.85,45.84,45.86,45.84
45.86,45.86,45.86,45.84
nan,45.86,nan,nan
45.85,45.84,45.86,45.84
45.85,45.84,45.85,45.84
45.86,45.84,45.86,45.84
45.84,45.84,45.85,45.84
45.85,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.85,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.84,45.85,45.85,45.84
45.84,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.84,45.84,45.85,45.84
45.85,45.84,45.85,45.84
45.84,45.85,45.85,45.84
45.84,45.84,45.85,45.84
45.84,45.85,45.85,45.84
45.84,45.85,45.85,45.84
45.84,45.84,45.85,45.84
45.85,45.85,45.85,45.84
45.84,45.84,45.85,45.84
45.85,45.85,45.85,45.84
45.84,45.86,45.86,45.84
45.85,45.86,45.86,45.84
45.85,45.86,45.86,45.85
45.85,45.86,45.86,45.85
45.86,45.86,45.86,45.85
45.86,45.85,45.86,45.85
45.86,45.86,45.86,45.85
45.86,45.86,45.86,45.85
45.86,45.85,45.86,45.85
45.85,45.86,45.86,45.85
45.86,45.86,45.86,45.85
45.86,45.86,45.86,45.85
45.86,45.86,45.86,45.85
45.85,45.86,45.86,45.85
45.86,45.87,45.87,45.85
45.86,45.85,45.86,45.85
nan,45.86,nan,nan
45.85,45.86,45.86,45.85
45.85,45.87,45.87,45.85
45.85,45.85,45.87,45.85
45.85,45.87,45.87,45.85
45.86,45.86,45.87,45.85
45.86,45.87,45.87,45.85
45.87,45.87,45.87,45.86
45.86,45.87,45.87,45.86
45.86,45.87,45.87,45.85
