PCLN,The Priceline Group Inc.  - Common Stock,NASDAQ
222.32,223.96,225.30,221.58
224.10,226.56,228.00,222.15
225.12,219.08,226.42,218.15
219.66,216.13,220.50,214.12
213.10,216.21,218.43,212.13
217.80,218.91,219.50,212.25
216.06,213.98,216.99,210.25
214.45,214.30,215.92,207.76
212.97,208.77,214.73,206.01
208.21,208.77,210.50,205.55
208.55,208.70,212.45,207.79
206.53,206.31,211.50,203.09
205.88,208.04,211.11,205.54
207.86,204.20,209.56,202.81
205.41,202.84,206.01,199.89
202.41,204.44,207.21,200.84
203.66,207.52,208.49,203.18
208.12,201.68,209.70,201.39
203.96,195.35,205.00,193.46
196.52,204.20,204.53,192.72
205.25,204.42,205.82,201.73
201.98,208.53,211.52,201.98
207.30,200.01,208.51,199.71
201.00,196.96,201.91,193.37
199.45,200.62,204.16,198.53
203.50,205.38,206.33,203.23
205.80,206.40,208.44,203.63
203.95,208.90,209.64,203.11
206.50,207.78,208.03,203.75
208.75,211.21,212.25,208.75
213.29,212.87,215.73,209.37
227.49,232.95,235.80,226.02
232.50,230.57,233.66,229.67
232.04,229.07,232.23,226.24
229.45,225.09,229.50,223.60
226.00,225.02,226.87,221.06
222.00,223.87,224.70,218.50
224.00,226.71,226.99,221.05
228.77,238.54,238.99,227.64
241.04,241.34,245.00,238.90
241.50,235.82,241.50,235.00
233.00,233.12,237.83,229.51
236.58,235.34,236.99,231.42
236.00,240.18,240.98,233.70
239.17,238.33,243.15,236.37
238.15,240.99,243.52,238.00
240.99,242.21,242.41,237.61
242.59,238.91,243.70,237.67
239.34,238.86,240.00,234.36
239.00,241.81,242.25,237.41
242.79,242.92,246.01,239.65
243.95,242.81,244.90,240.37
244.61,239.01,244.61,238.47
238.34,243.02,243.51,236.67
244.13,244.41,244.80,238.69
242.52,243.80,244.49,241.57
246.60,255.03,262.67,246.51
254.95,252.11,256.24,250.02
257.12,255.67,259.92,254.39
255.50,255.99,258.06,253.10
255.51,255.00,258.96,253.01
257.94,257.00,260.28,253.81
257.98,257.65,259.16,255.15
255.15,261.60,262.96,255.15
262.98,259.81,267.02,258.00
259.09,259.31,260.86,256.51
260.44,259.49,260.44,256.31
260.25,260.23,262.92,259.49
254.33,257.60,257.71,251.13
256.04,265.26,265.65,256.04
264.06,264.98,266.88,262.55
263.07,254.86,263.76,252.78
253.66,247.58,254.34,244.20
251.12,255.28,256.95,249.04
253.49,253.15,256.19,250.16
251.64,258.31,258.98,248.64
259.29,261.70,264.00,255.09
263.52,270.36,273.82,262.80
268.51,264.30,269.95,262.34
265.55,261.78,268.51,258.51
263.20,273.00,273.93,263.20
273.84,262.05,273.87,261.51
264.53,269.08,270.49,264.50
265.00,258.37,265.63,256.28
251.49,246.98,256.26,241.02
243.51,233.10,248.21,202.69
231.97,225.39,236.88,224.40
241.75,249.75,249.79,240.15
212.15,219.57,222.74,208.89
221.75,217.88,221.75,213.46
215.64,212.89,221.18,211.86
208.86,208.28,210.19,204.00
206.57,200.15,206.99,196.01
201.73,192.86,206.77,192.60
191.21,190.11,196.00,184.21
182.61,181.00,188.08,179.10
177.13,191.24,191.80,176.00
193.79,193.14,197.50,192.68
186.54,193.44,194.25,185.13
197.02,192.42,200.97,191.77
197.86,197.59,198.68,191.39
197.67,191.16,197.88,190.50
191.12,185.01,192.86,184.88
185.60,189.83,189.83,183.86
189.52,185.11,189.82,182.18
180.36,178.54,188.80,177.64
179.60,176.39,182.68,176.29
177.65,176.73,180.34,173.32
178.35,175.19,182.24,174.69
178.90,181.24,181.61,176.56
178.95,183.91,184.44,178.38
186.33,184.14,187.60,183.90
186.49,185.77,187.38,184.16
192.99,196.41,198.80,192.72
198.87,195.26,199.50,193.01
195.50,193.09,195.63,191.59
196.86,189.25,197.22,187.62
189.86,188.95,194.71,188.58
189.30,188.25,190.41,185.42
187.96,185.11,190.97,184.01
184.24,191.99,192.99,184.23
192.26,187.93,193.73,186.67
184.25,180.29,185.53,179.19
179.58,176.54,183.95,175.66
176.66,182.03,182.44,173.75
181.23,176.41,181.23,175.75
179.14,181.50,183.00,176.99
182.27,190.73,190.84,181.27
193.70,199.28,199.95,193.00
199.75,204.09,204.60,196.70
204.14,204.00,205.52,201.00
207.10,216.32,218.99,205.91
216.50,215.35,216.50,211.14
214.34,222.61,223.30,212.35
223.17,218.21,225.00,216.50
218.82,220.05,222.40,217.55
216.04,221.64,221.85,216.03
223.27,218.43,224.69,217.62
221.56,227.92,228.50,221.25
225.50,228.64,228.76,223.70
228.80,231.55,231.86,226.33
232.64,224.03,234.45,223.88
223.95,224.07,227.93,221.59
224.00,224.19,226.49,217.72
222.77,224.40,227.35,220.00
226.90,227.38,230.00,225.34
227.51,230.67,234.40,226.15
272.29,281.30,286.85,272.24
279.49,292.67,292.67,277.00
