ICF,iShares Cohen & Steers REIT ETF,NASDAQ
64.99,64.56,65.23,64.40
64.48,65.32,65.32,64.48
64.49,64.58,65.52,64.26
64.60,65.92,66.52,64.60
66.15,65.86,66.60,65.52
66.02,65.83,66.33,65.44
66.32,65.96,66.36,65.88
65.46,65.49,65.62,65.07
65.00,64.88,65.34,64.45
65.23,64.45,65.46,63.85
64.38,64.52,64.75,64.22
64.83,65.12,65.69,64.69
65.51,65.46,65.71,65.16
65.69,65.32,65.69,64.89
66.09,66.92,67.08,65.82
67.01,67.65,68.12,66.65
67.55,67.17,67.65,66.69
67.38,64.55,67.54,64.00
64.76,65.37,65.40,64.62
64.91,64.79,65.41,64.62
64.41,64.11,64.95,63.84
64.27,63.43,64.63,63.43
63.19,61.36,63.19,60.89
61.30,61.85,62.23,61.26
62.61,62.38,62.98,62.29
62.29,62.84,62.96,61.74
62.60,62.97,63.19,62.56
61.97,62.47,62.58,61.97
63.16,63.71,63.79,62.94
63.01,63.51,63.79,63.01
63.06,63.51,63.68,62.57
62.79,63.16,63.72,62.78
64.01,63.72,64.01,63.13
63.80,64.72,64.78,63.74
64.25,64.77,64.90,64.12
64.52,64.83,65.07,63.98
65.48,65.12,65.63,65.03
65.22,64.01,65.23,63.57
64.23,63.33,64.44,63.28
63.44,63.95,64.27,63.44
64.23,64.07,64.44,63.90
64.10,63.33,64.68,63.03
63.21,62.72,63.78,62.66
62.86,62.84,63.16,62.41
62.72,63.28,63.37,62.72
63.52,64.16,64.36,63.43
64.32,64.86,64.91,64.17
64.98,65.35,65.75,64.73
64.74,64.53,65.02,64.50
64.14,65.39,65.39,64.14
65.45,65.61,65.72,65.03
65.77,65.78,65.88,65.33
65.83,65.90,66.13,65.62
65.77,65.72,66.27,65.69
66.11,67.01,67.08,66.11
67.23,65.76,67.30,65.47
65.75,66.09,66.25,65.45
66.11,65.47,66.11,65.35
65.55,65.40,65.98,64.85
65.29,65.32,65.53,64.69
65.61,65.24,65.83,64.72
65.67,65.59,65.87,65.28
65.50,65.80,66.02,65.45
65.66,66.31,66.34,65.63
66.34,66.92,66.92,66.05
66.87,66.07,66.91,65.83
65.83,66.14,66.70,65.83
66.69,66.39,66.69,66.11
66.42,66.64,66.91,66.14
66.26,67.39,67.39,66.17
67.66,67.52,67.78,67.15
68.03,68.81,68.84,67.97
68.82,67.53,69.06,67.41
67.69,68.50,68.80,67.69
68.90,68.74,69.10,68.05
68.55,68.60,69.00,68.21
68.48,68.82,68.92,68.21
68.95,68.10,68.95,67.88
68.25,68.84,68.92,68.14
68.95,69.01,69.24,68.82
68.87,69.13,69.22,68.56
68.87,69.64,69.72,68.87
69.32,70.09,70.17,69.27
70.11,70.11,70.34,69.67
69.77,69.82,70.11,69.43
69.98,70.00,70.57,69.64
69.93,70.03,70.28,69.84
70.03,70.28,70.46,69.99
69.79,69.65,70.49,69.36
69.57,69.20,70.01,68.74
69.20,68.68,69.39,68.15
69.07,70.13,70.13,68.99
70.51,71.67,71.69,70.30
71.87,69.45,71.87,69.45
69.32,68.82,69.63,68.61
69.45,69.90,69.91,69.38
69.94,69.09,69.95,68.76
69.25,68.60,69.58,68.28
68.71,69.67,69.98,68.71
69.59,69.72,70.06,69.09
69.14,68.59,69.24,68.57
68.36,69.49,69.57,68.36
69.08,68.74,69.18,68.53
67.31,68.35,68.91,67.05
68.41,67.41,68.49,66.93
68.48,68.04,68.48,67.37
68.68,68.45,68.99,68.27
69.26,69.23,69.60,68.93
69.27,68.59,69.29,68.48
68.40,67.82,68.51,67.43
67.83,67.74,67.92,66.96
68.00,68.27,68.51,67.74
68.47,68.19,68.56,67.99
68.03,68.57,68.66,67.54
68.87,69.55,69.60,68.58
69.52,70.13,70.23,69.31
70.36,70.30,70.69,69.93
70.49,70.19,70.52,70.03
70.09,70.23,70.56,70.02
70.58,70.20,70.58,70.03
69.93,69.44,70.26,69.10
69.67,68.93,69.95,68.72
69.01,68.97,69.52,68.81
68.65,68.95,69.23,68.65
69.25,68.87,69.32,68.75
68.65,69.88,70.00,68.57
69.85,70.83,70.84,69.85
70.17,70.12,70.23,69.68
70.25,70.77,70.80,70.18
71.37,71.56,71.60,70.80
71.76,72.01,72.08,71.19
72.11,72.58,72.82,71.81
72.79,73.31,73.45,72.41
73.38,73.75,73.87,73.09
73.80,74.76,75.04,73.80
74.82,74.30,74.82,73.44
74.64,74.47,74.99,73.85
74.23,73.81,74.82,73.04
73.87,73.47,74.01,73.14
72.95,73.37,73.99,72.79
74.06,72.79,74.06,72.59
72.83,73.14,73.33,72.51
73.49,74.34,74.39,73.40
74.10,73.49,74.15,73.25
73.25,73.41,73.62,72.64
73.68,72.78,73.68,72.60
72.60,73.00,73.46,72.44
72.56,72.98,73.18,72.50
73.07,73.75,73.82,72.68
73.94,74.08,74.38,73.52
73.98,73.19,73.99,73.09
72.40,72.38,72.80,72.19
72.49,72.74,72.93,72.39
72.50,73.06,73.40,72.09
72.96,74.02,74.25,72.74
74.24,74.37,74.46,73.85
75.00,75.62,75.66,74.67
75.53,73.44,75.53,73.35
73.35,72.76,74.09,72.75
72.07,73.09,73.45,71.80
72.94,72.00,73.25,71.99
72.47,72.90,73.52,72.24
72.77,72.70,73.41,72.50
72.92,71.89,72.92,71.60
71.62,70.12,71.73,70.05
70.17,70.55,70.93,70.11
71.27,71.56,71.71,70.97
70.92,70.31,71.26,69.83
70.35,70.89,71.18,69.84
71.79,71.63,71.79,70.90
71.38,72.46,72.66,71.38
72.78,72.97,73.08,72.40
72.70,72.77,73.50,72.70
71.44,70.65,71.44,70.10
70.84,70.73,71.25,70.29
70.83,71.13,71.32,70.72
71.36,71.65,71.74,70.85
71.97,72.47,72.58,71.67
72.69,72.51,72.91,72.23
72.74,73.90,74.00,72.64
74.05,74.47,74.66,73.47
74.30,74.97,74.97,74.03
75.33,75.92,76.00,75.32
75.01,75.67,75.73,74.72
74.76,74.26,74.99,74.16
73.95,74.66,75.66,73.82
74.81,73.86,75.10,73.80
73.88,73.16,74.09,72.86
73.45,73.93,73.98,72.99
73.71,73.42,73.85,72.82
73.84,74.69,74.69,73.68
74.99,75.38,75.41,74.55
75.70,76.06,76.42,75.70
76.00,76.46,76.56,75.80
75.64,75.72,76.16,75.36
75.69,75.84,76.16,75.25
75.50,73.79,75.55,73.72
73.69,73.88,74.52,73.05
73.16,73.85,74.02,72.42
74.52,72.55,74.52,72.00
72.06,70.20,72.42,70.20
70.18,69.72,70.32,67.91
68.89,66.09,69.17,66.09
66.85,64.64,67.29,63.73
62.83,58.98,63.26,58.92
59.79,64.80,64.80,59.50
63.35,63.16,66.40,62.68
63.42,66.74,67.74,63.29
67.16,66.48,67.91,66.06
66.82,68.91,68.92,66.82
68.05,68.54,69.04,67.48
69.08,68.75,69.73,68.21
66.78,65.67,67.11,64.95
64.48,64.50,66.27,64.35
65.95,64.76,65.97,63.76
65.04,66.22,66.26,64.39
66.15,67.06,67.19,65.41
67.45,65.66,68.06,65.03
65.21,66.66,66.77,63.86
67.61,68.84,68.85,67.42
68.91,69.10,69.46,67.57
69.42,69.87,70.10,68.80
69.69,68.78,70.13,68.53
67.30,67.08,68.46,67.08
65.23,66.97,67.24,64.94
68.17,69.57,69.59,67.05
69.00,68.85,69.84,68.65
68.16,66.57,68.60,66.09
65.50,66.85,66.88,65.37
67.01,67.03,67.26,66.24
67.35,67.45,67.83,66.12
68.14,68.57,68.57,67.54
68.71,69.03,69.17,67.62
67.72,67.43,68.14,67.37
67.62,67.54,68.39,67.24
67.64,63.87,67.83,63.82
61.98,62.31,63.33,61.35
62.01,62.83,63.04,61.66
62.91,63.20,63.31,61.83
64.72,63.82,64.88,63.42
64.00,62.12,64.40,62.06
63.44,63.25,63.51,62.21
62.50,61.36,63.08,61.33
60.91,58.42,61.82,58.40
57.85,60.62,60.75,56.83
60.75,60.19,60.75,57.58
59.75,61.85,61.92,59.42
62.23,60.12,62.47,60.10
61.38,63.19,63.24,61.26
62.78,61.87,62.97,61.66
62.40,62.99,63.92,61.89
62.75,62.52,63.05,61.31
63.19,64.02,64.24,63.07
63.70,62.49,63.70,62.34
62.48,64.89,65.15,62.44
64.86,64.11,65.28,63.90
64.18,64.59,64.70,63.02
65.48,66.79,66.79,65.33
67.18,68.47,68.53,66.64
68.22,67.31,68.22,67.02
68.01,67.99,68.26,66.82
69.95,71.20,71.60,69.23
70.82,71.18,71.28,70.08
70.20,70.49,71.53,69.90
68.37,67.93,69.65,67.82
69.02,69.50,70.02,68.21
70.19,70.31,70.51,68.31
69.64,69.62,69.81,68.48
69.60,69.82,70.55,68.80
70.25,70.74,70.81,68.58
69.10,67.45,69.38,67.28
68.30,67.62,68.58,67.05
68.56,69.47,69.50,68.01
68.78,68.00,69.00,67.64
67.70,68.65,69.07,67.40
67.77,67.71,68.82,67.65
67.60,66.33,67.68,66.03
66.82,66.90,66.95,66.09
65.88,65.06,65.88,64.77
64.84,64.83,65.48,64.46
64.17,62.90,64.28,62.90
62.84,63.47,64.50,62.75
65.16,64.79,65.49,64.17
64.97,64.58,65.03,64.18
66.47,67.67,67.73,66.14
67.45,66.83,67.45,66.26
67.29,66.91,68.08,66.84
67.94,67.43,68.18,66.97
67.30,67.35,67.70,66.84
66.77,68.14,68.38,66.66
67.68,66.62,67.86,66.48
66.87,68.04,68.39,66.87
67.46,66.64,67.48,66.18
67.02,66.08,67.60,65.67
65.79,66.57,67.21,65.65
67.16,67.66,67.90,66.98
67.99,68.34,68.98,67.91
68.24,67.63,68.60,67.51
68.52,69.72,69.86,68.52
69.73,69.72,69.86,69.09
69.29,70.15,70.47,69.29
70.29,70.46,70.47,69.93
70.39,70.72,71.21,69.97
70.83,69.87,70.83,69.85
70.07,70.55,70.66,69.70
70.60,70.22,71.08,70.22
71.49,70.80,72.27,70.18
70.31,69.43,70.44,69.29
69.28,70.08,70.19,68.91
70.16,69.82,70.40,69.53
70.02,69.54,70.06,69.43
70.34,70.54,70.86,70.28
70.19,70.87,71.02,70.08
70.97,70.36,70.99,69.88
70.00,70.67,70.67,69.69
71.38,71.35,71.83,71.03
71.35,71.75,72.02,71.11
71.99,71.96,72.17,71.57
71.88,72.39,72.40,71.45
72.40,72.68,72.87,72.19
72.16,73.16,73.20,72.11
72.90,74.20,74.25,72.86
74.42,74.60,75.10,74.37
74.40,74.72,74.94,74.06
74.29,73.96,74.29,73.67
74.26,74.44,74.66,73.94
75.00,75.10,75.20,74.62
75.10,75.27,75.28,74.84
75.97,76.36,76.41,75.66
76.02,76.02,76.34,75.64
75.91,76.00,76.17,75.55
76.03,76.05,76.35,75.49
76.20,75.40,76.38,75.00
74.69,74.69,75.24,74.52
75.37,75.68,75.75,75.14
75.27,74.66,75.38,74.29
74.82,74.38,74.99,74.07
74.45,75.10,75.26,74.40
75.65,75.21,75.65,74.65
75.31,73.91,75.44,73.66
73.84,73.21,74.12,73.19
72.95,74.17,74.23,72.95
74.37,74.28,74.50,73.77
73.76,74.21,74.36,73.30
74.22,73.62,74.42,73.48
73.63,73.51,74.22,73.33
73.75,73.98,74.09,73.50
73.77,73.90,74.25,73.64
73.68,74.55,74.60,73.57
73.72,73.54,74.31,73.46
73.85,74.06,74.06,73.12
74.43,73.58,74.43,73.36
73.61,73.96,74.14,73.48
73.96,74.44,74.74,73.96
74.90,76.06,76.19,74.82
76.15,75.79,76.35,75.37
75.97,75.64,75.97,75.43
75.79,76.15,76.22,75.57
76.11,76.75,77.03,75.87
76.31,76.58,76.82,76.08
76.65,76.36,76.77,76.32
75.85,75.23,75.85,74.79
74.66,75.19,75.50,74.40
75.85,75.94,76.11,75.49
75.76,75.94,76.40,75.76
75.94,75.70,75.94,75.04
75.31,75.80,75.93,74.92
76.15,76.64,76.70,76.12
76.63,76.96,77.04,76.42
76.74,76.68,77.01,76.34
76.02,75.70,76.16,75.52
75.55,75.42,75.83,75.14
74.50,74.71,75.05,74.17
74.51,73.13,74.89,73.06
73.85,74.08,74.09,73.52
74.17,75.10,75.12,73.91
74.92,74.73,75.26,74.54
75.18,75.89,76.30,75.13
76.53,76.54,76.77,75.70
76.23,76.01,76.49,76.00
76.10,75.98,76.47,75.66
76.24,76.98,77.24,76.24
76.54,76.10,76.54,75.64
76.15,77.34,77.34,76.15
77.88,78.21,78.21,77.62
77.83,78.45,78.56,77.56
78.77,78.92,79.04,78.21
78.85,78.74,78.86,78.16
78.66,79.69,80.19,78.66
79.31,79.60,79.74,78.81
79.73,79.17,79.94,79.17
78.87,78.50,78.98,78.30
78.32,79.16,79.38,78.26
78.65,78.94,79.07,78.28
78.32,78.76,79.26,78.09
79.33,78.78,79.37,78.31
78.27,78.97,79.25,78.18
78.27,77.91,78.73,77.89
77.93,77.48,77.98,77.29
77.77,76.50,77.85,76.44
76.40,74.34,76.56,74.34
74.44,73.42,74.98,73.21
73.93,75.16,75.25,73.36
75.35,75.29,75.75,74.95
74.72,75.43,75.56,74.10
75.68,75.69,76.12,74.89
75.76,75.36,76.00,75.12
75.78,76.54,76.54,75.67
75.88,74.62,75.88,74.62
74.65,75.18,75.82,74.00
74.00,73.20,74.32,73.13
73.35,72.72,73.39,72.20
72.43,74.12,74.35,72.43
