OBAS,Optibase Ltd. - Ordinary Shares,NASDAQ
1.31,1.35,1.35,1.30
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.32,1.30,1.34,1.27
1.30,1.38,1.38,1.30
1.40,1.28,1.40,1.27
1.28,1.26,1.28,1.20
1.26,1.27,1.27,1.26
1.26,1.26,1.26,1.24
1.24,1.25,1.28,1.24
1.25,1.27,1.33,1.25
1.24,1.31,1.31,1.24
1.31,1.31,1.31,1.31
1.26,1.31,1.31,1.26
1.32,1.32,1.32,1.32
1.32,1.32,1.32,1.32
1.26,1.24,1.31,1.24
1.25,1.24,1.30,1.21
1.21,1.22,1.26,1.18
1.22,1.24,1.24,1.22
1.19,1.23,1.23,1.19
1.23,1.23,1.23,1.23
1.20,1.20,1.20,1.20
1.20,1.21,1.21,1.20
1.18,1.24,1.24,1.18
1.24,1.24,1.24,1.24
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.22,1.22,1.24,1.22
1.22,1.22,1.22,1.22
1.24,1.25,1.25,1.24
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.22,1.25,1.25,1.21
1.24,1.24,1.24,1.24
1.24,1.25,1.26,1.24
1.26,1.22,1.26,1.20
1.25,1.28,1.51,1.23
1.31,1.30,1.32,1.30
1.26,1.30,1.30,1.26
1.26,1.27,1.27,1.23
1.26,1.26,1.29,1.26
1.26,1.43,1.68,1.26
1.49,1.38,1.49,1.37
1.45,1.37,1.45,1.35
1.35,1.38,1.38,1.35
1.36,1.38,1.42,1.36
1.36,1.40,1.43,1.36
1.45,1.39,1.45,1.36
1.38,1.41,1.41,1.37
1.39,1.40,1.40,1.38
1.38,1.42,1.44,1.36
1.41,1.41,1.42,1.38
1.41,1.41,1.41,1.41
1.38,1.41,1.41,1.38
1.40,1.43,1.43,1.40
1.40,1.41,1.49,1.40
1.40,1.44,1.44,1.40
1.43,1.42,1.43,1.37
1.38,1.38,1.40,1.38
1.38,1.43,1.43,1.38
1.42,1.44,1.44,1.42
1.37,1.46,1.46,1.37
1.43,1.38,1.45,1.38
1.38,1.37,1.39,1.37
1.38,1.45,1.45,1.38
1.46,1.50,1.53,1.44
1.45,1.44,1.49,1.44
1.50,1.50,1.50,1.49
1.46,1.44,1.51,1.44
1.40,1.43,1.46,1.40
1.43,1.51,1.58,1.43
1.51,1.55,1.55,1.51
1.55,1.55,1.55,1.50
1.55,1.50,1.55,1.50
1.46,1.45,1.46,1.45
1.46,1.49,1.51,1.45
1.46,1.45,1.46,1.40
1.38,1.35,1.41,1.35
1.35,1.35,1.40,1.35
1.37,1.47,1.47,1.35
1.46,1.46,1.48,1.36
1.45,1.40,1.45,1.40
1.45,1.42,1.47,1.41
1.40,1.40,1.40,1.40
1.40,1.46,1.47,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.37,1.40,1.40,1.35
1.40,1.40,1.40,1.40
1.40,1.45,1.45,1.36
1.45,1.45,1.45,1.45
1.45,1.45,1.45,1.45
1.44,1.43,1.45,1.38
1.38,1.40,1.40,1.38
1.40,1.40,1.42,1.38
1.39,1.40,1.44,1.39
1.40,1.43,1.44,1.40
1.41,1.41,1.42,1.40
1.41,1.40,1.42,1.40
1.40,1.39,1.43,1.39
1.40,1.40,1.42,1.40
1.40,1.40,1.40,1.40
1.40,1.40,1.41,1.40
1.40,1.41,1.43,1.40
1.40,1.41,1.43,1.40
1.41,1.41,1.42,1.41
1.41,1.42,1.43,1.40
1.42,1.42,1.42,1.42
1.42,1.42,1.44,1.42
1.42,1.42,1.43,1.42
1.42,1.40,1.42,1.40
1.39,1.39,1.39,1.39
1.40,1.40,1.40,1.39
1.41,1.44,1.45,1.41
1.41,1.38,1.41,1.38
1.38,1.35,1.44,1.35
1.35,1.35,1.44,1.35
1.35,1.35,1.43,1.30
1.31,1.35,1.40,1.31
1.35,1.35,1.35,1.35
1.35,1.36,1.36,1.35
1.33,1.30,1.33,1.30
1.27,1.35,1.36,1.20
1.24,1.34,1.34,1.20
1.33,1.43,1.48,1.33
1.40,1.40,1.40,1.38
1.40,1.40,1.40,1.40
1.33,1.40,1.40,1.33
1.39,1.39,1.40,1.39
1.39,1.40,1.41,1.39
1.42,1.45,1.46,1.42
1.45,1.46,1.46,1.44
1.42,1.45,1.45,1.42
1.44,1.44,1.45,1.43
1.44,1.44,1.44,1.44
1.43,1.44,1.45,1.43
1.44,1.44,1.46,1.44
1.46,1.46,1.47,1.46
1.46,1.45,1.46,1.38
1.45,1.45,1.45,1.45
1.38,1.37,1.38,1.37
1.37,1.37,1.37,1.33
1.36,1.35,1.37,1.34
1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35
1.34,1.34,1.34,1.33
1.34,1.34,1.34,1.34
1.23,1.37,1.37,1.23
1.37,1.45,1.45,1.37
1.45,1.45,1.45,1.45
1.37,1.37,1.37,1.37
1.37,1.37,1.37,1.37
1.43,1.43,1.43,1.43
1.40,1.42,1.42,1.40
1.42,1.42,1.42,1.42
1.40,1.40,1.41,1.40
1.40,1.40,1.40,1.40
1.37,1.37,1.37,1.37
1.36,1.36,1.36,1.36
1.37,1.33,1.37,1.33
1.33,1.33,1.33,1.33
1.33,1.33,1.33,1.33
1.33,1.33,1.33,1.33
1.34,1.34,1.34,1.34
1.35,1.44,1.44,1.35
1.44,1.36,1.44,1.36
1.38,1.44,1.44,1.38
1.43,1.34,1.43,1.34
1.33,1.32,1.33,1.32
1.31,1.38,1.38,1.30
1.31,1.32,1.35,1.31
1.38,1.39,1.39,1.38
1.33,1.31,1.33,1.31
1.31,1.36,1.36,1.31
1.36,1.36,1.36,1.36
1.39,1.40,1.40,1.39
1.40,1.49,1.55,1.40
1.47,1.50,1.60,1.47
1.50,1.50,1.50,1.50
1.43,1.50,1.50,1.42
1.45,1.42,1.45,1.42
1.42,1.42,1.42,1.42
1.42,1.45,1.49,1.41
1.45,1.38,1.52,1.37
1.40,1.40,1.63,1.40
1.40,1.51,1.51,1.40
1.48,1.57,1.58,1.45
1.55,1.50,1.55,1.46
1.50,1.43,1.50,1.41
1.43,1.43,1.54,1.42
1.41,1.42,1.42,1.40
1.41,1.45,1.45,1.41
1.42,1.42,1.45,1.42
1.43,1.43,1.43,1.42
1.50,1.50,1.60,1.50
1.50,1.50,1.52,1.50
1.53,1.50,1.53,1.50
1.50,1.50,1.51,1.50
1.52,1.50,1.52,1.50
1.50,1.50,1.50,1.50
1.50,1.55,1.55,1.50
1.55,1.55,1.55,1.55
1.55,1.60,1.65,1.55
1.55,1.55,1.55,1.55
1.41,1.49,1.50,1.41
1.41,1.49,1.54,1.41
1.49,1.48,1.49,1.48
1.42,1.43,1.47,1.42
1.47,1.56,1.75,1.47
1.53,1.50,1.56,1.50
1.50,1.51,1.51,1.50
1.52,1.55,1.55,1.52
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.49,1.51,1.51,1.48
1.53,1.55,1.56,1.50
1.52,1.50,1.59,1.50
1.51,1.50,1.57,1.50
1.50,1.50,1.50,1.50
1.55,1.59,1.59,1.55
1.59,1.59,1.59,1.59
1.55,1.52,1.58,1.50
1.50,1.52,1.52,1.50
1.52,1.45,1.52,1.45
1.46,1.45,1.46,1.45
