ATAI,ATA Inc. - American Depositary Shares,NASDAQ
4.65,4.70,4.75,4.65
4.74,4.65,4.74,4.65
4.51,4.51,4.51,4.51
4.52,4.52,4.52,4.52
4.74,4.75,4.75,4.53
4.75,4.30,4.75,4.25
nan,4.30,nan,nan
4.52,4.49,4.52,4.49
4.32,4.32,4.32,4.32
4.42,4.45,4.50,4.42
4.48,4.45,4.49,4.45
4.50,4.24,4.51,4.23
4.33,4.20,4.33,4.20
4.29,3.86,4.29,3.63
3.93,3.92,4.01,3.90
4.00,3.95,4.02,3.86
3.95,3.89,3.95,3.88
3.91,3.67,3.91,3.67
3.71,3.00,3.72,2.92
3.08,3.40,3.49,3.00
3.41,3.60,3.65,3.40
3.42,3.53,3.63,3.30
3.46,3.41,3.52,3.30
3.36,3.49,3.58,3.36
3.51,3.67,3.85,3.51
3.70,3.65,3.91,3.55
3.58,3.70,3.85,3.48
3.70,3.52,3.70,3.50
3.74,3.47,3.74,3.47
3.57,3.50,3.69,3.49
3.55,3.37,3.60,3.31
3.30,3.45,3.68,3.17
3.45,3.45,3.64,3.36
3.40,3.50,3.55,3.32
3.55,3.55,3.68,3.48
3.60,3.80,3.89,3.50
3.66,3.80,3.89,3.66
3.80,3.80,3.88,3.79
3.88,3.85,3.95,3.75
3.94,3.78,3.97,3.65
3.85,3.67,3.88,3.60
3.73,3.64,3.74,3.64
3.71,3.52,3.71,3.48
3.58,3.68,3.72,3.45
3.70,3.68,3.70,3.63
3.73,3.72,4.10,3.66
4.00,3.85,4.08,3.77
3.99,4.53,4.59,3.75
4.42,4.55,4.55,4.26
4.56,4.21,4.56,4.13
4.26,4.17,4.26,4.16
4.14,4.06,4.20,4.06
4.03,4.04,4.05,4.03
4.05,4.00,4.07,3.90
4.00,4.00,4.05,3.92
4.08,4.03,4.08,4.00
3.93,4.04,4.05,3.93
4.01,4.23,4.23,4.00
3.97,4.30,4.30,3.97
4.22,4.35,4.35,3.96
4.31,4.03,4.31,4.00
N/A,N/A,N/A,N/A
4.00,4.01,4.01,4.00
3.98,4.06,4.06,3.98
4.00,4.00,4.07,3.98
3.99,4.00,4.00,3.95
3.98,3.92,3.98,3.91
3.90,3.62,3.90,3.55
3.62,3.60,3.66,3.50
3.60,3.58,3.61,3.50
3.59,3.59,3.61,3.52
3.52,3.55,3.56,3.52
3.59,3.53,3.61,3.53
nan,3.53,nan,nan
3.53,3.50,3.53,3.50
3.45,3.44,3.49,3.44
3.44,3.45,3.45,3.44
3.53,3.55,3.55,3.53
3.50,3.50,3.58,3.50
3.50,3.49,3.53,3.43
3.46,3.53,3.53,3.33
3.55,3.53,3.55,3.50
3.53,3.52,3.56,3.50
3.50,3.55,3.56,3.50
3.50,3.52,3.52,3.50
3.52,3.53,3.58,3.50
3.50,3.37,3.52,3.32
3.55,3.40,3.55,3.39
3.38,3.41,3.43,3.38
3.38,3.36,3.51,3.36
3.41,3.44,3.46,3.32
3.43,3.61,3.61,3.35
3.61,3.51,3.61,3.51
3.53,3.53,3.61,3.53
3.42,3.36,3.42,3.31
3.36,3.34,3.40,3.31
3.50,3.38,3.50,3.35
3.34,3.30,3.35,3.30
3.32,3.32,3.32,3.32
3.29,3.29,3.29,3.29
3.28,3.22,3.28,3.22
3.25,3.25,3.28,3.25
3.26,3.29,3.38,3.21
3.26,3.31,3.31,3.26
nan,3.31,nan,nan
3.15,3.30,3.36,3.15
3.25,3.36,3.36,3.22
3.36,3.43,3.48,3.36
nan,3.43,nan,nan
3.48,3.50,3.55,3.40
3.50,3.50,3.50,3.50
3.50,3.60,3.60,3.50
