CMU,MFS Municipal Income Trust Common Stock,NASDAQ
4.46,4.43,4.46,4.35
4.44,4.45,4.47,4.42
4.48,4.53,4.57,4.47
4.59,4.52,4.59,4.50
4.46,4.51,4.53,4.45
4.55,4.54,4.58,4.53
4.54,4.49,4.56,4.49
4.53,4.49,4.53,4.49
4.49,4.52,4.55,4.49
4.51,4.49,4.51,4.45
4.51,4.51,4.51,4.49
4.53,4.49,4.53,4.48
4.51,4.46,4.53,4.46
4.51,4.48,4.51,4.44
4.48,4.48,4.51,4.45
4.48,4.51,4.52,4.46
4.52,4.51,4.52,4.48
4.49,4.49,4.53,4.47
4.52,4.45,4.52,4.43
4.48,4.52,4.53,4.43
4.57,4.59,4.59,4.53
4.58,4.65,4.65,4.57
4.60,4.59,4.60,4.56
4.55,4.55,4.58,4.45
4.57,4.58,4.58,4.53
4.56,4.51,4.58,4.51
4.51,4.47,4.54,4.44
4.46,4.48,4.52,4.45
4.47,4.45,4.48,4.45
4.45,4.44,4.48,4.42
4.44,4.48,4.48,4.41
4.44,4.41,4.46,4.41
4.40,4.38,4.41,4.34
4.34,4.37,4.43,4.29
4.38,4.42,4.42,4.36
4.39,4.44,4.44,4.38
4.42,4.42,4.46,4.37
4.45,4.40,4.45,4.37
4.43,4.45,4.46,4.41
4.44,4.47,4.47,4.43
4.46,4.44,4.47,4.44
4.45,4.44,4.47,4.39
4.43,4.43,4.46,4.42
4.45,4.51,4.52,4.44
4.47,4.54,4.56,4.40
4.52,4.49,4.55,4.46
4.46,4.42,4.49,4.42
4.42,4.38,4.43,4.37
4.40,4.35,4.42,4.35
4.36,4.41,4.41,4.36
4.40,4.42,4.42,4.39
4.40,4.42,4.44,4.40
4.43,4.42,4.44,4.42
4.42,4.46,4.46,4.42
4.43,4.46,4.46,4.43
4.45,4.47,4.49,4.45
4.47,4.52,4.53,4.47
4.54,4.53,4.55,4.50
4.52,4.51,4.56,4.48
4.51,4.52,4.54,4.51
4.54,4.55,4.56,4.52
4.51,4.65,4.65,4.51
4.62,4.61,4.64,4.59
4.63,4.70,4.70,4.61
4.67,4.66,4.69,4.65
4.68,4.68,4.70,4.65
4.69,4.67,4.69,4.66
4.67,4.66,4.70,4.64
4.65,4.64,4.67,4.63
4.66,4.63,4.66,4.63
