GNVC,GenVec,NASDAQ
1.25,1.41,1.42,1.23
1.47,1.51,1.52,1.41
1.49,1.44,1.49,1.34
1.62,1.71,1.75,1.57
1.61,1.82,1.88,1.61
1.88,1.82,1.88,1.68
1.76,1.80,1.83,1.55
1.77,1.75,1.80,1.65
1.70,1.90,1.94,1.66
1.98,1.74,1.99,1.66
2.01,1.94,2.16,1.90
1.96,2.20,2.23,1.92
2.24,2.39,2.39,2.16
2.39,2.99,3.29,2.35
3.18,2.66,3.34,2.58
2.54,2.47,2.60,2.37
2.14,1.82,2.17,1.66
1.84,1.78,1.98,1.75
1.78,1.67,1.85,1.67
1.70,1.79,1.86,1.70
1.80,1.86,1.91,1.78
1.90,1.83,1.91,1.78
1.79,1.84,1.87,1.72
1.85,1.79,1.85,1.68
1.80,1.68,1.80,1.66
1.68,1.72,1.74,1.68
1.73,1.74,1.75,1.64
1.74,1.84,1.84,1.68
1.77,2.05,2.09,1.77
2.15,2.40,2.42,2.12
2.47,2.44,2.57,2.41
2.40,2.33,2.52,2.25
2.34,2.45,2.54,2.31
2.50,2.52,2.60,2.46
2.53,2.49,2.56,2.32
2.49,2.38,2.55,2.32
2.32,2.25,2.35,2.18
2.32,2.35,2.37,2.23
2.47,2.46,2.50,2.39
2.49,2.48,2.50,2.40
2.55,2.61,2.66,2.50
2.67,2.74,2.94,2.62
2.84,2.91,3.01,2.81
3.06,3.17,3.18,3.00
3.18,3.05,3.35,3.00
3.10,2.82,3.15,2.73
2.85,2.76,2.90,2.64
2.80,2.85,2.97,2.75
3.00,2.94,3.00,2.87
3.05,2.78,3.05,2.77
2.88,2.79,2.88,2.70
2.83,2.71,2.95,2.71
2.80,2.81,2.83,2.73
2.85,2.90,2.90,2.77
2.92,3.01,3.09,2.87
3.05,3.05,3.11,3.01
3.09,2.95,3.10,2.86
2.92,2.90,3.00,2.87
2.95,2.81,2.95,2.81
0.74,0.80,0.86,0.71
0.78,0.78,0.85,0.78
0.80,0.73,0.81,0.70
0.71,0.68,0.71,0.65
0.67,0.72,0.75,0.67
0.74,0.75,0.77,0.72
0.75,0.71,0.75,0.70
0.71,0.71,0.73,0.69
0.80,0.76,0.80,0.73
0.76,0.74,0.76,0.72
0.74,0.72,0.74,0.71
0.72,0.72,0.73,0.70
0.74,0.72,0.77,0.72
0.72,0.72,0.73,0.71
0.71,0.72,0.73,0.71
0.73,0.72,0.73,0.71
0.72,0.71,0.72,0.70
0.70,0.71,0.72,0.70
0.70,0.68,0.70,0.68
0.70,0.67,0.70,0.67
0.66,0.68,0.68,0.65
0.70,0.69,0.70,0.67
0.67,0.68,0.71,0.66
0.67,0.66,0.68,0.65
0.66,0.64,0.66,0.64
0.63,0.62,0.64,0.60
0.61,0.58,0.63,0.53
0.58,0.60,0.62,0.56
0.63,0.64,0.64,0.60
0.64,0.64,0.65,0.62
0.64,0.63,0.64,0.61
0.62,0.60,0.63,0.59
0.59,0.60,0.60,0.57
0.60,0.58,0.60,0.54
0.55,0.54,0.57,0.54
0.53,0.53,0.53,0.50
0.50,0.50,0.52,0.50
0.52,0.50,0.52,0.48
0.51,0.48,0.51,0.46
0.46,0.45,0.46,0.44
0.45,0.45,0.52,0.45
0.51,0.49,0.51,0.47
0.50,0.57,0.57,0.49
0.58,0.61,0.62,0.56
0.61,0.60,0.61,0.54
0.59,0.57,0.61,0.57
0.54,0.54,0.57,0.53
0.54,0.51,0.56,0.51
0.51,0.46,0.51,0.45
0.48,0.49,0.50,0.47
0.52,0.49,0.52,0.47
0.49,0.49,0.56,0.49
0.50,0.51,0.53,0.49
0.51,0.51,0.52,0.50
0.55,0.53,0.57,0.48
0.55,0.52,0.55,0.50
0.50,0.50,0.52,0.50
0.50,0.50,0.52,0.49
0.49,0.50,0.50,0.48
0.48,0.49,0.50,0.48
0.48,0.50,0.50,0.48
0.50,0.48,0.50,0.48
0.48,0.48,0.49,0.48
0.48,0.46,0.48,0.46
0.45,0.46,0.47,0.45
0.46,0.44,0.46,0.43
0.45,0.45,0.46,0.45
0.45,0.44,0.47,0.44
0.45,0.45,0.46,0.44
0.45,0.46,0.46,0.45
0.45,0.48,0.49,0.45
0.48,0.47,0.49,0.46
0.47,0.46,0.47,0.46
0.46,0.46,0.47,0.46
0.46,0.47,0.48,0.46
0.46,0.46,0.47,0.46
0.46,0.47,0.47,0.46
0.46,0.46,0.47,0.46
0.46,0.46,0.47,0.45
0.46,0.47,0.48,0.45
0.48,0.47,0.48,0.46
0.48,0.51,0.51,0.48
0.50,0.59,0.60,0.50
0.59,0.54,0.59,0.52
0.53,0.53,0.54,0.51
0.56,0.56,0.56,0.50
0.56,0.53,0.56,0.52
0.51,0.50,0.53,0.50
0.50,0.54,0.54,0.50
0.54,0.51,0.54,0.51
0.55,0.57,0.59,0.55
0.59,0.52,0.60,0.52
0.54,0.55,0.56,0.52
0.52,0.51,0.54,0.50
0.53,0.53,0.55,0.51
0.53,0.51,0.54,0.51
0.50,0.54,0.54,0.50
0.53,0.52,0.53,0.52
0.51,0.51,0.52,0.51
0.51,0.51,0.52,0.50
0.50,0.50,0.52,0.50
0.50,0.46,0.52,0.46
0.47,0.46,0.48,0.45
0.47,0.47,0.48,0.46
0.46,0.48,0.49,0.46
0.49,0.49,0.49,0.46
0.49,0.48,0.49,0.48
0.49,0.46,0.49,0.46
0.46,0.47,0.48,0.46
0.46,0.46,0.48,0.46
0.50,0.48,0.50,0.47
0.49,0.49,0.49,0.48
0.49,0.46,0.49,0.44
0.48,0.48,0.48,0.47
0.48,0.48,0.48,0.47
0.47,0.48,0.48,0.47
0.51,0.53,0.57,0.51
0.55,0.50,0.55,0.50
0.52,0.50,0.52,0.50
0.50,0.49,0.51,0.49
0.49,0.51,0.51,0.49
0.49,0.50,0.51,0.49
0.50,0.53,0.54,0.50
0.53,0.56,0.56,0.52
0.56,0.62,0.62,0.53
0.61,0.65,0.67,0.58
0.66,0.64,0.66,0.61
0.65,0.63,0.66,0.61
0.63,0.60,0.64,0.59
0.59,0.58,0.60,0.56
0.57,0.58,0.60,0.56
0.58,0.59,0.59,0.57
0.62,0.61,0.66,0.60
0.60,0.61,0.62,0.59
0.62,0.61,0.63,0.61
0.63,0.59,0.63,0.59
0.60,0.58,0.61,0.58
0.58,0.59,0.59,0.57
0.59,0.58,0.60,0.58
0.58,0.57,0.59,0.57
0.57,0.62,0.62,0.55
0.60,0.59,0.60,0.54
0.60,0.61,0.61,0.58
0.62,0.59,0.62,0.58
0.58,0.57,0.59,0.57
0.60,0.58,0.60,0.56
0.56,0.57,0.59,0.56
0.58,0.57,0.59,0.56
0.59,0.57,0.59,0.56
0.56,0.58,0.58,0.56
0.56,0.52,0.58,0.49
0.51,0.50,0.53,0.50
0.51,0.53,0.53,0.51
0.52,0.53,0.53,0.52
0.53,0.53,0.53,0.51
0.53,0.52,0.53,0.51
0.53,0.52,0.53,0.51
0.52,0.52,0.53,0.50
0.51,0.51,0.52,0.50
0.50,0.51,0.52,0.50
0.50,0.49,0.50,0.48
0.48,0.50,0.50,0.48
0.49,0.50,0.50,0.48
0.50,0.50,0.50,0.49
0.48,0.50,0.50,0.48
0.49,0.50,0.50,0.49
0.49,0.50,0.50,0.49
0.49,0.49,0.50,0.49
0.49,0.50,0.50,0.49
0.49,0.49,0.50,0.48
0.49,0.49,0.49,0.48
0.49,0.47,0.49,0.46
0.47,0.45,0.47,0.45
0.45,0.46,0.47,0.45
0.46,0.48,0.49,0.46
0.47,0.47,0.48,0.46
0.46,0.47,0.47,0.45
0.46,0.47,0.47,0.46
0.46,0.46,0.48,0.45
0.45,0.47,0.47,0.45
0.46,0.47,0.47,0.46
0.46,0.46,0.47,0.45
0.45,0.47,0.47,0.45
0.45,0.50,0.50,0.45
0.49,0.50,0.52,0.48
0.51,0.53,0.54,0.50
0.53,0.52,0.53,0.50
0.52,0.57,0.57,0.51
0.56,0.59,0.62,0.56
0.59,0.55,0.59,0.53
0.61,0.58,0.62,0.57
0.60,0.57,0.61,0.55
0.58,0.56,0.60,0.56
0.58,0.55,0.59,0.54
0.55,0.55,0.57,0.55
0.55,0.58,0.58,0.54
0.58,0.56,0.59,0.55
0.56,0.57,0.58,0.54
0.57,0.55,0.57,0.54
0.55,0.55,0.56,0.55
0.55,0.56,0.57,0.55
0.56,0.57,0.58,0.55
0.56,0.56,0.58,0.56
0.56,0.56,0.58,0.56
0.56,0.57,0.59,0.55
0.56,0.58,0.60,0.56
0.58,0.58,0.59,0.57
0.59,0.63,0.65,0.58
0.64,0.61,0.64,0.60
0.60,0.58,0.60,0.56
0.59,0.57,0.60,0.57
0.56,0.56,0.58,0.55
0.57,0.55,0.58,0.54
0.57,0.56,0.57,0.53
0.55,0.54,0.57,0.53
0.54,0.54,0.55,0.53
0.54,0.55,0.55,0.53
0.55,0.55,0.56,0.53
0.55,0.55,0.56,0.54
0.55,0.56,0.58,0.55
0.56,0.54,0.56,0.53
0.54,0.55,0.55,0.54
0.54,0.51,0.55,0.51
0.51,0.49,0.51,0.47
0.49,0.48,0.51,0.45
0.46,0.50,0.50,0.46
0.50,0.48,0.50,0.48
0.47,0.46,0.48,0.45
0.46,0.44,0.46,0.43
0.45,0.44,0.46,0.44
0.45,0.45,0.46,0.44
0.45,0.45,0.45,0.44
0.45,0.44,0.45,0.44
0.44,0.43,0.44,0.42
0.42,0.42,0.43,0.42
0.42,0.42,0.43,0.42
0.42,0.42,0.43,0.42
0.42,0.42,0.43,0.41
0.41,0.42,0.43,0.41
0.42,0.42,0.42,0.41
0.42,0.41,0.42,0.40
0.41,0.39,0.41,0.38
0.37,0.37,0.39,0.36
0.39,0.38,0.39,0.36
0.38,0.38,0.39,0.37
0.38,0.38,0.39,0.37
0.38,0.38,0.38,0.37
0.37,0.38,0.41,0.36
0.38,0.38,0.39,0.36
0.38,0.39,0.39,0.37
0.39,0.39,0.39,0.38
0.40,0.41,0.41,0.38
0.41,0.40,0.42,0.39
0.41,0.39,0.41,0.38
0.39,0.40,0.40,0.39
0.39,0.39,0.40,0.39
0.39,0.39,0.40,0.38
0.38,0.37,0.39,0.36
0.36,0.37,0.37,0.35
0.37,0.37,0.38,0.37
0.37,0.37,0.38,0.37
0.38,0.36,0.38,0.36
0.36,0.36,0.36,0.35
0.36,0.36,0.37,0.35
0.35,0.36,0.37,0.35
0.35,0.36,0.37,0.35
0.36,0.36,0.37,0.36
3.36,3.90,4.05,3.36
3.80,3.94,3.97,3.76
3.85,3.89,3.95,3.76
3.88,3.78,3.90,3.78
3.80,3.88,3.90,3.80
3.85,3.94,3.94,3.78
3.85,4.20,4.40,3.84
4.32,4.56,4.64,4.23
4.61,4.86,5.31,4.57
5.18,4.63,5.23,4.61
4.63,4.35,4.71,4.25
4.35,4.34,4.45,3.99
4.29,4.28,4.44,4.12
4.21,4.38,4.44,4.20
4.30,4.63,4.64,4.25
4.51,4.82,4.85,4.51
4.80,4.74,4.85,4.56
4.69,4.73,5.20,4.23
4.70,4.48,4.70,4.45
4.47,4.08,4.48,4.04
4.00,4.10,4.19,4.00
4.12,4.13,4.20,4.08
4.07,4.09,4.19,4.02
4.01,3.45,4.08,3.43
3.51,3.15,3.55,3.07
3.15,3.27,3.35,3.15
3.32,3.33,3.35,3.18
3.34,3.35,3.37,3.28
3.33,3.48,3.50,3.33
3.40,3.35,3.54,3.34
3.35,3.33,3.44,3.31
3.33,3.26,3.37,3.24
3.24,3.04,3.24,3.02
3.02,3.06,3.11,3.02
3.06,2.91,3.07,2.91
2.95,2.83,3.02,2.81
2.77,2.67,2.81,2.59
2.63,2.90,2.91,2.63
2.87,2.98,3.10,2.87
2.98,2.82,3.09,2.80
2.78,2.84,2.90,2.77
2.87,2.87,2.91,2.79
2.83,2.95,2.99,2.82
2.95,3.06,3.10,2.95
3.00,3.13,3.25,2.99
3.10,3.12,3.19,3.02
3.07,3.18,3.19,3.02
3.18,3.09,3.18,3.08
3.08,3.11,3.20,3.07
3.07,3.16,3.18,3.05
3.12,3.23,3.29,3.11
3.20,3.20,3.25,3.13
3.24,3.20,3.24,3.14
3.19,3.15,3.23,3.14
3.20,3.27,3.32,3.18
3.25,3.27,3.36,3.23
3.26,3.30,3.30,3.17
3.30,3.24,3.30,3.17
3.24,3.24,3.28,3.17
3.23,3.15,3.24,3.10
3.14,3.14,3.19,3.10
3.11,2.85,3.11,2.82
2.84,2.83,2.92,2.79
2.82,2.83,2.90,2.82
2.88,2.94,2.99,2.84
2.94,3.07,3.12,2.93
3.00,3.07,3.12,2.90
3.06,3.01,3.06,2.99
2.99,2.84,2.99,2.83
2.84,2.84,2.86,2.76
2.79,2.92,3.05,2.79
2.93,2.66,2.96,2.63
2.65,2.64,2.72,2.60
2.64,2.59,2.65,2.55
2.61,2.36,2.61,2.31
2.35,2.36,2.48,2.20
2.04,2.10,2.26,2.01
2.10,2.27,2.27,2.00
2.23,2.10,2.26,2.10
2.07,2.17,2.19,2.02
2.23,2.33,2.39,2.19
2.32,2.41,2.47,2.32
2.36,2.46,2.48,2.35
2.45,2.77,2.77,2.37
2.71,2.75,2.81,2.57
2.67,2.78,2.92,2.67
2.84,2.80,2.95,2.72
2.79,2.78,2.79,2.71
2.75,2.80,2.80,2.75
2.83,2.75,2.90,2.73
2.72,2.76,2.79,2.70
2.78,2.87,2.89,2.75
2.85,2.92,2.93,2.81
2.93,2.76,2.95,2.61
2.76,2.78,2.80,2.75
2.70,2.76,2.77,2.70
2.68,2.77,2.77,2.68
2.81,2.82,2.87,2.75
2.82,2.80,2.85,2.75
2.74,2.83,2.87,2.72
2.82,2.85,2.93,2.80
2.89,2.96,2.99,2.86
2.98,3.04,3.05,2.90
3.05,2.98,3.05,2.96
3.00,2.97,3.02,2.92
2.88,2.73,2.88,2.65
2.77,2.86,2.87,2.73
2.85,2.85,2.90,2.80
2.73,2.90,2.90,2.73
2.86,2.85,2.90,2.79
2.88,2.87,2.88,2.83
2.89,2.85,2.89,2.85
2.83,2.85,2.86,2.81
3.24,2.85,3.24,2.80
2.89,2.89,2.89,2.80
2.84,2.85,2.86,2.74
2.75,2.86,2.86,2.74
2.85,2.88,2.88,2.81
2.84,2.95,2.99,2.84
2.98,2.95,2.98,2.86
2.96,2.98,2.98,2.90
2.94,2.98,2.98,2.90
2.99,2.96,2.99,2.92
2.92,2.98,2.98,2.88
2.99,3.08,3.10,2.97
3.09,3.03,3.09,3.01
3.04,3.09,3.09,2.95
3.09,3.06,3.09,3.02
3.06,3.10,3.10,3.00
3.06,3.12,3.15,3.06
3.12,3.31,3.32,3.12
3.33,3.36,3.43,3.31
3.38,3.15,3.49,3.15
3.20,3.12,3.24,3.06
3.10,3.11,3.15,3.08
3.10,3.18,3.18,3.10
3.08,3.07,3.18,3.00
3.09,3.09,3.14,3.01
3.15,3.07,3.16,3.02
3.07,3.04,3.08,3.00
3.02,2.94,3.06,2.85
2.88,2.90,2.95,2.88
2.90,2.84,2.90,2.79
2.64,2.67,2.75,2.59
2.66,2.82,2.90,2.65
2.78,2.78,2.78,2.73
2.75,2.75,2.77,2.72
2.75,2.76,2.81,2.73
2.72,2.75,2.76,2.68
2.74,2.75,2.78,2.70
2.71,2.75,2.80,2.65
2.73,2.75,2.85,2.73
2.72,2.76,2.79,2.72
2.72,2.76,2.77,2.72
2.82,2.63,2.82,2.61
2.65,2.81,2.93,2.65
2.93,2.75,2.93,2.71
2.72,2.72,2.82,2.62
2.72,2.75,2.77,2.65
2.71,2.75,2.78,2.68
2.72,2.80,2.80,2.71
2.79,2.72,2.79,2.71
2.70,2.72,2.75,2.70
2.73,2.73,2.77,2.71
2.71,2.72,2.75,2.68
2.71,2.75,2.75,2.70
2.72,2.72,2.80,2.72
2.73,2.75,2.76,2.70
2.74,2.78,2.78,2.71
2.76,2.66,2.76,2.66
2.71,2.65,2.74,2.55
