WAT,Waters Corporation Common Stock,NASDAQ
62.50,61.63,62.60,61.43
61.43,60.79,61.73,60.72
60.71,60.90,61.19,60.45
60.96,61.16,61.54,60.64
60.90,61.21,61.79,60.42
61.28,62.43,62.73,61.28
62.39,62.49,62.68,61.93
62.57,62.61,62.90,62.27
62.35,62.15,62.45,61.94
62.16,60.76,62.16,60.68
60.89,61.64,61.67,60.89
61.56,60.84,61.94,60.02
60.75,59.24,61.23,59.08
59.20,59.49,60.37,59.08
59.92,59.23,59.92,58.88
59.22,58.04,59.22,57.44
57.98,57.85,58.23,57.39
57.87,57.82,58.22,57.35
58.03,56.98,58.69,56.97
57.22,57.18,57.61,56.40
57.18,58.03,58.14,56.90
57.78,57.86,58.17,57.55
57.43,56.18,57.63,56.03
56.31,57.47,57.56,55.97
57.37,57.87,58.96,57.33
58.51,58.20,59.00,57.90
57.98,57.51,58.28,57.16
57.65,57.88,57.97,57.09
57.65,58.26,58.38,57.54
58.52,58.90,58.99,57.85
59.25,58.92,59.29,58.58
58.77,59.14,59.24,58.77
59.02,58.78,59.10,58.36
58.82,59.22,61.54,58.21
59.12,58.71,59.57,58.60
59.04,59.31,59.56,58.89
58.84,59.91,60.01,58.05
60.03,59.66,60.25,59.15
59.97,61.70,62.22,59.92
61.96,62.08,62.43,61.55
62.10,62.24,62.93,61.84
62.05,61.62,62.49,61.35
61.89,64.21,64.45,61.70
64.03,63.60,64.10,63.48
63.42,64.04,64.75,63.15
63.94,65.07,65.21,63.73
64.99,65.33,65.71,64.83
65.47,64.84,65.57,64.39
64.83,64.55,64.96,64.30
64.59,65.07,65.24,64.38
65.29,65.42,65.67,65.00
65.66,66.01,66.61,65.54
65.06,65.06,66.19,64.93
64.97,65.45,65.97,64.75
65.63,66.82,66.82,65.40
66.49,66.91,66.93,65.89
67.25,66.98,68.26,66.88
67.04,66.79,67.51,66.53
66.88,67.55,67.64,66.88
67.48,67.89,68.33,67.32
67.62,67.54,67.75,67.04
67.73,67.85,68.64,67.21
68.16,67.99,68.44,67.81
67.85,67.82,68.02,67.52
67.81,67.34,67.81,67.08
67.10,67.73,67.73,66.30
