DGLY,Digital Ally,NASDAQ
2.16,2.89,2.96,2.14
2.94,2.82,3.25,2.58
2.97,2.79,2.97,2.71
2.94,2.76,2.94,2.71
2.76,2.80,2.81,2.72
2.82,2.79,2.94,2.71
2.78,2.69,2.78,2.65
2.65,2.53,2.77,2.48
2.55,2.54,2.55,2.48
2.58,2.46,2.58,2.37
2.42,2.55,2.57,2.37
2.52,2.56,2.57,2.37
2.52,2.47,2.55,2.45
2.43,2.40,2.48,2.39
2.37,2.44,2.45,2.37
2.40,2.37,2.40,2.35
2.34,2.35,2.42,2.29
2.30,2.21,2.30,2.18
2.22,2.22,2.25,2.20
2.24,2.37,2.38,2.24
2.32,2.33,2.44,2.10
2.33,2.30,2.35,2.30
2.27,2.18,2.27,2.18
2.20,2.16,2.20,2.08
2.45,2.20,2.45,2.13
2.19,2.22,2.26,2.10
2.34,2.15,2.34,2.10
2.10,2.10,2.13,1.99
2.02,2.13,2.14,2.01
2.14,2.13,2.14,2.05
2.10,2.03,2.17,2.03
2.05,2.07,2.15,2.00
2.13,2.15,2.20,2.05
2.20,2.10,2.20,2.02
2.15,2.13,2.20,2.12
2.15,2.17,2.23,2.15
2.25,2.10,2.25,2.07
2.25,2.30,2.30,2.17
2.36,2.32,2.43,2.30
2.31,2.30,2.34,2.26
2.31,2.23,2.31,2.20
2.24,2.22,2.29,2.22
2.24,2.27,2.35,2.23
2.24,2.29,2.36,2.20
2.33,2.22,2.33,2.16
2.19,2.23,2.28,2.17
2.27,2.08,2.28,2.00
2.08,2.05,2.12,2.05
2.05,2.08,2.20,2.00
2.10,2.08,2.10,2.03
2.08,2.10,2.10,2.08
2.06,2.08,2.10,2.06
2.15,2.15,2.15,2.01
2.16,2.17,2.20,2.10
2.20,1.82,2.20,1.82
1.90,1.86,1.92,1.85
1.88,1.82,1.88,1.82
1.81,1.87,1.87,1.81
1.92,1.79,1.92,1.79
1.80,1.81,1.84,1.80
1.81,1.85,1.85,1.80
1.85,1.83,1.85,1.77
1.80,1.79,1.84,1.78
1.78,1.81,1.84,1.78
1.80,1.79,1.82,1.77
1.78,1.77,1.82,1.75
1.74,1.79,1.82,1.73
1.76,1.76,1.82,1.75
1.75,1.74,1.76,1.69
1.77,1.79,1.83,1.75
1.82,1.80,1.82,1.75
1.76,1.77,1.79,1.75
1.80,1.76,1.80,1.75
1.76,1.86,1.86,1.75
1.89,1.82,1.90,1.80
2.10,2.10,2.20,1.90
2.14,2.00,2.14,1.95
2.01,1.94,2.10,1.90
1.95,1.94,2.00,1.91
1.94,1.97,2.00,1.94
1.94,2.12,2.12,1.94
2.10,2.03,2.10,1.99
2.02,2.09,2.16,1.96
2.10,2.06,2.10,2.03
2.05,2.04,2.09,1.99
1.98,1.95,2.47,1.88
2.00,2.10,2.15,2.00
2.12,2.19,2.25,2.12
2.18,2.22,2.23,2.17
2.19,2.30,2.35,2.19
2.34,2.22,2.34,2.18
2.22,2.28,2.31,2.16
2.35,2.31,2.35,2.24
2.31,2.20,2.34,2.17
2.17,2.15,2.20,2.15
2.15,2.09,2.28,2.06
2.09,2.10,2.13,2.02
2.10,2.14,2.16,2.10
2.14,2.13,2.14,2.05
2.14,2.04,2.18,2.01
2.06,2.12,2.17,2.06
2.15,2.20,2.20,2.13
2.24,2.19,2.24,2.05
2.11,2.15,2.19,2.11
2.11,2.21,2.21,2.11
2.10,2.15,2.20,2.10
2.12,2.10,2.16,2.10
2.10,2.04,2.12,2.02
2.05,2.05,2.09,2.00
2.04,2.14,2.15,2.04
2.09,2.21,2.23,2.09
2.27,2.22,2.27,2.18
2.21,2.20,2.25,2.20
2.20,2.16,2.23,2.13
2.15,2.18,2.20,2.14
2.18,2.10,2.18,2.10
2.10,2.20,2.28,2.10
2.17,2.14,2.17,2.10
2.17,2.13,2.20,2.09
2.09,2.11,2.14,2.09
2.10,2.11,2.34,2.10
2.15,2.17,2.20,2.14
2.13,2.26,2.29,2.11
2.29,2.12,2.29,2.12
2.11,2.10,2.17,2.04
2.12,2.09,2.12,2.05
2.09,2.06,2.09,2.04
2.00,2.02,2.09,1.99
2.02,2.07,2.07,2.02
2.04,1.98,2.04,1.95
2.02,1.94,2.02,1.94
1.93,2.06,2.06,1.93
2.04,2.06,2.06,2.00
2.07,1.99,2.07,1.99
2.00,1.99,2.04,1.98
1.99,1.96,2.02,1.92
1.97,1.92,1.97,1.91
1.98,1.93,2.00,1.93
1.93,1.98,2.00,1.93
1.99,2.01,2.01,1.90
1.96,1.90,1.96,1.90
1.96,1.98,1.98,1.93
1.97,1.95,2.00,1.94
1.97,1.97,2.04,1.96
1.98,1.92,1.98,1.92
1.92,1.96,1.99,1.92
1.96,1.96,1.96,1.96
2.08,1.94,2.08,1.94
1.94,1.99,2.00,1.93
1.96,1.95,1.98,1.94
2.00,1.95,2.00,1.94
1.97,1.90,1.97,1.90
1.88,1.88,1.95,1.88
1.88,1.85,1.95,1.85
1.87,1.90,1.92,1.87
1.89,1.80,1.90,1.80
1.79,1.78,1.85,1.76
1.76,1.77,1.80,1.70
1.72,1.72,1.80,1.71
1.74,1.78,1.81,1.74
1.78,1.80,1.83,1.78
1.73,1.78,1.80,1.73
1.75,1.79,1.80,1.74
1.85,1.76,1.85,1.75
1.85,1.79,1.85,1.75
1.76,1.78,1.80,1.74
1.80,1.74,1.80,1.74
1.80,1.74,1.80,1.74
1.75,1.72,1.79,1.71
1.78,1.69,1.78,1.51
1.68,1.67,1.68,1.65
1.68,1.69,1.70,1.63
1.70,1.66,1.71,1.65
1.70,1.70,1.70,1.68
1.68,1.69,1.74,1.65
1.68,1.68,1.69,1.67
1.68,1.68,1.70,1.67
1.68,1.70,1.70,1.68
1.72,1.65,1.72,1.65
1.65,1.67,1.70,1.65
1.68,1.68,1.68,1.65
