BCH,Banco De Chile Banco De Chile ADS,NASDAQ
52.54,53.71,53.84,52.22
53.46,53.98,53.98,53.38
54.21,56.22,56.44,54.21
56.56,58.55,58.56,56.23
58.55,57.80,58.64,57.67
58.01,57.45,58.40,55.55
57.45,56.70,57.45,56.15
57.02,58.57,58.57,56.50
58.11,57.78,59.12,57.48
57.89,58.74,59.08,57.68
59.87,60.87,61.09,59.22
60.45,61.47,62.06,59.97
61.41,59.07,61.64,58.21
59.38,57.18,59.38,56.70
57.38,57.24,57.96,56.74
54.74,56.69,57.18,54.74
55.54,53.43,55.68,52.78
53.80,52.61,54.00,51.58
53.36,54.00,54.76,53.36
54.54,54.04,55.11,53.45
55.52,55.36,55.98,54.69
53.76,55.47,55.57,53.76
55.15,52.51,55.15,52.49
53.21,53.41,53.76,52.21
53.82,54.99,57.19,53.68
55.97,56.76,57.56,55.82
57.21,56.81,57.71,56.35
57.13,58.97,58.97,56.88
58.97,59.33,59.75,58.48
59.33,58.64,59.61,58.64
59.18,59.47,59.62,58.80
58.88,58.99,59.49,57.86
59.05,59.32,59.38,58.64
59.41,59.64,60.23,59.13
58.84,58.71,60.86,58.71
58.81,58.01,59.27,58.01
58.01,58.01,59.75,57.58
58.43,60.59,60.60,58.43
58.34,59.09,59.60,58.11
59.57,60.94,61.21,59.20
61.20,60.25,61.49,59.62
60.80,61.70,62.25,60.80
62.25,61.35,62.25,60.70
61.67,62.44,62.55,61.67
62.44,62.12,63.20,61.71
62.69,62.38,62.91,61.67
62.06,62.94,63.30,62.06
63.34,62.95,63.43,62.81
63.23,62.79,63.93,62.36
63.34,62.15,63.34,62.15
58.76,57.74,59.12,57.18
58.44,57.98,58.44,57.12
57.98,57.34,57.98,55.34
56.84,57.34,58.58,56.21
57.37,57.18,57.67,56.94
56.93,56.41,56.93,56.17
56.38,56.98,57.42,56.27
57.18,55.68,57.18,55.29
56.28,56.10,56.52,55.47
56.21,56.69,56.97,56.13
56.88,56.55,57.96,56.54
55.71,57.18,57.48,55.71
58.15,58.45,58.87,57.51
58.66,59.07,59.17,58.49
59.42,58.74,59.54,58.55
58.30,60.24,60.55,58.30
60.77,60.67,61.07,60.04
60.67,60.60,60.75,59.87
60.79,61.01,61.23,60.56
61.50,61.40,61.79,60.78
61.18,60.89,61.18,60.55
60.40,60.24,61.58,59.38
59.74,59.19,60.03,58.68
59.68,59.74,60.41,59.24
59.76,60.36,61.26,59.53
60.35,60.21,60.73,59.51
60.70,60.89,61.19,59.68
60.70,59.68,60.79,59.66
61.90,58.70,61.90,58.00
59.13,59.19,61.08,58.64
60.15,60.81,61.19,60.15
60.89,60.76,61.77,60.66
61.71,63.53,63.53,59.72
62.72,59.18,62.72,59.14
57.20,58.66,59.63,57.18
58.69,57.23,58.96,56.69
56.70,56.41,57.63,55.28
58.42,58.67,59.43,56.91
58.52,58.47,59.01,58.23
59.01,58.57,59.49,58.53
58.06,58.10,58.81,57.59
57.31,57.38,58.31,56.37
57.25,56.15,57.84,55.71
56.28,56.20,57.26,55.81
55.72,57.47,57.47,54.73
57.25,56.51,57.25,55.32
56.16,56.12,56.57,55.48
56.17,56.59,57.18,56.17
55.22,54.98,55.60,54.28
55.02,56.08,57.23,55.02
56.21,57.91,58.16,56.21
57.59,56.81,58.15,56.79
56.81,58.03,58.99,56.81
58.60,59.54,59.54,58.60
59.92,59.61,60.40,59.16
59.22,58.22,59.22,58.10
58.07,57.45,58.56,57.44
57.29,58.12,58.41,57.26
58.89,58.64,59.54,58.57
59.28,60.11,60.11,59.28
59.60,61.07,61.07,59.11
64.51,60.23,64.51,59.14
60.88,60.84,60.91,60.48
60.84,62.31,62.31,60.51
62.86,61.80,62.86,61.09
61.50,60.11,61.72,60.11
61.01,62.33,62.49,61.01
62.80,62.16,62.80,61.68
62.47,61.10,62.47,60.83
60.99,61.96,61.96,60.60
61.77,62.93,63.23,61.77
64.70,64.15,64.70,62.47
63.04,60.26,63.04,60.26
60.26,58.35,61.31,58.35
58.00,59.62,59.90,57.85
59.47,60.95,60.95,59.01
61.63,61.76,64.74,61.30
62.18,62.55,63.06,62.15
63.11,62.89,64.58,62.28
63.31,65.00,65.00,63.18
65.88,64.20,65.88,63.61
64.90,68.40,68.40,64.90
67.54,68.91,69.93,67.02
68.91,68.45,68.92,67.98
68.42,68.50,70.37,68.12
68.43,70.62,70.70,67.93
70.39,71.99,72.40,69.40
72.91,72.72,73.70,71.85
73.89,72.35,74.53,70.71
72.90,72.82,73.36,71.83
74.05,74.27,74.70,72.34
74.92,73.39,74.92,72.91
74.52,72.33,74.52,71.60
72.33,73.39,74.28,72.33
72.72,73.95,74.51,71.46
75.26,75.37,76.22,74.75
76.97,75.45,77.10,75.19
75.01,78.19,78.56,75.01
78.19,78.18,79.06,76.58
78.44,78.93,79.12,77.15
81.90,79.16,81.90,78.91
79.49,78.87,80.15,78.39
78.13,75.75,78.13,74.96
76.67,76.50,76.67,75.03
76.50,77.34,78.61,76.50
77.34,78.17,78.84,76.92
78.29,77.37,78.44,76.68
77.39,77.03,78.57,76.98
76.23,74.93,77.18,74.11
74.71,75.57,75.57,73.70
75.50,76.15,76.48,75.04
75.58,76.24,76.61,75.07
76.18,74.76,76.18,74.07
75.49,75.68,76.24,75.49
76.61,76.34,77.09,75.97
76.93,77.73,78.58,76.93
79.17,79.31,79.31,77.97
80.54,79.33,80.83,78.22
79.51,79.06,79.51,78.32
79.99,80.13,80.15,78.19
79.64,78.01,79.64,77.51
78.90,78.33,79.18,77.98
79.17,79.46,79.76,78.56
80.05,81.24,81.24,79.63
82.37,81.41,82.37,81.08
82.36,84.74,86.00,81.99
85.09,85.75,85.95,84.57
86.01,84.93,86.74,84.30
86.50,82.44,86.50,82.40
82.99,84.11,84.91,82.93
84.75,85.34,86.64,84.75
86.10,85.03,86.11,84.44
84.89,84.77,85.09,83.87
84.72,86.40,87.17,84.72
86.99,87.50,89.19,86.30
87.50,87.57,88.17,87.28
87.52,88.16,88.16,86.72
86.75,87.83,87.83,86.01
87.74,89.07,89.81,87.40
90.01,85.95,90.01,85.52
87.20,87.66,89.74,85.98
88.36,86.65,88.36,86.50
86.90,85.09,87.31,84.79
84.81,85.63,85.73,84.78
86.06,85.47,86.23,84.65
86.40,87.87,87.87,86.26
89.05,90.23,90.23,87.83
90.69,90.16,90.69,88.00
