KOSS,Koss Corporation - Common Stock,NASDAQ
5.38,5.38,5.38,5.38
5.31,5.35,5.50,5.30
5.34,5.30,5.34,5.25
5.49,5.33,5.58,5.32
5.38,5.48,5.59,5.37
5.36,5.40,5.40,5.36
5.40,5.40,5.40,5.40
5.40,5.36,5.59,5.32
5.58,5.38,5.59,5.38
5.38,5.38,5.38,5.38
5.58,5.56,5.58,5.51
5.56,5.56,5.56,5.56
5.47,5.39,5.47,5.35
5.39,5.39,5.39,5.39
5.55,5.55,5.55,5.50
5.56,5.66,5.75,5.45
5.75,5.49,5.75,5.49
5.50,5.50,5.56,5.49
5.54,5.47,5.72,5.47
5.70,5.53,5.71,5.50
5.45,5.42,5.45,5.31
5.41,5.43,5.43,5.32
5.44,5.28,5.45,5.28
5.35,5.35,5.35,5.31
5.56,5.32,5.74,5.32
5.34,5.11,5.34,5.11
5.15,5.25,5.25,5.15
5.74,5.39,5.74,5.18
5.30,5.29,5.62,5.15
5.23,5.26,5.26,5.18
5.25,5.31,5.31,5.21
5.20,5.15,5.33,5.15
5.35,5.18,5.35,5.13
5.36,5.04,5.36,5.04
5.20,5.01,5.20,5.01
5.01,5.00,5.14,5.00
5.02,5.07,5.14,5.02
5.13,5.14,5.15,5.10
5.10,5.02,5.10,5.02
5.13,4.99,5.15,4.98
4.95,5.08,5.09,4.95
4.98,4.89,5.08,4.85
4.89,4.60,5.02,4.60
4.88,5.19,5.21,4.61
5.00,5.07,5.30,4.80
5.13,5.09,5.13,4.94
5.15,5.16,5.25,5.10
5.10,4.97,5.19,4.97
4.96,5.04,5.14,4.64
4.99,4.79,5.00,4.79
5.04,4.80,5.04,4.73
4.73,4.99,4.99,4.73
4.90,4.86,4.94,4.86
5.03,5.00,5.13,4.91
4.90,5.30,5.38,4.90
5.19,5.41,5.42,5.19
5.24,5.25,5.25,5.13
5.22,5.32,5.41,5.22
5.21,5.42,5.42,5.21
5.44,5.35,5.44,5.35
5.40,5.43,5.43,5.35
5.25,5.50,5.50,5.25
5.48,5.50,5.50,5.40
5.50,5.59,5.59,5.48
5.59,5.61,5.65,5.59
5.63,5.64,5.64,5.60
5.60,5.45,5.60,5.26
5.68,5.95,6.13,5.51
5.95,5.95,5.95,5.80
5.81,5.91,5.91,5.75
5.82,5.94,5.94,5.82
5.77,5.76,5.77,5.76
5.75,5.86,5.86,5.75
5.92,5.92,5.95,5.76
5.95,5.95,5.95,5.89
5.98,5.99,6.00,5.97
5.75,5.94,5.94,5.75
6.00,6.00,6.00,6.00
6.03,6.05,6.05,5.83
6.05,6.07,6.12,6.03
6.11,6.50,6.50,6.11
6.50,6.68,6.70,6.20
6.67,6.65,6.70,6.63
6.64,7.00,7.00,6.51
6.89,7.00,7.00,6.75
7.00,6.95,7.00,6.91
7.00,6.80,7.00,6.80
6.90,7.10,7.10,6.75
7.10,6.90,7.20,6.90
6.96,6.80,6.96,6.45
6.70,6.65,6.70,6.65
6.99,7.20,7.20,6.75
7.08,6.92,7.15,6.84
6.92,7.03,7.14,6.90
7.10,7.00,7.14,6.90
7.01,7.30,7.30,7.01
7.30,7.25,7.81,7.25
7.25,7.48,7.64,7.25
7.46,7.50,7.57,7.46
7.54,7.38,7.59,7.33
7.37,7.27,7.52,7.26
7.25,7.25,7.28,7.25
7.32,7.35,7.50,7.16
7.34,7.31,7.34,7.05
7.29,7.15,7.29,7.15
7.30,7.14,7.30,7.05
7.25,7.25,7.25,7.25
7.35,7.44,7.44,7.25
7.36,7.40,7.49,7.36
7.60,7.40,7.60,7.25
7.49,7.19,7.49,7.19
7.45,7.34,7.50,7.15
7.35,7.25,7.35,7.25
7.15,7.21,7.25,7.15
7.30,7.55,7.55,7.14
7.53,7.41,7.53,7.36
7.54,7.51,7.54,7.51
7.54,7.49,7.54,7.29
7.33,7.25,7.50,7.25
7.32,7.32,7.32,7.32
7.44,7.16,7.44,7.15
7.41,7.26,7.42,7.20
7.16,7.15,7.16,7.14
7.10,6.60,7.10,6.60
6.68,6.70,6.76,6.60
6.70,6.82,7.04,6.70
6.75,6.79,6.79,6.73
7.15,6.99,7.19,6.92
7.12,6.87,7.12,6.86
6.87,6.87,6.87,6.87
6.75,6.70,7.04,6.61
6.70,6.57,6.70,6.27
6.39,6.25,6.40,6.25
6.35,6.50,6.50,6.35
6.58,6.52,6.58,6.52
6.66,6.58,6.80,6.50
6.33,6.49,6.53,6.27
6.44,6.25,6.51,6.25
6.30,6.25,6.30,6.25
6.25,6.25,6.25,6.25
6.28,6.25,6.35,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.25,6.25,6.25,6.25
6.26,6.20,6.26,6.20
6.12,6.09,6.12,6.09
6.04,6.20,6.20,5.70
6.04,5.96,6.15,5.78
5.95,5.84,5.95,5.84
5.92,5.84,5.92,5.84
5.85,5.73,5.85,5.25
5.70,5.62,5.70,5.59
5.56,5.58,5.89,5.39
5.56,5.57,6.00,5.55
5.68,5.67,5.85,5.67
5.68,5.79,5.93,5.52
5.85,5.49,5.85,5.49
5.45,5.77,5.86,5.45
5.84,6.10,6.10,5.84
6.09,6.10,6.10,5.66
6.07,6.00,6.17,5.73
5.98,6.04,6.16,5.98
6.17,6.08,6.17,5.93
5.96,6.10,6.15,5.91
6.10,6.30,6.30,6.08
6.37,6.24,6.47,5.91
6.15,5.91,6.24,5.91
5.98,6.08,6.13,5.73
5.98,6.00,6.10,5.73
6.02,6.15,6.26,6.00
6.25,6.50,6.50,6.02
6.50,6.69,6.70,6.13
6.64,6.32,6.64,6.31
6.55,6.17,6.73,6.17
6.21,5.98,6.49,5.90
5.93,5.96,6.00,5.81
5.99,6.04,6.09,5.95
6.19,6.17,6.42,5.93
6.29,6.20,6.30,6.20
6.20,6.30,6.30,6.20
6.49,6.22,6.49,6.22
6.45,6.20,6.45,6.20
6.13,6.10,6.14,6.10
6.10,6.28,6.28,6.04
6.08,6.05,6.15,6.03
6.09,6.30,6.30,6.09
6.30,6.28,6.30,6.28
6.12,6.10,6.12,6.05
6.09,6.03,6.09,6.02
6.07,5.83,6.16,5.83
5.95,5.85,6.01,5.85
5.97,5.85,5.97,5.85
5.98,6.00,6.00,5.98
6.03,6.00,6.08,6.00
5.90,5.90,5.90,5.90
6.00,6.08,6.08,6.00
6.00,6.00,6.16,6.00
6.01,6.01,6.01,6.00
6.20,6.20,6.20,5.88
6.00,6.00,6.10,6.00
6.02,6.01,6.20,6.00
6.01,6.09,6.09,6.00
5.86,5.74,6.08,5.74
5.93,5.99,5.99,5.93
5.73,5.45,5.73,5.31
5.31,5.75,5.75,5.25
5.74,5.64,5.93,5.53
5.64,5.64,5.64,5.64
5.80,5.85,5.90,5.80
5.65,5.83,5.86,5.43
5.83,5.80,5.90,5.80
5.82,5.84,5.84,5.82
5.82,6.75,6.75,5.82
6.66,6.25,6.66,6.23
