WAB,Westinghouse Air Brake Technologies Corporation Common Stock,NASDAQ
41.35,41.72,41.94,41.23
41.54,41.73,41.86,41.36
41.70,41.99,42.54,41.55
42.01,42.03,42.24,41.58
41.92,42.71,42.95,41.92
43.02,42.30,43.32,42.08
42.07,41.95,42.33,41.67
42.14,42.32,42.35,41.53
42.04,41.67,42.46,41.58
41.71,40.74,41.76,40.41
40.71,40.73,40.82,40.04
40.41,40.29,40.59,39.68
40.29,39.84,40.77,39.60
39.89,39.50,40.08,39.35
40.00,39.24,40.00,39.14
39.00,38.77,39.37,38.68
38.73,38.77,38.92,38.09
38.80,37.80,38.93,37.75
37.62,38.33,39.08,37.62
38.50,38.46,39.02,38.30
38.35,38.63,39.08,38.27
38.32,38.03,38.53,37.76
37.70,36.89,37.76,36.72
36.86,37.00,37.09,36.16
37.08,37.02,37.26,36.55
37.64,37.30,37.87,37.15
37.12,37.02,37.41,36.70
37.01,37.71,37.95,36.84
37.34,37.65,37.76,36.81
38.11,38.07,38.34,37.71
38.06,38.41,38.42,37.99
38.51,39.10,39.29,38.22
39.04,39.23,39.54,39.00
39.29,39.36,39.51,39.08
38.04,38.67,39.25,37.69
38.64,37.74,38.89,37.32
37.41,38.17,38.23,36.97
38.15,38.14,38.35,37.82
38.25,38.90,39.26,38.20
39.00,39.14,39.26,38.80
39.16,39.34,39.46,38.83
39.50,39.49,39.88,39.18
39.70,40.13,40.23,39.58
40.02,40.29,40.39,39.97
40.19,41.06,41.13,40.14
40.93,41.61,41.71,40.83
41.48,41.96,41.96,41.22
42.06,42.60,42.62,41.91
42.41,42.77,42.85,42.28
42.96,43.33,43.44,42.80
43.53,43.68,43.90,43.34
42.63,43.28,43.69,42.63
42.63,42.63,43.44,42.43
42.40,43.14,43.37,42.27
43.29,44.13,44.19,43.09
43.96,43.87,44.13,43.75
44.15,43.52,44.54,43.48
43.60,43.40,43.87,43.19
43.62,43.42,43.75,43.28
43.53,42.76,43.53,42.69
42.55,42.12,42.73,42.06
42.40,42.65,42.75,42.28
42.95,43.71,43.72,42.74
43.60,43.35,43.70,43.14
42.14,41.48,42.14,41.11
41.38,42.20,42.29,41.23
42.34,42.60,42.69,41.92
42.60,42.95,43.06,42.55
42.85,43.41,43.43,42.74
43.57,46.23,46.35,43.57
45.98,47.14,47.25,45.80
46.83,47.43,47.71,46.82
47.31,47.57,47.62,46.98
47.65,47.52,48.22,47.18
47.75,48.39,48.70,47.66
47.73,48.93,49.04,47.69
48.90,50.14,50.14,48.90
49.94,50.42,50.88,49.94
50.28,48.52,50.48,48.45
47.80,47.67,48.50,47.40
47.90,48.46,48.51,47.71
48.63,47.58,49.55,47.49
47.94,48.78,49.05,47.87
48.13,47.25,48.17,46.89
46.81,46.40,47.33,46.15
46.04,45.20,46.84,42.73
44.77,44.10,45.28,43.52
45.91,46.91,46.93,45.64
46.45,47.14,47.50,46.11
47.25,49.48,49.62,47.16
49.20,48.84,49.70,48.65
48.61,46.91,48.61,46.47
47.00,46.45,47.63,45.45
47.11,45.70,47.25,45.67
45.59,44.62,45.93,43.66
43.54,42.94,43.88,42.49
42.26,43.46,44.24,41.91
43.40,42.86,43.83,42.72
41.66,42.31,42.36,41.12
42.70,42.28,43.52,42.10
43.20,44.13,44.13,42.92
44.13,43.35,44.13,42.73
42.92,41.96,43.59,41.93
42.18,43.04,43.05,41.85
43.01,44.07,44.16,43.01
42.59,41.96,43.45,41.79
42.21,40.80,42.21,40.75
40.81,41.22,41.40,40.38
41.64,41.60,42.95,41.43
42.50,43.32,43.54,42.50
42.68,43.31,43.82,42.46
43.65,43.56,44.43,43.42
43.93,44.79,44.88,43.70
44.53,44.68,45.09,44.36
