FTEK,Fuel Tech,NASDAQ
8.30,8.55,8.65,8.24
8.60,8.14,8.64,8.05
8.10,8.10,8.26,8.06
8.09,8.39,8.48,8.07
8.35,8.71,8.74,8.27
8.83,8.41,8.89,8.38
8.35,8.25,8.50,8.20
8.31,8.55,8.60,8.25
8.55,8.51,8.68,8.50
8.53,8.41,8.57,8.20
8.41,8.53,8.59,8.37
8.42,8.30,8.49,8.18
8.27,8.03,8.31,8.00
8.05,7.84,8.15,7.83
7.86,7.88,7.99,7.84
7.87,7.80,7.99,7.75
7.75,7.69,7.84,7.52
7.73,7.39,7.90,7.37
7.44,7.33,7.59,7.30
7.39,7.41,7.45,7.25
7.45,7.62,7.64,7.33
7.58,7.45,7.79,7.37
7.40,7.09,7.78,7.07
7.10,6.93,7.12,6.74
6.96,6.86,6.96,6.80
6.93,6.31,7.08,6.25
6.30,5.98,6.31,5.94
5.97,5.63,5.99,5.27
5.54,5.90,5.91,5.48
5.96,6.30,6.34,5.90
6.35,6.29,6.50,6.14
6.29,6.24,6.39,6.12
6.24,6.22,6.28,6.15
6.26,6.10,6.30,6.08
6.12,6.20,6.23,6.01
6.20,6.09,6.38,6.02
6.00,6.49,6.51,5.99
6.50,6.55,6.75,6.50
6.57,6.59,6.75,6.34
6.75,7.41,7.47,6.72
7.47,7.36,7.56,7.25
7.70,7.91,8.19,7.70
8.01,8.86,8.95,7.95
8.90,8.85,9.17,8.82
8.80,9.09,9.29,8.76
9.10,8.95,9.24,8.85
8.87,9.02,9.20,8.85
9.10,8.86,9.10,8.80
8.96,8.86,8.96,8.54
8.86,8.78,8.87,8.57
8.85,8.55,8.85,8.48
8.50,8.56,8.84,8.25
8.63,8.37,8.74,8.26
8.28,8.30,8.38,8.26
8.33,8.65,8.67,8.21
8.58,8.60,8.71,8.47
8.63,8.21,8.63,8.20
8.27,8.19,8.37,8.07
8.17,8.26,8.27,8.13
8.27,8.10,8.40,8.10
8.07,8.02,8.20,7.98
8.10,7.85,8.13,7.84
7.86,8.03,8.18,7.67
7.85,7.75,7.97,7.57
7.75,7.65,7.80,7.64
7.58,7.60,7.74,7.52
7.58,7.60,7.65,7.54
7.58,7.70,7.72,7.57
7.65,8.00,8.23,7.65
8.07,8.23,8.23,8.05
8.25,8.29,8.41,8.20
8.31,7.88,8.37,7.85
7.83,7.65,7.89,7.50
7.66,7.48,7.80,7.48
7.48,7.39,7.60,7.32
7.34,7.40,7.43,7.20
7.51,7.59,7.60,7.44
7.54,7.61,7.78,7.54
7.61,7.37,7.61,7.36
7.40,7.37,7.40,7.26
7.45,7.81,7.81,7.29
7.81,7.51,7.89,7.51
7.57,7.50,7.57,7.30
7.37,7.17,7.46,7.00
7.03,7.05,7.20,6.95
7.10,6.49,7.24,6.08
6.49,5.85,6.68,5.85
6.16,5.86,7.36,5.78
5.69,5.90,6.10,5.60
5.95,6.23,6.28,5.92
6.19,5.93,6.24,5.85
5.85,5.98,6.04,5.85
6.05,6.08,6.30,5.85
6.15,5.98,6.24,5.98
5.91,5.86,6.08,5.77
5.70,5.53,5.78,5.53
5.50,5.57,5.63,5.36
5.58,5.51,5.76,5.50
5.41,5.31,5.50,5.15
