EDUC,Educational Development Corporation - Common Stock,NASDAQ
5.91,5.70,6.05,5.67
5.76,5.65,5.76,5.60
5.75,5.71,6.00,5.55
5.85,5.94,5.94,5.85
5.82,5.90,5.90,5.75
5.95,5.95,5.95,5.95
5.76,5.76,5.80,5.55
5.61,5.82,5.82,5.61
5.79,5.93,5.95,5.71
6.24,6.19,6.35,6.00
6.10,6.09,6.19,5.70
6.10,6.10,6.10,6.10
6.01,6.02,6.02,6.00
5.75,5.93,5.93,5.60
5.95,5.95,5.95,5.90
6.00,6.19,6.19,5.90
nan,6.19,nan,nan
nan,6.19,nan,nan
5.95,6.00,6.14,5.95
6.15,6.17,6.48,6.08
6.38,6.10,6.39,6.10
6.10,6.05,6.10,6.05
6.05,6.05,6.15,6.05
6.05,6.11,6.11,6.05
6.05,6.05,6.05,6.05
6.15,6.15,6.15,6.10
6.14,6.15,6.15,6.14
6.04,6.11,6.11,6.00
nan,6.11,nan,nan
6.14,6.10,6.15,6.10
6.11,6.10,6.11,6.10
6.01,6.10,6.10,6.01
6.05,6.05,6.05,6.05
6.09,6.00,6.10,5.98
6.09,5.95,6.09,5.95
6.19,6.19,6.19,6.19
6.10,6.10,6.10,6.03
6.05,6.10,6.10,6.05
6.10,6.10,6.10,6.10
6.12,6.14,6.15,6.10
6.15,6.15,6.15,6.10
6.15,6.11,6.15,6.11
6.15,6.15,6.15,6.15
6.15,6.16,6.19,6.13
6.19,6.11,6.20,6.11
6.10,6.24,6.29,6.10
6.47,6.14,7.00,6.13
6.30,6.15,6.40,6.15
6.50,6.47,6.50,6.44
6.49,6.45,6.49,6.26
6.45,6.25,6.45,6.25
6.35,6.33,6.66,6.18
6.47,6.20,6.47,6.19
6.27,6.16,6.27,6.15
6.30,6.19,6.30,6.19
6.16,6.20,6.26,6.15
6.25,6.24,6.25,6.16
6.25,6.22,6.25,6.19
6.19,6.24,6.25,6.19
nan,6.24,nan,nan
nan,6.24,nan,nan
N/A,N/A,N/A,N/A
6.20,6.20,6.20,6.20
6.20,6.20,6.25,6.20
6.06,6.20,6.25,6.06
6.24,6.20,6.25,6.10
6.17,6.25,6.25,6.15
6.10,6.20,6.20,6.10
6.16,6.16,6.16,6.10
6.20,6.20,6.20,6.20
6.25,6.16,6.33,6.06
6.16,6.10,6.39,6.10
6.39,6.20,6.39,6.12
6.16,6.16,6.16,6.13
6.16,6.12,6.16,6.12
6.20,6.20,6.20,6.20
