NFLX,Netflix,NASDAQ
55.52,53.48,55.73,52.96
53.57,51.51,53.60,50.81
51.53,53.32,53.71,50.38
54.12,52.40,54.30,52.24
52.49,53.30,54.20,52.26
53.62,53.23,53.93,52.70
52.70,52.37,53.08,52.16
53.29,53.96,54.28,52.91
52.63,50.99,53.03,50.89
50.72,50.95,51.85,50.63
50.75,51.20,51.68,50.70
50.86,51.24,52.45,50.55
50.52,51.19,52.18,50.50
51.08,50.89,52.39,50.50
51.05,49.13,51.50,48.52
48.72,49.95,50.25,48.56
50.00,50.97,51.18,48.95
61.69,63.04,63.85,60.73
62.74,62.25,64.57,61.55
61.81,61.03,62.87,59.73
60.95,61.85,62.15,60.87
61.85,61.95,62.88,61.33
61.35,60.34,62.25,60.13
60.17,60.84,61.01,59.28
60.94,60.90,61.71,60.00
61.06,62.13,62.16,60.97
62.11,61.49,62.43,61.04
61.21,63.36,63.49,61.10
63.00,63.18,63.18,62.08
63.62,64.86,65.01,63.50
64.79,64.51,64.79,63.43
63.91,66.10,66.27,63.89
65.85,66.65,67.07,65.53
67.04,65.27,67.30,63.81
64.86,64.35,65.25,64.17
64.71,64.69,65.38,64.16
63.99,65.61,65.62,63.10
65.66,66.05,66.83,65.30
66.02,69.70,69.75,66.02
69.99,68.98,70.00,68.82
66.13,67.55,68.39,65.62
67.20,68.01,68.57,67.14
68.25,67.65,68.70,67.03
67.99,68.68,68.76,67.82
68.20,69.94,71.35,68.15
70.27,71.28,71.55,70.07
71.10,71.19,71.59,70.43
70.15,69.98,70.50,69.32
69.98,69.60,69.98,69.16
69.55,70.63,70.85,69.55
70.90,70.92,71.74,70.40
70.71,70.54,71.13,70.44
70.70,70.45,70.90,70.07
70.35,72.89,73.00,70.05
73.00,72.96,73.49,72.03
72.93,72.37,73.17,72.25
72.68,73.54,75.00,72.56
73.53,74.30,74.91,73.34
74.90,73.90,75.00,73.65
74.90,75.06,75.65,74.43
74.30,73.74,75.06,73.72
73.62,75.00,75.70,73.62
75.58,79.99,80.06,75.57
80.42,83.37,83.97,79.84
82.09,79.73,82.37,79.20
79.27,81.83,82.00,79.27
81.09,82.42,82.50,80.43
82.30,83.18,83.25,81.55
83.28,86.38,86.65,83.00
86.96,87.57,89.10,85.82
87.25,86.83,87.87,85.50
86.46,85.31,86.90,84.18
85.25,84.80,86.60,82.77
85.08,87.07,87.42,84.86
88.45,86.98,89.00,85.39
91.00,100.25,102.49,90.65
100.01,99.73,100.56,96.36
100.44,108.17,109.70,100.44
105.07,102.07,106.06,101.63
101.53,99.39,102.76,97.80
100.81,103.17,103.95,99.36
103.85,98.90,103.87,98.58
99.96,101.99,103.81,99.00
100.02,99.36,100.89,97.85
97.51,98.23,101.69,96.21
97.10,96.97,100.99,90.00
97.00,91.09,100.00,90.43
96.23,97.50,97.96,95.01
95.65,99.82,102.15,95.58
101.69,107.83,107.91,101.43
108.45,110.01,119.50,107.21
105.50,100.56,105.97,100.03
101.47,106.35,107.04,101.31
105.39,102.01,107.73,100.60
101.04,100.61,104.49,97.36
96.75,94.99,97.97,92.99
91.43,99.47,99.99,90.81
101.38,101.62,104.36,100.01
97.50,105.00,105.00,97.00
107.45,104.80,108.83,103.58
108.00,108.86,108.99,105.50
108.87,111.15,113.94,108.20
109.26,107.29,111.18,107.08
108.90,110.78,111.06,104.79
111.94,111.85,114.67,109.91
109.88,109.78,114.70,107.54
109.80,109.16,113.24,107.25
111.07,110.33,112.50,107.30
112.98,115.43,117.87,112.22
118.02,118.66,119.88,116.37
117.48,120.69,121.55,116.60
123.40,126.81,127.96,122.80
125.00,123.50,125.19,122.23
122.80,124.67,126.00,120.02
125.55,125.86,127.80,124.40
125.93,126.42,127.10,124.52
126.04,118.99,126.70,117.40
119.52,116.43,120.40,114.08
117.75,117.77,119.00,114.02
116.88,115.25,117.86,114.61
115.41,117.98,118.62,112.50
118.67,117.61,119.88,116.22
115.42,112.58,115.83,112.07
109.99,108.65,113.29,107.99
108.80,109.66,110.46,103.27
110.66,107.08,111.44,106.30
109.40,107.27,111.41,106.29
108.82,118.49,118.50,107.28
120.02,116.98,122.75,115.19
116.18,117.53,117.84,114.28
117.95,119.38,120.50,117.10
121.42,120.92,121.71,117.85
120.52,123.00,124.00,119.10
121.67,121.11,122.25,119.24
120.70,118.39,120.98,117.75
117.77,118.90,120.13,115.15
117.15,120.39,120.90,114.55
122.05,119.65,123.60,118.88
